1.120851163, Sport: ,Soccer, Time: ,Thu Oct 01 03:30:00 CEST 2015, Time: ,Thu Oct 01 03:30:00 CEST 2015, Event: ,Cruz Azul v Atlas, Favorite: ,Cruz Azul, 328204   size:5.09,Price: ,1.94,Atlas, 328950   size:152.45,Price: ,4.5,The Draw, 58805   size:13.26,Price: ,3.6,x
1.120852771, Sport: ,Baseball, Time: ,Thu Oct 01 02:05:00 CEST 2015, Time: ,Thu Oct 01 02:05:00 CEST 2015, Event: ,DET @ TEX, Favorite: ,Texas (Y Gallardo), 9378796   size:311.09,Price: ,1.59,Detroit (M Boyd), 10118589   size:350.0,Price: ,2.6,ok
1.120939207, Sport: ,Cricket, Time: ,Thu Oct 01 07:00:00 CEST 2015, Time: ,Thu Oct 01 07:00:00 CEST 2015, Event: ,Pakistan (W) v Bangladesh (W) (2nd T20), Favorite: ,Pakistan (W), 6669067   size:9.9,Price: ,1.32,Bangladesh (W), 7659197   size:2.55,Price: ,3.35,ok
1.120978404, Sport: ,Tennis, Time: ,Thu Oct 01 09:00:00 CEST 2015, Time: ,Thu Oct 01 09:00:00 CEST 2015, Event: ,De Novak v Konecny, Favorite: ,Dennis Novak, 7335936   size:2.55,Price: ,1.47,Michal Konecny, 8522533   size:11.54,Price: ,3.05,ok
1.120986799, Sport: ,Tennis, Time: ,Thu Oct 01 00:00:00 CEST 2015, Time: ,Thu Oct 01 00:00:00 CEST 2015, Event: ,A S Sanchez v P Parmentier, Favorite: ,Pauline Parmentier, 2309569   size:47.15,Price: ,1.27,Ana Sofia Sanchez, 7082838   size:5.86,Price: ,3.85,ok
1.121003921, Sport: ,Basketball, Time: ,Thu Oct 01 08:30:00 CEST 2015, Time: ,Thu Oct 01 08:30:00 CEST 2015, Event: ,Iran v South Korea, Favorite: ,Iran, 2208036   size:5.81,Price: ,1.12,South Korea, 1228601   size:5.81,Price: ,1.2,ok
1.120987356, Sport: ,Tennis, Time: ,Thu Oct 01 08:30:00 CEST 2015, Time: ,Thu Oct 01 08:30:00 CEST 2015, Event: ,Muguruza v A Schmiedlova, Favorite: ,Garbine Muguruza, 6596301   size:65.79,Price: ,1.36,Anna Schmiedlova, 7186354   size:52.06,Price: ,3.6,ok
1.120852780, Sport: ,Baseball, Time: ,Thu Oct 01 02:10:00 CEST 2015, Time: ,Thu Oct 01 02:10:00 CEST 2015, Event: ,KC @ CWS, Favorite: ,Kansas City (E Volquez), 9385643   size:333.47,Price: ,1.85,Chicago White Sox (J Quintana), 6401579   size:478.99,Price: ,2.08,ok
1.120978657, Sport: ,Tennis, Time: ,Thu Oct 01 08:30:00 CEST 2015, Time: ,Thu Oct 01 08:30:00 CEST 2015, Event: ,Goerges/Pliskova v Medina Garr/Parra Santo, Favorite: ,Goerges/Pliskova, 10337869   size:8.36,Price: ,1.87,Medina Garr/Parra Santo, 9220633   size:2.26,Price: ,1.95,ok
1.120846235, Sport: ,Soccer, Time: ,Thu Oct 01 03:00:00 CEST 2015, Time: ,Thu Oct 01 03:00:00 CEST 2015, Event: ,Vasco da Gama v Sao Paulo, Favorite: ,Sao Paulo, 198126   size:46.5,Price: ,2.32,Vasco da Gama, 784535   size:82.08,Price: ,3.5,The Draw, 58805   size:77.65,Price: ,3.45,x
1.120852707, Sport: ,Baseball, Time: ,Thu Oct 01 01:05:00 CEST 2015, Time: ,Thu Oct 01 01:05:00 CEST 2015, Event: ,OAK @ LAA, Favorite: ,LA Angels (G Richards), 5741327   size:273.0,Price: ,1.45,Oakland (B Zito), 1109911   size:4.12,Price: ,3.2,x
1.121003934, Sport: ,Basketball, Time: ,Thu Oct 01 03:30:00 CEST 2015, Time: ,Thu Oct 01 03:30:00 CEST 2015, Event: ,Hong Kong v Jordan, Favorite: ,Jordan, 2208037   size:8.35,Price: ,1.03,Hong Kong, 7448435   size:5.81,Price: ,1.14,ok
1.121003938, Sport: ,Basketball, Time: ,Thu Oct 01 05:45:00 CEST 2015, Time: ,Thu Oct 01 05:45:00 CEST 2015, Event: ,Palestine v Kazakhstan, Favorite: ,Kazakhstan, 4096287   size:2.55,Price: ,1.57,Palestine, 9535783   size:3.89,Price: ,2.52,x
1.120986702, Sport: ,Baseball, Time: ,Thu Oct 01 01:05:00 CEST 2015, Time: ,Thu Oct 01 01:05:00 CEST 2015, Event: ,STL @ PIT (Game 2), Favorite: ,Pittsburgh (C Morton), 3966279   size:2.87,Price: ,1.71,St Louis (T Lyons), 7289528   size:2.65,Price: ,2.32,x
1.120978094, Sport: ,Tennis, Time: ,Thu Oct 01 07:00:00 CEST 2015, Time: ,Thu Oct 01 07:00:00 CEST 2015, Event: ,Hingis/Mirza v Jans-Ignacik/Rodionova, Favorite: ,Hingis/Mirza, 2087731   size:308.81,Price: ,1.34,Jans-Ignacik/Rodionova, 10302166   size:8.34,Price: ,3.8,ok
1.120986690, Sport: ,Baseball, Time: ,Thu Oct 01 01:05:00 CEST 2015, Time: ,Thu Oct 01 01:05:00 CEST 2015, Event: ,TOR @ BAL (Game 2), Favorite: ,Toronto (R Dickey), 7172150   size:96.02,Price: ,1.91,Baltimore (K Gausman), 7292275   size:4.07,Price: ,2.06,x
1.120984396, Sport: ,Soccer, Time: ,Thu Oct 01 04:00:00 CEST 2015, Time: ,Thu Oct 01 04:00:00 CEST 2015, Event: ,Perez Zeledon v CS Cartagines, Favorite: ,Perez Zeledon, 10147088   size:13.26,Price: ,2.26,CS Cartagines, 6624090   size:15.49,Price: ,3.15,The Draw, 58805   size:6.22,Price: ,3.6,x
1.120994357, Sport: ,Tennis, Time: ,Thu Oct 01 07:00:00 CEST 2015, Time: ,Thu Oct 01 07:00:00 CEST 2015, Event: ,Vinci v Ka Pliskova, Favorite: ,Roberta Vinci, 2249840   size:32.48,Price: ,1.78,Karolina Pliskova, 6199453   size:301.79,Price: ,2.22,ok
1.120986298, Sport: ,Tennis, Time: ,Thu Oct 01 00:30:00 CEST 2015, Time: ,Thu Oct 01 00:30:00 CEST 2015, Event: ,J Donaldson v M Krueger, Favorite: ,Jared Donaldson, 7413423   size:38.47,Price: ,1.4,Mitchell Krueger, 6603910   size:7.89,Price: ,3.45,x
1.120971916, Sport: ,Soccer, Time: ,Thu Oct 01 00:00:00 CEST 2015, Time: ,Thu Oct 01 00:00:00 CEST 2015, Event: ,CSD Comunicaciones v Mictlan, Favorite: ,CSD Comunicaciones, 4109938   size:2.55,Price: ,1.41,Mictlan, 10135672   size:2.74,Price: ,6.6,The Draw, 58805   size:3.9,Price: ,3.65,ok
1.120978827, Sport: ,Basketball, Time: ,Thu Oct 01 01:00:00 CEST 2015, Time: ,Thu Oct 01 01:00:00 CEST 2015, Event: ,Ferro Carril Oeste v Obras, Favorite: ,Obras, 6269780   size:3.23,Price: ,1.55,Ferro Carril Oeste, 10312212   size:68.05,Price: ,2.56,ok
1.120846309, Sport: ,Soccer, Time: ,Thu Oct 01 03:00:00 CEST 2015, Time: ,Thu Oct 01 03:00:00 CEST 2015, Event: ,Gremio v Fluminense, Favorite: ,Gremio, 198134   size:67.69,Price: ,1.67,Fluminense, 198133   size:52.11,Price: ,6.2,The Draw, 58805   size:99.59,Price: ,3.85,x
1.120978828, Sport: ,Tennis, Time: ,Thu Oct 01 13:45:00 CEST 2015, Time: ,Thu Oct 01 13:45:00 CEST 2015, Event: ,J Marti v Montanes, Favorite: ,Albert Montanes, 2263599   size:8.36,Price: ,1.51,Javier Marti, 5086037   size:2.55,Price: ,2.54,ok
1.120977696, Sport: ,Tennis, Time: ,Thu Oct 01 09:00:00 CEST 2015, Time: ,Thu Oct 01 09:00:00 CEST 2015, Event: ,Myneni v Chervyakov, Favorite: ,Saketh Myneni, 7445661   size:2.55,Price: ,1.11,Fedor Chervyakov, 7658509   size:22.33,Price: ,8.6,ok
1.120978264, Sport: ,Tennis, Time: ,Thu Oct 01 13:45:00 CEST 2015, Time: ,Thu Oct 01 13:45:00 CEST 2015, Event: ,Delbonis v G Di Meo, Favorite: ,Federico Delbonis, 6181532   size:532.49,Price: ,1.03,Giulio Di Meo, 9456599   size:8.95,Price: ,12.0,ok
1.120977573, Sport: ,Tennis, Time: ,Thu Oct 01 10:00:00 CEST 2015, Time: ,Thu Oct 01 10:00:00 CEST 2015, Event: ,Igoshin v Donskoy, Favorite: ,Evgeny Donskoy, 3391304   size:3.58,Price: ,1.07,Alexandr Igoshin, 7658397   size:17.35,Price: ,8.8,ok
1.120978421, Sport: ,Tennis, Time: ,Thu Oct 01 04:00:00 CEST 2015, Time: ,Thu Oct 01 04:00:00 CEST 2015, Event: ,S Jang v Yux Zhang, Favorite: ,Su Jeong Jang, 7659425   size:23.39,Price: ,1.83,Yuxuan Zhang, 6949174   size:10.09,Price: ,1.95,x
1.120846024, Sport: ,Soccer, Time: ,Thu Oct 01 01:30:00 CEST 2015, Time: ,Thu Oct 01 01:30:00 CEST 2015, Event: ,Tampa Bay Rowdies v Indy Eleven, Favorite: ,Tampa Bay Rowdies, 6295051   size:262.51,Price: ,1.95,Indy Eleven, 8441182   size:2.97,Price: ,4.3,The Draw, 58805   size:18.69,Price: ,3.75,x
1.120978420, Sport: ,Tennis, Time: ,Thu Oct 01 08:00:00 CEST 2015, Time: ,Thu Oct 01 08:00:00 CEST 2015, Event: ,K Zhang v Sawayanagi, Favorite: ,Kai-Lin Zhang, 8710301   size:2.55,Price: ,1.49,Riko Sawayanagi, 8839049   size:4.78,Price: ,2.8,x
1.120983982, Sport: ,Tennis, Time: ,Thu Oct 01 12:30:00 CEST 2015, Time: ,Thu Oct 01 12:30:00 CEST 2015, Event: ,Ramialson v Heise, Favorite: ,Irina Ramialson, 10362781   size:6.26,Price: ,1.04,Priscilla Heise, 9627832   size:6.26,Price: ,1.04,x
1.120986579, Sport: ,Tennis, Time: ,Thu Oct 01 15:00:00 CEST 2015, Time: ,Thu Oct 01 15:00:00 CEST 2015, Event: ,Skupski/Skupski v Mertens/Sijsling, Favorite: ,Skupski/Skupski, 7824202   size:6.26,Price: ,1.04,Mertens/Sijsling, 9378803   size:6.26,Price: ,1.04,ok
1.120852630, Sport: ,Baseball, Time: ,Thu Oct 01 01:05:00 CEST 2015, Time: ,Thu Oct 01 01:05:00 CEST 2015, Event: ,BOS @ NYY, Favorite: ,NY Yankees (M Tanaka), 8439277   size:495.67,Price: ,1.61,Boston (W Miley), 9389894   size:57.34,Price: ,2.56,x
1.120921693, Sport: ,Soccer, Time: ,Thu Oct 01 03:00:00 CEST 2015, Time: ,Thu Oct 01 03:00:00 CEST 2015, Event: ,Universitario v Alianza Lima, Favorite: ,Universitario, 330229   size:4.68,Price: ,2.86,Alianza Lima, 219457   size:2.19,Price: ,2.86,The Draw, 58805   size:4.41,Price: ,2.92,x
1.120986732, Sport: ,Baseball, Time: ,Thu Oct 01 01:10:00 CEST 2015, Time: ,Thu Oct 01 01:10:00 CEST 2015, Event: ,MIN @ CLE (Game 2), Favorite: ,Cleveland (C Anderson), 9653347   size:489.0,Price: ,1.77,Minnesota (M Pelfrey), 7177264   size:36.74,Price: ,2.22,ok
1.120986682, Sport: ,Tennis, Time: ,Thu Oct 01 00:30:00 CEST 2015, Time: ,Thu Oct 01 00:30:00 CEST 2015, Event: ,Kudla v Laaksonen, Favorite: ,Denis Kudla, 4829260   size:32.39,Price: ,1.2,Henri Laaksonen, 6344314   size:2.49,Price: ,5.5,ok
1.120990422, Sport: ,Tennis, Time: ,Thu Oct 01 09:45:00 CEST 2015, Time: ,Thu Oct 01 09:45:00 CEST 2015, Event: ,Erlich/Fleming v Ebden/Vesely, Favorite: ,Erlich/Fleming, 9607905   size:2.55,Price: ,1.49,Ebden/Vesely, 10337984   size:5.81,Price: ,2.34,ok
1.120971364, Sport: ,Soccer, Time: ,Thu Oct 01 00:00:00 CEST 2015, Time: ,Thu Oct 01 00:00:00 CEST 2015, Event: ,Barbarense v Sao Bento, Favorite: ,Barbarense, 6973281   size:31.05,Price: ,2.02,Sao Bento, 1362124   size:7.98,Price: ,3.7,The Draw, 58805   size:6.58,Price: ,3.65,ok
1.120978715, Sport: ,Tennis, Time: ,Thu Oct 01 08:45:00 CEST 2015, Time: ,Thu Oct 01 08:45:00 CEST 2015, Event: ,V Pospisil v M Baghdatis, Favorite: ,Vasek Pospisil, 4903598   size:549.62,Price: ,1.95,Marcos Baghdatis, 2256469   size:339.0,Price: ,1.96,ok
