1.120994679, Sport: ,Tennis, Time: ,Fri Oct 02 10:45:00 CEST 2015, Time: ,Fri Oct 02 10:45:00 CEST 2015, Event: ,Butorac/Lipsky v Cermak/Stepanek, Favorite: ,Butorac/Lipsky, 9608064   size:2.55,Price: ,1.69,Cermak/Stepanek, 6397301   size:3.03,Price: ,2.06,x
1.120863349, Sport: ,Handball, Time: ,Thu Oct 01 20:45:00 CEST 2015, Time: ,Thu Oct 01 20:45:00 CEST 2015, Event: ,Chambery v Montpellier, Favorite: ,Chambery, 3361608   size:2.62,Price: ,1.66,Montpellier, 3379953   size:2.05,Price: ,3.05,Draw, 330157   size:13.69,Price: ,9.6,x
1.120974309, Sport: ,American Football, Time: ,Fri Oct 02 01:30:00 CEST 2015, Time: ,Fri Oct 02 01:30:00 CEST 2015, Event: ,Miami (FL) @ Cincinnati, Favorite: ,Miami (FL), 1257371   size:2.75,Price: ,1.41,Cincinnati, 56289   size:17.79,Price: ,3.2,x
1.120986475, Sport: ,Tennis, Time: ,Thu Oct 01 20:45:00 CEST 2015, Time: ,Thu Oct 01 20:45:00 CEST 2015, Event: ,Falla v M Arevalo, Favorite: ,Alejandro Falla, 2284300   size:34.47,Price: ,1.26,Marcelo Arevalo, 7430966   size:3.19,Price: ,4.8,x
1.120999689, Sport: ,Soccer, Time: ,Fri Oct 02 11:00:00 CEST 2015, Time: ,Fri Oct 02 11:00:00 CEST 2015, Event: ,Kuban Krasnodar (Y) v Anzhi (Y), Favorite: ,Kuban Krasnodar (Y), 7227084   size:8.0,Price: ,1.77,Anzhi (Y), 10319700   size:66.95,Price: ,2.86,The Draw, 58805   size:16.0,Price: ,3.15,ok
1.120995400, Sport: ,Basketball, Time: ,Fri Oct 02 02:00:00 CEST 2015, Time: ,Fri Oct 02 02:00:00 CEST 2015, Event: ,Penarol v Boca Jrs, Favorite: ,Penarol, 6719113   size:8.33,Price: ,1.03,Boca Jrs, 6719112   size:8.33,Price: ,1.03,ok
1.121004330, Sport: ,Basketball, Time: ,Thu Oct 01 22:15:00 CEST 2015, Time: ,Thu Oct 01 22:15:00 CEST 2015, Event: ,Gabon Women v Angola Women, Favorite: ,Angola Women, 8874499   size:2.55,Price: ,1.05,Gabon Women, 10318000   size:2.55,Price: ,1.28,ok
1.120995403, Sport: ,Basketball, Time: ,Fri Oct 02 02:00:00 CEST 2015, Time: ,Fri Oct 02 02:00:00 CEST 2015, Event: ,Sionista v Libertad, Favorite: ,Sionista, 6719083   size:3.57,Price: ,1.07,Libertad, 6719116   size:3.57,Price: ,1.07,x
1.121008758, Sport: ,Tennis, Time: ,Fri Oct 02 08:00:00 CEST 2015, Time: ,Fri Oct 02 08:00:00 CEST 2015, Event: ,Jovanovski v Hibino, Favorite: ,Bojana Jovanovski, 4148045   size:43.51,Price: ,1.76,Nao Hibino, 7683152   size:9.76,Price: ,2.22,x
1.120852935, Sport: ,Baseball, Time: ,Fri Oct 02 02:10:00 CEST 2015, Time: ,Fri Oct 02 02:10:00 CEST 2015, Event: ,KC @ CWS, Favorite: ,Kansas City (K Medlen), 10191265   size:272.0,Price: ,1.76,Chicago White Sox (J Danks), 2942998   size:314.73,Price: ,2.22,ok
1.120955167, Sport: ,Rugby League, Time: ,Thu Oct 01 21:00:00 CEST 2015, Time: ,Thu Oct 01 21:00:00 CEST 2015, Event: ,Wigan v Huddersfield, Favorite: ,Wigan Warriors, 23390   size:155.53,Price: ,1.53,Huddersfield Giants, 23398   size:83.9,Price: ,3.2,Draw, 11126   size:11.18,Price: ,24.0,ok
