1.121020132, Sport: ,Tennis, Time: ,Fri Oct 02 12:30:00 CEST 2015, Time: ,Fri Oct 02 12:30:00 CEST 2015, Event: ,G Dimitrov v B Becker, Favorite: ,Grigor Dimitrov, 3120169   size:1369.54,Price: ,1.25,Benjamin Becker, 2249398   size:2.71,Price: ,4.8,x
1.120996875, Sport: ,Soccer, Time: ,Fri Oct 02 10:00:00 CEST 2015, Time: ,Fri Oct 02 10:00:00 CEST 2015, Event: ,South Korea U19 v Chinese Taipei U19, Favorite: ,South Korea U19, 6834947   size:56.02,Price: ,1.03,Chinese Taipei U19, 10341149   size:24.02,Price: ,60.0,The Draw, 58805   size:2.13,Price: ,9.0,ok
1.120964894, Sport: ,Snooker, Time: ,Fri Oct 02 10:30:00 CEST 2015, Time: ,Fri Oct 02 10:30:00 CEST 2015, Event: ,McLeod v Wells, Favorite: ,Rory McLeod, 2328286   size:19.56,Price: ,1.56,Daniel Wells, 3495954   size:2.55,Price: ,2.66,x
1.120964891, Sport: ,Snooker, Time: ,Fri Oct 02 10:30:00 CEST 2015, Time: ,Fri Oct 02 10:30:00 CEST 2015, Event: ,McGill v Wattana, Favorite: ,Anthony McGill, 5139394   size:4.29,Price: ,1.23,James Wattana, 2281479   size:2.55,Price: ,4.5,ok
1.120996985, Sport: ,Soccer, Time: ,Fri Oct 02 11:00:00 CEST 2015, Time: ,Fri Oct 02 11:00:00 CEST 2015, Event: ,Uzbekistan U19 v Bhutan U19, Favorite: ,Uzbekistan U19, 6639218   size:18865.02,Price: ,1.01,Bhutan U19, 10366576   size:2.91,Price: ,80.0,The Draw, 58805   size:2.6,Price: ,60.0,ok
1.120998366, Sport: ,Soccer, Time: ,Fri Oct 02 13:00:00 CEST 2015, Time: ,Fri Oct 02 13:00:00 CEST 2015, Event: ,Ateks Sdushor Kiev (W) v Ternopilchnaka (W), Favorite: ,Ternopilchnaka (W), 9271149   size:2.78,Price: ,1.09,Ateks Sdushor Kiev (W), 7223939   size:5.81,Price: ,1.21,The Draw, 58805   size:10.73,Price: ,1.29,ok
1.120964897, Sport: ,Snooker, Time: ,Fri Oct 02 10:30:00 CEST 2015, Time: ,Fri Oct 02 10:30:00 CEST 2015, Event: ,Holt v Nicholson, Favorite: ,Michael Holt, 2278812   size:4.32,Price: ,1.1,Jake Nicholson, 8761437   size:6.99,Price: ,7.8,ok
1.120964896, Sport: ,Snooker, Time: ,Fri Oct 02 10:30:00 CEST 2015, Time: ,Fri Oct 02 10:30:00 CEST 2015, Event: ,Brecel v Grace, Favorite: ,Luca Brecel, 5073722   size:10.06,Price: ,1.34,David Grace, 3439626   size:4.4,Price: ,3.5,ok
1.121020117, Sport: ,Tennis, Time: ,Fri Oct 02 13:00:00 CEST 2015, Time: ,Fri Oct 02 13:00:00 CEST 2015, Event: ,K De Schepper v Chiudinelli, Favorite: ,Kenny De Schepper, 5617034   size:3.47,Price: ,1.44,Marco Chiudinelli, 2263632   size:6.28,Price: ,2.9,ok
1.120996765, Sport: ,Soccer, Time: ,Fri Oct 02 11:30:00 CEST 2015, Time: ,Fri Oct 02 11:30:00 CEST 2015, Event: ,Mumbai Customs v Central Bank of India, Favorite: ,Mumbai Customs, 8415909   size:138.67,Price: ,1.1,Central Bank of India, 8940768   size:138.6,x
1.120998822, Sport: ,Soccer, Time: ,Fri Oct 02 13:00:00 CEST 2015, Time: ,Fri Oct 02 13:00:00 CEST 2015, Event: ,Tusker FC v Muhoroni Youth FC, Favorite: ,Tusker FC, 7177028   size:2.63,Price: ,1.87,Muhoroni Youth FC, 9675654   size:2.66,Price: ,3.4,The Draw, 58805   size:2.0,Price: ,3.05,x
1.120996710, Sport: ,Soccer, Time: ,Fri Oct 02 12:15:00 CEST 2015, Time: ,Fri Oct 02 12:15:00 CEST 2015, Event: ,Salgaocar FC U20 v Sporting Goa U20, Favorite: ,Salgaocar FC U20, 10366529   size:138.67,Price: ,1.1,Sporting Goa U20, 10341255   size:138.67,Price: ,1.1,The Draw, 58805   size:10.73,Price: ,1.29,x
1.120978845, Sport: ,Basketball, Time: ,Fri Oct 02 12:00:00 CEST 2015, Time: ,Fri Oct 02 12:00:00 CEST 2015, Event: ,Goyang Orions v Changwon Sakers, Favorite: ,Goyang Orions, 5889518   size:2.55,Price: ,1.22,Changwon Sakers, 10276571   size:5.15,Price: ,5.1,ok
1.121003694, Sport: ,Tennis, Time: ,Fri Oct 02 12:00:00 CEST 2015, Time: ,Fri Oct 02 12:00:00 CEST 2015, Event: ,Krajinovic v de Bakker, Favorite: ,Filip Krajinovic, 3509265   size:2.55,Price: ,1.55,Thiemo De Bakker, 8720949   size:54.8,Price: ,2.56,ok
1.121018514, Sport: ,Tennis, Time: ,Fri Oct 02 10:30:00 CEST 2015, Time: ,Fri Oct 02 10:30:00 CEST 2015, Event: ,V Pospisil v Fel Lopez, Favorite: ,Feliciano Lopez, 2265109   size:7442.91,Price: ,1.64,Vasek Pospisil, 4903598   size:24.0,Price: ,2.52,ok
1.120999689, Sport: ,Soccer, Time: ,Fri Oct 02 11:00:00 CEST 2015, Time: ,Fri Oct 02 11:00:00 CEST 2015, Event: ,Kuban Krasnodar (Y) v Anzhi (Y), Favorite: ,Kuban Krasnodar (Y), 7227084   size:3.94,Price: ,2.02,Anzhi (Y), 10319700   size:6.86,Price: ,3.65,The Draw, 58805   size:4.15,Price: ,3.7,ok
1.120998476, Sport: ,Soccer, Time: ,Fri Oct 02 11:00:00 CEST 2015, Time: ,Fri Oct 02 11:00:00 CEST 2015, Event: ,Metalurg Z U21 v Olimpik Donetsk U21, Favorite: ,Metalurg Z U21, 10096670   size:6.81,Price: ,1.42,Olimpik Donetsk U21, 10092763   size:2.56,Price: ,1.95,The Draw, 58805   size:2.45,Price: ,4.1,x
1.120964877, Sport: ,Snooker, Time: ,Fri Oct 02 10:30:00 CEST 2015, Time: ,Fri Oct 02 10:30:00 CEST 2015, Event: ,Hang v Steadman, Favorite: ,Li Hang, 2336727   size:2.55,Price: ,1.59,Craig Steadman, 4271930   size:2.55,Price: ,2.32,x
