1.121020218, Sport: ,Tennis, Time: ,Sat Oct 03 10:30:00 CEST 2015, Time: ,Sat Oct 03 10:30:00 CEST 2015, Event: ,Igoshin/Shyla v Myneni/Sharan, Favorite: ,Myneni/Sharan, 9324247   size:15.09,Price: ,1.41,Igoshin/Shyla, 10343465   size:10.01,Price: ,2.62,x
1.121036360, Sport: ,Tennis, Time: ,Sat Oct 03 12:15:00 CEST 2015, Time: ,Sat Oct 03 12:15:00 CEST 2015, Event: ,Klaasen/Ram v Cermak/Stepanek, Favorite: ,Klaasen/Ram, 9546313   size:2.55,Price: ,1.62,Cermak/Stepanek, 6397301   size:2.55,Price: ,1.87,ok
1.120866932, Sport: ,Soccer, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Anderlecht (W) v DVC Evas Tienen (W), Favorite: ,Anderlecht (W), 6639183   size:2.55,Price: ,1.32,DVC Evas Tienen (W), 10201445   size:4.53,Price: ,4.7,The Draw, 58805   size:7.96,Price: ,6.2,ok
1.120996153, Sport: ,Soccer, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,NA Hussein Dey v RC Relizane, Favorite: ,NA Hussein Dey, 7650243   size:28.99,Price: ,1.78,RC Relizane, 8789534   size:4.45,Price: ,6.4,The Draw, 58805   size:6.06,Price: ,3.25,x
1.120996430, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,EC Sao Bento U20 v CA Juventus U20, Favorite: ,EC Sao Bento U20, 7328218   size:133.59,Price: ,1.06,CA Juventus U20, 7328234   size:53.86,Price: ,1.21,The Draw, 58805   size:11.26,Price: ,3.6,ok
1.120861440, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Auxerre v Paris FC, Favorite: ,Auxerre, 44800   size:557.72,Price: ,2.16,Paris FC, 5168454   size:18.77,Price: ,4.5,The Draw, 58805   size:744.47,Price: ,3.1,ok
1.120862371, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Sochaux v Valenciennes, Favorite: ,Sochaux, 44796   size:73.68,Price: ,2.1,Valenciennes, 669343   size:110.59,Price: ,4.6,The Draw, 58805   size:108.56,Price: ,3.15,ok
1.120863062, Sport: ,Soccer, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Atvidabergs v Hammarby, Favorite: ,Hammarby, 30679   size:230.8,Price: ,2.32,Atvidabergs, 780882   size:932.94,Price: ,3.4,The Draw, 58805   size:620.76,Price: ,3.6,ok
1.120861536, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Clermont v Bourg-Peronnas, Favorite: ,Clermont, 309686   size:72.55,Price: ,2.28,Bourg-Peronnas, 676431   size:12.42,Price: ,3.9,The Draw, 58805   size:463.95,Price: ,3.15,ok
1.120964497, Sport: ,Boxing, Time: ,Sat Oct 03 03:00:00 CEST 2015, Time: ,Sat Oct 03 03:00:00 CEST 2015, Event: ,Ramirez v McKenzie, Favorite: ,Victor Emilio Ramirez, 4138580   size:2.57,Price: ,1.26,Ovill McKenzie, 3882655   size:99.54,Price: ,4.4,Draw, 31162   size:2.69,Price: ,34.0,x
1.120865816, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Go Ahead Eagles v Sparta Rotterdam, Favorite: ,Sparta Rotterdam, 111703   size:134.94,Price: ,2.68,Go Ahead Eagles, 419123   size:13.77,Price: ,2.76,The Draw, 58805   size:18.97,Price: ,3.7,x
1.120986583, Sport: ,Tennis, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Langer/Struff v Lamasine/Martin, Favorite: ,Lamasine/Martin, 10277140   size:101.2,Price: ,1.66,Langer/Struff, 10343509   size:2.55,Price: ,2.38,ok
1.120967764, Sport: ,Soccer, Time: ,Sat Oct 03 02:30:00 CEST 2015, Time: ,Sat Oct 03 02:30:00 CEST 2015, Event: ,Mineros de Zacatecas v Cimarrones de Sonora, Favorite: ,Mineros de Zacatecas, 8692849   size:4.34,Price: ,1.43,Cimarrones de Sonora, 9988723   size:10.11,Price: ,4.1,The Draw, 58805   size:12.78,Price: ,3.45,ok
