1.121060393, Sport: ,Tennis, Time: ,Sun Oct 04 06:45:00 CEST 2015, Time: ,Sun Oct 04 06:45:00 CEST 2015, Event: ,Ebden v Soeda, Favorite: ,Matthew Ebden, 4423910   size:5.79,Price: ,1.66,Go Soeda, 2249835   size:184.27,Price: ,2.38,ok
1.121008290, Sport: ,Basketball, Time: ,Sun Oct 04 18:15:00 CEST 2015, Time: ,Sun Oct 04 18:15:00 CEST 2015, Event: ,Varese v Juve Caserta, Favorite: ,Varese, 276233   size:2.55,Price: ,1.45,Juve Caserta, 6697870   size:18.0,Price: ,2.88,x
1.120916321, Sport: ,Soccer, Time: ,Sun Oct 04 16:00:00 CEST 2015, Time: ,Sun Oct 04 16:00:00 CEST 2015, Event: ,FC Copenhagen v Viborg, Favorite: ,FC Copenhagen, 28217   size:1089.65,Price: ,1.37,Viborg, 10780   size:40.14,Price: ,11.0,The Draw, 58805   size:29.08,Price: ,5.1,ok
1.120917899, Sport: ,Soccer, Time: ,Sun Oct 04 14:30:00 CEST 2015, Time: ,Sun Oct 04 14:30:00 CEST 2015, Event: ,Vitesse v Groningen, Favorite: ,Vitesse, 11186   size:74.55,Price: ,1.58,Groningen, 48450   size:3.07,Price: ,6.4,The Draw, 58805   size:260.22,Price: ,4.4,ok
1.120911470, Sport: ,Soccer, Time: ,Sun Oct 04 17:30:00 CEST 2015, Time: ,Sun Oct 04 17:30:00 CEST 2015, Event: ,FC Jazz v JJK, Favorite: ,JJK, 799035   size:448.45,Price: ,1.91,FC Jazz, 344796   size:2.69,Price: ,4.2,The Draw, 58805   size:58.68,Price: ,3.85,ok
1.121058197, Sport: ,Tennis, Time: ,Sun Oct 04 06:45:00 CEST 2015, Time: ,Sun Oct 04 06:45:00 CEST 2015, Event: ,D Young v Moriya, Favorite: ,Donald Young, 2345091   size:1233.12,Price: ,1.21,Hiroki Moriya, 5858055   size:8.05,Price: ,5.2,ok
1.120916407, Sport: ,Soccer, Time: ,Sun Oct 04 17:45:00 CEST 2015, Time: ,Sun Oct 04 17:45:00 CEST 2015, Event: ,Olimpija v Krsko, Favorite: ,Krsko, 4926231   size:18.0,Price: ,1.08,Olimpija, 489147   size:5.79,Price: ,1.14,The Draw, 58805   size:18.0,Price: ,1.27,x
1.120911795, Sport: ,Soccer, Time: ,Sun Oct 04 20:00:00 CEST 2015, Time: ,Sun Oct 04 20:00:00 CEST 2015, Event: ,Start v Rosenborg, Favorite: ,Rosenborg, 55224   size:20.44,Price: ,1.47,Start, 774893   size:43.01,Price: ,7.4,The Draw, 58805   size:4.87,Price: ,5.1,ok
1.120917692, Sport: ,Soccer, Time: ,Sun Oct 04 17:30:00 CEST 2015, Time: ,Sun Oct 04 17:30:00 CEST 2015, Event: ,Leverkusen v Augsburg, Favorite: ,Leverkusen, 44787   size:769.17,Price: ,1.42,Augsburg, 498560   size:43.12,Price: ,9.2,The Draw, 58805   size:424.29,Price: ,5.2,x
1.120998977, Sport: ,Ice Hockey, Time: ,Sun Oct 04 17:45:00 CEST 2015, Time: ,Sun Oct 04 17:45:00 CEST 2015, Event: ,Wolfsburg v Kolner Haie, Favorite: ,Wolfsburg, 1031534   size:104.0,Price: ,2.26,Kolner Haie, 233911   size:70.0,Price: ,2.6,Tie, 60104   size:59.99,Price: ,4.4,x
1.120968480, Sport: ,Soccer, Time: ,Sun Oct 04 12:45:00 CEST 2015, Time: ,Sun Oct 04 12:45:00 CEST 2015, Event: ,Stomil Olsztyn v Wisla Plock, Favorite: ,Wisla Plock, 487520   size:3.28,Price: ,2.44,Stomil Olsztyn, 7449117   size:33.92,Price: ,3.15,The Draw, 58805   size:55.55,Price: ,3.3,x
1.120911396, Sport: ,Soccer, Time: ,Sun Oct 04 15:00:00 CEST 2015, Time: ,Sun Oct 04 15:00:00 CEST 2015, Event: ,PK-35 Vantaa v EIF, Favorite: ,PK-35 Vantaa, 6324459   size:104.52,Price: ,1.25,EIF, 502408   size:2.92,Price: ,12.5,The Draw, 58805   size:2.69,Price: ,7.0,x
1.121059728, Sport: ,Tennis, Time: ,Sun Oct 04 09:30:00 CEST 2015, Time: ,Sun Oct 04 09:30:00 CEST 2015, Event: ,Bolelli v An Kuznetsov, Favorite: ,Simone Bolelli, 2309797   size:5.0,Price: ,1.53,Andrey Kuznetsov, 4257454   size:3.51,Price: ,2.8,ok
