1.121067963, Sport: ,Tennis, Time: ,Sun Oct 04 21:30:00 CEST 2015, Time: ,Sun Oct 04 21:30:00 CEST 2015, Event: ,Krajicek v Rogers, Favorite: ,Michaella Krajicek, 2256452   size:5.22,Price: ,1.91,Shelby Rogers, 4943786   size:17.83,Price: ,2.04,ok
1.121035292, Sport: ,Tennis, Time: ,Mon Oct 05 06:30:00 CEST 2015, Time: ,Mon Oct 05 06:30:00 CEST 2015, Event: ,Lucic-Baroni v Begu, Favorite: ,Irina-Camelia Begu, 7642289   size:2.31,Price: ,1.55,Mirjana Lucic-Baroni, 8283006   size:5.0,Price: ,2.68,x
1.121051779, Sport: ,Soccer, Time: ,Sun Oct 04 23:00:00 CEST 2015, Time: ,Sun Oct 04 23:00:00 CEST 2015, Event: ,Diriangen FC v Juventus FC Managua, Favorite: ,Diriangen FC, 9038383   size:3.95,Price: ,1.48,Juventus FC Managua, 9059003   size:6.39,Price: ,4.1,The Draw, 58805   size:2.8,Price: ,3.75,ok
1.121051944, Sport: ,Soccer, Time: ,Mon Oct 05 00:00:00 CEST 2015, Time: ,Mon Oct 05 00:00:00 CEST 2015, Event: ,Sporting San Miguel v CD Plaza Amador, Favorite: ,Sporting San Miguel, 7546734   size:2.27,Price: ,1.96,CD Plaza Amador, 7899390   size:3.09,Price: ,3.2,The Draw, 58805   size:3.35,Price: ,2.96,x
1.121047556, Sport: ,Soccer, Time: ,Sun Oct 04 22:00:00 CEST 2015, Time: ,Sun Oct 04 22:00:00 CEST 2015, Event: ,Expreso Rojo v Fortaleza (Col), Favorite: ,Expreso Rojo, 5486176   size:8.63,Price: ,2.56,Fortaleza (Col), 8220184   size:4.21,Price: ,2.66,The Draw, 58805   size:2.87,Price: ,2.96,ok
1.121047446, Sport: ,Soccer, Time: ,Sun Oct 04 22:30:00 CEST 2015, Time: ,Sun Oct 04 22:30:00 CEST 2015, Event: ,Deportivo Pereira v Barranquilla, Favorite: ,Deportivo Pereira, 5284708   size:31.43,Price: ,1.42,Barranquilla, 5343353   size:2.0,Price: ,8.8,The Draw, 58805   size:2.55,Price: ,4.9,ok
1.121067990, Sport: ,Tennis, Time: ,Mon Oct 05 06:30:00 CEST 2015, Time: ,Mon Oct 05 06:30:00 CEST 2015, Event: ,Van Uytvanck v Vinci, Favorite: ,Roberta Vinci, 2249840   size:109.61,Price: ,1.3,Alison Van Uytvanck, 5548385   size:20.62,Price: ,4.1,ok
1.120979549, Sport: ,Soccer, Time: ,Sun Oct 04 21:15:00 CEST 2015, Time: ,Sun Oct 04 21:15:00 CEST 2015, Event: ,Godoy Cruz v CA Temperley, Favorite: ,Godoy Cruz, 1551296   size:45.37,Price: ,2.0,CA Temperley, 8742769   size:33.68,Price: ,4.8,The Draw, 58805   size:38.94,Price: ,3.25,ok
1.121048332, Sport: ,Soccer, Time: ,Sun Oct 04 22:00:00 CEST 2015, Time: ,Sun Oct 04 22:00:00 CEST 2015, Event: ,Magallanes v Barnechea, Favorite: ,Magallanes, 5678438   size:6.73,Price: ,2.18,Barnechea, 8692144   size:5.94,Price: ,3.2,The Draw, 58805   size:5.34,Price: ,3.6,ok
1.120979357, Sport: ,Soccer, Time: ,Sun Oct 04 23:30:00 CEST 2015, Time: ,Sun Oct 04 23:30:00 CEST 2015, Event: ,Boca Juniors v Crucero del Norte, Favorite: ,Boca Juniors, 17304   size:774.81,Price: ,1.18,Crucero del Norte, 6471163   size:2.7,Price: ,26.0,The Draw, 58805   size:100.01,Price: ,8.4,ok
1.121048000, Sport: ,Soccer, Time: ,Sun Oct 04 21:00:00 CEST 2015, Time: ,Sun Oct 04 21:00:00 CEST 2015, Event: ,Iberia v Coquimbo Unido, Favorite: ,Iberia, 9935277   size:11.88,Price: ,2.26,Coquimbo Unido, 5800422   size:6.16,Price: ,3.35,The Draw, 58805   size:9.46,Price: ,3.35,ok
1.121048110, Sport: ,Soccer, Time: ,Sun Oct 04 23:00:00 CEST 2015, Time: ,Sun Oct 04 23:00:00 CEST 2015, Event: ,Juventud Independiente v Santa Tecla, Favorite: ,Juventud Independiente, 8517476   size:4.03,Price: ,2.56,Santa Tecla, 10152861   size:4.07,Price: ,2.56,The Draw, 58805   size:2.55,Price: ,3.2,x
1.121047170, Sport: ,Soccer, Time: ,Sun Oct 04 21:00:00 CEST 2015, Time: ,Sun Oct 04 21:00:00 CEST 2015, Event: ,Central SC Caruaru v Lajeadense, Favorite: ,Central SC Caruaru, 6132736   size:132.75,Price: ,2.04,Lajeadense, 6149522   size:5.4,Price: ,3.25,The Draw, 58805   size:4.78,Price: ,3.5,x
1.121051668, Sport: ,Soccer, Time: ,Sun Oct 04 21:00:00 CEST 2015, Time: ,Sun Oct 04 21:00:00 CEST 2015, Event: ,Concepcion FC Tucuman v CA Sarmiento, Favorite: ,Concepcion FC Tucuman, 10243685   size:5.0,Price: ,1.41,CA Sarmiento, 6246279   size:33.89,Price: ,2.44,The Draw, 58805   size:32.99,Price: ,2.5,ok
1.121047280, Sport: ,Soccer, Time: ,Mon Oct 05 00:00:00 CEST 2015, Time: ,Mon Oct 05 00:00:00 CEST 2015, Event: ,CS Cartagines v Limon, Favorite: ,CS Cartagines, 6624090   size:46.57,Price: ,1.65,Limon, 7050467   size:80.04,Price: ,6.0,The Draw, 58805   size:46.88,Price: ,4.1,ok
1.120916170, Sport: ,Soccer, Time: ,Sun Oct 04 20:45:00 CEST 2015, Time: ,Sun Oct 04 20:45:00 CEST 2015, Event: ,FC Midtjylland v AGF, Favorite: ,FC Midtjylland, 28206   size:755.77,Price: ,1.75,AGF, 28214   size:50.22,Price: ,5.6,The Draw, 58805   size:196.94,Price: ,3.9,ok
