1.120988134, Sport: ,Soccer, Time: ,Wed Oct 07 12:00:00 CEST 2015, Time: ,Wed Oct 07 12:00:00 CEST 2015, Event: ,Niigata v G-Osaka, Favorite: ,G-Osaka, 441083   size:101.46,Price: ,2.64,Niigata, 744094   size:57.64,Price: ,2.72,The Draw, 58805   size:486.82,Price: ,3.75,x
1.121059644, Sport: ,Tennis, Time: ,Wed Oct 07 07:58:00 CEST 2015, Time: ,Wed Oct 07 07:58:00 CEST 2015, Event: ,Peya/Soares v Ram/Stepanek, Favorite: ,Peya/Soares, 6504095   size:105.72,Price: ,1.61,Ram/Stepanek, 10380715   size:3.26,Price: ,2.54,ok
1.121059503, Sport: ,Tennis, Time: ,Wed Oct 07 08:15:00 CEST 2015, Time: ,Wed Oct 07 08:15:00 CEST 2015, Event: ,Garcia-Lopez v Karlovic, Favorite: ,Ivo Karlovic, 2263570   size:261.99,Price: ,1.75,Guillermo Garcia-Lopez, 8260126   size:154.41,Price: ,2.3,ok
1.121098316, Sport: ,Tennis, Time: ,Wed Oct 07 08:30:00 CEST 2015, Time: ,Wed Oct 07 08:30:00 CEST 2015, Event: ,Petkovic v Errani, Favorite: ,Andrea Petkovic, 2404122   size:375.7,Price: ,1.81,Sara Errani, 2309567   size:257.44,Price: ,2.2,x
1.121107318, Sport: ,Tennis, Time: ,Wed Oct 07 09:15:00 CEST 2015, Time: ,Wed Oct 07 09:15:00 CEST 2015, Event: ,Huey/Kontinen v Begemann/Sitak, Favorite: ,Huey/Kontinen, 10300311   size:2.7,Price: ,1.03,Begemann/Sitak, 10299764   size:2.7,Price: ,1.03,ok
1.121077561, Sport: ,Tennis, Time: ,Wed Oct 07 07:30:00 CEST 2015, Time: ,Wed Oct 07 07:30:00 CEST 2015, Event: ,Querrey v Nishikori, Favorite: ,Kei Nishikori, 2483001   size:10719.47,Price: ,1.2,Sam Querrey, 2263560   size:129.87,Price: ,5.8,ok
1.121074270, Sport: ,Basketball, Time: ,Wed Oct 07 12:00:00 CEST 2015, Time: ,Wed Oct 07 12:00:00 CEST 2015, Event: ,Anyang KGC Pro v Seoul Thunders, Favorite: ,Seoul Thunders, 8000107   size:78.0,Price: ,1.64,Anyang KGC Pro, 10276570   size:5.2,Price: ,2.34,x
1.121059676, Sport: ,Tennis, Time: ,Wed Oct 07 09:30:00 CEST 2015, Time: ,Wed Oct 07 09:30:00 CEST 2015, Event: ,Goffin/Thiem v Marrero/Seppi, Favorite: ,Goffin/Thiem, 10138984   size:7.36,Price: ,1.62,Marrero/Seppi, 5797490   size:102.19,Price: ,2.24,ok
1.121059694, Sport: ,Tennis, Time: ,Wed Oct 07 11:30:00 CEST 2015, Time: ,Wed Oct 07 11:30:00 CEST 2015, Event: ,Hingis/Mirza v Errani/Pennetta, Favorite: ,Hingis/Mirza, 2087731   size:2.55,Price: ,1.25,Errani/Pennetta, 3987252   size:2.55,Price: ,3.45,ok
1.121077424, Sport: ,Tennis, Time: ,Wed Oct 07 07:59:00 CEST 2015, Time: ,Wed Oct 07 07:59:00 CEST 2015, Event: ,Arruabarrena/Klepac v Dellacqua/Shvedova, Favorite: ,Dellacqua/Shvedova, 9451227   size:16.01,Price: ,1.31,Arruabarrena/Klepac, 10108710   size:9.32,Price: ,3.85,ok
1.121059498, Sport: ,Tennis, Time: ,Wed Oct 07 08:30:00 CEST 2015, Time: ,Wed Oct 07 08:30:00 CEST 2015, Event: ,P Cuevas v Berdych, Favorite: ,Tomas Berdych, 2256470   size:10557.1,Price: ,1.12,Pablo Cuevas, 2424953   size:59.88,Price: ,8.8,x
1.121092324, Sport: ,Tennis, Time: ,Wed Oct 07 09:15:00 CEST 2015, Time: ,Wed Oct 07 09:15:00 CEST 2015, Event: ,S Wawrinka v T Ito, Favorite: ,Stan Wawrinka, 8597476   size:1286.07,Price: ,1.13,Tatsuma Ito, 3374118   size:93.57,Price: ,8.2,ok
1.121059630, Sport: ,Tennis, Time: ,Wed Oct 07 11:00:00 CEST 2015, Time: ,Wed Oct 07 11:00:00 CEST 2015, Event: ,Bryan/Bryan v Cabal/Farah, Favorite: ,Bryan/Bryan, 1502771   size:2.55,Price: ,1.23,Cabal/Farah, 6098095   size:57.06,Price: ,3.75,x
1.121079941, Sport: ,Tennis, Time: ,Wed Oct 07 08:30:00 CEST 2015, Time: ,Wed Oct 07 08:30:00 CEST 2015, Event: ,A Haider-Maurer v J Sock, Favorite: ,Jack Sock, 4596957   size:1418.09,Price: ,1.29,Andreas Haider-Maurer, 8260128   size:224.63,Price: ,4.3,ok
1.121091412, Sport: ,Soccer, Time: ,Wed Oct 07 11:00:00 CEST 2015, Time: ,Wed Oct 07 11:00:00 CEST 2015, Event: ,Roma U19 v NK Zrinjski Mostar U19, Favorite: ,Roma U19, 6771865   size:2.85,Price: ,1.29,NK Zrinjski Mostar U19, 10081246   size:5.0,Price: ,6.2,The Draw, 58805   size:2.85,Price: ,5.2,x
