1.120991624, Sport: ,Soccer, Time: ,Thu Oct 08 02:00:00 CEST 2015, Time: ,Thu Oct 08 02:00:00 CEST 2015, Event: ,Samoa U20 (W) v Vanuatu (W) U20, Favorite: ,Samoa U20 (W), 10365736   size:10.67,Price: ,1.1,Vanuatu (W) U20, 10363095   size:10.67,Price: ,1.1,The Draw, 58805   size:4.44,Price: ,1.29,x
1.121107167, Sport: ,Tennis, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Meister v D King, Favorite: ,Darian King, 8413749   size:25.23,Price: ,1.86,Nicolas Meister, 6534042   size:7.07,Price: ,2.08,x
1.121107045, Sport: ,Tennis, Time: ,Wed Oct 07 19:05:00 CEST 2015, Time: ,Wed Oct 07 19:05:00 CEST 2015, Event: ,Rola v M Reid, Favorite: ,Blaz Rola, 8174357   size:322.63,Price: ,1.26,Matt Reid, 4423896   size:38.15,Price: ,4.8,x
1.120843651, Sport: ,Ice Hockey, Time: ,Thu Oct 08 04:35:00 CEST 2015, Time: ,Thu Oct 08 04:35:00 CEST 2015, Event: ,San Jose @ Los Angeles, Favorite: ,Los Angeles, 2112286   size:319.0,Price: ,2.14,San Jose, 2110001   size:104.0,Price: ,3.25,Tie, 60104   size:313.0,Price: ,4.0,x
1.121077555, Sport: ,Volleyball, Time: ,Thu Oct 08 01:00:00 CEST 2015, Time: ,Thu Oct 08 01:00:00 CEST 2015, Event: ,Puerto Rico v Canada, Favorite: ,Canada, 1227208   size:2.55,Price: ,1.12,Puerto Rico, 2158342   size:2.69,Price: ,7.2,ok
1.120989891, Sport: ,Soccer, Time: ,Thu Oct 08 01:00:00 CEST 2015, Time: ,Thu Oct 08 01:00:00 CEST 2015, Event: ,Audax Italiano v Union Espanola, Favorite: ,Audax Italiano, 2295419   size:12.19,Price: ,2.5,Union Espanola, 1388376   size:270.08,Price: ,3.0,The Draw, 58805   size:120.69,Price: ,3.55,ok
1.121003090, Sport: ,Ice Hockey, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Oskarshamn v Pantern, Favorite: ,Oskarshamn, 247121   size:8.17,Price: ,1.01,Pantern, 9322154   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,ok
1.120843646, Sport: ,Ice Hockey, Time: ,Thu Oct 08 04:05:00 CEST 2015, Time: ,Thu Oct 08 04:05:00 CEST 2015, Event: ,Vancouver @ Calgary, Favorite: ,Calgary, 975675   size:105.0,Price: ,2.34,Vancouver, 2109691   size:5.0,Price: ,2.92,Tie, 60104   size:453.99,Price: ,3.85,x
1.121077265, Sport: ,Volleyball, Time: ,Thu Oct 08 03:00:00 CEST 2015, Time: ,Thu Oct 08 03:00:00 CEST 2015, Event: ,Mexico v Cuba, Favorite: ,Cuba, 2010180   size:1000.0,Price: ,1.02,Mexico, 2158195   size:6.08,Price: ,1.73,ok
1.121077264, Sport: ,Volleyball, Time: ,Wed Oct 07 21:00:00 CEST 2015, Time: ,Wed Oct 07 21:00:00 CEST 2015, Event: ,Costa Rica v Trinidad and Tobago, Favorite: ,Costa Rica, 2158194   size:252.08,Price: ,1.8,Trinidad and Tobago, 4138736   size:2.55,Price: ,2.14,ok
1.120843640, Sport: ,Ice Hockey, Time: ,Thu Oct 08 02:05:00 CEST 2015, Time: ,Thu Oct 08 02:05:00 CEST 2015, Event: ,NY Rangers @ Chicago, Favorite: ,Chicago, 2109831   size:112.55,Price: ,2.3,NY Rangers, 60103   size:115.0,Price: ,2.96,Tie, 60104   size:344.99,Price: ,4.0,x
1.121008235, Sport: ,Handball, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Rhein Neckar Lowen v Kiel, Favorite: ,Rhein Neckar Lowen, 2507296   size:2.72,Price: ,1.01,Kiel, 2027628   size:2.72,Price: ,1.01,Draw, 330157   size:2.72,Price: ,1.01,ok
1.121062995, Sport: ,Basketball, Time: ,Thu Oct 08 02:00:00 CEST 2015, Time: ,Thu Oct 08 02:00:00 CEST 2015, Event: ,Dallas @ Houston, Favorite: ,Houston, 13123   size:5.78,Price: ,1.15,Dallas, 13122   size:5.78,Price: ,1.26,ok
1.121087411, Sport: ,Soccer, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,UE Rubi v Llagostera, Favorite: ,Llagostera, 5759756   size:11.71,Price: ,1.94,UE Rubi, 6929307   size:4.17,Price: ,4.2,The Draw, 58805   size:3.66,Price: ,3.75,x
1.121062905, Sport: ,Basketball, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Bayreuth v Braunschweig, Favorite: ,Bayreuth, 5002542   size:3.32,Price: ,1.74,Braunschweig, 1280524   size:108.4,Price: ,2.16,x
1.121107145, Sport: ,Tennis, Time: ,Wed Oct 07 22:45:00 CEST 2015, Time: ,Wed Oct 07 22:45:00 CEST 2015, Event: ,Barrientos/Struvay v Martinez/Walsh, Favorite: ,Barrientos/Struvay, 8226198   size:4.5,Price: ,1.05,Martinez/Walsh, 10344127   size:4.34,Price: ,2.7,ok
1.121008236, Sport: ,Handball, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Leipzig v Flensburg Handewitt, Favorite: ,Leipzig, 3379969   size:2.72,Price: ,1.01,Flensburg Handewitt, 4506561   size:2.72,Price: ,1.01,Draw, 330157   size:2.72,Price: ,1.01,x
1.121092254, Sport: ,Tennis, Time: ,Thu Oct 08 00:00:00 CEST 2015, Time: ,Thu Oct 08 00:00:00 CEST 2015, Event: ,Vickery v Cako, Favorite: ,Sachia Vickery, 6596286   size:1064.06,Price: ,1.14,Jacqueline Cako, 8801039   size:13.14,Price: ,5.5,ok
1.121092256, Sport: ,Tennis, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Gibbs v Rus, Favorite: ,Nicole Gibbs, 4946628   size:2.1,Price: ,1.21,Arantxa Rus, 2451050   size:65.32,Price: ,4.3,ok
1.121092255, Sport: ,Tennis, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Halbauer v Fichman, Favorite: ,Sharon Fichman, 3218660   size:8.29,Price: ,1.32,Ellie Halbauer, 8427199   size:49.54,Price: ,3.75,ok
1.121002938, Sport: ,Ice Hockey, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Tingsryd v Karlskoga, Favorite: ,Tingsryd, 5877522   size:8.17,Price: ,1.01,Karlskoga, 6267380   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,ok
1.121092258, Sport: ,Tennis, Time: ,Wed Oct 07 22:30:00 CEST 2015, Time: ,Wed Oct 07 22:30:00 CEST 2015, Event: ,Peer v Jaksic, Favorite: ,Shahar Peer, 2248472   size:9.33,Price: ,1.51,Jovana Jaksic, 7168389   size:8.69,Price: ,2.64,x
1.121092257, Sport: ,Tennis, Time: ,Wed Oct 07 21:00:00 CEST 2015, Time: ,Wed Oct 07 21:00:00 CEST 2015, Event: ,Goncalves v Oudin, Favorite: ,Melanie Oudin, 2895433   size:122.8,Price: ,1.55,Paula Cristina Goncalves, 7083750   size:8.43,Price: ,2.64,ok
1.121106966, Sport: ,Tennis, Time: ,Thu Oct 08 01:30:00 CEST 2015, Time: ,Thu Oct 08 01:30:00 CEST 2015, Event: ,Ahn v Sofia Sanchez, Favorite: ,Kristie Ahn, 7445679   size:6.31,Price: ,1.33,Ana Sofia Sanchez, 7082838   size:10.36,Price: ,3.45,ok
