1.121092556, Sport: ,Tennis, Time: ,Thu Oct 08 06:32:00 CEST 2015, Time: ,Thu Oct 08 06:32:00 CEST 2015, Event: ,Mattek-Sands v Vinci, Favorite: ,Bethanie Mattek-Sands, 8028692   size:795.52,Price: ,1.5,Roberta Vinci, 2249840   size:257.95,Price: ,2.64,ok
1.121107409, Sport: ,Tennis, Time: ,Thu Oct 08 06:37:00 CEST 2015, Time: ,Thu Oct 08 06:37:00 CEST 2015, Event: ,Hlavackova/Hradecka v Dellacqua/Shvedova, Favorite: ,Hlavackova/Hradecka, 4470757   size:276.24,Price: ,1.39,Dellacqua/Shvedova, 9451227   size:74.78,Price: ,1.66,x
1.121107393, Sport: ,Tennis, Time: ,Thu Oct 08 06:38:00 CEST 2015, Time: ,Thu Oct 08 06:38:00 CEST 2015, Event: ,Ma Cilic v St Johnson, Favorite: ,Marin Cilic, 2263681   size:75.62,Price: ,1.16,Steve Johnson, 4876706   size:193.79,Price: ,5.7,ok
1.121086462, Sport: ,Soccer, Time: ,Thu Oct 08 09:00:00 CEST 2015, Time: ,Thu Oct 08 09:00:00 CEST 2015, Event: ,Timor Leste v Palestine, Favorite: ,Palestine, 920036   size:50.22,Price: ,1.66,Timor Leste, 5063533   size:3.03,Price: ,6.2,The Draw, 58805   size:9.,x
1.121111533, Sport: ,Tennis, Time: ,Thu Oct 08 07:30:00 CEST 2015, Time: ,Thu Oct 08 07:30:00 CEST 2015, Event: ,Hingis/Mirza v Goerges/Pliskova, Favorite: ,Hingis/Mirza, 2087731   size:100.0,Price: ,1.19,Goerges/Pliskova, 10337869   size:11.02,Price: ,5.9,ok
1.121107452, Sport: ,Tennis, Time: ,Thu Oct 08 08:30:00 CEST 2015, Time: ,Thu Oct 08 08:30:00 CEST 2015, Event: ,Peya/Soares v Johnson/Querrey, Favorite: ,Peya/Soares, 6504095   size:22.02,Price: ,1.81,Johnson/Querrey, 6542105   size:99.99,Price: ,2.14,x
1.121107498, Sport: ,Tennis, Time: ,Thu Oct 08 06:34:00 CEST 2015, Time: ,Thu Oct 08 06:34:00 CEST 2015, Event: ,Karlovic v P Cuevas, Favorite: ,Ivo Karlovic, 2263570   size:1155.62,Price: ,1.6,Pablo Cuevas, 2424953   size:12.95,Price: ,2.44,x
1.121093021, Sport: ,Tennis, Time: ,Thu Oct 08 07:30:00 CEST 2015, Time: ,Thu Oct 08 07:30:00 CEST 2015, Event: ,Kyrgios v Bautista Agut, Favorite: ,Roberto Bautista Agut, 4290403   size:396.96,Price: ,1.83,Nick Kyrgios, 7299658   size:231.54,Price: ,2.16,x
1.121077428, Sport: ,Tennis, Time: ,Thu Oct 08 08:30:00 CEST 2015, Time: ,Thu Oct 08 08:30:00 CEST 2015, Event: ,Goffin v Fognini, Favorite: ,David Goffin, 5224084   size:724.52,Price: ,1.44,Fabio Fognini, 2319544   size:1595.06,Price: ,3.25,x
1.121109509, Sport: ,Tennis, Time: ,Thu Oct 08 08:30:00 CEST 2015, Time: ,Thu Oct 08 08:30:00 CEST 2015, Event: ,Rojer/Tecau v Cuevas/Troicki, Favorite: ,Rojer/Tecau, 8176467   size:2.55,Price: ,1.27,Cuevas/Troicki, 10380733   size:3.52,Price: ,4.2,ok
1.121107847, Sport: ,Tennis, Time: ,Thu Oct 08 06:46:00 CEST 2015, Time: ,Thu Oct 08 06:46:00 CEST 2015, Event: ,Huey/Kontinen v Klaasen/Melo, Favorite: ,Huey/Kontinen, 10300311   size:40.23,Price: ,1.3,Klaasen/Melo, 10380710   size:11.04,Price: ,3.55,x
1.121092381, Sport: ,Tennis, Time: ,Thu Oct 08 09:00:00 CEST 2015, Time: ,Thu Oct 08 09:00:00 CEST 2015, Event: ,Chan/Chan v Mattek-Sands/Vesnina, Favorite: ,Chan/Chan, 2035578   size:13.8,Price: ,1.71,Mattek-Sands/Vesnina, 10383335   size:84.93,Price: ,2.32,ok
