1.120993320, Sport: ,Soccer, Time: ,Thu Oct 08 14:00:00 CEST 2015, Time: ,Thu Oct 08 14:00:00 CEST 2015, Event: ,Singapore v Afghanistan, Favorite: ,Singapore, 763174   size:60.43,Price: ,1.58,Afghanistan, 4357678   size:138.91,Price: ,7.4,The Draw, 58805   size:54.92,Price: ,4.1,ok
1.121104454, Sport: ,Soccer, Time: ,Thu Oct 08 15:30:00 CEST 2015, Time: ,Thu Oct 08 15:30:00 CEST 2015, Event: ,Greece U19 v Russia U19, Favorite: ,Greece U19, 1198449   size:5.75,Price: ,1.13,Russia U19, 1211053   size:5.75,Price: ,1.13,The Draw, 58805   size:10.62,Price: ,1.29,ok
1.121117254, Sport: ,Soccer, Time: ,Thu Oct 08 13:30:00 CEST 2015, Time: ,Thu Oct 08 13:30:00 CEST 2015, Event: ,Balestier Khalsa (Res) v NFA Reds U18, Favorite: ,Balestier Khalsa (Res), 5390686   size:65.12,Price: ,1.71,NFA Reds U18, 8390085   size:50.2,Price: ,1.78,The Draw, 58805   size:9.49,Price: ,3.0,ok
1.121101667, Sport: ,Tennis, Time: ,Thu Oct 08 13:37:00 CEST 2015, Time: ,Thu Oct 08 13:37:00 CEST 2015, Event: ,A Ivanovic v S Kuznetsova, Favorite: ,Ana Ivanovic, 2249841   size:22709.03,Price: ,1.33,Svetlana Kuznetsova, 2256501   size:600.26,Price: ,3.9,ok
1.121105262, Sport: ,Soccer, Time: ,Thu Oct 08 15:00:00 CEST 2015, Time: ,Thu Oct 08 15:00:00 CEST 2015, Event: ,Al Aqaba v Blama, Favorite: ,Al Aqaba, 10255128   size:2.55,Price: ,1.67,Blama, 6750873   size:2.21,Price: ,2.8,The Draw, 58805   size:3.81,Price: ,2.64,ok
1.121044297, Sport: ,Soccer, Time: ,Thu Oct 08 15:30:00 CEST 2015, Time: ,Thu Oct 08 15:30:00 CEST 2015, Event: ,Hamburg v Viborg, Favorite: ,Hamburg, 204703   size:3.12,Price: ,1.6,Viborg, 10780   size:12.58,Price: ,5.3,The Draw, 58805   size:8.89,Price: ,4.0,ok
1.120991737, Sport: ,Soccer, Time: ,Thu Oct 08 15:30:00 CEST 2015, Time: ,Thu Oct 08 15:30:00 CEST 2015, Event: ,Medyk Konin (W) v Lyon (W), Favorite: ,Lyon (W), 3775957   size:21.35,Price: ,1.04,Medyk Konin (W), 8900345   size:4.02,Price: ,80.0,The Draw, 58805   size:2.71,Price: ,14.5,ok
1.121120313, Sport: ,Tennis, Time: ,Thu Oct 08 14:30:00 CEST 2015, Time: ,Thu Oct 08 14:30:00 CEST 2015, Event: ,Daniell/Demoliner v Cermak/Siljestrom, Favorite: ,Daniell/Demoliner, 9398763   size:2.55,Price: ,1.61,Cermak/Siljestrom, 8876140   size:2.62,Price: ,1.89,x
1.121105537, Sport: ,Soccer, Time: ,Thu Oct 08 14:00:00 CEST 2015, Time: ,Thu Oct 08 14:00:00 CEST 2015, Event: ,FK Druzhba v FK Biolog Novokubansk, Favorite: ,FK Druzhba, 9959166   size:6.07,Price: ,2.56,FK Biolog Novokubansk, 8716086   size:5.8,Price: ,2.66,The Draw, 58805   size:3.35,Price: ,3.5,ok
1.121114634, Sport: ,Tennis, Time: ,Thu Oct 08 13:45:00 CEST 2015, Time: ,Thu Oct 08 13:45:00 CEST 2015, Event: ,Cecchinato v Majchrzak, Favorite: ,Marco Cecchinato, 6374165   size:367.43,Price: ,1.25,Kamil Majchrzak, 8698678   size:2.71,Price: ,4.6,x
1.120987713, Sport: ,Ice Hockey, Time: ,Thu Oct 08 15:30:00 CEST 2015, Time: ,Thu Oct 08 15:30:00 CEST 2015, Event: ,Barys v Metallurg Nk, Favorite: ,Barys, 3328562   size:68.69,Price: ,1.67,Metallurg Nk, 3599244   size:170.05,Price: ,4.4,Tie, 60104   size:52.0,Price: ,5.0,ok
1.120991126, Sport: ,Soccer, Time: ,Thu Oct 08 15:00:00 CEST 2015, Time: ,Thu Oct 08 15:00:00 CEST 2015, Event: ,Syria v Japan, Favorite: ,Japan, 29636   size:108.5,Price: ,1.37,Syria, 920033   size:13.82,Price: ,11.0,The Draw, 58805   size:38.99,Price: ,5.1,ok
1.120467546, Sport: ,Cricket, Time: ,Thu Oct 08 15:30:00 CEST 2015, Time: ,Thu Oct 08 15:30:00 CEST 2015, Event: ,India v South Africa (3rd T20), Favorite: ,India, 414464   size:87.48,Price: ,1.78,South Africa, 349   size:733.92,Price: ,2.26,x
1.121105482, Sport: ,Soccer, Time: ,Thu Oct 08 14:00:00 CEST 2015, Time: ,Thu Oct 08 14:00:00 CEST 2015, Event: ,FC Volga NN II v FK Nosta Novotroitsk, Favorite: ,FC Volga NN II, 10019067   size:19.1,Price: ,1.29,FK Nosta Novotroitsk, 6546200   size:2.35,Price: ,6.2,The Draw, 58805   size:2.0,Price: ,5.7,x
1.121105042, Sport: ,Soccer, Time: ,Thu Oct 08 15:00:00 CEST 2015, Time: ,Thu Oct 08 15:00:00 CEST 2015, Event: ,SS Lazio U19 v FC Brasov U19, Favorite: ,SS Lazio U19, 6839228   size:10.62,Price: ,1.1,FC Brasov U19, 10386433   size:5.85,Price: ,1.21,The Draw, 58805   size:10.62,Price: ,1.29,ok
1.121002411, Sport: ,Soccer, Time: ,Thu Oct 08 14:30:00 CEST 2015, Time: ,Thu Oct 08 14:30:00 CEST 2015, Event: ,Serbia U19 v Estonia U19, Favorite: ,Serbia U19, 2122602   size:200.0,Price: ,1.44,Estonia U19, 2099677   size:6.24,Price: ,9.8,The Draw, 58805   size:3.17,Price: ,4.7,ok
1.120992296, Sport: ,Soccer, Time: ,Thu Oct 08 15:00:00 CEST 2015, Time: ,Thu Oct 08 15:00:00 CEST 2015, Event: ,Italy U19 v Finland U19, Favorite: ,Italy U19, 459516   size:6.87,Price: ,1.47,Finland U19, 820887   size:5.69,Price: ,8.4,The Draw, 58805   size:49.17,Price: ,4.6,x
1.120990742, Sport: ,Soccer, Time: ,Thu Oct 08 14:00:00 CEST 2015, Time: ,Thu Oct 08 14:00:00 CEST 2015, Event: ,Bhutan v Maldives, Favorite: ,Maldives, 763173   size:163.98,Price: ,1.16,Bhutan, 4344175   size:6.81,Price: ,23.0,The Draw, 58805   size:58.02,Price: ,9.6,ok
1.120993214, Sport: ,Soccer, Time: ,Thu Oct 08 14:00:00 CEST 2015, Time: ,Thu Oct 08 14:00:00 CEST 2015, Event: ,Myanmar v Lebanon, Favorite: ,Lebanon, 720025   size:31.55,Price: ,1.38,Myanmar, 3531810   size:3.46,Price: ,11.5,The Draw, 58805   size:116.37,Price: ,5.0,ok
1.120991078, Sport: ,Soccer, Time: ,Thu Oct 08 14:00:00 CEST 2015, Time: ,Thu Oct 08 14:00:00 CEST 2015, Event: ,Vietnam v Iraq, Favorite: ,Iraq, 53446   size:308.24,Price: ,1.48,Vietnam, 833281   size:44.23,Price: ,8.2,The Draw, 58805   size:267.57,Price: ,4.7,x
1.120987698, Sport: ,Ice Hockey, Time: ,Thu Oct 08 15:00:00 CEST 2015, Time: ,Thu Oct 08 15:00:00 CEST 2015, Event: ,Avangard v Sibir, Favorite: ,Avangard, 2558172   size:55.85,Price: ,1.83,Sibir, 2285014   size:63.0,Price: ,3.9,Tie, 60104   size:116.11,Price: ,4.4,x
