1.121109908, Sport: ,Ice Hockey, Time: ,Fri Oct 09 17:30:00 CEST 2015, Time: ,Fri Oct 09 17:30:00 CEST 2015, Event: ,HPK v Lukko, Favorite: ,HPK, 66424   size:10.51,Price: ,1.01,Lukko, 66603   size:10.51,Price: ,1.01,Tie, 60104   size:10.51,Price: ,1.01,x
1.120994732, Sport: ,Ice Hockey, Time: ,Fri Oct 09 19:00:00 CEST 2015, Time: ,Fri Oct 09 19:00:00 CEST 2015, Event: ,Herlev v Frederikshavn, Favorite: ,Frederikshavn, 70626   size:654.93,Price: ,1.5,Herlev, 227439   size:4.35,Price: ,5.0,Tie, 60104   size:89.65,Price: ,4.7,ok
1.121018614, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Spain v Luxembourg, Favorite: ,Spain, 22   size:227647.94,Price: ,1.02,Luxembourg, 25911   size:27.0,Price: ,150.0,The Draw, 58805   size:22.0,Price: ,46.0,ok
1.121016799, Sport: ,Soccer, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Montenegro v Austria, Favorite: ,Austria, 61463   size:943.54,Price: ,2.36,Montenegro, 2345367   size:697.79,Price: ,3.45,The Draw, 58805   size:7898.07,Price: ,3.4,ok
1.121107842, Sport: ,Ice Hockey, Time: ,Fri Oct 09 19:00:00 CEST 2015, Time: ,Fri Oct 09 19:00:00 CEST 2015, Event: ,Vaxjo Lakers v Djurgardens, Favorite: ,Vaxjo Lakers, 539706   size:94.0,Price: ,1.81,Djurgardens, 988206   size:101.0,Price: ,3.65,Tie, 60104   size:102.81,Price: ,4.5,x
1.121003083, Sport: ,Ice Hockey, Time: ,Fri Oct 09 19:45:00 CEST 2015, Time: ,Fri Oct 09 19:45:00 CEST 2015, Event: ,ZSC Lions v Davos, Favorite: ,ZSC Lions, 243260   size:2.99,Price: ,2.06,Davos, 243249   size:7.29,Price: ,2.98,Tie, 60104   size:116.16,Price: ,3.9,ok
1.121114383, Sport: ,Ice Hockey, Time: ,Sat Oct 10 01:35:00 CEST 2015, Time: ,Sat Oct 10 01:35:00 CEST 2015, Event: ,Chicago @ NY Islanders, Favorite: ,NY Islanders, 60105   size:462.0,Price: ,2.56,Chicago, 2109831   size:2.36,Price: ,2.6,Tie, 60104   size:329.0,Price: ,3.95,x
1.120994738, Sport: ,Ice Hockey, Time: ,Fri Oct 09 19:30:00 CEST 2015, Time: ,Fri Oct 09 19:30:00 CEST 2015, Event: ,Sonderjyske v Rodovre, Favorite: ,SonderjyskE, 2719119   size:15.0,Price: ,1.46,Rodovre, 70628   size:89.66,Price: ,4.8,Tie, 60104   size:89.66,Price: ,4.8,x
1.121157266, Sport: ,Tennis, Time: ,Fri Oct 09 20:45:00 CEST 2015, Time: ,Fri Oct 09 20:45:00 CEST 2015, Event: ,Podlipnik-Cast/Zampieri v Pereira/Tsuchiya, Favorite: ,Podlipnik-Cast/Zampieri, 10343942   size:3.29,Price: ,1.52,Pereira/Tsuchiya, 8478506   size:2.21,Price: ,2.26,ok
1.121020130, Sport: ,Handball, Time: ,Fri Oct 09 20:30:00 CEST 2015, Time: ,Fri Oct 09 20:30:00 CEST 2015, Event: ,Guadalajara v Helvetia Anaitasuna, Favorite: ,Guadalajara, 4995923   size:2.92,Price: ,2.1,Helvetia Anaitasuna, 5798699   size:2.81,Price: ,2.18,Draw, 330157   size:51.78,Price: ,7.6,ok
1.121157431, Sport: ,Tennis, Time: ,Fri Oct 09 22:00:00 CEST 2015, Time: ,Fri Oct 09 22:00:00 CEST 2015, Event: ,Kavcic/Zemlja v Fritz/Opelka, Favorite: ,Kavcic/Zemlja, 7025002   size:2.54,Price: ,1.53,Fritz/Opelka, 10221689   size:2.98,Price: ,2.06,ok
