1.121101983, Sport: ,Soccer, Time: ,Sun Oct 11 01:40:00 CEST 2015, Time: ,Sun Oct 11 01:40:00 CEST 2015, Event: ,Union Mar del Plata v Ferro Carril Oeste, Favorite: ,Ferro Carril Oeste, 5985279   size:10.0,Price: ,2.5,Union Mar del Plata, 9229723   size:9.27,Price: ,3.45,The Draw, 58805   size:5.41,Price: ,3.0,x
1.121147626, Sport: ,Soccer, Time: ,Sat Oct 10 20:00:00 CEST 2015, Time: ,Sat Oct 10 20:00:00 CEST 2015, Event: ,Ituano v Sao Bernardo, Favorite: ,Ituano, 1040280   size:3.52,Price: ,1.07,Sao Bernardo, 5231799   size:3.52,Price: ,1.07,The Draw, 58805   size:3.95,Price: ,1.25,ok
1.121146417, Sport: ,Soccer, Time: ,Sat Oct 10 10:00:00 CEST 2015, Time: ,Sat Oct 10 10:00:00 CEST 2015, Event: ,Montana v Spartak Pleven, Favorite: ,Montana, 3475110   size:15.0,Price: ,1.02,Spartak Pleven, 5990373   size:136.46,Price: ,1.44,The Draw, 58805   size:36.47,Price: ,1.02,ok
1.121070919, Sport: ,Soccer, Time: ,Sat Oct 10 17:00:00 CEST 2015, Time: ,Sat Oct 10 17:00:00 CEST 2015, Event: ,Miedz Legnica v GKS Belchatow, Favorite: ,Miedz Legnica, 4935893   size:29.87,Price: ,1.97,GKS Belchatow, 1209554   size:97.25,Price: ,4.4,The Draw, 58805   size:5.27,Price: ,3.45,x
1.121101745, Sport: ,Basketball, Time: ,Sat Oct 10 21:30:00 CEST 2015, Time: ,Sat Oct 10 21:30:00 CEST 2015, Event: ,Giessen v Brose Baskets, Favorite: ,Brose Baskets, 2158509   size:4.11,Price: ,1.06,Giessen, 2114278   size:2.55,Price: ,1.27,x
1.121152096, Sport: ,Soccer, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,Germany U20 v Netherlands U20, Favorite: ,Netherlands U20, 2426205   size:18.0,Price: ,1.03,Germany U20, 315748   size:18.0,Price: ,1.11,The Draw, 58805   size:18.0,Price: ,1.26,x
1.119566738, Sport: ,Rugby Union, Time: ,Sat Oct 10 17:45:00 CEST 2015, Time: ,Sat Oct 10 17:45:00 CEST 2015, Event: ,Australia v Wales, Favorite: ,Australia, 13099   size:237.14,Price: ,1.38,Wales, 14118   size:571.93,Price: ,3.95,Draw, 246289   size:6.73,Price: ,36.0,ok
1.121134314, Sport: ,Handball, Time: ,Sat Oct 10 20:45:00 CEST 2015, Time: ,Sat Oct 10 20:45:00 CEST 2015, Event: ,Orlen Wisla Plock v Kiel, Favorite: ,Draw, 330157   size:18.0,Price: ,1.02,Orlen Wisla Plock, 5831177   size:4.25,Price: ,2.18,Kiel, 2027628   size:4.59,Price: ,2.1,x
1.120682731, Sport: ,Cricket, Time: ,Sat Oct 10 14:00:00 CEST 2015, Time: ,Sat Oct 10 14:00:00 CEST 2015, Event: ,Lions v Cape Cobras, Favorite: ,Cape Cobras, 3809606   size:2.71,Price: ,1.68,Lions, 4294272   size:2.65,Price: ,2.36,x
1.121146640, Sport: ,Soccer, Time: ,Sat Oct 10 15:00:00 CEST 2015, Time: ,Sat Oct 10 15:00:00 CEST 2015, Event: ,Dunav Ruse v Cherno More, Favorite: ,Dunav Ruse, 7739574   size:3.52,Price: ,1.07,Cherno More, 427650   size:3.52,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,x
1.121068607, Sport: ,Rugby League, Time: ,Sat Oct 10 19:00:00 CEST 2015, Time: ,Sat Oct 10 19:00:00 CEST 2015, Event: ,Leeds v Wigan, Favorite: ,Wigan, 23756   size:480.19,Price: ,1.93,Leeds, 39514   size:254.23,Price: ,2.26,Draw, 11126   size:11.03,Price: ,22.0,x
1.121147736, Sport: ,Soccer, Time: ,Sat Oct 10 23:00:00 CEST 2015, Time: ,Sat Oct 10 23:00:00 CEST 2015, Event: ,Municipal La Pintana v Deportes Valdivia, Favorite: ,Municipal La Pintana, 5663030   size:3.52,Price: ,1.07,Deportes Valdivia, 7118816   size:3.52,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,ok
1.121155352, Sport: ,Basketball, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,Hradec v Svitavy, Favorite: ,Hradec, 7758594   size:8.21,Price: ,1.03,Svitavy, 7758631   size:8.21,Price: ,1.03,x
1.121155472, Sport: ,Basketball, Time: ,Sat Oct 10 17:45:00 CEST 2015, Time: ,Sat Oct 10 17:45:00 CEST 2015, Event: ,Kolin v Decin, Favorite: ,Decin, 7758593   size:9.02,Price: ,1.79,Kolin, 7758592   size:4.45,Price: ,2.08,x
1.119566734, Sport: ,Rugby Union, Time: ,Sat Oct 10 15:30:00 CEST 2015, Time: ,Sat Oct 10 15:30:00 CEST 2015, Event: ,Samoa v Scotland, Favorite: ,Scotland, 13096   size:34370.06,Price: ,1.2,Samoa, 14119   size:143.33,Price: ,7.2,Draw, 246289   size:90.19,Price: ,30.0,ok
1.121010739, Sport: ,Soccer, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,Whitley Bay v Chorley, Favorite: ,Chorley, 4231709   size:2.55,Price: ,1.42,Whitley Bay, 2119360   size:7.39,Price: ,6.0,The Draw, 58805   size:2.55,Price: ,5.0,ok
1.121009991, Sport: ,Soccer, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,Enfield Town v Hitchin Town, Favorite: ,Enfield Town, 7133935   size:4.26,Price: ,2.32,Hitchin Town, 4317865   size:4.26,Price: ,2.52,The Draw, 58805   size:4.26,Price: ,3.55,x
1.121042550, Sport: ,Soccer, Time: ,Sun Oct 11 02:45:00 CEST 2015, Time: ,Sun Oct 11 02:45:00 CEST 2015, Event: ,Envigado v Junior, Favorite: ,Envigado, 5180320   size:8.0,Price: ,1.7,Junior, 363629   size:8.0,Price: ,2.26,The Draw, 58805   size:16.0,Price: ,2.24,x
1.121115928, Sport: ,Basketball, Time: ,Sat Oct 10 15:00:00 CEST 2015, Time: ,Sat Oct 10 15:00:00 CEST 2015, Event: ,Svendborg v BK Stevnsgade, Favorite: ,BK Stevnsgade, 10379235   size:2.73,Price: ,1.09,Svendborg, 6719075   size:2.46,Price: ,1.1,x
1.121148619, Sport: ,Soccer, Time: ,Sat Oct 10 14:00:00 CEST 2015, Time: ,Sat Oct 10 14:00:00 CEST 2015, Event: ,FC Vysocina Jihlava U19 v FK Teplice U19, Favorite: ,FC Vysocina Jihlava U19, 6582670   size:3.52,Price: ,1.07,FK Teplice U19, 6395178   size:3.52,Price: ,1.07,The Draw, 58805   size:3.95,Price: ,1.25,ok
