1.120132878, Sport: ,Boxing, Time: ,Sat Oct 10 22:00:00 CEST 2015, Time: ,Sat Oct 10 22:00:00 CEST 2015, Event: ,Flanagan v Magdaleno, Favorite: ,Terry Flanagan, 8727757   size:59.77,Price: ,1.7,Diego Magdaleno, 10175599   size:24.77,Price: ,2.62,Draw, 31162   size:5.38,Price: ,23.0,ok
1.121101841, Sport: ,Basketball, Time: ,Sun Oct 11 05:00:00 CEST 2015, Time: ,Sun Oct 11 05:00:00 CEST 2015, Event: ,Portland @ Sacramento, Favorite: ,Sacramento, 13127   size:161.97,Price: ,1.52,Portland, 13129   size:2.36,Price: ,2.6,ok
1.121085450, Sport: ,Soccer, Time: ,Sun Oct 11 12:00:00 CEST 2015, Time: ,Sun Oct 11 12:00:00 CEST 2015, Event: ,Yenisey Krasnoyarsk v Torpedo Armavir, Favorite: ,Yenisey Krasnoyarsk, 5441577   size:15.0,Price: ,1.92,Torpedo Armavir, 4820027   size:6.59,Price: ,4.8,The Draw, 58805   size:97.45,Price: ,3.3,ok
1.121107827, Sport: ,Ice Hockey, Time: ,Sat Oct 10 19:45:00 CEST 2015, Time: ,Sat Oct 10 19:45:00 CEST 2015, Event: ,SCL Tigers v Fribourg Gotteron, Favorite: ,Fribourg Gotteron, 243252   size:69.58,Price: ,1.92,SCL Tigers, 243257   size:10.14,Price: ,3.25,Tie, 60104   size:7.97,Price: ,4.2,x
1.121103941, Sport: ,Soccer, Time: ,Sun Oct 11 12:30:00 CEST 2015, Time: ,Sun Oct 11 12:30:00 CEST 2015, Event: ,Real Jaen v Recreativo Huelva, Favorite: ,Real Jaen, 3303613   size:7.54,Price: ,2.14,Recreativo Huelva, 7449173   size:21.11,Price: ,4.1,The Draw, 58805   size:2.68,Price: ,3.1,ok
1.121107829, Sport: ,Ice Hockey, Time: ,Sat Oct 10 19:45:00 CEST 2015, Time: ,Sat Oct 10 19:45:00 CEST 2015, Event: ,Ambri Piotta v Kloten Flyers, Favorite: ,Kloten Flyers, 243255   size:14.8,Price: ,2.4,Ambri Piotta, 2584459   size:14.04,Price: ,2.54,Tie, 60104   size:6.46,Price: ,4.2,ok
1.121041757, Sport: ,Soccer, Time: ,Sun Oct 11 10:15:00 CEST 2015, Time: ,Sun Oct 11 10:15:00 CEST 2015, Event: ,Vysehrad v Usti nad Labem, Favorite: ,Usti Nad Labem, 3358865   size:2.55,Price: ,1.92,Vysehrad, 7589995   size:13.05,Price: ,4.0,The Draw, 58805   size:20.0,Price: ,3.6,ok
1.121039191, Sport: ,Soccer, Time: ,Sun Oct 11 07:00:00 CEST 2015, Time: ,Sun Oct 11 07:00:00 CEST 2015, Event: ,G-Osaka v Niigata, Favorite: ,G-Osaka, 441083   size:30.05,Price: ,2.02,Niigata, 744094   size:3.51,Price: ,3.75,The Draw, 58805   size:41.0,Price: ,3.85,ok
1.121114580, Sport: ,Ice Hockey, Time: ,Sun Oct 11 01:05:00 CEST 2015, Time: ,Sun Oct 11 01:05:00 CEST 2015, Event: ,New Jersey @ Washington, Favorite: ,Washington, 2109756   size:180.01,Price: ,1.77,New Jersey, 2112200   size:79.22,Price: ,4.3,Tie, 60104   size:28.96,Price: ,4.5,ok
1.121107824, Sport: ,Ice Hockey, Time: ,Sat Oct 10 19:45:00 CEST 2015, Time: ,Sat Oct 10 19:45:00 CEST 2015, Event: ,Lugano v ZSC Lions, Favorite: ,Lugano, 243259   size:2.5,Price: ,2.46,ZSC Lions, 243260   size:8.98,Price: ,2.5,Tie, 60104   size:22.32,Price: ,3.95,x
1.121107825, Sport: ,Ice Hockey, Time: ,Sat Oct 10 19:45:00 CEST 2015, Time: ,Sat Oct 10 19:45:00 CEST 2015, Event: ,Zug v Biel, Favorite: ,Zug, 257975   size:14.39,Price: ,1.59,Biel, 3315685   size:14.51,Price: ,4.1,Tie, 60104   size:2.69,Price: ,5.9,x
