1.120682734, Sport: ,Cricket, Time: ,Sun Oct 11 10:00:00 CEST 2015, Time: ,Sun Oct 11 10:00:00 CEST 2015, Event: ,Dolphins v Knights, Favorite: ,Dolphins, 4294273   size:2.65,Price: ,1.64,Knights, 5045297   size:2.61,Price: ,2.4
1.121187807, Sport: ,Tennis, Time: ,Sun Oct 11 11:00:00 CEST 2015, Time: ,Sun Oct 11 11:00:00 CEST 2015, Event: ,Panfil v Chakrouni, Favorite: ,Grzegorz Panfil, 7412916   size:9.81,Price: ,1.21,Ayoub Chakrouni, 7185193   size:13.47,Price: ,1.25
1.121134082, Sport: ,Basketball, Time: ,Sun Oct 11 12:00:00 CEST 2015, Time: ,Sun Oct 11 12:00:00 CEST 2015, Event: ,Brindisi v Bologna, Favorite: ,Brindisi, 6697864   size:5.72,Price: ,1.29,Bologna, 978665   size:4.91,Price: ,4.0
1.121158231, Sport: ,Basketball, Time: ,Sun Oct 11 14:00:00 CEST 2015, Time: ,Sun Oct 11 14:00:00 CEST 2015, Event: ,Vytautas Prienai–Bir v Pieno Zvaigzdes, Favorite: ,Vytautas Prienai–Bir, 10344134   size:8.21,Price: ,1.03,Pieno zvaigzdes, 6025292   size:8.21,Price: ,1.03
1.121157839, Sport: ,Basketball, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Usak Sportif v Yesilgiresun, Favorite: ,Usak Sportif, 7756133   size:76.75,Price: ,1.8,Yesilgiresun, 10398375   size:21.31,Price: ,2.08
1.121103438, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Ergotelis v Lamia, Favorite: ,Ergotelis, 531199   size:2.36,Price: ,1.86,Lamia, 3464961   size:16.35,Price: ,3.2,The Draw, 58805   size:14.59,Price: ,2.74
1.121114457, Sport: ,Ice Hockey, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Lada v Slovan Bratislava, Favorite: ,Slovan Bratislava, 1357713   size:5.0,Price: ,2.46,Lada, 2484346   size:54.0,Price: ,2.68,Tie, 60104   size:65.3,Price: ,3.85
1.121103493, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Olympiakos Volou v Chania, Favorite: ,Olympiakos Volou, 2126375   size:13.48,Price: ,1.76,Chania, 7687771   size:14.77,Price: ,3.35,The Draw, 58805   size:14.93,Price: ,2.8
1.121115082, Sport: ,Ice Hockey, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Sparta Prague v Trinec, Favorite: ,Tie, 60104   size:18.0,Price: ,1.54,Sparta Prague, 284689   size:5.72,Price: ,1.95,Trinec, 563259   size:18.0,Price: ,1.9
1.121103309, Sport: ,Soccer, Time: ,Sun Oct 11 15:00:00 CEST 2015, Time: ,Sun Oct 11 15:00:00 CEST 2015, Event: ,Anagennisi Karditsa v Panachaiki, Favorite: ,Anagennisi Karditsa, 3143236   size:4.46,Price: ,1.97,Panachaiki, 1348729   size:3.25,Price: ,2.7,The Draw, 58805   size:3.28,Price: ,2.68
1.121187936, Sport: ,Tennis, Time: ,Sun Oct 11 15:30:00 CEST 2015, Time: ,Sun Oct 11 15:30:00 CEST 2015, Event: ,M Cuevas v M Castro, Favorite: ,Martin Cuevas, 8326736   size:3.52,Price: ,1.07,Matias Castro, 8505874   size:3.94,Price: ,11.0
1.121187926, Sport: ,Tennis, Time: ,Sun Oct 11 15:30:00 CEST 2015, Time: ,Sun Oct 11 15:30:00 CEST 2015, Event: ,Dotti v Pini, Favorite: ,Sebastian Exequiel Pini, 8908207   size:41.4,Price: ,1.01,Oscar Francisco Dotti, 9633781   size:2.69,Price: ,26.0
1.121114524, Sport: ,Ice Hockey, Time: ,Sun Oct 11 16:00:00 CEST 2015, Time: ,Sun Oct 11 16:00:00 CEST 2015, Event: ,Severstal v Torpedo, Favorite: ,Severstal, 2560282   size:70.0,Price: ,2.5,Torpedo, 2484355   size:65.0,Price: ,2.64,Tie, 60104   size:77.24,Price: ,3.85
1.121115096, Sport: ,Ice Hockey, Time: ,Sun Oct 11 16:00:00 CEST 2015, Time: ,Sun Oct 11 16:00:00 CEST 2015, Event: ,Liberec v HC Olomouc, Favorite: ,HC Olomouc, 7213810   size:129.58,Price: ,1.26,Liberec, 563262   size:39.61,Price: ,1.65,Tie, 60104   size:8.42,Price: ,5.0
1.121114558, Sport: ,Ice Hockey, Time: ,Sun Oct 11 16:00:00 CEST 2015, Time: ,Sun Oct 11 16:00:00 CEST 2015, Event: ,Ak Bars v Medvescak Zagreb, Favorite: ,AK Bars, 2582640   size:120.92,Price: ,1.62,Medvescak Zagreb, 4182882   size:63.0,Price: ,5.1,Tie, 60104   size:57.0,Price: ,4.8
1.121039197, Sport: ,Soccer, Time: ,Sun Oct 11 16:00:00 CEST 2015, Time: ,Sun Oct 11 16:00:00 CEST 2015, Event: ,Fyllingsdalen v Vindbjart, Favorite: ,Vindbjart, 3073716   size:3.84,Price: ,1.88,Fyllingsdalen, 6344032   size:4.09,Price: ,3.2,The Draw, 58805   size:3.81,Price: ,4.2
