1.121196199, Sport: ,Tennis, Time: ,Mon Oct 12 07:45:00 CEST 2015, Time: ,Mon Oct 12 07:45:00 CEST 2015, Event: ,Pecotic v Prashanth, Favorite: ,Matija Pecotic, 8713732   size:211.78,Price: ,1.47,N Vijay Sundar Prashant, 9127829   size:6.73,Price: ,2.84,ok
1.121196636, Sport: ,Tennis, Time: ,Mon Oct 12 09:15:00 CEST 2015, Time: ,Mon Oct 12 09:15:00 CEST 2015, Event: ,Querrey v Ramos-Vinolas, Favorite: ,Sam Querrey, 2263560   size:185.28,Price: ,1.36,Albert Ramos-Vinolas, 8621877   size:2.69,Price: ,3.7,x
1.121161929, Sport: ,Basketball, Time: ,Mon Oct 12 03:30:00 CEST 2015, Time: ,Mon Oct 12 03:30:00 CEST 2015, Event: ,La Union v Regatas, Favorite: ,La Union, 6343998   size:3.19,Price: ,1.93,Regatas, 6718792   size:37.0,Price: ,1.94,x
1.121161928, Sport: ,Basketball, Time: ,Mon Oct 12 02:30:00 CEST 2015, Time: ,Mon Oct 12 02:30:00 CEST 2015, Event: ,Gecr Indalo v Lanus, Favorite: ,Gecr Indalo, 6719074   size:5.72,Price: ,1.12,Lanus, 6719117   size:21.04,Price: ,7.4,ok
1.121195664, Sport: ,Baseball, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,LAD @ NYM, Favorite: ,NY Mets (M Harvey), 6551353   size:2.63,Price: ,1.59,LA Dodgers (B Anderson), 9389898   size:5.72,Price: ,2.22,ok
1.121189701, Sport: ,Tennis, Time: ,Mon Oct 12 08:45:00 CEST 2015, Time: ,Mon Oct 12 08:45:00 CEST 2015, Event: ,Mektic v Elgin, Favorite: ,Nikola Mektic, 3658467   size:5.72,Price: ,1.79,Mikhail Elgin, 5844509   size:2.54,Price: ,2.08,ok
1.121161932, Sport: ,Basketball, Time: ,Mon Oct 12 04:00:00 CEST 2015, Time: ,Mon Oct 12 04:00:00 CEST 2015, Event: ,Quimsa v San Martin, Favorite: ,Quimsa, 6243645   size:7.04,Price: ,1.37,San Martin, 8861781   size:68.88,Price: ,3.2,ok
1.121161778, Sport: ,Basketball, Time: ,Mon Oct 12 02:30:00 CEST 2015, Time: ,Mon Oct 12 02:30:00 CEST 2015, Event: ,Atenas v Libertad, Favorite: ,Atenas, 6719082   size:5.72,Price: ,1.26,Libertad, 6719116   size:55.11,Price: ,3.9,x
1.121159699, Sport: ,Basketball, Time: ,Mon Oct 12 17:15:00 CEST 2015, Time: ,Mon Oct 12 17:15:00 CEST 2015, Event: ,Levski Sofia v Lukoil Academic, Favorite: ,Levski Sofia, 8783027   size:8.21,Price: ,1.03,Lukoil Academic, 677801   size:8.21,Price: ,1.03,x
1.121157953, Sport: ,Basketball, Time: ,Mon Oct 12 03:30:00 CEST 2015, Time: ,Mon Oct 12 03:30:00 CEST 2015, Event: ,Maccabi Haifa @ LA Lakers, Favorite: ,LA Lakers, 2120881   size:4.28,Price: ,1.05,Maccabi Haifa, 4953243   size:2.64,Price: ,9.4,ok
1.121195899, Sport: ,Tennis, Time: ,Mon Oct 12 06:00:00 CEST 2015, Time: ,Mon Oct 12 06:00:00 CEST 2015, Event: ,Lu v N Kichenok, Favorite: ,Nadiia Kichenok, 8595953   size:13.47,Price: ,1.91,Jing-Jing Lu, 9422140   size:6.73,Price: ,2.02,ok
1.121193598, Sport: ,Soccer, Time: ,Mon Oct 12 12:30:00 CEST 2015, Time: ,Mon Oct 12 12:30:00 CEST 2015, Event: ,Churchill Brothers v Salgaocar, Favorite: ,Salgaocar, 4427250   size:2.54,Price: ,1.35,Churchill Brothers, 4484783   size:2.54,Price: ,2.04,The Draw, 58805   size:10.0,Price: ,3.85,x
1.121195776, Sport: ,Tennis, Time: ,Mon Oct 12 09:00:00 CEST 2015, Time: ,Mon Oct 12 09:00:00 CEST 2015, Event: ,Kumkhum v Puig, Favorite: ,Monica Puig, 5374368   size:294.09,Price: ,1.3,Luksika Kumkhum, 6670677   size:2.69,Price: ,4.3,ok
1.121194443, Sport: ,Soccer, Time: ,Mon Oct 12 17:30:00 CEST 2015, Time: ,Mon Oct 12 17:30:00 CEST 2015, Event: ,CD Guarnizo v Selaya FC, Favorite: ,Selaya FC, 8975238   size:10.56,Price: ,1.42,CD Guarnizo, 6670872   size:10.56,Price: ,2.0,The Draw, 58805   size:10.56,Price: ,2.22,x
1.121194200, Sport: ,Soccer, Time: ,Mon Oct 12 14:00:00 CEST 2015, Time: ,Mon Oct 12 14:00:00 CEST 2015, Event: ,Sibir Novosibirsk II v FK Novokuznetsk, Favorite: ,FK Novokuznetsk, 10407145   size:2.54,Price: ,1.46,Sibir Novosibirsk II, 10302986   size:4.04,Price: ,1.81,The Draw, 58805   size:2.69,Price: ,2.76,x
1.121195772, Sport: ,Tennis, Time: ,Mon Oct 12 10:30:00 CEST 2015, Time: ,Mon Oct 12 10:30:00 CEST 2015, Event: ,Gajdosova v Shvedova, Favorite: ,Yaroslava Shvedova, 2263713   size:140.03,Price: ,1.75,Jarmila Gajdosova, 5497360   size:2.74,Price: ,2.24,ok
1.121188966, Sport: ,Tennis, Time: ,Mon Oct 12 05:30:00 CEST 2015, Time: ,Mon Oct 12 05:30:00 CEST 2015, Event: ,Svitolina v Vesnina, Favorite: ,Elina Svitolina, 6324464   size:1185.93,Price: ,1.21,Elena Vesnina, 2248470   size:3.15,Price: ,5.4,x
1.121194718, Sport: ,Soccer, Time: ,Mon Oct 12 12:30:00 CEST 2015, Time: ,Mon Oct 12 12:30:00 CEST 2015, Event: ,Dinamo Samarqand v Bunyodkor, Favorite: ,Bunyodkor, 3393514   size:10.56,Price: ,1.14,Dinamo Samarqand, 5614420   size:10.56,Price: ,2.0,The Draw, 58805   size:10.0,Price: ,3.5,x
1.121195925, Sport: ,Tennis, Time: ,Mon Oct 12 12:30:00 CEST 2015, Time: ,Mon Oct 12 12:30:00 CEST 2015, Event: ,Mektic/Skugor v Fayziev/Karimov, Favorite: ,Mektic/Skugor, 9146543   size:6.16,Price: ,1.04,Fayziev/Karimov, 9456446   size:6.16,Price: ,1.04,x
1.121157962, Sport: ,Basketball, Time: ,Mon Oct 12 02:00:00 CEST 2015, Time: ,Mon Oct 12 02:00:00 CEST 2015, Event: ,Orlando @ Houston, Favorite: ,Houston, 13123   size:9.45,Price: ,1.43,Orlando, 13104   size:26.0,Price: ,2.94,x
1.121195648, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,Davis/Nara v Chan/Lee, Favorite: ,Davis/Nara, 9685676   size:2.54,Price: ,1.67,Chan/Lee, 10407871   size:2.34,Price: ,2.14,x
1.121040365, Sport: ,Soccer, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Austria v Liechtenstein, Favorite: ,Austria, 61463   size:57735.23,Price: ,1.07,Liechtenstein, 25909   size:22.65,Price: ,80.0,The Draw, 58805   size:174.21,Price: ,16.5,ok
1.121189081, Sport: ,Basketball, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Pardubice v Opava, Favorite: ,Pardubice, 5942835   size:2.54,Price: ,1.38,Opava, 7758596   size:13.97,Price: ,3.25,x
1.121188271, Sport: ,Tennis, Time: ,Mon Oct 12 12:00:00 CEST 2015, Time: ,Mon Oct 12 12:00:00 CEST 2015, Event: ,Tsonga v Robredo, Favorite: ,Jo-Wilfried Tsonga, 4190307   size:711.23,Price: ,1.36,Tommy Robredo, 2257298   size:14.8,Price: ,3.6,ok
