1.121102279, Sport: ,Soccer, Time: ,Mon Oct 12 21:00:00 CEST 2015, Time: ,Mon Oct 12 21:00:00 CEST 2015, Event: ,Boca Unidos v Gimnasia Mendoza, Favorite: ,Boca Unidos, 5369720   size:67.58,Price: ,1.77,Gimnasia Mendoza, 9229725   size:121.74,Price: ,6.2,The Draw, 58805   size:105.42,Price: ,3.4,x
1.121196195, Sport: ,Tennis, Time: ,Tue Oct 13 05:00:00 CEST 2015, Time: ,Tue Oct 13 05:00:00 CEST 2015, Event: ,Nedunchezhiyan v Ehara, Favorite: ,Hiroyasu Ehara, 5858044   size:281.89,Price: ,1.81,Jeevan Nedunchezhiyan, 8174316   size:2.38,Price: ,2.1,ok
1.121195702, Sport: ,Tennis, Time: ,Tue Oct 13 09:30:00 CEST 2015, Time: ,Tue Oct 13 09:30:00 CEST 2015, Event: ,Lamasine/Langer v Devvarman/Nedunchezhiya, Favorite: ,Devvarman/Nedunchezhiya, 9242370   size:5.71,Price: ,1.47,Lamasine/Langer, 10407913   size:5.71,Price: ,2.34,x
1.121041470, Sport: ,Soccer, Time: ,Mon Oct 12 19:00:00 CEST 2015, Time: ,Mon Oct 12 19:00:00 CEST 2015, Event: ,Sweden U19 v Belgium U19, Favorite: ,Belgium U19, 183067   size:6.89,Price: ,2.04,Sweden U19, 1482552   size:25.42,Price: ,4.1,The Draw, 58805   size:53.04,Price: ,3.5,ok
1.121193488, Sport: ,Soccer, Time: ,Tue Oct 13 00:00:00 CEST 2015, Time: ,Tue Oct 13 00:00:00 CEST 2015, Event: ,Caldense v Ypiranga de Erechim, Favorite: ,Caldense, 4574096   size:10.55,Price: ,1.1,Ypiranga de Erechim, 9176050   size:10.55,Price: ,1.1,The Draw, 58805   size:10.55,Price: ,1.49,x
1.121193764, Sport: ,Soccer, Time: ,Mon Oct 12 20:45:00 CEST 2015, Time: ,Mon Oct 12 20:45:00 CEST 2015, Event: ,Hendon v Kingstonian, Favorite: ,Kingstonian, 18569   size:5.0,Price: ,2.42,Hendon, 1034127   size:2.19,Price: ,2.82,The Draw, 58805   size:19.96,Price: ,3.55,x
1.121194333, Sport: ,Soccer, Time: ,Mon Oct 12 20:45:00 CEST 2015, Time: ,Mon Oct 12 20:45:00 CEST 2015, Event: ,Queens Park U20 v Clyde U20, Favorite: ,Queens Park U20, 8983806   size:2.55,Price: ,1.44,Clyde U20, 9220046   size:2.55,Price: ,1.78,The Draw, 58805   size:3.81,Price: ,3.45,ok
1.121040262, Sport: ,Soccer, Time: ,Mon Oct 12 20:45:00 CEST 2015, Time: ,Mon Oct 12 20:45:00 CEST 2015, Event: ,Estonia v Switzerland, Favorite: ,Switzerland, 15293   size:912.51,Price: ,1.6,Estonia, 124773   size:256.22,Price: ,7.2,The Draw, 58805   size:642.49,Price: ,4.1,ok
1.121193245, Sport: ,Soccer, Time: ,Mon Oct 12 20:00:00 CEST 2015, Time: ,Mon Oct 12 20:00:00 CEST 2015, Event: ,Platense v Flandria, Favorite: ,Platense, 5548214   size:5.67,Price: ,2.04,Flandria, 9509138   size:6.19,Price: ,4.4,The Draw, 58805   size:2.55,Price: ,3.15,x
1.121194608, Sport: ,Soccer, Time: ,Mon Oct 12 21:30:00 CEST 2015, Time: ,Mon Oct 12 21:30:00 CEST 2015, Event: ,ACYD Altos Hornos Zapla v Club Sportivo Patria, Favorite: ,ACYD Altos Hornos Zapla, 10103819   size:3.34,Price: ,2.02,Club Sportivo Patria, 9653424   size:7.74,Price: ,2.46,The Draw, 58805   size:4.66,Price: ,3.15,x
1.121188854, Sport: ,Tennis, Time: ,Tue Oct 13 07:00:00 CEST 2015, Time: ,Tue Oct 13 07:00:00 CEST 2015, Event: ,Jabeur v Jovanovski, Favorite: ,Bojana Jovanovski, 4148045   size:112.42,Price: ,1.52,Ons Jabeur, 6161111   size:363.45,Price: ,2.64,ok
1.121159699, Sport: ,Basketball, Time: ,Mon Oct 12 17:15:00 CEST 2015, Time: ,Mon Oct 12 17:15:00 CEST 2015, Event: ,Levski Sofia v Lukoil Academic, Favorite: ,Lukoil Academic, 677801   size:2.19,Price: ,1.26,Levski Sofia, 8783027   size:17.1,Price: ,4.5,ok
