1.121225160, Sport: ,Tennis, Time: ,Wed Oct 14 15:30:00 CEST 2015, Time: ,Wed Oct 14 15:30:00 CEST 2015, Event: ,Brengle v Konta, Favorite: ,Johanna Konta, 5596561   size:5.0,Price: ,1.56,Madison Brengle, 2263603   size:14.13,Price: ,2.66,x
1.120985981, Sport: ,Boxing, Time: ,Thu Oct 15 03:00:00 CEST 2015, Time: ,Thu Oct 15 03:00:00 CEST 2015, Event: ,Selby v Montiel, Favorite: ,Lee Selby, 5816839   size:2271.21,Price: ,1.05,Fernando Montiel, 2844711   size:5.99,Price: ,18.5,Draw, 31162   size:84.94,Price: ,50.0,ok
1.121060433, Sport: ,Cricket, Time: ,Thu Oct 15 03:30:00 CEST 2015, Time: ,Thu Oct 15 03:30:00 CEST 2015, Event: ,Nepal U19 v Papua New Guinea U19, Favorite: ,Nepal U19, 8149307   size:111.82,Price: ,1.03,Papua New Guinea U19, 8221871   size:111.82,Price: ,1.03,ok
1.121110861, Sport: ,Soccer, Time: ,Wed Oct 14 15:00:00 CEST 2015, Time: ,Wed Oct 14 15:00:00 CEST 2015, Event: ,Teramo v Pisa, Favorite: ,Pisa, 501200   size:2.47,Price: ,2.48,Teramo, 501201   size:3.59,Price: ,3.2,The Draw, 58805   size:7.59,Price: ,3.15,x
1.121133100, Sport: ,Handball, Time: ,Wed Oct 14 20:45:00 CEST 2015, Time: ,Wed Oct 14 20:45:00 CEST 2015, Event: ,Saint Raphael v Montpellier, Favorite: ,Saint Raphael, 3786983   size:3.01,Price: ,2.04,Montpellier, 3379953   size:16.84,Price: ,2.26,Draw, 330157   size:3.38,Price: ,7.8,x
1.121110583, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,Gederlaki KSE v Debrecen, Favorite: ,Gederlaki KSE, 10392855   size:3.51,Price: ,1.07,Debrecen, 46934   size:3.51,Price: ,1.07,The Draw, 58805   size:2.54,Price: ,1.39,x
1.121225289, Sport: ,Tennis, Time: ,Wed Oct 14 15:30:00 CEST 2015, Time: ,Wed Oct 14 15:30:00 CEST 2015, Event: ,Djere v Chazal, Favorite: ,Laslo Djere, 7692106   size:3.96,Price: ,1.55,Maxime Chazal, 7066935   size:5.51,Price: ,2.22,ok
1.121189144, Sport: ,Basketball, Time: ,Thu Oct 15 01:00:00 CEST 2015, Time: ,Thu Oct 15 01:00:00 CEST 2015, Event: ,Toronto @ Minnesota, Favorite: ,Toronto, 13113   size:8.19,Price: ,1.03,Minnesota, 13118   size:8.19,Price: ,1.03,x
1.121206526, Sport: ,Tennis, Time: ,Wed Oct 14 13:00:00 CEST 2015, Time: ,Wed Oct 14 13:00:00 CEST 2015, Event: ,Bury/Istomin v Chen/Ignatik, Favorite: ,Bury/Istomin, 9494336   size:3.91,Price: ,1.28,Chen/Ignatik, 10407970   size:5.7,Price: ,3.15,ok
1.121110748, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,Internationale CDFSE v III Keruleti TUE, Favorite: ,III Keruleti TUE, 10306511   size:7.55,Price: ,1.96,Internationale CDFSE, 10392878   size:7.55,Price: ,2.2,The Draw, 58805   size:15.05,Price: ,2.7,x
1.121205715, Sport: ,Tennis, Time: ,Wed Oct 14 07:53:00 CEST 2015, Time: ,Wed Oct 14 07:53:00 CEST 2015, Event: ,Pecotic v Fabbiano, Favorite: ,Thomas Fabbiano, 3019240   size:2951.86,Price: ,1.09,Matija Pecotic, 8713732   size:170.16,Price: ,6.4,ok
1.121189263, Sport: ,Basketball, Time: ,Wed Oct 14 19:00:00 CEST 2015, Time: ,Wed Oct 14 19:00:00 CEST 2015, Event: ,Neptunas v Galatasaray, Favorite: ,Galatasaray, 631281   size:516.16,Price: ,1.13,Neptunas, 5261523   size:479.28,Price: ,1.14,ok
