1.121237300, Sport: ,Basketball, Time: ,Thu Oct 15 19:00:00 CEST 2015, Time: ,Thu Oct 15 19:00:00 CEST 2015, Event: ,TTT Riga (W) v Flying Foxes (W), Favorite: ,TTT Riga (W), 10388076   size:8.12,Price: ,1.03,Flying Foxes (W), 10388075   size:8.12,Price: ,1.03,x
1.121214786, Sport: ,Basketball, Time: ,Thu Oct 15 19:04:00 CEST 2015, Time: ,Thu Oct 15 19:04:00 CEST 2015, Event: ,Sundsvall v Jamtland, Favorite: ,Sundsvall, 1309741   size:8.12,Price: ,1.03,Jamtland, 7037208   size:8.12,Price: ,1.03,x
1.121115078, Sport: ,Ice Hockey, Time: ,Fri Oct 16 01:35:00 CEST 2015, Time: ,Fri Oct 16 01:35:00 CEST 2015, Event: ,NY Rangers @ Montreal, Favorite: ,NY Rangers, 60103   size:12.19,Price: ,1.02,Montreal, 2112345   size:12.19,Price: ,1.02,Tie, 60104   size:3.82,Price: ,3.85,x
1.121206084, Sport: ,Basketball, Time: ,Thu Oct 15 18:00:00 CEST 2015, Time: ,Thu Oct 15 18:00:00 CEST 2015, Event: ,Pinar Karsiyaka v Barcelona, Favorite: ,Barcelona, 266269   size:3060.81,Price: ,1.27,Pinar Karsiyaka, 631283   size:10.55,Price: ,4.3,x
1.121231964, Sport: ,Tennis, Time: ,Thu Oct 15 20:00:00 CEST 2015, Time: ,Thu Oct 15 20:00:00 CEST 2015, Event: ,Strycova v Allertova, Favorite: ,Barbora Strycova, 9416669   size:127.88,Price: ,1.87,Denisa Allertova, 8679183   size:337.65,Price: ,2.1,x
1.121115072, Sport: ,Ice Hockey, Time: ,Fri Oct 16 01:05:00 CEST 2015, Time: ,Fri Oct 16 01:05:00 CEST 2015, Event: ,Chicago @ Washington, Favorite: ,Washington, 2109756   size:5.66,Price: ,1.71,Chicago, 2109831   size:5.66,Price: ,2.26,Tie, 60104   size:3.82,Price: ,3.85,ok
1.121221246, Sport: ,Tennis, Time: ,Thu Oct 15 07:30:00 CEST 2015, Time: ,Thu Oct 15 07:30:00 CEST 2015, Event: ,Betov v Lacko, Favorite: ,Lukas Lacko, 2263634   size:814.37,Price: ,1.1,Sergey Betov, 6669343   size:8.32,Price: ,8.6,ok
1.121237660, Sport: ,Tennis, Time: ,Thu Oct 15 13:45:00 CEST 2015, Time: ,Thu Oct 15 13:45:00 CEST 2015, Event: ,Cervantes v Dzumhur, Favorite: ,Damir Dzumhur, 7414058   size:101.67,Price: ,1.84,Inigo Cervantes, 6297238   size:247.04,Price: ,1.93,ok
1.121115112, Sport: ,Ice Hockey, Time: ,Fri Oct 16 03:05:00 CEST 2015, Time: ,Fri Oct 16 03:05:00 CEST 2015, Event: ,St.Louis @ Edmonton, Favorite: ,Edmonton, 2109967   size:12.19,Price: ,1.02,St.Louis, 8960984   size:5.66,Price: ,2.04,Tie, 60104   size:3.82,Price: ,3.85,x
1.121113333, Sport: ,Soccer, Time: ,Thu Oct 15 17:30:00 CEST 2015, Time: ,Thu Oct 15 17:30:00 CEST 2015, Event: ,FC Inter v Jaro, Favorite: ,FC Inter, 139505   size:47.08,Price: ,1.85,Jaro, 139508   size:23.67,Price: ,4.6,The Draw, 58805   size:68.88,Price: ,3.85,ok
1.121239047, Sport: ,Tennis, Time: ,Thu Oct 15 13:45:00 CEST 2015, Time: ,Thu Oct 15 13:45:00 CEST 2015, Event: ,Marach/Monroe v Martin/Skupski, Favorite: ,Marach/Monroe, 10408396   size:6.09,Price: ,1.04,Martin/Skupski, 10408392   size:6.09,Price: ,1.04,x
1.121113618, Sport: ,Soccer, Time: ,Thu Oct 15 15:15:00 CEST 2015, Time: ,Thu Oct 15 15:15:00 CEST 2015, Event: ,Szeged 2011 v FC Ajka, Favorite: ,Szeged 2011, 5786814   size:7.83,Price: ,1.76,FC Ajka, 4202985   size:5.0,Price: ,2.66,The Draw, 58805   size:28.13,Price: ,3.55,ok
1.121113739, Sport: ,Soccer, Time: ,Thu Oct 15 20:00:00 CEST 2015, Time: ,Thu Oct 15 20:00:00 CEST 2015, Event: ,OH Leuven (W) v Evas Tienen (W), Favorite: ,OH Leuven (W), 6743192   size:5.66,Price: ,1.13,Evas Tienen (W), 10393004   size:5.66,Price: ,1.13,The Draw, 58805   size:5.38,Price: ,2.88,x
1.121133105, Sport: ,Handball, Time: ,Thu Oct 15 20:45:00 CEST 2015, Time: ,Thu Oct 15 20:45:00 CEST 2015, Event: ,Nantes v Toulouse, Favorite: ,Nantes, 3893967   size:3.38,Price: ,1.48,Toulouse, 3778896   size:4.06,Price: ,3.35,Draw, 330157   size:3.2,Price: ,8.8,x
1.121229249, Sport: ,Soccer, Time: ,Thu Oct 15 17:00:00 CEST 2015, Time: ,Thu Oct 15 17:00:00 CEST 2015, Event: ,JSM Skikda v USM El Eulma, Favorite: ,JSM Skikda, 8096636   size:2.43,Price: ,1.1,USM El Eulma, 9221276   size:2.59,Price: ,1.53,The Draw, 58805   size:5.38,Price: ,2.88,x
1.121240443, Sport: ,Tennis, Time: ,Thu Oct 15 09:00:00 CEST 2015, Time: ,Thu Oct 15 09:00:00 CEST 2015, Event: ,N Djokovic v Fel Lopez, Favorite: ,Novak Djokovic, 2249229   size:76775.82,Price: ,1.04,Feliciano Lopez, 2265109   size:32.32,Price: ,23.0,ok
1.121244766, Sport: ,Tennis, Time: ,Thu Oct 15 17:00:00 CEST 2015, Time: ,Thu Oct 15 17:00:00 CEST 2015, Event: ,Oprandi v Ormaechea, Favorite: ,Romina Oprandi, 2256455   size:4.07,Price: ,1.23,Paula Ormaechea, 4500370   size:10.14,Price: ,3.55,ok
1.121242624, Sport: ,Basketball, Time: ,Thu Oct 15 21:00:00 CEST 2015, Time: ,Thu Oct 15 21:00:00 CEST 2015, Event: ,Tenerife v Gran Canaria, Favorite: ,Tenerife, 676445   size:8.12,Price: ,1.03,Gran Canaria, 945506   size:8.12,Price: ,1.03,x
1.121192381, Sport: ,Soccer, Time: ,Thu Oct 15 14:00:00 CEST 2015, Time: ,Thu Oct 15 14:00:00 CEST 2015, Event: ,Yenisey Krasnoyarsk v Tyumen, Favorite: ,Yenisey Krasnoyarsk, 5441577   size:6.37,Price: ,2.26,Tyumen, 6681501   size:8.85,Price: ,3.35,The Draw, 58805   size:8.21,Price: ,3.35,ok
1.121255642, Sport: ,Tennis, Time: ,Thu Oct 15 15:30:00 CEST 2015, Time: ,Thu Oct 15 15:30:00 CEST 2015, Event: ,U Eikeri v B Krejcikova, Favorite: ,Barbora Krejcikova, 8784972   size:62.89,Price: ,1.42,Ulrikke Eikeri, 8679187   size:42.67,Price: ,2.18,x
1.121060445, Sport: ,Cricket, Time: ,Fri Oct 16 03:30:00 CEST 2015, Time: ,Fri Oct 16 03:30:00 CEST 2015, Event: ,Ireland U19 v Papua New Guinea U19, Favorite: ,Ireland U19, 10380956   size:112.27,Price: ,1.03,Papua New Guinea U19, 8221871   size:112.27,Price: ,1.03,ok
1.121115086, Sport: ,Ice Hockey, Time: ,Fri Oct 16 01:35:00 CEST 2015, Time: ,Fri Oct 16 01:35:00 CEST 2015, Event: ,Dallas @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:8.31,Price: ,1.89,Dallas, 2108116   size:136.38,Price: ,3.0,Tie, 60104   size:3.82,Price: ,3.95,x
1.121236986, Sport: ,Tennis, Time: ,Thu Oct 15 07:30:00 CEST 2015, Time: ,Thu Oct 15 07:30:00 CEST 2015, Event: ,A Murray v Isner, Favorite: ,Andy Murray, 2256509   size:3792.42,Price: ,1.24,John Isner, 2474763   size:5.44,Price: ,5.0,ok
1.121215061, Sport: ,Tennis, Time: ,Thu Oct 15 07:30:00 CEST 2015, Time: ,Thu Oct 15 07:30:00 CEST 2015, Event: ,Gerasimov v Berankis, Favorite: ,Ricardas Berankis, 2923248   size:4.23,Price: ,1.44,Egor Gerasimov, 7797772   size:2.09,Price: ,2.92,ok
1.121237670, Sport: ,Tennis, Time: ,Thu Oct 15 10:45:00 CEST 2015, Time: ,Thu Oct 15 10:45:00 CEST 2015, Event: ,Ma Cilic v S Wawrinka, Favorite: ,Stan Wawrinka, 8597476   size:61.46,Price: ,1.51,Marin Cilic, 2263681   size:40.68,Price: ,2.94,ok
1.121215340, Sport: ,Tennis, Time: ,Thu Oct 15 10:30:00 CEST 2015, Time: ,Thu Oct 15 10:30:00 CEST 2015, Event: ,Caro Garcia v Komardina, Favorite: ,Caroline Garcia, 5248977   size:7474.16,Price: ,1.09,Anastasiya Komardina, 9148804   size:377.05,Price: ,10.5,ok
1.121227479, Sport: ,Tennis, Time: ,Thu Oct 15 14:00:00 CEST 2015, Time: ,Thu Oct 15 14:00:00 CEST 2015, Event: ,Pavlyuchenkova v Voegele, Favorite: ,Anastasia Pavlyuchenkov, 9438602   size:517.03,Price: ,1.32,Stefanie Voegele, 3622149   size:24.81,Price: ,3.95,ok
1.121238081, Sport: ,Tennis, Time: ,Thu Oct 15 12:00:00 CEST 2015, Time: ,Thu Oct 15 12:00:00 CEST 2015, Event: ,Gasquet v B Tomic, Favorite: ,Richard Gasquet, 2249399   size:87.59,Price: ,1.37,Bernard Tomic, 3588868   size:23.44,Price: ,3.65,x
1.121239051, Sport: ,Tennis, Time: ,Fri Oct 16 06:00:00 CEST 2015, Time: ,Fri Oct 16 06:00:00 CEST 2015, Event: ,Liang/Wang v Chan/Lee, Favorite: ,Liang/Wang, 9128675   size:4.48,Price: ,1.36,Chan/Lee, 10407871   size:7.59,Price: ,3.1,x
1.121115092, Sport: ,Ice Hockey, Time: ,Fri Oct 16 01:35:00 CEST 2015, Time: ,Fri Oct 16 01:35:00 CEST 2015, Event: ,Buffalo @ Florida, Favorite: ,Florida, 2112317   size:3.42,Price: ,1.78,Buffalo, 4427593   size:136.5,Price: ,3.4,Tie, 60104   size:5.38,Price: ,3.85,ok
1.121237804, Sport: ,Tennis, Time: ,Thu Oct 15 20:30:00 CEST 2015, Time: ,Thu Oct 15 20:30:00 CEST 2015, Event: ,Sidorenko v Millot, Favorite: ,Vincent Millot, 4275820   size:5.66,Price: ,1.38,Alexandre Sidorenko, 2426262   size:29.05,Price: ,3.05,ok
1.121229582, Sport: ,Soccer, Time: ,Thu Oct 15 20:00:00 CEST 2015, Time: ,Thu Oct 15 20:00:00 CEST 2015, Event: ,Bonsucesso v AA Portuguesa RJ, Favorite: ,Bonsucesso, 6089345   size:3.48,Price: ,1.07,AA Portuguesa RJ, 9429209   size:11.0,Price: ,1.15,The Draw, 58805   size:5.38,Price: ,2.88,x
1.121237765, Sport: ,Tennis, Time: ,Fri Oct 16 06:00:00 CEST 2015, Time: ,Fri Oct 16 06:00:00 CEST 2015, Event: ,Klaasen/Melo v Matkowski/Zimonjic, Favorite: ,Matkowski/Zimonjic, 9312205   size:87.08,Price: ,1.75,Klaasen/Melo, 10380710   size:2.36,Price: ,2.12,x
1.121060449, Sport: ,Cricket, Time: ,Fri Oct 16 03:30:00 CEST 2015, Time: ,Fri Oct 16 03:30:00 CEST 2015, Event: ,Nepal U19 v Uganda U19, Favorite: ,Nepal U19, 8149307   size:112.27,Price: ,1.03,Uganda U19, 10380954   size:112.27,Price: ,1.03,ok
1.121205610, Sport: ,Tennis, Time: ,Thu Oct 15 09:15:00 CEST 2015, Time: ,Thu Oct 15 09:15:00 CEST 2015, Event: ,Y Bhambri v Mektic, Favorite: ,Yuki Bhambri, 3772081   size:58.71,Price: ,1.11,Nikola Mektic, 3658467   size:26.12,Price: ,7.8,ok
1.121240529, Sport: ,Tennis, Time: ,Thu Oct 15 22:15:00 CEST 2015, Time: ,Thu Oct 15 22:15:00 CEST 2015, Event: ,Arnaboldi/Sancic v Sijsling/Siljestrom, Favorite: ,Arnaboldi/Sancic, 10408398   size:6.09,Price: ,1.04,Sijsling/Siljestrom, 8381104   size:6.09,Price: ,1.04,ok
1.121144089, Sport: ,Handball, Time: ,Thu Oct 15 19:30:00 CEST 2015, Time: ,Thu Oct 15 19:30:00 CEST 2015, Event: ,Schaffhausen v Skjern, Favorite: ,Schaffhausen, 4996261   size:18.0,Price: ,1.02,Skjern, 928215   size:23.66,Price: ,1.23,Draw, 330157   size:18.0,Price: ,1.19,x
1.121237773, Sport: ,Tennis, Time: ,Fri Oct 16 06:00:00 CEST 2015, Time: ,Fri Oct 16 06:00:00 CEST 2015, Event: ,J Jankovic v Gavrilova, Favorite: ,Jelena Jankovic, 2252607   size:480.46,Price: ,1.49,Daria Gavrilova, 5053424   size:5.77,Price: ,2.98,ok
1.121206092, Sport: ,Basketball, Time: ,Thu Oct 15 20:45:00 CEST 2015, Time: ,Thu Oct 15 20:45:00 CEST 2015, Event: ,Unicaja Malaga v Brose Baskets, Favorite: ,Unicaja Malaga, 266279   size:268.33,Price: ,1.2,Brose Baskets, 2158509   size:14.3,Price: ,5.1,ok
1.121215480, Sport: ,Tennis, Time: ,Thu Oct 15 12:30:00 CEST 2015, Time: ,Thu Oct 15 12:30:00 CEST 2015, Event: ,Lopez/Mirnyi v Rojer/Tecau, Favorite: ,Rojer/Tecau, 8176467   size:87.08,Price: ,1.44,Lopez/Mirnyi, 8329155   size:7.54,Price: ,2.48,x
1.121215484, Sport: ,Tennis, Time: ,Thu Oct 15 09:15:00 CEST 2015, Time: ,Thu Oct 15 09:15:00 CEST 2015, Event: ,Fayziev v Satral, Favorite: ,Jan Satral, 8490613   size:14.16,Price: ,1.38,Sanjar Fayziev, 8304051   size:32.42,Price: ,3.2,ok
