1.121122760, Sport: ,Soccer, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,Ajax (W) v Zwolle (W), Favorite: ,Ajax (W), 8814626   size:2.55,Price: ,1.1,Zwolle (W), 5288608   size:5.71,Price: ,13.5,The Draw, 58805   size:9.42,Price: ,9.4,ok
1.121196310, Sport: ,Rugby Union, Time: ,Fri Oct 16 20:45:00 CEST 2015, Time: ,Fri Oct 16 20:45:00 CEST 2015, Event: ,Harlequins v Wasps, Favorite: ,Harlequins, 37893   size:3.66,Price: ,1.68,Wasps, 8878   size:11.05,Price: ,2.28,Draw, 246289   size:11.0,Price: ,21.0,ok
1.121196352, Sport: ,Rugby Union, Time: ,Fri Oct 16 21:00:00 CEST 2015, Time: ,Fri Oct 16 21:00:00 CEST 2015, Event: ,Newcastle v Gloucester, Favorite: ,Newcastle, 1247243   size:6.19,Price: ,1.72,Gloucester, 168   size:2.84,Price: ,2.16,Draw, 246289   size:2.63,Price: ,22.0,x
1.121121475, Sport: ,Soccer, Time: ,Fri Oct 16 19:00:00 CEST 2015, Time: ,Fri Oct 16 19:00:00 CEST 2015, Event: ,Bayern Munich II v Schweinfurt, Favorite: ,Bayern Munich II, 5949557   size:109.06,Price: ,1.24,Schweinfurt, 111723   size:50.72,Price: ,12.0,The Draw, 58805   size:40.31,Price: ,6.2,x
1.121121953, Sport: ,Soccer, Time: ,Fri Oct 16 14:00:00 CEST 2015, Time: ,Fri Oct 16 14:00:00 CEST 2015, Event: ,South China v Wong Tai Sin, Favorite: ,South China, 2483200   size:2.95,Price: ,1.37,Wong Tai Sin, 8839726   size:3.37,Price: ,6.4,The Draw, 58805   size:5.11,Price: ,4.9,ok
1.121239129, Sport: ,Ice Hockey, Time: ,Fri Oct 16 19:45:00 CEST 2015, Time: ,Fri Oct 16 19:45:00 CEST 2015, Event: ,Biel v Kloten Flyers, Favorite: ,Biel, 3315685   size:2.79,Price: ,2.2,Kloten Flyers, 243255   size:2.56,Price: ,2.4,Tie, 60104   size:20.19,Price: ,4.6,ok
1.121241772, Sport: ,Soccer, Time: ,Fri Oct 16 15:00:00 CEST 2015, Time: ,Fri Oct 16 15:00:00 CEST 2015, Event: ,HNK Gorica v Hrvatski Dragovoljac, Favorite: ,HNK Gorica, 6692727   size:2.67,Price: ,1.64,Hrvatski Dragovoljac, 3439336   size:17.16,Price: ,3.7,The Draw, 58805   size:14.51,Price: ,2.88,ok
1.121241530, Sport: ,Soccer, Time: ,Fri Oct 16 19:30:00 CEST 2015, Time: ,Fri Oct 16 19:30:00 CEST 2015, Event: ,SV Wallern v ATSV Stadl-Paura, Favorite: ,ATSV Stadl-Paura, 9926792   size:17.0,Price: ,2.08,SV Wallern, 6491575   size:2.65,Price: ,2.32,The Draw, 58805   size:13.66,Price: ,3.3,ok
1.121239121, Sport: ,Ice Hockey, Time: ,Fri Oct 16 19:45:00 CEST 2015, Time: ,Fri Oct 16 19:45:00 CEST 2015, Event: ,Zug v Lugano, Favorite: ,Zug, 257975   size:85.96,Price: ,1.87,Lugano, 243259   size:2.13,Price: ,2.88,Tie, 60104   size:21.48,Price: ,4.7,ok
1.121243598, Sport: ,Soccer, Time: ,Fri Oct 16 13:00:00 CEST 2015, Time: ,Fri Oct 16 13:00:00 CEST 2015, Event: ,FK Kokand 1912 v Lokomotiv Tashkent, Favorite: ,FK Kokand 1912, 8433044   size:3.51,Price: ,1.07,Lokomotiv Tashkent, 6449763   size:3.51,Price: ,1.07,The Draw, 58805   size:4.99,Price: ,3.55,x
1.121244563, Sport: ,Tennis, Time: ,Fri Oct 16 18:45:00 CEST 2015, Time: ,Fri Oct 16 18:45:00 CEST 2015, Event: ,Bagnis v G Pella, Favorite: ,Guido Pella, 6162610   size:4.18,Price: ,1.47,Facundo Bagnis, 4520808   size:8.48,Price: ,2.74,x
