1.121279860, Sport: ,Soccer, Time: ,Sat Oct 17 10:30:00 CEST 2015, Time: ,Sat Oct 17 10:30:00 CEST 2015, Event: ,FK Dukla Praha (W) v Slovan Liberec (W), Favorite: ,Slovan Liberec (W), 8975388   size:10.18,Price: ,1.75,FK Dukla Praha (W), 10237288   size:6.73,Price: ,2.04,The Draw, 58805   size:6.04,Price: ,3.6,x
1.121314031, Sport: ,Tennis, Time: ,Sat Oct 17 15:00:00 CEST 2015, Time: ,Sat Oct 17 15:00:00 CEST 2015, Event: ,Munoz-De La Nava v Dzumhur, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:4.99,Price: ,1.59,Damir Dzumhur, 7414058   size:17.87,Price: ,2.48,x
1.121284532, Sport: ,Soccer, Time: ,Sat Oct 17 17:00:00 CEST 2015, Time: ,Sat Oct 17 17:00:00 CEST 2015, Event: ,CDSC Cruz Azul U20 v CSYD Sinaola U20, Favorite: ,CDSC Cruz Azul U20, 6702694   size:3.52,Price: ,1.07,CSYD Sinaola U20, 10186613   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,1.25,ok
1.121139562, Sport: ,Soccer, Time: ,Sat Oct 17 17:00:00 CEST 2015, Time: ,Sat Oct 17 17:00:00 CEST 2015, Event: ,CSMS Iasi v FC Voluntari, Favorite: ,CSMS Iasi, 5806015   size:8.97,Price: ,1.95,FC Voluntari, 8838645   size:5.1,Price: ,4.6,The Draw, 58805   size:13.2,Price: ,3.4,ok
1.121138353, Sport: ,Soccer, Time: ,Sat Oct 17 15:00:00 CEST 2015, Time: ,Sat Oct 17 15:00:00 CEST 2015, Event: ,Trapani v Pescara, Favorite: ,Trapani, 4893594   size:25.83,Price: ,2.72,Pescara, 201327   size:4.66,Price: ,2.96,The Draw, 58805   size:120.59,Price: ,3.25,x
1.121329652, Sport: ,Tennis, Time: ,Sat Oct 17 20:45:00 CEST 2015, Time: ,Sat Oct 17 20:45:00 CEST 2015, Event: ,Uchida v Bakalov, Favorite: ,Kaichi Uchida, 8957119   size:6.16,Price: ,1.04,Boris Nicola Bakalov, 7048846   size:3.08,Price: ,1.08,ok
1.121329411, Sport: ,Tennis, Time: ,Sat Oct 17 16:45:00 CEST 2015, Time: ,Sat Oct 17 16:45:00 CEST 2015, Event: ,V Nunez v Gobernate, Favorite: ,Victor Nunez, 8460165   size:3.08,Price: ,1.08,Asdrubal Gobernate, 8842535   size:3.08,Price: ,1.08,ok
1.121329654, Sport: ,Tennis, Time: ,Sat Oct 17 20:45:00 CEST 2015, Time: ,Sat Oct 17 20:45:00 CEST 2015, Event: ,Laaksonen v J Hiltzik, Favorite: ,Henri Laaksonen, 6344314   size:3.08,Price: ,1.08,Jared Hiltzik, 7082814   size:3.08,Price: ,1.08,ok
1.121329415, Sport: ,Tennis, Time: ,Sat Oct 17 16:45:00 CEST 2015, Time: ,Sat Oct 17 16:45:00 CEST 2015, Event: ,S Navarro v Molteni, Favorite: ,Andres Molteni, 6180419   size:6.16,Price: ,1.04,Simon Navarro, 8460166   size:3.08,Price: ,1.08,ok
1.121329419, Sport: ,Tennis, Time: ,Sat Oct 17 15:00:00 CEST 2015, Time: ,Sat Oct 17 15:00:00 CEST 2015, Event: ,Arreche v Matute, Favorite: ,Nicolas Alberto Arreche, 9630635   size:6.16,Price: ,1.04,Juan Manuel Matute, 9260505   size:3.08,Price: ,1.08,ok
1.121130997, Sport: ,Soccer, Time: ,Sat Oct 17 19:30:00 CEST 2015, Time: ,Sat Oct 17 19:30:00 CEST 2015, Event: ,Olympiakos v AEK, Favorite: ,Olympiakos, 55243   size:1380.99,Price: ,1.38,AEK, 214309   size:22.74,Price: ,10.0,The Draw, 58805   size:27.66,Price: ,5.2,ok
1.121131847, Sport: ,Soccer, Time: ,Sat Oct 17 11:30:00 CEST 2015, Time: ,Sat Oct 17 11:30:00 CEST 2015, Event: ,Niigata v Matsumoto, Favorite: ,Niigata, 744094   size:47.64,Price: ,1.83,Matsumoto, 7081210   size:26.2,Price: ,4.6,The Draw, 58805   size:7.03,Price: ,3.95,ok
1.121284421, Sport: ,Soccer, Time: ,Sat Oct 17 17:00:00 CEST 2015, Time: ,Sat Oct 17 17:00:00 CEST 2015, Event: ,Mosta v Naxxar Lions FC, Favorite: ,Mosta, 6117136   size:3.52,Price: ,1.07,Naxxar Lions FC, 7438217   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,1.25,x
1.121285634, Sport: ,Soccer, Time: ,Sat Oct 17 10:00:00 CEST 2015, Time: ,Sat Oct 17 10:00:00 CEST 2015, Event: ,Otelul Galati v CS Balotesti, Favorite: ,Otelul Galati, 866238   size:2.34,Price: ,2.22,CS Balotesti, 7161082   size:7.11,Price: ,2.46,The Draw, 58805   size:6.67,Price: ,3.05,x
1.121329665, Sport: ,Tennis, Time: ,Sat Oct 17 20:45:00 CEST 2015, Time: ,Sat Oct 17 20:45:00 CEST 2015, Event: ,Volfson v Turini, Favorite: ,Thales Turini, 8174904   size:6.16,Price: ,1.04,David Volfson, 8750269   size:3.08,Price: ,1.08,ok
1.121329666, Sport: ,Tennis, Time: ,Sat Oct 17 22:00:00 CEST 2015, Time: ,Sat Oct 17 22:00:00 CEST 2015, Event: ,Polansky v Escobedo, Favorite: ,Peter Polansky, 2504190   size:3.08,Price: ,1.08,Ernesto Escobedo, 8700174   size:3.08,Price: ,1.08,x
1.121329425, Sport: ,Tennis, Time: ,Sat Oct 17 21:00:00 CEST 2015, Time: ,Sat Oct 17 21:00:00 CEST 2015, Event: ,G Escobar v Neis, Favorite: ,Gonzalo Escobar, 7660810   size:3.08,Price: ,1.08,Fabricio Neis, 8326758   size:3.08,Price: ,1.08,ok
1.121141878, Sport: ,Soccer, Time: ,Sat Oct 17 14:00:00 CEST 2015, Time: ,Sat Oct 17 14:00:00 CEST 2015, Event: ,Freiburg II v Eintracht Trier, Favorite: ,Eintracht Trier, 3235010   size:22.32,Price: ,1.82,Freiburg II, 5763643   size:38.33,Price: ,4.7,The Draw, 58805   size:89.42,Price: ,3.8,ok
1.121285193, Sport: ,Soccer, Time: ,Sat Oct 17 13:00:00 CEST 2015, Time: ,Sat Oct 17 13:00:00 CEST 2015, Event: ,UKS SMS Lodz U19 v Legia Warsaw U19, Favorite: ,UKS SMS Lodz U19, 7204857   size:3.52,Price: ,1.07,Legia Warsaw U19, 10317773   size:3.52,Price: ,1.07,The Draw, 58805   size:3.11,Price: ,1.25,x
1.121329429, Sport: ,Tennis, Time: ,Sat Oct 17 21:00:00 CEST 2015, Time: ,Sat Oct 17 21:00:00 CEST 2015, Event: ,Saavedra-Corvalan v De Loore, Favorite: ,Cristobal Saavedra-Corv, 9626378   size:6.16,Price: ,1.04,Joris De Loore, 8622401   size:6.16,Price: ,1.04,x
1.121141753, Sport: ,Soccer, Time: ,Sat Oct 17 14:00:00 CEST 2015, Time: ,Sat Oct 17 14:00:00 CEST 2015, Event: ,Wormatia Worms v Waldhof Mannheim, Favorite: ,Waldhof Mannheim, 346909   size:31.3,Price: ,1.75,Wormatia Worms, 2495962   size:45.52,Price: ,5.1,The Draw, 58805   size:14.43,Price: ,3.85,ok
1.121139313, Sport: ,Soccer, Time: ,Sat Oct 17 18:00:00 CEST 2015, Time: ,Sat Oct 17 18:00:00 CEST 2015, Event: ,Galatasaray v Genclerbirligi, Favorite: ,Galatasaray, 2436   size:467.99,Price: ,1.51,Genclerbirligi, 50350   size:329.78,Price: ,7.4,The Draw, 58805   size:124.35,Price: ,4.6,ok
1.121239971, Sport: ,Soccer, Time: ,Sat Oct 17 20:30:00 CEST 2015, Time: ,Sat Oct 17 20:30:00 CEST 2015, Event: ,Cerro v Juventud (Uru), Favorite: ,Cerro, 2329297   size:14.63,Price: ,1.97,Juventud (Uru), 6607159   size:13.78,Price: ,3.5,The Draw, 58805   size:21.55,Price: ,2.84,ok
1.121141871, Sport: ,Soccer, Time: ,Sat Oct 17 17:00:00 CEST 2015, Time: ,Sat Oct 17 17:00:00 CEST 2015, Event: ,Spartak Trnava v Dunajska Streda, Favorite: ,Spartak Trnava, 427643   size:13.54,Price: ,1.94,Dunajska Streda, 3176495   size:13.58,Price: ,3.65,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.121132369, Sport: ,Soccer, Time: ,Sat Oct 17 07:00:00 CEST 2015, Time: ,Sat Oct 17 07:00:00 CEST 2015, Event: ,FC Tokyo v Shonan, Favorite: ,FC Tokyo, 350849   size:24.55,Price: ,2.02,Shonan, 4546954   size:40.53,Price: ,4.1,The Draw, 58805   size:64.48,Price: ,3.65,x
1.121131950, Sport: ,Soccer, Time: ,Sat Oct 17 18:00:00 CEST 2015, Time: ,Sat Oct 17 18:00:00 CEST 2015, Event: ,Lech Poznan v Ruch Chorzow, Favorite: ,Lech Poznan, 502303   size:17.99,Price: ,1.4,Ruch Chorzow, 2160683   size:28.06,Price: ,10.0,The Draw, 58805   size:5.25,Price: ,5.0,x
1.121314028, Sport: ,Tennis, Time: ,Sat Oct 17 12:00:00 CEST 2015, Time: ,Sat Oct 17 12:00:00 CEST 2015, Event: ,Beygelzimer v Kalinskaya, Favorite: ,Yuliya Beygelzimer, 3674505   size:3.65,Price: ,1.2,Anna Kalinskaya, 8907174   size:17.44,Price: ,4.9,x
1.121314026, Sport: ,Tennis, Time: ,Sat Oct 17 13:30:00 CEST 2015, Time: ,Sat Oct 17 13:30:00 CEST 2015, Event: ,G Dabrowski v Vekic, Favorite: ,Donna Vekic, 6603944   size:32.64,Price: ,1.25,Gabriela Dabrowski, 5707430   size:4.99,Price: ,4.7,x
1.121285523, Sport: ,Soccer, Time: ,Sat Oct 17 10:00:00 CEST 2015, Time: ,Sat Oct 17 10:00:00 CEST 2015, Event: ,Dunarea Calarasi v Academica Clinceni, Favorite: ,Dunarea Calarasi, 10238185   size:7.89,Price: ,1.8,Academica Clinceni, 10292565   size:7.22,Price: ,2.34,The Draw, 58805   size:4.12,Price: ,3.25,x
1.121284311, Sport: ,Soccer, Time: ,Sat Oct 17 16:00:00 CEST 2015, Time: ,Sat Oct 17 16:00:00 CEST 2015, Event: ,FK Atlantas v FK Siauliai, Favorite: ,FK Atlantas, 48467   size:8.16,Price: ,1.07,FK Siauliai, 4837271   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,1.25,ok
1.121060455, Sport: ,Cricket, Time: ,Sun Oct 18 03:30:00 CEST 2015, Time: ,Sun Oct 18 03:30:00 CEST 2015, Event: ,Ireland U19 v USA U19, Favorite: ,Ireland U19, 10380956   size:15.99,Price: ,1.04,USA U19, 10380955   size:15.99,Price: ,1.04,ok
1.121329432, Sport: ,Tennis, Time: ,Sat Oct 17 20:15:00 CEST 2015, Time: ,Sat Oct 17 20:15:00 CEST 2015, Event: ,G De Urruticoechea v Villanueva, Favorite: ,Gonzalo De Urruticoeche, 10430046   size:6.16,Price: ,1.04,Gonzalo Villanueva, 9042439   size:6.16,Price: ,1.04,x
1.121132273, Sport: ,Soccer, Time: ,Sat Oct 17 07:00:00 CEST 2015, Time: ,Sat Oct 17 07:00:00 CEST 2015, Event: ,G-Osaka v Urawa, Favorite: ,Urawa, 441088   size:34.86,Price: ,2.4,G-Osaka, 441083   size:503.23,Price: ,3.0,The Draw, 58805   size:28.52,Price: ,3.75,x
1.121294489, Sport: ,Tennis, Time: ,Sat Oct 17 10:30:00 CEST 2015, Time: ,Sat Oct 17 10:30:00 CEST 2015, Event: ,Fabbiano v Myneni, Favorite: ,Thomas Fabbiano, 3019240   size:176.5,Price: ,1.81,Saketh Myneni, 7445661   size:24.53,Price: ,2.0,x
1.121285083, Sport: ,Soccer, Time: ,Sat Oct 17 13:30:00 CEST 2015, Time: ,Sat Oct 17 13:30:00 CEST 2015, Event: ,Polonia Warszawa U19 v AP LKS Lodz U19, Favorite: ,Polonia Warszawa U19, 7196123   size:3.52,Price: ,1.07,AP LKS Lodz U19, 7196125   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,1.25,x
1.121141425, Sport: ,Soccer, Time: ,Sat Oct 17 13:30:00 CEST 2015, Time: ,Sat Oct 17 13:30:00 CEST 2015, Event: ,Tampines Rovers v Hougang Utd, Favorite: ,Tampines Rovers, 5305977   size:2.35,Price: ,1.86,Hougang Utd, 5339978   size:3.56,Price: ,4.2,The Draw, 58805   size:22.84,Price: ,3.6,ok
