1.121167470, Sport: ,Soccer, Time: ,Sun Oct 18 18:00:00 CEST 2015, Time: ,Sun Oct 18 18:00:00 CEST 2015, Event: ,Legia Warsaw v Cracovia Krakow, Favorite: ,Legia Warsaw, 46943   size:23.67,Price: ,1.75,Cracovia Krakow, 880537   size:42.18,Price: ,5.1,The Draw, 58805   size:165.18,Price: ,4.0,ok
1.121336062, Sport: ,Soccer, Time: ,Mon Oct 19 03:00:00 CEST 2015, Time: ,Mon Oct 19 03:00:00 CEST 2015, Event: ,Deportivo Pasto v Tolima, Favorite: ,Deportivo Pasto, 478919   size:65.0,Price: ,2.54,Tolima, 2277370   size:4.35,Price: ,2.96,The Draw, 58805   size:39.64,Price: ,3.2,x
1.121326938, Sport: ,Soccer, Time: ,Sun Oct 18 13:00:00 CEST 2015, Time: ,Sun Oct 18 13:00:00 CEST 2015, Event: ,Shakhtar U19 v Metallist Kharkiv U19, Favorite: ,Shakhtar U19, 7653217   size:3.52,Price: ,1.07,Metallist Kharkiv U19, 6564901   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,3.05,ok
1.121320711, Sport: ,Soccer, Time: ,Sun Oct 18 23:00:00 CEST 2015, Time: ,Sun Oct 18 23:00:00 CEST 2015, Event: ,Rivoli United FC v Reno FC, Favorite: ,Rivoli United FC, 7716748   size:3.52,Price: ,1.07,Reno FC, 8841686   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,3.05,ok
1.121340207, Sport: ,Tennis, Time: ,Sun Oct 18 23:00:00 CEST 2015, Time: ,Sun Oct 18 23:00:00 CEST 2015, Event: ,Ball/Brown v Brunstrom/Nielsen, Favorite: ,Brunstrom/Nielsen, 6677971   size:26.43,Price: ,1.42,Ball/Brown, 10409550   size:19.38,Price: ,1.92,ok
1.121171730, Sport: ,Soccer, Time: ,Mon Oct 19 00:30:00 CEST 2015, Time: ,Mon Oct 19 00:30:00 CEST 2015, Event: ,Cerro Porteno v Sportivo San Lorenzo, Favorite: ,Cerro Porteno, 335852   size:3.82,Price: ,1.37,Sportivo San Lorenzo, 7598628   size:7.34,Price: ,7.6,The Draw, 58805   size:5.95,Price: ,4.7,ok
1.121229245, Sport: ,Ice Hockey, Time: ,Sun Oct 18 16:30:00 CEST 2015, Time: ,Sun Oct 18 16:30:00 CEST 2015, Event: ,Nurnberg v Schwenninger, Favorite: ,Nurnberg, 1032175   size:136.04,Price: ,1.4,Schwenninger, 348569   size:90.5,Price: ,4.8,Tie, 60104   size:90.5,Price: ,4.8,x
1.121340200, Sport: ,Tennis, Time: ,Sun Oct 18 19:30:00 CEST 2015, Time: ,Sun Oct 18 19:30:00 CEST 2015, Event: ,M Vernier v De Loore, Favorite: ,Michel Vernier, 9301995   size:3.08,Price: ,1.08,Joris De Loore, 8622401   size:3.08,Price: ,1.08,x
1.121327344, Sport: ,Soccer, Time: ,Sun Oct 18 21:30:00 CEST 2015, Time: ,Sun Oct 18 21:30:00 CEST 2015, Event: ,Portuguesa (Ven) v Mineros Guayana, Favorite: ,Mineros Guayana, 7456728   size:11.28,Price: ,2.24,Portuguesa (Ven), 8780076   size:2.55,Price: ,3.1,The Draw, 58805   size:5.51,Price: ,3.1,x
1.121166703, Sport: ,Soccer, Time: ,Sun Oct 18 14:30:00 CEST 2015, Time: ,Sun Oct 18 14:30:00 CEST 2015, Event: ,Club Brugge v Oostende, Favorite: ,Club Brugge, 10762   size:5.1,Price: ,1.58,Oostende, 505717   size:186.9,Price: ,6.2,The Draw, 58805   size:45.34,Price: ,4.6,ok
1.121331617, Sport: ,Tennis, Time: ,Sun Oct 18 09:15:00 CEST 2015, Time: ,Sun Oct 18 09:15:00 CEST 2015, Event: ,Gunneswaran v L Sood, Favorite: ,Prajnesh Gunneswaran, 8256934   size:3.62,Price: ,1.21,Lakshit Sood, 8304095   size:9.57,Price: ,4.9,ok
