1.121331617, Sport: ,Tennis, Time: ,Sun Oct 18 08:54:00 CEST 2015, Time: ,Sun Oct 18 08:54:00 CEST 2015, Event: ,Gunneswaran v L Sood, Favorite: ,Prajnesh Gunneswaran, 8256934   size:9.2,Price: ,1.07,Lakshit Sood, 8304095   size:528.78,Price: ,1.5
1.121166168, Sport: ,Soccer, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,Omiya v Tokushima, Favorite: ,Omiya, 1080509   size:1778.42,Price: ,1.95,Tokushima, 5026012   size:2.72,Price: ,5.0,The Draw, 58805   size:26.49,Price: ,3.35
1.121165872, Sport: ,Soccer, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,Kitakyushu v Ehime, Favorite: ,Kitakyushu, 5026013   size:17.58,Price: ,2.68,Ehime, 3455675   size:4.62,Price: ,3.1,The Draw, 58805   size:27.75,Price: ,3.15
1.121165798, Sport: ,Soccer, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,Kamatamare Sanuki v Kumamoto, Favorite: ,Kumamoto, 5021204   size:2.72,Price: ,2.5,Kamatamare Sanuki, 4233864   size:22.85,Price: ,3.6,The Draw, 58805   size:830.21,Price: ,3.0
1.121320557, Sport: ,Soccer, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,FC Machida v Sagamihara, Favorite: ,FC Machida, 6207339   size:13.56,Price: ,1.68,Sagamihara, 9339232   size:12.51,Price: ,6.0,The Draw, 58805   size:48.06,Price: ,3.85
1.121164565, Sport: ,Soccer, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Yau Tsim Mong FT v Wofoo Tai Po, Favorite: ,Yau Tsim Mong FT, 9018590   size:11.16,Price: ,1.32,Wofoo Tai Po, 5204518   size:5.83,Price: ,2.26,The Draw, 58805   size:5.33,Price: ,2.72
1.121163949, Sport: ,Soccer, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Double Flower FA v Wanchai Sports Fed, Favorite: ,Double Flower FA, 8826368   size:2.78,Price: ,2.22,Wanchai Sports Fed, 8856719   size:3.32,Price: ,2.62,The Draw, 58805   size:6.99,Price: ,2.72
1.121164416, Sport: ,Soccer, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Tai Chung v Kwun Tong FA, Favorite: ,Tai Chung, 5236529   size:6.26,Price: ,2.16,Kwun Tong FA, 8923493   size:4.54,Price: ,2.62,The Draw, 58805   size:5.26,Price: ,2.72
1.121333492, Sport: ,Tennis, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Myneni v Jor Thompson, Favorite: ,Jordan Thompson, 8145584   size:14.17,Price: ,1.67,Saketh Myneni, 7445661   size:2.97,Price: ,2.36
1.121316016, Sport: ,Soccer, Time: ,Sun Oct 18 10:15:00 CEST 2015, Time: ,Sun Oct 18 10:15:00 CEST 2015, Event: ,Prevysov v TJ Sokol Zapy, Favorite: ,Prevysov, 5727458   size:2.31,Price: ,2.16,TJ Sokol Zapy, 7304491   size:3.0,Price: ,3.0,The Draw, 58805   size:6.85,Price: ,3.6
1.121316181, Sport: ,Soccer, Time: ,Sun Oct 18 10:30:00 CEST 2015, Time: ,Sun Oct 18 10:30:00 CEST 2015, Event: ,Zlin II v 1. FC Slovacko II, Favorite: ,Zlin II, 5949299   size:10.57,Price: ,1.22,1. FC Slovacko II, 6391861   size:3.0,Price: ,4.3,The Draw, 58805   size:4.99,Price: ,3.15
1.121333269, Sport: ,Tennis, Time: ,Sun Oct 18 10:30:00 CEST 2015, Time: ,Sun Oct 18 10:30:00 CEST 2015, Event: ,N Djokovic v Tsonga, Favorite: ,Novak Djokovic, 2249229   size:354050.77,Price: ,1.1,Jo-Wilfried Tsonga, 4190307   size:4220.52,Price: ,10.5
1.121316800, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK Teplice U19 v FK Mlada Boleslav U19, Favorite: ,FK Teplice U19, 6395178   size:10.57,Price: ,1.22,FK Mlada Boleslav U19, 6531940   size:10.57,Price: ,1.22,The Draw, 58805   size:5.82,Price: ,3.15
1.121318523, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Arka Gdynia 1929 U19 v KS Ruch Chorzow U19, Favorite: ,Arka Gdynia 1929 U19, 6486118   size:10.57,Price: ,1.22,KS Ruch Chorzow U19, 7619069   size:10.57,Price: ,1.22,The Draw, 58805   size:4.99,Price: ,3.15
1.121316350, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Calcio Como U19 v AC Perugia U19, Favorite: ,AC Perugia U19, 8842107   size:2.55,Price: ,1.35,Calcio Como U19, 9509684   size:2.55,Price: ,2.26,The Draw, 58805   size:4.99,Price: ,3.15
1.121316250, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK MAS Taborsko II v Tachov, Favorite: ,FK MAS Taborsko II, 10153983   size:3.85,Price: ,1.61,Tachov, 4142626   size:53.96,Price: ,4.1,The Draw, 58805   size:56.49,Price: ,3.35
1.121334207, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Bertens v Cepelova, Favorite: ,Kiki Bertens, 5611697   size:41.84,Price: ,1.44,Jana Cepelova, 5303559   size:37.79,Price: ,2.8
1.121316239, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,AC Chievo Verona U19 v AC Milan U19, Favorite: ,AC Chievo Verona U19, 6796818   size:4.99,Price: ,1.37,AC Milan U19, 2502326   size:4.99,Price: ,1.44,The Draw, 58805   size:4.99,Price: ,3.15
1.121334015, Sport: ,Tennis, Time: ,Sun Oct 18 11:30:00 CEST 2015, Time: ,Sun Oct 18 11:30:00 CEST 2015, Event: ,Arruabarrena/Klepac v Cornet/Shvedova, Favorite: ,Cornet/Shvedova, 10407862   size:8.77,Price: ,1.64,Arruabarrena/Klepac, 10108710   size:2.34,Price: ,2.14
1.121325207, Sport: ,Soccer, Time: ,Sun Oct 18 11:30:00 CEST 2015, Time: ,Sun Oct 18 11:30:00 CEST 2015, Event: ,Coria CF v CD Cabecense, Favorite: ,Coria CF, 6450526   size:2.55,Price: ,1.35,CD Cabecense, 7764344   size:2.55,Price: ,2.16,The Draw, 58805   size:4.99,Price: ,3.1
1.121325262, Sport: ,Soccer, Time: ,Sun Oct 18 11:30:00 CEST 2015, Time: ,Sun Oct 18 11:30:00 CEST 2015, Event: ,Deportivo Alaves II v CD Santurtzi, Favorite: ,Deportivo Alaves II, 6929140   size:10.57,Price: ,1.22,CD Santurtzi, 8826846   size:10.57,Price: ,1.22,The Draw, 58805   size:4.99,Price: ,3.1
1.121322326, Sport: ,Soccer, Time: ,Sun Oct 18 11:30:00 CEST 2015, Time: ,Sun Oct 18 11:30:00 CEST 2015, Event: ,Ath Bilbao II (W) v CDEF Logrono (W), Favorite: ,Ath Bilbao II (W), 8278781   size:10.57,Price: ,1.22,CDEF Logrono (W), 10428910   size:10.57,Price: ,1.22,The Draw, 58805   size:10.57,Price: ,3.1
1.121224910, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Betis B v Recreativo Huelva, Favorite: ,Recreativo Huelva, 7449173   size:20.1,Price: ,2.7,Betis B, 2522844   size:2.7,Price: ,3.05,The Draw, 58805   size:9.38,Price: ,3.15
1.121325592, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Internacional de Madrid v Club Atletico de Pinto, Favorite: ,Club Atletico de Pinto, 7636389   size:134.67,Price: ,1.06,Internacional de Madrid, 9376529   size:4.99,Price: ,1.08,The Draw, 58805   size:4.99,Price: ,3.1
1.121325151, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Condal CF v CD Roces, Favorite: ,CD Roces, 8808432   size:134.67,Price: ,1.06,Condal CF, 9320403   size:4.99,Price: ,1.08,The Draw, 58805   size:4.99,Price: ,3.1
1.121318087, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Rakow Czestochowa v Energetyk ROW, Favorite: ,Rakow Czestochowa, 5876552   size:12.66,Price: ,1.88,Energetyk ROW, 7444778   size:2.48,Price: ,3.8,The Draw, 58805   size:22.91,Price: ,3.2
