1.121331617, Sport: ,Tennis, Time: ,Sun Oct 18 08:54:00 CEST 2015, Time: ,Sun Oct 18 08:54:00 CEST 2015, Event: ,Gunneswaran v L Sood, Favorite: ,Prajnesh Gunneswaran, 8256934   size:24.89,Price: ,1.03,Lakshit Sood, 8304095   size:4.88,Price: ,1.03
1.121320557, Sport: ,Soccer, Time: ,Sun Oct 18 09:00:00 CEST 2015, Time: ,Sun Oct 18 09:00:00 CEST 2015, Event: ,FC Machida v Sagamihara, Favorite: ,FC Machida, 6207339   size:63.14,Price: ,2.04,Sagamihara, 9339232   size:2.72,Price: ,5.6,The Draw, 58805   size:13.05,Price: ,2.88
1.121164565, Sport: ,Soccer, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Yau Tsim Mong FT v Wofoo Tai Po, Favorite: ,Wofoo Tai Po, 5204518   size:2.87,Price: ,1.05,Yau Tsim Mong FT, 9018590   size:9.87,Price: ,2.4,The Draw, 58805   size:10.57,Price: ,2.22
1.121163949, Sport: ,Soccer, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Double Flower FA v Wanchai Sports Fed, Favorite: ,Double Flower FA, 8826368   size:2.87,Price: ,1.05,Wanchai Sports Fed, 8856719   size:10.57,Price: ,1.75,The Draw, 58805   size:10.57,Price: ,2.22
1.121164416, Sport: ,Soccer, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Tai Chung v Kwun Tong FA, Favorite: ,Tai Chung, 5236529   size:118.49,Price: ,2.08,Kwun Tong FA, 8923493   size:10.55,Price: ,3.0,The Draw, 58805   size:71.2,Price: ,3.7
1.121333492, Sport: ,Tennis, Time: ,Sun Oct 18 09:32:00 CEST 2015, Time: ,Sun Oct 18 09:32:00 CEST 2015, Event: ,Myneni v Jor Thompson, Favorite: ,Jordan Thompson, 8145584   size:17.56,Price: ,1.72,Saketh Myneni, 7445661   size:13.3,Price: ,2.04
1.121316016, Sport: ,Soccer, Time: ,Sun Oct 18 10:15:00 CEST 2015, Time: ,Sun Oct 18 10:15:00 CEST 2015, Event: ,Prevysov v TJ Sokol Zapy, Favorite: ,Prevysov, 5727458   size:13.85,Price: ,2.12,TJ Sokol Zapy, 7304491   size:8.57,Price: ,3.05,The Draw, 58805   size:7.65,Price: ,3.65
1.121316072, Sport: ,Soccer, Time: ,Sun Oct 18 10:15:00 CEST 2015, Time: ,Sun Oct 18 10:15:00 CEST 2015, Event: ,Zizkov v Zenit Caslav, Favorite: ,Zizkov, 50333   size:7.21,Price: ,1.65,Zenit Caslav, 3985001   size:4.04,Price: ,5.1,The Draw, 58805   size:5.35,Price: ,3.95
1.121316181, Sport: ,Soccer, Time: ,Sun Oct 18 10:30:00 CEST 2015, Time: ,Sun Oct 18 10:30:00 CEST 2015, Event: ,Zlin II v 1. FC Slovacko II, Favorite: ,Zlin II, 5949299   size:10.57,Price: ,1.22,1. FC Slovacko II, 6391861   size:3.0,Price: ,4.3,The Draw, 58805   size:4.99,Price: ,3.15
1.121333269, Sport: ,Tennis, Time: ,Sun Oct 18 10:30:00 CEST 2015, Time: ,Sun Oct 18 10:30:00 CEST 2015, Event: ,N Djokovic v Tsonga, Favorite: ,Novak Djokovic, 2249229   size:325621.65,Price: ,1.1,Jo-Wilfried Tsonga, 4190307   size:4003.09,Price: ,10.5
1.121316350, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Calcio Como U19 v AC Perugia U19, Favorite: ,AC Perugia U19, 8842107   size:3.0,Price: ,2.1,Calcio Como U19, 9509684   size:3.0,Price: ,2.84,The Draw, 58805   size:4.99,Price: ,3.15
1.121316250, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK MAS Taborsko II v Tachov, Favorite: ,FK MAS Taborsko II, 10153983   size:3.85,Price: ,1.61,Tachov, 4142626   size:3.95,Price: ,4.6,The Draw, 58805   size:56.49,Price: ,3.35
