1.121339893, Sport: ,Tennis, Time: ,Tue Oct 20 19:14:00 CEST 2015, Time: ,Tue Oct 20 19:14:00 CEST 2015, Event: ,M Linzer v Dutra Silva, Favorite: ,Rogerio Dutra Silva, 2301068   size:209.59,Price: ,1.33,Michael Linzer, 7216260   size:6.04,Price: ,3.75,x
1.121339840, Sport: ,Basketball, Time: ,Tue Oct 20 18:26:00 CEST 2015, Time: ,Tue Oct 20 18:26:00 CEST 2015, Event: ,Horsens v BK Stevnsgade, Favorite: ,Horsens, 6719071   size:70.52,Price: ,1.01,BK Stevnsgade, 10379235   size:5.79,Price: ,8.6,ok
1.121339971, Sport: ,Tennis, Time: ,Tue Oct 20 21:15:00 CEST 2015, Time: ,Tue Oct 20 21:15:00 CEST 2015, Event: ,Du Brown v Zemlja, Favorite: ,Dustin Brown, 4486603   size:2.54,Price: ,1.56,Grega Zemlja, 3509269   size:6.08,Price: ,2.54,x
1.121340328, Sport: ,Tennis, Time: ,Wed Oct 21 05:00:00 CEST 2015, Time: ,Wed Oct 21 05:00:00 CEST 2015, Event: ,Hsieh/Zhang v Cipolla/Lamasine, Favorite: ,Hsieh/Zhang, 10433867   size:6.16,Price: ,1.04,Cipolla/Lamasine, 10433868   size:6.16,Price: ,1.04,ok
1.121362197, Sport: ,Tennis, Time: ,Wed Oct 21 04:30:00 CEST 2015, Time: ,Wed Oct 21 04:30:00 CEST 2015, Event: ,J Lu v K Zhang, Favorite: ,Kai-Lin Zhang, 8710301   size:5.51,Price: ,1.69,Jing Jing Lu, 5021659   size:8.27,Price: ,2.26,ok
1.121362196, Sport: ,Tennis, Time: ,Wed Oct 21 04:30:00 CEST 2015, Time: ,Wed Oct 21 04:30:00 CEST 2015, Event: ,Q Wang v H Kuwata, Favorite: ,Qiang Wang, 6145777   size:3.82,Price: ,1.31,Hiroko Kuwata, 8732124   size:28.16,Price: ,3.85,x
1.121244361, Sport: ,Ice Hockey, Time: ,Tue Oct 20 19:00:00 CEST 2015, Time: ,Tue Oct 20 19:00:00 CEST 2015, Event: ,Djurgardens v MODO, Favorite: ,Djurgardens, 988206   size:8.17,Price: ,1.01,MODO, 60824   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,ok
1.121220390, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Shrewsbury v Doncaster, Favorite: ,Shrewsbury, 148735   size:109.08,Price: ,2.24,Doncaster, 49205   size:283.39,Price: ,3.55,The Draw, 58805   size:55.95,Price: ,3.55,x
1.121218507, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Rangers v Livingston, Favorite: ,Rangers, 56085   size:875.26,Price: ,1.13,Livingston, 57423   size:3.92,Price: ,26.0,The Draw, 58805   size:15.64,Price: ,11.5,ok
1.121346427, Sport: ,Ice Hockey, Time: ,Wed Oct 21 01:05:00 CEST 2015, Time: ,Wed Oct 21 01:05:00 CEST 2015, Event: ,Florida @ Pittsburgh, Favorite: ,Pittsburgh, 2115995   size:136.19,Price: ,2.1,Florida, 2112317   size:469.61,Price: ,3.1,Tie, 60104   size:526.0,Price: ,4.0,x
1.121362513, Sport: ,Basketball, Time: ,Wed Oct 21 03:00:00 CEST 2015, Time: ,Wed Oct 21 03:00:00 CEST 2015, Event: ,Minnesota @ Milwaukee, Favorite: ,Milwaukee, 13115   size:6.45,Price: ,1.58,Minnesota, 13118   size:5.72,Price: ,2.42,ok
1.121236217, Sport: ,Soccer, Time: ,Wed Oct 21 01:00:00 CEST 2015, Time: ,Wed Oct 21 01:00:00 CEST 2015, Event: ,Bahia v Criciuma, Favorite: ,Bahia, 198139   size:41.72,Price: ,1.5,Criciuma, 356589   size:87.15,Price: ,9.0,The Draw, 58805   size:335.21,Price: ,4.3,ok
1.121238194, Sport: ,Ice Hockey, Time: ,Tue Oct 20 19:00:00 CEST 2015, Time: ,Tue Oct 20 19:00:00 CEST 2015, Event: ,Leksand v Almtuna, Favorite: ,Leksand, 2358271   size:8.17,Price: ,1.01,Almtuna, 539697   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,x
1.121331699, Sport: ,Tennis, Time: ,Tue Oct 20 20:15:00 CEST 2015, Time: ,Tue Oct 20 20:15:00 CEST 2015, Event: ,D Ferrer v Ramos-Vinolas, Favorite: ,David Ferrer, 2257314   size:2995.43,Price: ,1.18,Albert Ramos-Vinolas, 8621877   size:99.49,Price: ,6.2,ok
1.120999981, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Leverkusen v Roma, Favorite: ,Leverkusen, 44787   size:11736.18,Price: ,2.02,Roma, 56967   size:717.67,Price: ,4.0,The Draw, 58805   size:398.6,Price: ,3.8,x
1.121238199, Sport: ,Ice Hockey, Time: ,Tue Oct 20 19:00:00 CEST 2015, Time: ,Tue Oct 20 19:00:00 CEST 2015, Event: ,Sundsvall v Oskarshamn, Favorite: ,Sundsvall, 247097   size:8.17,Price: ,1.01,Oskarshamn, 247121   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,x
1.121239167, Sport: ,Ice Hockey, Time: ,Tue Oct 20 19:45:00 CEST 2015, Time: ,Tue Oct 20 19:45:00 CEST 2015, Event: ,ZSC Lions v Biel, Favorite: ,ZSC Lions, 243260   size:16.59,Price: ,1.52,Biel, 3315685   size:43.08,Price: ,5.5,Tie, 60104   size:54.91,Price: ,5.0,ok
1.121239166, Sport: ,Ice Hockey, Time: ,Tue Oct 20 19:45:00 CEST 2015, Time: ,Tue Oct 20 19:45:00 CEST 2015, Event: ,Kloten Flyers v Zug, Favorite: ,Kloten Flyers, 243255   size:2.08,Price: ,2.4,Zug, 257975   size:30.58,Price: ,2.44,Tie, 60104   size:62.59,Price: ,4.1,ok
1.121239169, Sport: ,Ice Hockey, Time: ,Tue Oct 20 19:45:00 CEST 2015, Time: ,Tue Oct 20 19:45:00 CEST 2015, Event: ,Lausanne HC v SCL Tigers, Favorite: ,Lausanne HC, 7555451   size:28.41,Price: ,1.91,SCL Tigers, 243257   size:7.59,Price: ,3.6,Tie, 60104   size:56.08,Price: ,4.4,x
1.121349099, Sport: ,Soccer, Time: ,Tue Oct 20 21:00:00 CEST 2015, Time: ,Tue Oct 20 21:00:00 CEST 2015, Event: ,Airdrieonians U20 v Morton U20, Favorite: ,Morton U20, 9243451   size:5.0,Price: ,1.27,Airdrieonians U20, 9220054   size:6.68,Price: ,1.56,The Draw, 58805   size:11.36,Price: ,3.3,ok
1.121362509, Sport: ,Basketball, Time: ,Wed Oct 21 03:00:00 CEST 2015, Time: ,Wed Oct 21 03:00:00 CEST 2015, Event: ,Indiana @ Chicago, Favorite: ,Indiana, 13116   size:6.19,Price: ,1.69,Chicago, 13117   size:2.82,Price: ,2.18,x
1.121223264, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,QPR v Sheff Wed, Favorite: ,Sheff Wed, 47992   size:58.34,Price: ,2.78,QPR, 62684   size:213.35,Price: ,2.88,The Draw, 58805   size:310.82,Price: ,3.35,x
1.121223540, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Rotherham v Reading, Favorite: ,Reading, 103122   size:1104.22,Price: ,1.91,Rotherham, 18565   size:204.95,Price: ,4.8,The Draw, 58805   size:139.26,Price: ,3.65,x
1.121359103, Sport: ,Soccer, Time: ,Tue Oct 20 19:45:00 CEST 2015, Time: ,Tue Oct 20 19:45:00 CEST 2015, Event: ,ENPPI v Haras El Hodood, Favorite: ,ENPPI, 5259327   size:15.08,Price: ,1.62,Haras El Hodood, 5168506   size:8.44,Price: ,7.6,The Draw, 58805   size:20.97,Price: ,3.7,x
1.121224994, Sport: ,Ice Hockey, Time: ,Tue Oct 20 19:00:00 CEST 2015, Time: ,Tue Oct 20 19:00:00 CEST 2015, Event: ,Odense v Herlev, Favorite: ,Odense, 70624   size:8.17,Price: ,1.01,Herlev, 227439   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,ok
1.121350019, Sport: ,Tennis, Time: ,Wed Oct 21 01:00:00 CEST 2015, Time: ,Wed Oct 21 01:00:00 CEST 2015, Event: ,Hach Verdugo/Sarkissian v Cluskey/Walsh, Favorite: ,Hach Verdugo/Sarkissian, 10220759   size:6.16,Price: ,1.04,Cluskey/Walsh, 8715891   size:6.16,Price: ,1.04,x
1.121339858, Sport: ,Basketball, Time: ,Tue Oct 20 18:45:00 CEST 2015, Time: ,Tue Oct 20 18:45:00 CEST 2015, Event: ,Maccabi Ashdod v Ironi Nahariya, Favorite: ,Ironi Nahariya, 8894680   size:68.09,Price: ,1.03,Maccabi Ashdod, 7758972   size:367.05,Price: ,1.12,ok
1.121221648, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Blackpool v Millwall, Favorite: ,Millwall, 56036   size:315.91,Price: ,1.98,Blackpool, 64964   size:10.32,Price: ,4.3,The Draw, 58805   size:251.98,Price: ,3.75,x
1.121000810, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Valencia v Gent, Favorite: ,Valencia, 66183   size:2296.04,Price: ,1.43,Gent, 350594   size:358.68,Price: ,9.4,The Draw, 58805   size:21.06,Price: ,5.1,ok
1.121238191, Sport: ,Ice Hockey, Time: ,Tue Oct 20 19:00:00 CEST 2015, Time: ,Tue Oct 20 19:00:00 CEST 2015, Event: ,Bjorkloven v Timra, Favorite: ,Bjorkloven, 247108   size:8.17,Price: ,1.01,Timra, 237393   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,x
1.121350017, Sport: ,Tennis, Time: ,Tue Oct 20 23:00:00 CEST 2015, Time: ,Tue Oct 20 23:00:00 CEST 2015, Event: ,O'Brien/Roelofse v Behar/Gonzales, Favorite: ,O'Brien/Roelofse, 9545182   size:3.29,Price: ,1.52,Behar/Gonzales, 10248541   size:2.12,Price: ,2.36,ok
1.121371876, Sport: ,Tennis, Time: ,Tue Oct 20 18:41:00 CEST 2015, Time: ,Tue Oct 20 18:41:00 CEST 2015, Event: ,Almagro v J Nieminen, Favorite: ,Jarkko Nieminen, 2257304   size:9169.95,Price: ,1.29,Nicolas Almagro, 2257310   size:191.8,Price: ,3.55,x
1.121362102, Sport: ,Tennis, Time: ,Tue Oct 20 21:15:00 CEST 2015, Time: ,Tue Oct 20 21:15:00 CEST 2015, Event: ,Lapentti v A Matias, Favorite: ,Giovanni Lapentti, 1565   size:801.31,Price: ,1.02,Ace Matias, 10438749   size:5.7,Price: ,8.6,ok
1.121362222, Sport: ,Handball, Time: ,Tue Oct 20 20:30:00 CEST 2015, Time: ,Tue Oct 20 20:30:00 CEST 2015, Event: ,Puerto Sagunto v La Rioja, Favorite: ,La Rioja, 4995928   size:120.68,Price: ,1.17,Puerto Sagunto, 4995922   size:45.49,Price: ,8.6,Draw, 330157   size:34.52,Price: ,11.0,ok
1.121234048, Sport: ,Soccer, Time: ,Wed Oct 21 02:00:00 CEST 2015, Time: ,Wed Oct 21 02:00:00 CEST 2015, Event: ,Leon v Cruz Azul, Favorite: ,Leon, 4468457   size:246.96,Price: ,2.22,Cruz Azul, 328204   size:21.9,Price: ,3.35,The Draw, 58805   size:5.0,Price: ,3.75,ok
1.121220719, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Colchester v Port Vale, Favorite: ,Colchester, 148734   size:50.51,Price: ,2.48,Port Vale, 256373   size:25.67,Price: ,3.1,The Draw, 58805   size:283.42,Price: ,3.6,ok
1.121233992, Sport: ,Soccer, Time: ,Wed Oct 21 04:15:00 CEST 2015, Time: ,Wed Oct 21 04:15:00 CEST 2015, Event: ,Guadalajara v Veracruz, Favorite: ,Guadalajara, 230909   size:207.33,Price: ,2.06,Veracruz, 328922   size:8.71,Price: ,4.1,The Draw, 58805   size:5.31,Price: ,3.4,x
1.121339980, Sport: ,Tennis, Time: ,Tue Oct 20 23:00:00 CEST 2015, Time: ,Tue Oct 20 23:00:00 CEST 2015, Event: ,Fritz v N Barrientos, Favorite: ,Taylor Fritz, 10279360   size:2.91,Price: ,1.16,Nicolas Barrientos, 7083200   size:5.0,Price: ,5.9,ok
1.121322323, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,The New Saints v Haverfordwest, Favorite: ,The New Saints, 3667304   size:37.24,Price: ,1.14,Haverfordwest, 866240   size:2.72,Price: ,18.0,The Draw, 58805   size:2.54,Price: ,5.9,ok
1.121346432, Sport: ,Ice Hockey, Time: ,Wed Oct 21 01:05:00 CEST 2015, Time: ,Wed Oct 21 01:05:00 CEST 2015, Event: ,NY Islanders @ Columbus, Favorite: ,NY Islanders, 60105   size:106.19,Price: ,2.22,Columbus, 2114347   size:240.19,Price: ,2.96,Tie, 60104   size:451.99,Price: ,4.1,ok
1.121218617, Sport: ,Soccer, Time: ,Tue Oct 20 20:00:00 CEST 2015, Time: ,Tue Oct 20 20:00:00 CEST 2015, Event: ,Celtic U19 v HJK Helsinki U19, Favorite: ,Celtic U19, 6569321   size:9.94,Price: ,1.15,HJK Helsinki U19, 7292471   size:5.31,Price: ,19.0,The Draw, 58805   size:7.08,Price: ,10.0,x
1.121346437, Sport: ,Ice Hockey, Time: ,Wed Oct 21 01:35:00 CEST 2015, Time: ,Wed Oct 21 01:35:00 CEST 2015, Event: ,Dallas @ Philadelphia, Favorite: ,Dallas, 2108116   size:466.0,Price: ,2.38,Philadelphia, 2109791   size:112.01,Price: ,2.7,Tie, 60104   size:342.0,Price: ,3.95,ok
1.121219703, Sport: ,Soccer, Time: ,Tue Oct 20 18:30:00 CEST 2015, Time: ,Tue Oct 20 18:30:00 CEST 2015, Event: ,FC Liefering v FC Wacker Innsbruck, Favorite: ,FC Liefering, 7321769   size:353.55,Price: ,2.02,FC Wacker Innsbruck, 2469752   size:11.59,Price: ,5.2,The Draw, 58805   size:95.23,Price: ,3.05,x
1.121340332, Sport: ,Tennis, Time: ,Wed Oct 21 08:00:00 CEST 2015, Time: ,Wed Oct 21 08:00:00 CEST 2015, Event: ,Matsui/Moriya v Mektic/Skugor, Favorite: ,Matsui/Moriya, 10433869   size:6.16,Price: ,1.04,Mektic/Skugor, 9146543   size:6.16,Price: ,1.04,x
1.121362502, Sport: ,Basketball, Time: ,Wed Oct 21 05:30:00 CEST 2015, Time: ,Wed Oct 21 05:30:00 CEST 2015, Event: ,Golden State @ LA Clippers, Favorite: ,LA Clippers, 237489   size:5.72,Price: ,1.65,Golden State, 13126   size:5.72,Price: ,2.24,ok
1.121322321, Sport: ,Soccer, Time: ,Tue Oct 20 20:30:00 CEST 2015, Time: ,Tue Oct 20 20:30:00 CEST 2015, Event: ,Denbigh Town v Airbus UK, Favorite: ,Airbus UK, 3667303   size:5.23,Price: ,1.63,Denbigh Town, 8758174   size:3.83,Price: ,4.7,The Draw, 58805   size:2.7,Price: ,3.9,x
1.121349265, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Clyde U20 v Stranraer U20, Favorite: ,Clyde U20, 9220046   size:6.88,Price: ,1.38,Stranraer U20, 10341089   size:5.88,Price: ,2.94,The Draw, 58805   size:5.73,Price: ,3.45,x
1.121244356, Sport: ,Ice Hockey, Time: ,Tue Oct 20 19:00:00 CEST 2015, Time: ,Tue Oct 20 19:00:00 CEST 2015, Event: ,Orebro v Brynas, Favorite: ,Orebro, 247111   size:8.17,Price: ,1.01,Brynas, 60812   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,ok
1.121352301, Sport: ,Tennis, Time: ,Tue Oct 20 20:15:00 CEST 2015, Time: ,Tue Oct 20 20:15:00 CEST 2015, Event: ,Krajinovic v G Dimitrov, Favorite: ,Grigor Dimitrov, 3120169   size:1498.88,Price: ,1.25,Filip Krajinovic, 3509265   size:30.61,Price: ,4.8,ok
1.121000383, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Porto v Maccabi Tel Aviv, Favorite: ,Porto, 48785   size:2677.44,Price: ,1.19,Maccabi Tel Aviv, 197970   size:173.59,Price: ,25.0,The Draw, 58805   size:1694.05,Price: ,8.2,ok
1.121000266, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Dinamo Zagreb v Olympiakos, Favorite: ,Olympiakos, 55243   size:88.92,Price: ,2.62,Dinamo Zagreb, 50344   size:798.54,Price: ,3.05,The Draw, 58805   size:5512.35,Price: ,3.35,ok
1.121350481, Sport: ,Tennis, Time: ,Wed Oct 21 04:30:00 CEST 2015, Time: ,Wed Oct 21 04:30:00 CEST 2015, Event: ,Y Zhang v E Kulichkova, Favorite: ,Elizaveta Kulichkova, 7795296   size:8.27,Price: ,1.12,Yuxuan Zhang, 6949174   size:2.85,Price: ,7.2,x
1.121221770, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Yeovil v Mansfield, Favorite: ,Mansfield, 69716   size:83.19,Price: ,2.38,Yeovil, 132555   size:14.62,Price: ,3.35,The Draw, 58805   size:317.64,Price: ,3.4,ok
1.121339905, Sport: ,Tennis, Time: ,Tue Oct 20 20:15:00 CEST 2015, Time: ,Tue Oct 20 20:15:00 CEST 2015, Event: ,Michon v Ghem, Favorite: ,Andre Ghem, 5304700   size:6.1,Price: ,1.55,Axel Michon, 4994683   size:3.74,Price: ,2.58,ok
1.121218452, Sport: ,Soccer, Time: ,Tue Oct 20 18:30:00 CEST 2015, Time: ,Tue Oct 20 18:30:00 CEST 2015, Event: ,Hapoel Katamon v Ironi Ramat HaSharon, Favorite: ,The Draw, 58805   size:402.99,Price: ,2.24,Hapoel Katamon, 7629623   size:212.0,Price: ,3.35,Ironi Ramat HaSharon, 6242601   size:333.0,Price: ,2.5,ok
1.121227477, Sport: ,Soccer, Time: ,Tue Oct 20 19:00:00 CEST 2015, Time: ,Tue Oct 20 19:00:00 CEST 2015, Event: ,Frejus St-Raphael v Orleans, Favorite: ,Orleans, 2225922   size:67.56,Price: ,2.48,Frejus St-Raphael, 6063342   size:98.85,Price: ,3.6,The Draw, 58805   size:76.12,Price: ,3.0,ok
1.121222221, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Wycombe v Newport County, Favorite: ,Wycombe, 49584   size:266.71,Price: ,1.62,Newport County, 62623   size:53.94,Price: ,6.2,The Draw, 58805   size:183.51,Price: ,4.2,x
1.121350249, Sport: ,Tennis, Time: ,Wed Oct 21 07:45:00 CEST 2015, Time: ,Wed Oct 21 07:45:00 CEST 2015, Event: ,Ye Lu v Weintraub, Favorite: ,Yen-Hsun Lu, 8287128   size:2.46,Price: ,1.1,Amir Weintraub, 5822663   size:5.8,Price: ,8.0,ok
1.121348050, Sport: ,Soccer, Time: ,Tue Oct 20 18:15:00 CEST 2015, Time: ,Tue Oct 20 18:15:00 CEST 2015, Event: ,Lions Gibraltar (Res) v Manchester 62 FC (Res), Favorite: ,Manchester 62 FC (Res), 10435435   size:2.0,Price: ,1.17,Lions Gibraltar (Res), 10435433   size:22.0,Price: ,6.0,The Draw, 58805   size:44.0,Price: ,3.2,ok
1.121347082, Sport: ,Soccer, Time: ,Tue Oct 20 20:15:00 CEST 2015, Time: ,Tue Oct 20 20:15:00 CEST 2015, Event: ,Leon de Huanuco v Real Garcilaso, Favorite: ,Real Garcilaso, 6204632   size:35.05,Price: ,2.72,Leon de Huanuco, 5176230   size:40.85,Price: ,2.84,The Draw, 58805   size:4.08,Price: ,3.45,ok
1.121350006, Sport: ,Tennis, Time: ,Wed Oct 21 01:00:00 CEST 2015, Time: ,Wed Oct 21 01:00:00 CEST 2015, Event: ,Ramirez/Reyes-Varela v Bangoura/Seeberger, Favorite: ,Ramirez/Reyes-Varela, 8329159   size:3.29,Price: ,1.52,Bangoura/Seeberger, 10435760   size:2.14,Price: ,2.34,ok
1.121356621, Sport: ,Tennis, Time: ,Tue Oct 20 19:30:00 CEST 2015, Time: ,Tue Oct 20 19:30:00 CEST 2015, Event: ,Van Uytvanck v Hogenkamp, Favorite: ,Alison Van Uytvanck, 5548385   size:1509.49,Price: ,1.38,Richel Hogenkamp, 6440521   size:110.32,Price: ,3.5,ok
1.121223952, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Hull v Ipswich, Favorite: ,Hull, 70385   size:543.69,Price: ,1.94,Ipswich, 48324   size:461.37,Price: ,4.6,The Draw, 58805   size:564.12,Price: ,3.6,ok
1.121220963, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Barnsley v Walsall, Favorite: ,Walsall, 55213   size:88.8,Price: ,2.76,Barnsley, 1117   size:75.8,Price: ,2.78,The Draw, 58805   size:682.32,Price: ,3.5,ok
1.121350245, Sport: ,Tennis, Time: ,Wed Oct 21 06:00:00 CEST 2015, Time: ,Wed Oct 21 06:00:00 CEST 2015, Event: ,Moriya v Gojowczyk, Favorite: ,Peter Gojowczyk, 4691416   size:3.7,Price: ,1.35,Hiroki Moriya, 5858055   size:15.19,Price: ,3.55,ok
1.121220841, Sport: ,Soccer, Time: ,Tue Oct 20 20:45:00 CEST 2015, Time: ,Tue Oct 20 20:45:00 CEST 2015, Event: ,Chesterfield v Southend, Favorite: ,Chesterfield, 219596   size:31.69,Price: ,2.62,Southend, 69719   size:114.21,Price: ,2.9,The Draw, 58805   size:762.95,Price: ,3.5,ok
1.121362256, Sport: ,Tennis, Time: ,Wed Oct 21 05:45:00 CEST 2015, Time: ,Wed Oct 21 05:45:00 CEST 2015, Event: ,Y Wang v Xu, Favorite: ,Yafan Wang, 7695509   size:3.6,Price: ,1.39,Yi-Fan Xu, 2550525   size:28.8,Price: ,3.15,ok
1.121340624, Sport: ,Tennis, Time: ,Tue Oct 20 19:30:00 CEST 2015, Time: ,Tue Oct 20 19:30:00 CEST 2015, Event: ,Dabrowski/Olaru v Bukhanko/Majoli, Favorite: ,Dabrowski/Olaru, 10434335   size:107.99,Price: ,1.07,Bukhanko/Majoli, 10434336   size:2.72,Price: ,8.6,ok
1.121339870, Sport: ,Basketball, Time: ,Tue Oct 20 19:04:00 CEST 2015, Time: ,Tue Oct 20 19:04:00 CEST 2015, Event: ,Nassjo v Orebro, Favorite: ,Nassjo, 7735757   size:68.09,Price: ,1.03,Orebro, 7723717   size:68.09,Price: ,1.03,ok
1.121322319, Sport: ,Soccer, Time: ,Tue Oct 20 20:30:00 CEST 2015, Time: ,Tue Oct 20 20:30:00 CEST 2015, Event: ,Connahs Quay v Caernarfon Town, Favorite: ,Connahs Quay, 339727   size:20.85,Price: ,1.6,Caernarfon Town, 3664465   size:2.54,Price: ,5.4,The Draw, 58805   size:7.42,Price: ,4.4,x
1.121350825, Sport: ,Basketball, Time: ,Wed Oct 21 02:30:00 CEST 2015, Time: ,Wed Oct 21 02:30:00 CEST 2015, Event: ,Libertad v Olimpico, Favorite: ,Olimpico, 6719115   size:3.52,Price: ,1.07,Libertad, 6719116   size:2.54,Price: ,1.25,x
