1.121234436, Sport: ,Soccer, Time: ,Wed Oct 21 22:00:00 CEST 2015, Time: ,Wed Oct 21 22:00:00 CEST 2015, Event: ,Academia Puerto Cabello v UCV FC, Favorite: ,Academia Puerto Cabello, 10083750   size:3.52,Price: ,1.07,UCV FC, 10058063   size:3.52,Price: ,1.07,The Draw, 58805   size:8.15,Price: ,2.88,x
1.121369429, Sport: ,Tennis, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,Millman v G Muller, Favorite: ,Gilles Muller, 2248579   size:69.76,Price: ,1.43,John Millman, 4415206   size:31.09,Price: ,3.25,ok
1.121234158, Sport: ,Soccer, Time: ,Wed Oct 21 20:30:00 CEST 2015, Time: ,Wed Oct 21 20:30:00 CEST 2015, Event: ,SD Logrones v ACD San Marcial, Favorite: ,SD Logrones, 6399685   size:3.52,Price: ,1.07,ACD San Marcial, 8344332   size:5.47,Price: ,1.07,The Draw, 58805   size:8.15,Price: ,2.88,ok
1.121330083, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Khachanov v Marchenko, Favorite: ,Illya Marchenko, 3691700   size:4.47,Price: ,1.46,Karen Khachanov, 7659623   size:12.91,Price: ,2.82,x
1.121227462, Sport: ,Ice Hockey, Time: ,Wed Oct 21 17:30:00 CEST 2015, Time: ,Wed Oct 21 17:30:00 CEST 2015, Event: ,Blues v Pelicans, Favorite: ,Blues, 66804   size:2.87,Price: ,2.14,Pelicans, 66425   size:7.71,Price: ,2.88,Tie, 60104   size:127.35,Price: ,3.7,x
1.121342343, Sport: ,Tennis, Time: ,Wed Oct 21 15:00:00 CEST 2015, Time: ,Wed Oct 21 15:00:00 CEST 2015, Event: ,Arends/Majchrowicz v Sijsling/Siljestrom, Favorite: ,Sijsling/Siljestrom, 8381104   size:4.08,Price: ,1.51,Arends/Majchrowicz, 10434608   size:2.55,Price: ,2.4,ok
1.121340320, Sport: ,Tennis, Time: ,Wed Oct 21 09:30:00 CEST 2015, Time: ,Wed Oct 21 09:30:00 CEST 2015, Event: ,He/Qiu v Bai/Ghedin, Favorite: ,Bai/Ghedin, 10220762   size:7.25,Price: ,1.31,He/Qiu, 10248314   size:4.24,Price: ,3.5,ok
1.121351463, Sport: ,Basketball, Time: ,Wed Oct 21 10:15:00 CEST 2015, Time: ,Wed Oct 21 10:15:00 CEST 2015, Event: ,Barako Bull Energy v Mahindra Enforcers, Favorite: ,Mahindra Enforcers, 10425277   size:3021.03,Price: ,1.06,Barako Bull Energy, 5087272   size:68.0,Price: ,1.13,x
1.121262351, Sport: ,Handball, Time: ,Wed Oct 21 20:30:00 CEST 2015, Time: ,Wed Oct 21 20:30:00 CEST 2015, Event: ,Puente Genil v FC Barcelona, Favorite: ,FC Barcelona, 623982   size:0.0,Price: ,0.0,Puente Genil, 10194634   size:2.97,Price: ,1.02,Draw, 330157   size:2.63,Price: ,110.0,ok
1.121237387, Sport: ,Ice Hockey, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Amur v Dinamo Minsk, Favorite: ,Dinamo Minsk, 3312412   size:7.66,Price: ,2.52,Amur, 2240061   size:8.56,Price: ,2.56,Tie, 60104   size:10.72,Price: ,3.6,x
1.121374985, Sport: ,Tennis, Time: ,Wed Oct 21 19:00:00 CEST 2015, Time: ,Wed Oct 21 19:00:00 CEST 2015, Event: ,Ilhan v Bautista Agut, Favorite: ,Roberto Bautista Agut, 4290403   size:2064.68,Price: ,1.16,Marsel Ilhan, 4147957   size:4.68,Price: ,6.8,ok
1.121351466, Sport: ,Basketball, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Barangay Ginebra v Meralco Bolts, Favorite: ,Barangay Ginebra, 7217820   size:3.52,Price: ,1.07,Meralco Bolts, 5023541   size:3.52,Price: ,1.07,x
1.121227472, Sport: ,Ice Hockey, Time: ,Wed Oct 21 17:30:00 CEST 2015, Time: ,Wed Oct 21 17:30:00 CEST 2015, Event: ,Tappara v Sport, Favorite: ,Tappara, 66427   size:5.72,Price: ,1.44,Sport, 275249   size:90.66,Price: ,4.8,Tie, 60104   size:2.39,Price: ,4.3,ok
1.121362344, Sport: ,Basketball, Time: ,Wed Oct 21 18:30:00 CEST 2015, Time: ,Wed Oct 21 18:30:00 CEST 2015, Event: ,Karlovka Bratislava v Komarno, Favorite: ,Karlovka Bratislava, 8865002   size:8.21,Price: ,1.03,Komarno, 6719595   size:8.21,Price: ,1.03,x
1.121358881, Sport: ,Soccer, Time: ,Wed Oct 21 15:45:00 CEST 2015, Time: ,Wed Oct 21 15:45:00 CEST 2015, Event: ,Al Ittihad (EGY) v Aswan FC, Favorite: ,Al Ittihad (EGY), 7023879   size:5.0,Price: ,1.87,Aswan FC, 10438158   size:2.62,Price: ,4.4,The Draw, 58805   size:6.05,Price: ,3.15,ok
1.121362346, Sport: ,Basketball, Time: ,Wed Oct 21 18:00:00 CEST 2015, Time: ,Wed Oct 21 18:00:00 CEST 2015, Event: ,Prievidza v Levice, Favorite: ,Prievidza, 6719644   size:4.11,Price: ,1.06,Levice, 6719593   size:5.72,Price: ,1.36,ok
1.121237436, Sport: ,Ice Hockey, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Vladivostok v Torpedo, Favorite: ,Vladivostok, 7597246   size:7.64,Price: ,2.44,Torpedo, 2484355   size:5.72,Price: ,2.44,Tie, 60104   size:5.22,Price: ,4.0,x
1.121363555, Sport: ,Tennis, Time: ,Wed Oct 21 09:30:00 CEST 2015, Time: ,Wed Oct 21 09:30:00 CEST 2015, Event: ,Chrysochos/Ismailov v Fruttero/Prashanth, Favorite: ,Chrysochos/Ismailov, 10433984   size:8.35,Price: ,1.9,Fruttero/Prashanth, 10433990   size:2.63,Price: ,1.9,x
1.121340332, Sport: ,Tennis, Time: ,Wed Oct 21 09:23:00 CEST 2015, Time: ,Wed Oct 21 09:23:00 CEST 2015, Event: ,Matsui/Moriya v Mektic/Skugor, Favorite: ,Mektic/Skugor, 9146543   size:11.68,Price: ,1.57,Matsui/Moriya, 10433869   size:9.1,Price: ,2.32,ok
1.121331624, Sport: ,Tennis, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Davydenko/Vatutin v Betov/Elgin, Favorite: ,Betov/Elgin, 8908427   size:2.55,Price: ,1.16,Davydenko/Vatutin, 9568070   size:6.95,Price: ,5.8,ok
1.121237393, Sport: ,Ice Hockey, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Metallurg Nk v Severstal, Favorite: ,Severstal, 2560282   size:5.72,Price: ,2.28,Metallurg Nk, 3599244   size:5.0,Price: ,2.8,Tie, 60104   size:7.19,Price: ,3.85,x
