1.121401782, Sport: ,Tennis, Time: ,Fri Oct 23 09:30:00 CEST 2015, Time: ,Fri Oct 23 09:30:00 CEST 2015, Event: ,Masur v Skugor, Favorite: ,Franko Skugor, 2862839   size:5.68,Price: ,1.72,Daniel Masur, 8659524   size:20.13,Price: ,2.34
1.121394303, Sport: ,Soccer, Time: ,Fri Oct 23 10:30:00 CEST 2015, Time: ,Fri Oct 23 10:30:00 CEST 2015, Event: ,Binh Dinh FC U21 v Ha Noi T&T U21, Favorite: ,Ha Noi T&T U21, 7650226   size:2.79,Price: ,2.26,Binh Dinh FC U21, 7640019   size:2.23,Price: ,2.82,The Draw, 58805   size:4.54,Price: ,3.35
1.121385538, Sport: ,Tennis, Time: ,Fri Oct 23 11:00:00 CEST 2015, Time: ,Fri Oct 23 11:00:00 CEST 2015, Event: ,Fruttero/Prashanth v Chen/Propoggia, Favorite: ,Chen/Propoggia, 10433987   size:2.55,Price: ,1.26,Fruttero/Prashanth, 10433990   size:2.55,Price: ,3.6
1.121390754, Sport: ,Soccer, Time: ,Fri Oct 23 12:00:00 CEST 2015, Time: ,Fri Oct 23 12:00:00 CEST 2015, Event: ,USMM Hadjout U21 v CA Batna U21, Favorite: ,CA Batna U21, 7739805   size:5.0,Price: ,1.84,USMM Hadjout U21, 8119398   size:5.0,Price: ,2.28,The Draw, 58805   size:2.03,Price: ,3.1
1.121385909, Sport: ,Basketball, Time: ,Fri Oct 23 12:00:00 CEST 2015, Time: ,Fri Oct 23 12:00:00 CEST 2015, Event: ,Busan Sonicboom v Seoul Knights, Favorite: ,Busan Sonicboom, 8941900   size:2.55,Price: ,1.41,Seoul Knights, 7954787   size:2.55,Price: ,2.18
1.121368910, Sport: ,Tennis, Time: ,Fri Oct 23 12:00:00 CEST 2015, Time: ,Fri Oct 23 12:00:00 CEST 2015, Event: ,Karatsev/Medvedev v Albot/Cermak, Favorite: ,Albot/Cermak, 10431011   size:8.4,Price: ,1.43,Karatsev/Medvedev, 10431012   size:2.55,Price: ,2.78
1.121390642, Sport: ,Soccer, Time: ,Fri Oct 23 12:00:00 CEST 2015, Time: ,Fri Oct 23 12:00:00 CEST 2015, Event: ,CS Constantine U21 v USM Blida U21, Favorite: ,USM Blida U21, 8166578   size:2.69,Price: ,2.04,CS Constantine U21, 7708856   size:4.1,Price: ,3.2,The Draw, 58805   size:2.82,Price: ,3.35
1.121394193, Sport: ,Soccer, Time: ,Fri Oct 23 13:00:00 CEST 2015, Time: ,Fri Oct 23 13:00:00 CEST 2015, Event: ,Pakhtakor Tashkent II v Lokomotiv BFK Tashkent, Favorite: ,Pakhtakor Tashkent II, 8293658   size:2.79,Price: ,1.09,Lokomotiv BFK Tashkent, 8644022   size:2.79,Price: ,1.09,The Draw, 58805   size:10.8,Price: ,1.29
1.121394248, Sport: ,Soccer, Time: ,Fri Oct 23 13:00:00 CEST 2015, Time: ,Fri Oct 23 13:00:00 CEST 2015, Event: ,SHB Da Nang U21 v Sanna Khanh Hoa U21, Favorite: ,Sanna Khanh Hoa U21, 7640021   size:2.79,Price: ,1.09,SHB Da Nang U21, 7640037   size:3.0,Price: ,3.25,The Draw, 58805   size:10.8,Price: ,1.29
1.121324589, Sport: ,Cricket, Time: ,Fri Oct 23 14:00:00 CEST 2015, Time: ,Fri Oct 23 14:00:00 CEST 2015, Event: ,Warriors v Lions, Favorite: ,Lions, 4294272   size:5.4,Price: ,1.87,Warriors, 4297012   size:13.39,Price: ,2.12
1.121324718, Sport: ,Cricket, Time: ,Fri Oct 23 14:00:00 CEST 2015, Time: ,Fri Oct 23 14:00:00 CEST 2015, Event: ,Dolphins v Cape Cobras, Favorite: ,Cape Cobras, 3809606   size:2.65,Price: ,1.81,Dolphins, 4294273   size:2.68,Price: ,2.12
1.121324724, Sport: ,Cricket, Time: ,Fri Oct 23 14:00:00 CEST 2015, Time: ,Fri Oct 23 14:00:00 CEST 2015, Event: ,Knights v Titans, Favorite: ,Titans, 1254317   size:2.7,Price: ,1.45,Knights, 5045297   size:2.55,Price: ,2.88
1.121393973, Sport: ,Soccer, Time: ,Fri Oct 23 14:00:00 CEST 2015, Time: ,Fri Oct 23 14:00:00 CEST 2015, Event: ,Banska Bystrica U19 v FC VSS Kosice U19, Favorite: ,Banska Bystrica U19, 7154587   size:5.0,Price: ,1.82,FC VSS Kosice U19, 10123630   size:5.0,Price: ,2.66,The Draw, 58805   size:5.0,Price: ,2.62
1.121428162, Sport: ,Tennis, Time: ,Fri Oct 23 14:45:00 CEST 2015, Time: ,Fri Oct 23 14:45:00 CEST 2015, Event: ,St Johnson v K Anderson, Favorite: ,Kevin Anderson, 2519549   size:1375.79,Price: ,1.41,Steve Johnson, 4876706   size:5.0,Price: ,3.3
