1.121369183, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:15:00 CEST 2015, Time: ,Fri Oct 23 19:15:00 CEST 2015, Event: ,Graz 99ers v Dornbirn, Favorite: ,Graz 99ers, 748396   size:11.27,Price: ,1.01,Dornbirn, 6602890   size:11.27,Price: ,1.01,Tie, 60104   size:11.27,Price: ,1.01
1.121369179, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:15:00 CEST 2015, Time: ,Fri Oct 23 19:15:00 CEST 2015, Event: ,Liwest Linz v Red Bull Salzburg, Favorite: ,Liwest Linz, 1266781   size:11.27,Price: ,1.01,Red Bull Salzburg, 2584427   size:11.27,Price: ,1.01,Tie, 60104   size:11.27,Price: ,1.01
1.121369189, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:15:00 CEST 2015, Time: ,Fri Oct 23 19:15:00 CEST 2015, Event: ,Innsbruck v Orli Znojmo, Favorite: ,Innsbruck, 563236   size:11.27,Price: ,1.01,Orli Znojmo, 5797611   size:11.27,Price: ,1.01,Tie, 60104   size:11.27,Price: ,1.01
1.121369186, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:15:00 CEST 2015, Time: ,Fri Oct 23 19:15:00 CEST 2015, Event: ,KAC Klagenfurt v Vienna Capitals, Favorite: ,KAC Klagenfurt, 1348429   size:11.27,Price: ,1.01,Vienna Capitals, 563229   size:11.27,Price: ,1.01,Tie, 60104   size:11.27,Price: ,1.01
1.121384954, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:30:00 CEST 2015, Time: ,Fri Oct 23 19:30:00 CEST 2015, Event: ,Medvescak Zagreb v Barys, Favorite: ,Medvescak Zagreb, 4182882   size:411.25,Price: ,1.05,Barys, 3328562   size:308.66,Price: ,1.21,Tie, 60104   size:88.06,Price: ,2.16
1.121369731, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:30:00 CEST 2015, Time: ,Fri Oct 23 19:30:00 CEST 2015, Event: ,Kolner Haie v ERC Ingolstadt, Favorite: ,Kolner Haie, 233911   size:11.27,Price: ,1.01,ERC Ingolstadt, 233927   size:14.2,Price: ,4.0,Tie, 60104   size:14.2,Price: ,4.0
1.121283068, Sport: ,Volleyball, Time: ,Fri Oct 23 19:30:00 CEST 2015, Time: ,Fri Oct 23 19:30:00 CEST 2015, Event: ,United Volleys Rhein-Ma v VfB Friedrichshafen, Favorite: ,VfB Friedrichshafen, 2281578   size:30.78,Price: ,1.01,RheinMain, 10424330   size:2.78,Price: ,7.6
1.121385097, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,Biel v Lugano, Favorite: ,Biel, 3315685   size:5.9,Price: ,2.34,Lugano, 243259   size:26.96,Price: ,2.54,Tie, 60104   size:89.48,Price: ,4.2
1.121385083, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,SCL Tigers v Kloten Flyers, Favorite: ,Kloten Flyers, 243255   size:43.98,Price: ,2.02,SCL Tigers, 243257   size:7.3,Price: ,2.98,Tie, 60104   size:85.81,Price: ,4.5
1.121385084, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,Lausanne HC v Geneve Servette, Favorite: ,Lausanne HC, 7555451   size:231.36,Price: ,2.28,Geneve Servette, 4932959   size:8.31,Price: ,2.62,Tie, 60104   size:6.69,Price: ,4.2
1.121270750, Sport: ,Handball, Time: ,Fri Oct 23 20:00:00 CEST 2015, Time: ,Fri Oct 23 20:00:00 CEST 2015, Event: ,Skive fH v Mors Thy, Favorite: ,Skive fH, 5798546   size:5.21,Price: ,1.01,Mors Thy, 5207545   size:5.21,Price: ,1.01,Draw, 330157   size:5.21,Price: ,1.01
1.121395823, Sport: ,Tennis, Time: ,Fri Oct 23 20:03:00 CEST 2015, Time: ,Fri Oct 23 20:03:00 CEST 2015, Event: ,A Krajicek v D Novikov, Favorite: ,Austin Krajicek, 3288367   size:95.91,Price: ,1.57,Dennis Novikov, 6217982   size:53.62,Price: ,2.66
1.121268278, Sport: ,Soccer, Time: ,Fri Oct 23 20:15:00 CEST 2015, Time: ,Fri Oct 23 20:15:00 CEST 2015, Event: ,Slavia Prague v Sigma Olomouc, Favorite: ,Slavia Prague, 10777   size:93.19,Price: ,1.84,Sigma Olomouc, 50337   size:10.6,Price: ,4.8,The Draw, 58805   size:11.0,Price: ,3.75
