1.121369705, Sport: ,Soccer, Time: ,Sat Oct 24 17:00:00 CEST 2015, Time: ,Sat Oct 24 17:00:00 CEST 2015, Event: ,Atletico Astorga v Somozas, Favorite: ,Atletico Astorga, 8792395   size:21.37,Price: ,2.3,Somozas, 5924373   size:28.15,Price: ,3.4,The Draw, 58805   size:15.43,Price: ,3.25,x
1.121255133, Sport: ,Soccer, Time: ,Sat Oct 24 15:30:00 CEST 2015, Time: ,Sat Oct 24 15:30:00 CEST 2015, Event: ,Newtown v Bangor City, Favorite: ,Newtown, 3667299   size:2.53,Price: ,1.88,Bangor City, 198751   size:4.24,Price: ,3.7,The Draw, 58805   size:4.92,Price: ,3.8,x
1.121369707, Sport: ,Soccer, Time: ,Sat Oct 24 16:45:00 CEST 2015, Time: ,Sat Oct 24 16:45:00 CEST 2015, Event: ,Pena Sport FC v CD Izarra, Favorite: ,Pena Sport FC, 9310977   size:8.49,Price: ,2.5,CD Izarra, 9320407   size:6.52,Price: ,2.98,The Draw, 58805   size:14.82,Price: ,3.35,ok
1.121344922, Sport: ,Rugby Union, Time: ,Sat Oct 24 13:15:00 CEST 2015, Time: ,Sat Oct 24 13:15:00 CEST 2015, Event: ,Lions v Western Province, Favorite: ,Lions, 243129   size:3.12,Price: ,1.38,Western Province, 58523   size:13.87,Price: ,3.25,Draw, 246289   size:2.77,Price: ,24.0,ok
1.121255135, Sport: ,Soccer, Time: ,Sat Oct 24 14:00:00 CEST 2015, Time: ,Sat Oct 24 14:00:00 CEST 2015, Event: ,Kristianstads v Osters, Favorite: ,Kristianstads, 384100   size:10.88,Price: ,1.1,Osters, 780885   size:10.88,Price: ,1.1,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121345178, Sport: ,Boxing, Time: ,Sat Oct 24 21:00:00 CEST 2015, Time: ,Sat Oct 24 21:00:00 CEST 2015, Event: ,Eubank Jr v Jeter, Favorite: ,Chris Eubank Jr, 8521208   size:42931.09,Price: ,1.01,Tony Jeter, 10434725   size:5.55,Price: ,44.0,Draw, 31162   size:33.35,Price: ,95.0,ok
1.121345698, Sport: ,Rugby Union, Time: ,Sat Oct 24 14:00:00 CEST 2015, Time: ,Sat Oct 24 14:00:00 CEST 2015, Event: ,Castres v Grenoble, Favorite: ,Castres, 61038   size:3.62,Price: ,1.26,Grenoble, 233950   size:2.71,Price: ,4.5,Draw, 246289   size:2.77,Price: ,23.0,x
1.121369703, Sport: ,Soccer, Time: ,Sat Oct 24 17:00:00 CEST 2015, Time: ,Sat Oct 24 17:00:00 CEST 2015, Event: ,Compostela v Guijuelo, Favorite: ,Compostela, 309090   size:16.34,Price: ,2.7,Guijuelo, 2250340   size:66.52,Price: ,3.05,The Draw, 58805   size:59.79,Price: ,3.1,x
1.121385119, Sport: ,Ice Hockey, Time: ,Sat Oct 24 19:45:00 CEST 2015, Time: ,Sat Oct 24 19:45:00 CEST 2015, Event: ,Bern v Fribourg Gotteron, Favorite: ,Bern, 243256   size:165.58,Price: ,1.84,Fribourg Gotteron, 243252   size:29.0,Price: ,2.98,Tie, 60104   size:105.26,Price: ,4.3,ok
1.121432550, Sport: ,Soccer, Time: ,Sat Oct 24 14:00:00 CEST 2015, Time: ,Sat Oct 24 14:00:00 CEST 2015, Event: ,Stal Stalowa Wola v Gryf Wejherowo, Favorite: ,Stal Stalowa Wola, 2618038   size:13.7,Price: ,1.65,Gryf Wejherowo, 5822816   size:12.04,Price: ,4.3,The Draw, 58805   size:22.7,Price: ,3.25,ok
1.121432275, Sport: ,Soccer, Time: ,Sat Oct 24 15:00:00 CEST 2015, Time: ,Sat Oct 24 15:00:00 CEST 2015, Event: ,Tarxien Rainbows FC v St. Andrews FC, Favorite: ,St. Andrews FC, 8222576   size:18.0,Price: ,1.07,Tarxien Rainbows FC, 6601765   size:2.82,Price: ,1.09,The Draw, 58805   size:18.0,Price: ,2.9,x
1.121434212, Sport: ,Soccer, Time: ,Sat Oct 24 10:30:00 CEST 2015, Time: ,Sat Oct 24 10:30:00 CEST 2015, Event: ,MSK Zilina II v FC Spartak Trnava II, Favorite: ,MSK Zilina II, 8795881   size:4.18,Price: ,1.59,FC Spartak Trnava II, 7577400   size:2.15,Price: ,4.8,The Draw, 58805   size:3.63,Price: ,3.95,ok
1.121434698, Sport: ,Soccer, Time: ,Sat Oct 24 21:15:00 CEST 2015, Time: ,Sat Oct 24 21:15:00 CEST 2015, Event: ,Atletico Tacoronte (W) v CD Once Piratas (W), Favorite: ,Atletico Tacoronte (W), 10398394   size:3.62,Price: ,1.07,CD Once Piratas (W), 10371489   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88,x
1.121432715, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,Jagiellonia U19 v MKS KSZO-Junior U19, Favorite: ,Jagiellonia U19, 7251647   size:2.55,Price: ,1.11,MKS KSZO-Junior U19, 7583353   size:10.88,Price: ,4.2,The Draw, 58805   size:10.88,Price: ,3.3,ok
1.121255130, Sport: ,Soccer, Time: ,Sat Oct 24 14:00:00 CEST 2015, Time: ,Sat Oct 24 14:00:00 CEST 2015, Event: ,Eskilsminne v Lunds BK, Favorite: ,Eskilsminne, 6415384   size:10.88,Price: ,1.1,Lunds BK, 4638301   size:10.88,Price: ,1.1,The Draw, 58805   size:4.16,Price: ,2.88,x
1.121433927, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Targoviste v Soimii Pancota, Favorite: ,Targoviste, 6803067   size:2.91,Price: ,1.92,Soimii Pancota, 6681487   size:6.42,Price: ,3.2,The Draw, 58805   size:4.07,Price: ,2.98,ok
1.121267529, Sport: ,Soccer, Time: ,Sat Oct 24 15:00:00 CEST 2015, Time: ,Sat Oct 24 15:00:00 CEST 2015, Event: ,FC Wil v Biel-Bienne, Favorite: ,FC Wil, 179085   size:61.53,Price: ,2.28,Biel-Bienne, 6494650   size:26.89,Price: ,3.1,The Draw, 58805   size:73.56,Price: ,3.7,ok
1.121468501, Sport: ,Tennis, Time: ,Sat Oct 24 14:45:00 CEST 2015, Time: ,Sat Oct 24 14:45:00 CEST 2015, Event: ,A Mannarino v Jo Smith, Favorite: ,Adrian Mannarino, 3066621   size:5.89,Price: ,1.38,John-Patrick Smith, 8243874   size:15.65,Price: ,2.98,ok
1.121260955, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Shonan v Kashima, Favorite: ,Shonan, 4546954   size:299.85,Price: ,1.34,Kashima, 441079   size:93.2,Price: ,10.5,The Draw, 58805   size:3.55,Price: ,5.9,ok
1.121255121, Sport: ,Soccer, Time: ,Sat Oct 24 15:00:00 CEST 2015, Time: ,Sat Oct 24 15:00:00 CEST 2015, Event: ,Qviding v Oddevold, Favorite: ,Qviding, 384101   size:10.88,Price: ,1.1,Oddevold, 778918   size:10.88,Price: ,1.1,The Draw, 58805   size:4.16,Price: ,2.88,x
1.121450824, Sport: ,Tennis, Time: ,Sat Oct 24 10:45:00 CEST 2015, Time: ,Sat Oct 24 10:45:00 CEST 2015, Event: ,Da Nguyen v J Ward, Favorite: ,James Ward, 2370329   size:173.3,Price: ,1.48,Daniel Nguyen, 8349390   size:29.12,Price: ,2.88,ok
1.121255125, Sport: ,Soccer, Time: ,Sat Oct 24 15:00:00 CEST 2015, Time: ,Sat Oct 24 15:00:00 CEST 2015, Event: ,IS Halmia v Oskarshamns AIK, Favorite: ,IS Halmia, 804931   size:10.88,Price: ,1.1,Oskarshamns AIK, 778920   size:10.88,Price: ,1.1,The Draw, 58805   size:4.16,Price: ,2.88,ok
