1.121432770, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,KS Ruch Chorzow U19 v KS Gornik Zabrze U19, Favorite: ,KS Ruch Chorzow U19, 7619069   size:2.55,Price: ,1.52,KS Gornik Zabrze U19, 9366783   size:10.88,Price: ,2.0,The Draw, 58805   size:10.88,Price: ,3.0
1.121362331, Sport: ,Basketball, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,San Miguel Beermen v Globalport Batang Pier, Favorite: ,San Miguel Beermen, 3803247   size:12.33,Price: ,1.33,Globalport Batang Pier, 6756877   size:8.02,Price: ,3.7
1.121431945, Sport: ,Soccer, Time: ,Sat Oct 24 11:30:00 CEST 2015, Time: ,Sat Oct 24 11:30:00 CEST 2015, Event: ,RCF v PIFA FC, Favorite: ,RCF, 8496715   size:10.88,Price: ,1.32,PIFA FC, 8427019   size:10.88,Price: ,1.36,The Draw, 58805   size:3.62,Price: ,2.9
1.121432165, Sport: ,Soccer, Time: ,Sat Oct 24 12:00:00 CEST 2015, Time: ,Sat Oct 24 12:00:00 CEST 2015, Event: ,FK Minija Kretinga v FK Tauras, Favorite: ,FK Minija Kretinga, 9445042   size:10.88,Price: ,1.22,FK Tauras, 4810789   size:10.88,Price: ,1.5,The Draw, 58805   size:10.88,Price: ,3.0
1.121432220, Sport: ,Soccer, Time: ,Sat Oct 24 12:00:00 CEST 2015, Time: ,Sat Oct 24 12:00:00 CEST 2015, Event: ,Nevezis v FK Krazante, Favorite: ,Nevezis, 5892890   size:2.82,Price: ,1.09,FK Krazante, 9359992   size:10.88,Price: ,3.3,The Draw, 58805   size:10.88,Price: ,3.0
1.121432330, Sport: ,Soccer, Time: ,Sat Oct 24 12:00:00 CEST 2015, Time: ,Sat Oct 24 12:00:00 CEST 2015, Event: ,Maccabi PT Youth v Sektzia NT Youth, Favorite: ,Maccabi PT Youth, 9191990   size:17.78,Price: ,1.42,Sektzia NT Youth, 9078443   size:10.88,Price: ,1.75,The Draw, 58805   size:3.62,Price: ,2.9
1.121432110, Sport: ,Soccer, Time: ,Sat Oct 24 13:00:00 CEST 2015, Time: ,Sat Oct 24 13:00:00 CEST 2015, Event: ,SC Jekabpils v FK Salaspils, Favorite: ,FK Salaspils, 8562841   size:5.89,Price: ,1.63,SC Jekabpils, 7251659   size:34.74,Price: ,3.6,The Draw, 58805   size:34.74,Price: ,3.95
1.121432055, Sport: ,Soccer, Time: ,Sat Oct 24 13:00:00 CEST 2015, Time: ,Sat Oct 24 13:00:00 CEST 2015, Event: ,Rigas Futbola Skola v JDFS Alberts, Favorite: ,Rigas Futbola Skola, 6456470   size:16.78,Price: ,1.1,JDFS Alberts, 7362266   size:34.74,Price: ,9.4,The Draw, 58805   size:34.74,Price: ,7.4
1.121384959, Sport: ,Ice Hockey, Time: ,Sat Oct 24 13:30:00 CEST 2015, Time: ,Sat Oct 24 13:30:00 CEST 2015, Event: ,Metallurg Mg v Dinamo Riga, Favorite: ,Metallurg Mg, 3343614   size:103.55,Price: ,1.57,Dinamo Riga, 3312399   size:213.53,Price: ,5.0,Tie, 60104   size:63.99,Price: ,5.1
1.121384964, Sport: ,Ice Hockey, Time: ,Sat Oct 24 13:30:00 CEST 2015, Time: ,Sat Oct 24 13:30:00 CEST 2015, Event: ,Salavat v Jokerit, Favorite: ,Salavat, 2304930   size:4.86,Price: ,2.26,Jokerit, 66263   size:69.0,Price: ,2.92,Tie, 60104   size:58.32,Price: ,4.1
1.121384975, Sport: ,Ice Hockey, Time: ,Sat Oct 24 13:30:00 CEST 2015, Time: ,Sat Oct 24 13:30:00 CEST 2015, Event: ,Avtomobilist v Spartak, Favorite: ,Avtomobilist, 4138395   size:66.0,Price: ,2.14,Spartak, 2773599   size:29.15,Price: ,3.1,Tie, 60104   size:66.0,Price: ,4.0
1.121432550, Sport: ,Soccer, Time: ,Sat Oct 24 14:00:00 CEST 2015, Time: ,Sat Oct 24 14:00:00 CEST 2015, Event: ,Stal Stalowa Wola v Gryf Wejherowo, Favorite: ,Stal Stalowa Wola, 2618038   size:13.7,Price: ,1.65,Gryf Wejherowo, 5822816   size:12.04,Price: ,4.3,The Draw, 58805   size:22.7,Price: ,3.25
