1.121475956, Sport: ,Tennis, Time: ,Mon Oct 26 06:30:00 CET 2015, Time: ,Mon Oct 26 06:30:00 CET 2015, Event: ,Bai/Ghedin v Wu/Zhang, Favorite: ,Bai/Ghedin, 10220762   size:6.35,Price: ,1.04,Wu/Zhang, 8329872   size:6.35,Price: ,1.04,ok
1.121465592, Sport: ,Soccer, Time: ,Sun Oct 25 19:30:00 CET 2015, Time: ,Sun Oct 25 19:30:00 CET 2015, Event: ,Curico Unido v Rangers (Chile), Favorite: ,Curico Unido, 5429246   size:2.17,Price: ,2.08,Rangers (Chile), 6105742   size:46.28,Price: ,3.9,The Draw, 58805   size:3.9,Price: ,3.1,ok
1.121455787, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Israel (W) v Austria (W), Favorite: ,Austria (W), 4589783   size:10.89,Price: ,1.12,Israel (W), 5817552   size:4.99,Price: ,10.5,The Draw, 58805   size:4.99,Price: ,6.0,ok
1.121369422, Sport: ,Ice Hockey, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,HC Olomouc v Sparta Prague, Favorite: ,HC Olomouc, 7213810   size:10.76,Price: ,1.01,Sparta Prague, 284689   size:10.76,Price: ,1.01,Tie, 60104   size:10.76,Price: ,1.01,x
1.121423714, Sport: ,Handball, Time: ,Sun Oct 25 17:30:00 CET 2015, Time: ,Sun Oct 25 17:30:00 CET 2015, Event: ,Metalurg v HCM Baia Mare, Favorite: ,Metalurg, 3379919   size:13.69,Price: ,1.59,HCM BAIA MARE, 9049442   size:7.55,Price: ,2.88,Draw, 330157   size:102.28,Price: ,9.6,x
1.121353083, Sport: ,Volleyball, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,AO Kifisias v Panachaiki GE, Favorite: ,AO Kifisias, 2569563   size:33.0,Price: ,1.01,Panachaiki GE, 8049806   size:33.0,Price: ,1.01,x
1.121369787, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Linares Deportivo v Betis B, Favorite: ,Linares Deportivo, 7977266   size:16.53,Price: ,1.77,Betis B, 2522844   size:5.41,Price: ,5.6,The Draw, 58805   size:2.0,Price: ,3.4,ok
1.121457962, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,CD Cristo Atletico v UD Santa Marta, Favorite: ,CD Cristo Atletico, 8278815   size:2.43,Price: ,1.06,UD Santa Marta, 6796961   size:2.43,Price: ,1.06,The Draw, 58805   size:2.43,Price: ,1.06,ok
1.121369789, Sport: ,Soccer, Time: ,Sun Oct 25 16:15:00 CET 2015, Time: ,Sun Oct 25 16:15:00 CET 2015, Event: ,Recreativo Huelva v FC Cartagena, Favorite: ,Recreativo Huelva, 7449173   size:18.52,Price: ,2.64,FC Cartagena, 5740008   size:29.26,Price: ,3.15,The Draw, 58805   size:22.34,Price: ,2.94,x
1.121305205, Sport: ,Soccer, Time: ,Sun Oct 25 17:45:00 CET 2015, Time: ,Sun Oct 25 17:45:00 CET 2015, Event: ,Sirius v Jonkopings Sodra, Favorite: ,Sirius, 4638067   size:5.05,Price: ,2.1,Jonkopings Sodra, 503361   size:17.17,Price: ,3.8,The Draw, 58805   size:287.09,Price: ,3.65,ok
1.121439626, Sport: ,Basketball, Time: ,Sun Oct 25 18:30:00 CET 2015, Time: ,Sun Oct 25 18:30:00 CET 2015, Event: ,Maccabi R Lez v Maccabi Kiryat Gat, Favorite: ,Maccabi R Lez, 7758969   size:2.55,Price: ,1.05,Maccabi Kiryat Gat, 10405174   size:5.89,Price: ,1.38,ok
1.121298942, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Valladolid v Mirandes, Favorite: ,Valladolid, 13362   size:121.73,Price: ,2.0,Mirandes, 565024   size:2.77,Price: ,4.5,The Draw, 58805   size:71.7,Price: ,3.45,ok
1.121369781, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,FC Jumilla v Marbella, Favorite: ,Marbella, 2250362   size:26.91,Price: ,2.38,FC Jumilla, 8216058   size:17.37,Price: ,3.0,The Draw, 58805   size:19.01,Price: ,2.98,ok
1.121439629, Sport: ,Basketball, Time: ,Sun Oct 25 20:05:00 CET 2015, Time: ,Sun Oct 25 20:05:00 CET 2015, Event: ,Maccabi Tel Aviv v Hapoel M Jerusalem, Favorite: ,Maccabi Tel Aviv, 266273   size:6.86,Price: ,1.47,Hapoel M Jerusalem, 7758971   size:188.91,Price: ,2.8,x
1.121470813, Sport: ,Tennis, Time: ,Mon Oct 26 06:30:00 CET 2015, Time: ,Mon Oct 26 06:30:00 CET 2015, Event: ,Konecny v N Milojevic, Favorite: ,Nikola Milojevic, 8535963   size:2.55,Price: ,1.46,Michal Konecny, 8522533   size:2.55,Price: ,2.9,ok
1.121301649, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Sparta Prague v Bohemians 1905, Favorite: ,Sparta Prague, 110475   size:11.99,Price: ,1.16,Bohemians 1905, 2467701   size:7.66,Price: ,27.0,The Draw, 58805   size:27.59,Price: ,9.8,ok
1.121299230, Sport: ,Soccer, Time: ,Sun Oct 25 17:30:00 CET 2015, Time: ,Sun Oct 25 17:30:00 CET 2015, Event: ,Hacken v Elfsborg, Favorite: ,Elfsborg, 30684   size:880.86,Price: ,2.62,Hacken, 30681   size:7.37,Price: ,2.74,The Draw, 58805   size:180.26,Price: ,3.85,x
1.121461432, Sport: ,Soccer, Time: ,Sun Oct 25 21:00:00 CET 2015, Time: ,Sun Oct 25 21:00:00 CET 2015, Event: ,Union Atletico Falcon v Yaracuyanos, Favorite: ,Union Atletico Falcon, 9989662   size:3.62,Price: ,1.07,Yaracuyanos, 5715617   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88,x
1.121475824, Sport: ,Tennis, Time: ,Sun Oct 25 20:00:00 CET 2015, Time: ,Sun Oct 25 20:00:00 CET 2015, Event: ,Molteni v Hamou, Favorite: ,Maxime Hamou, 8859456   size:2.55,Price: ,1.61,Andres Molteni, 6180419   size:2.91,Price: ,2.18,x
1.121355010, Sport: ,American Football, Time: ,Sun Oct 25 21:25:00 CET 2015, Time: ,Sun Oct 25 21:25:00 CET 2015, Event: ,Dallas @ New York Giants, Favorite: ,New York Giants, 50185   size:314.79,Price: ,1.68,Dallas Cowboys, 50189   size:93.32,Price: ,2.4,ok
1.121369773, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Cornella v Pobla de Mafumet CF, Favorite: ,Cornella, 8792394   size:3.6,Price: ,1.76,Pobla de Mafumet CF, 9359728   size:2.77,Price: ,5.8,The Draw, 58805   size:2.76,Price: ,3.65,x
1.121391481, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Mladost Lucani v Partizan Belgrade, Favorite: ,Partizan Belgrade, 46980   size:200.0,Price: ,1.3,Mladost Lucani, 2503610   size:22.0,Price: ,3.0,The Draw, 58805   size:6.94,Price: ,2.2,x
1.121475386, Sport: ,Tennis, Time: ,Sun Oct 25 20:00:00 CET 2015, Time: ,Sun Oct 25 20:00:00 CET 2015, Event: ,O'Brien/Roelofse v Ball/Brown, Favorite: ,Ball/Brown, 10409550   size:2.55,Price: ,1.79,O'Brien/Roelofse, 9545182   size:2.21,Price: ,2.26,ok
1.121307851, Sport: ,Soccer, Time: ,Sun Oct 25 19:30:00 CET 2015, Time: ,Sun Oct 25 19:30:00 CET 2015, Event: ,USA (W) v Brazil (W), Favorite: ,USA (W), 541859   size:3.92,Price: ,1.53,Brazil (W), 541863   size:2.34,Price: ,7.0,The Draw, 58805   size:3.6,Price: ,4.3,ok
1.121362348, Sport: ,Basketball, Time: ,Sun Oct 25 19:00:00 CET 2015, Time: ,Sun Oct 25 19:00:00 CET 2015, Event: ,Andorra v Basquet Manresa, Favorite: ,Andorra, 8781568   size:150.73,Price: ,1.34,Basquet Manresa, 2728338   size:2.55,Price: ,3.5,x
1.121292947, Sport: ,Soccer, Time: ,Sun Oct 25 18:00:00 CET 2015, Time: ,Sun Oct 25 18:00:00 CET 2015, Event: ,Fiorentina v Roma, Favorite: ,Fiorentina, 676467   size:241.87,Price: ,2.62,Roma, 56967   size:6.08,Price: ,2.98,The Draw, 58805   size:243.09,Price: ,3.5,x
1.121304464, Sport: ,Soccer, Time: ,Sun Oct 25 17:00:00 CET 2015, Time: ,Sun Oct 25 17:00:00 CET 2015, Event: ,Santa Clara v Sporting Lisbon B, Favorite: ,Sporting Lisbon B, 10071727   size:7.25,Price: ,1.68,Santa Clara, 48793   size:25.55,Price: ,5.8,The Draw, 58805   size:2.77,Price: ,4.0,ok
1.121299902, Sport: ,Soccer, Time: ,Sun Oct 25 22:00:00 CET 2015, Time: ,Sun Oct 25 22:00:00 CET 2015, Event: ,Philadelphia v Orlando City, Favorite: ,Philadelphia, 4589333   size:14.23,Price: ,2.42,Orlando City, 5640226   size:143.02,Price: ,2.94,The Draw, 58805   size:46.24,Price: ,3.85,ok
