1.121500669, Sport: ,Basketball, Time: ,Tue Oct 27 19:30:00 CET 2015, Time: ,Tue Oct 27 19:30:00 CET 2015, Event: ,Groningen v Lyon, Favorite: ,Groningen, 5118196   size:2.93,Price: ,1.02,Lyon, 1297016   size:2.93,Price: ,1.02
1.121499975, Sport: ,Basketball, Time: ,Tue Oct 27 19:30:00 CET 2015, Time: ,Tue Oct 27 19:30:00 CET 2015, Event: ,Ratiopharm Ulm v Valencia, Favorite: ,Ratiopharm Ulm, 2114275   size:400.0,Price: ,1.15,Valencia, 599260   size:10.78,Price: ,5.2
1.121500664, Sport: ,Basketball, Time: ,Tue Oct 27 19:30:00 CET 2015, Time: ,Tue Oct 27 19:30:00 CET 2015, Event: ,Fraport Skyliners v Leiden, Favorite: ,Leiden, 5957092   size:2.93,Price: ,1.02,Fraport Skyliners, 5956938   size:33.0,Price: ,1.08
1.121500647, Sport: ,Basketball, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Belfius Mons-Hainaut v BC Körmend, Favorite: ,Belfius Mons-Hainaut, 9040825   size:308.11,Price: ,1.03,BC Körmend, 10262406   size:5.66,Price: ,9.0
1.121482309, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Tiro Federal v Ferro Carril Oeste GP, Favorite: ,Tiro Federal, 1213582   size:3.0,Price: ,1.03,Ferro Carril Oeste GP, 10459395   size:3.0,Price: ,1.03,The Draw, 58805   size:2.42,Price: ,1.06
1.121482364, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Libertad de Sunchales v CSYD San Jorge Tucuman, Favorite: ,Libertad de Sunchales, 8014939   size:100.0,Price: ,1.6,CSYD San Jorge Tucuman, 9598017   size:100.0,Price: ,2.3,The Draw, 58805   size:6.93,Price: ,2.2
1.121482437, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,CSYD Madryn v CGB Santa Rosa, Favorite: ,CSYD Madryn, 9820372   size:113.7,Price: ,1.03,CGB Santa Rosa, 10103803   size:14.79,Price: ,1.93,The Draw, 58805   size:30.73,Price: ,1.4
1.121482254, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,CA Alvarado del Plata v Gutierrez Sport Club, Favorite: ,CA Alvarado del Plata, 9564604   size:76.95,Price: ,1.17,Gutierrez Sport Club, 9564588   size:65.04,Price: ,1.22,The Draw, 58805   size:6.93,Price: ,2.2
1.121482496, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Club Tiro Federal v Club Gimnasia y Tiro, Favorite: ,The Draw, 58805   size:2.42,Price: ,1.06,Club Tiro Federal, 9566355   size:100.0,Price: ,1.9,Club Gimnasia y Tiro, 9564616   size:100.0,Price: ,2.0
1.121500632, Sport: ,Basketball, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Antwerp Giants v Soproni Sördögök, Favorite: ,Antwerp Giants, 2585925   size:22.0,Price: ,1.15,Soproni Sördögök, 10218767   size:12.0,Price: ,2.0
1.121368822, Sport: ,Soccer, Time: ,Tue Oct 27 20:05:00 CET 2015, Time: ,Tue Oct 27 20:05:00 CET 2015, Event: ,Inverness CT v Ross Co, Favorite: ,Inverness CT, 56285   size:2.77,Price: ,2.82,Ross Co, 674742   size:9.99,Price: ,2.92,The Draw, 58805   size:6.48,Price: ,3.15
1.121481164, Sport: ,Soccer, Time: ,Tue Oct 27 20:15:00 CET 2015, Time: ,Tue Oct 27 20:15:00 CET 2015, Event: ,Raiders Luxol FC (W) v Birkirkara FC (W), Favorite: ,Raiders Luxol FC (W), 10459316   size:3.0,Price: ,1.03,Birkirkara FC (W), 10459318   size:3.0,Price: ,1.03,The Draw, 58805   size:6.93,Price: ,2.2
1.121481221, Sport: ,Soccer, Time: ,Tue Oct 27 20:15:00 CET 2015, Time: ,Tue Oct 27 20:15:00 CET 2015, Event: ,Kirkop United FC (W) v Hibernians (W), Favorite: ,Hibernians (W), 8758161   size:3.0,Price: ,1.03,Kirkop United FC (W), 10459338   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121365825, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Bochum v Kaiserslautern, Favorite: ,Bochum, 67143   size:25.88,Price: ,2.52,Kaiserslautern, 14075   size:138.72,Price: ,3.1,The Draw, 58805   size:283.0,Price: ,3.45
1.121365751, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,SV Darmstadt v Hannover, Favorite: ,SV Darmstadt, 993093   size:29.88,Price: ,2.52,Hannover, 197307   size:245.53,Price: ,3.2,The Draw, 58805   size:502.0,Price: ,3.3
1.121366132, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Zaglebie Sosnowiec v Cracovia Krakow, Favorite: ,Cracovia Krakow, 880537   size:48.47,Price: ,2.16,Zaglebie Sosnowiec, 2486936   size:31.78,Price: ,3.8,The Draw, 58805   size:9.13,Price: ,3.45
1.121365677, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Unterhaching v RB Leipzig, Favorite: ,RB Leipzig, 5340398   size:1101.51,Price: ,1.58,Unterhaching, 64371   size:5.61,Price: ,7.2,The Draw, 58805   size:152.48,Price: ,4.3
1.121309545, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Crotone v Brescia, Favorite: ,Crotone, 60300   size:176.8,Price: ,1.96,Brescia, 7407   size:253.66,Price: ,4.6,The Draw, 58805   size:106.61,Price: ,3.6
1.121368961, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Wolfsburg v Bayern Munich, Favorite: ,Bayern Munich, 5774350   size:7886.61,Price: ,1.5,Wolfsburg, 44521   size:222.26,Price: ,7.2,The Draw, 58805   size:413.98,Price: ,4.9
1.121475273, Sport: ,Tennis, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,de Bakker v Ja Jung, Favorite: ,Thiemo De Bakker, 8720949   size:15.43,Price: ,1.29,Jason Jung, 7048850   size:8.55,Price: ,4.1
1.121481479, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Ashton Utd v Marine, Favorite: ,Ashton Utd, 5800540   size:14.3,Price: ,1.74,Marine, 2119329   size:2.25,Price: ,4.2,The Draw, 58805   size:17.2,Price: ,3.65
1.120879285, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Stoke v Chelsea, Favorite: ,Chelsea, 55190   size:14073.86,Price: ,1.9,Stoke, 69720   size:1852.75,Price: ,4.6,The Draw, 58805   size:2893.46,Price: ,3.75
1.121482876, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Chippenham v Slough Town, Favorite: ,Chippenham, 1282852   size:2.8,Price: ,2.16,Slough Town, 1000084   size:6.76,Price: ,2.8,The Draw, 58805   size:14.28,Price: ,3.45
1.121481811, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Lincoln United FC v Goole AFC, Favorite: ,Lincoln United FC, 7853878   size:10.98,Price: ,1.17,Goole AFC, 8205426   size:10.97,Price: ,1.17,The Draw, 58805   size:5.86,Price: ,3.1
1.121481590, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Salford City v Matlock Town, Favorite: ,Salford City, 4236580   size:20.49,Price: ,1.4,Matlock Town, 1558264   size:3.83,Price: ,5.8,The Draw, 58805   size:6.24,Price: ,4.9
1.121482199, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Berwick U20 v Alloa U20, Favorite: ,Alloa U20, 9243282   size:3.28,Price: ,1.93,Berwick U20, 9131077   size:3.61,Price: ,2.5,The Draw, 58805   size:4.02,Price: ,2.92
1.121481051, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Bognor Regis v Staines Town, Favorite: ,Bognor Regis, 1230960   size:3.17,Price: ,2.0,Staines Town, 2608906   size:6.94,Price: ,3.25,The Draw, 58805   size:2.07,Price: ,3.85
1.120878667, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Hull v Leicester, Favorite: ,Hull, 70385   size:97.6,Price: ,2.68,Leicester, 48461   size:23.92,Price: ,2.84,The Draw, 58805   size:174.05,Price: ,3.6
1.121479337, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Lincoln v Tranmere, Favorite: ,Lincoln, 148737   size:9.25,Price: ,2.48,Tranmere, 54004   size:5.99,Price: ,3.15,The Draw, 58805   size:2.45,Price: ,3.15
1.121479335, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Chorley v Northwich, Favorite: ,Chorley, 4231709   size:7.91,Price: ,1.55,Northwich, 18557   size:6.4,Price: ,4.6,The Draw, 58805   size:3.98,Price: ,3.9
1.121481645, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Nantwich Town v Stourbridge, Favorite: ,Nantwich Town, 1433861   size:7.21,Price: ,1.98,Stourbridge, 3491515   size:5.91,Price: ,2.82,The Draw, 58805   size:2.78,Price: ,3.75
