1.121500647, Sport: ,Basketball, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Belfius Mons-Hainaut v BC Körmend, Favorite: ,Belfius Mons-Hainaut, 9040825   size:33.29,Price: ,1.01,BC Körmend, 10262406   size:2.93,Price: ,1.02
1.121482309, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Tiro Federal v Ferro Carril Oeste GP, Favorite: ,Tiro Federal, 1213582   size:3.0,Price: ,1.03,Ferro Carril Oeste GP, 10459395   size:3.0,Price: ,1.03,The Draw, 58805   size:2.42,Price: ,1.06
1.121482364, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Libertad de Sunchales v CSYD San Jorge Tucuman, Favorite: ,The Draw, 58805   size:46.48,Price: ,1.22,Libertad de Sunchales, 8014939   size:88.0,Price: ,1.34,CSYD San Jorge Tucuman, 9598017   size:48.0,Price: ,2.32
1.121482437, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,CSYD Madryn v CGB Santa Rosa, Favorite: ,CSYD Madryn, 9820372   size:113.7,Price: ,1.03,CGB Santa Rosa, 10103803   size:14.79,Price: ,1.93,The Draw, 58805   size:27.65,Price: ,1.4
1.121482254, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,CA Alvarado del Plata v Gutierrez Sport Club, Favorite: ,CA Alvarado del Plata, 9564604   size:2.42,Price: ,1.06,Gutierrez Sport Club, 9564588   size:19.0,Price: ,3.55,The Draw, 58805   size:2.42,Price: ,1.06
1.121482496, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Club Tiro Federal v Club Gimnasia y Tiro, Favorite: ,Club Tiro Federal, 9566355   size:3.0,Price: ,1.03,Club Gimnasia y Tiro, 9564616   size:3.0,Price: ,1.03,The Draw, 58805   size:2.42,Price: ,1.06
1.121500632, Sport: ,Basketball, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Antwerp Giants v Soproni Sördögök, Favorite: ,Antwerp Giants, 2585925   size:22.0,Price: ,1.1,Soproni Sördögök, 10218767   size:3.99,Price: ,2.0
1.121483050, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Union de Villa Krause v Velez de San Ramon, Favorite: ,Velez de San Ramon, 10096631   size:3.0,Price: ,1.03,Union de Villa Krause, 7047325   size:2.42,Price: ,1.06,The Draw, 58805   size:2.42,Price: ,1.06
1.121368822, Sport: ,Soccer, Time: ,Tue Oct 27 20:05:00 CET 2015, Time: ,Tue Oct 27 20:05:00 CET 2015, Event: ,Inverness CT v Ross Co, Favorite: ,The Draw, 58805   size:394.19,Price: ,2.58,Inverness CT, 56285   size:41.41,Price: ,3.3,Ross Co, 674742   size:58.27,Price: ,3.05
1.121481164, Sport: ,Soccer, Time: ,Tue Oct 27 20:15:00 CET 2015, Time: ,Tue Oct 27 20:15:00 CET 2015, Event: ,Raiders Luxol FC (W) v Birkirkara FC (W), Favorite: ,Raiders Luxol FC (W), 10459316   size:3.0,Price: ,1.03,Birkirkara FC (W), 10459318   size:3.0,Price: ,1.03,The Draw, 58805   size:2.42,Price: ,1.06
1.121365825, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Bochum v Kaiserslautern, Favorite: ,Bochum, 67143   size:114.42,Price: ,2.64,Kaiserslautern, 14075   size:730.14,Price: ,3.05,The Draw, 58805   size:62.0,Price: ,3.2
1.121365751, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,SV Darmstadt v Hannover, Favorite: ,SV Darmstadt, 993093   size:2.77,Price: ,2.68,Hannover, 197307   size:2.77,Price: ,3.25,The Draw, 58805   size:209.55,Price: ,2.94
