1.121385114, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,Torpedo v Salavat, Favorite: ,Torpedo, 2484355   size:2.63,Price: ,2.4,Salavat, 2304930   size:24.99,Price: ,2.8,Tie, 60104   size:235.94,Price: ,4.0,x
1.121362590, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,TuTo v Jukurit, Favorite: ,Jukurit, 272756   size:18.44,Price: ,2.36,TuTo, 4196542   size:2.5,Price: ,2.52,Tie, 60104   size:114.96,Price: ,4.0,x
1.121416346, Sport: ,Volleyball, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,CSM Targoviste v Azeryol Baku, Favorite: ,Azeryol Baku, 7827414   size:2.55,Price: ,1.47,CSM Targoviste, 10410550   size:153.39,Price: ,2.64,x
1.121511577, Sport: ,Basketball, Time: ,Wed Oct 28 18:15:00 CET 2015, Time: ,Wed Oct 28 18:15:00 CET 2015, Event: ,Bakken v Hibernia Basketball, Favorite: ,Bakken, 7224123   size:28.29,Price: ,1.04,Hibernia Basketball, 10463870   size:5.86,Price: ,1.11,ok
1.121495566, Sport: ,Soccer, Time: ,Wed Oct 28 16:55:00 CET 2015, Time: ,Wed Oct 28 16:55:00 CET 2015, Event: ,Al Salmiyah U20 v Al Tadhamon U20, Favorite: ,Al Salmiyah U20, 10462507   size:136.58,Price: ,1.06,Al Tadhamon U20, 10462509   size:136.58,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121499923, Sport: ,Basketball, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,Pyrinto Tampere v Kauhajoen Karhu, Favorite: ,Pyrinto Tampere, 7749531   size:5.43,Price: ,1.78,Kauhajoen Karhu, 2621631   size:2.55,Price: ,2.12,ok
1.121499922, Sport: ,Basketball, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,Kouvot Kouvola v BC Nokia, Favorite: ,Kouvot Kouvola, 7749353   size:45.3,Price: ,1.12,BC Nokia, 10291895   size:5.05,Price: ,8.2,ok
1.121378309, Sport: ,Soccer, Time: ,Wed Oct 28 17:00:00 CET 2015, Time: ,Wed Oct 28 17:00:00 CET 2015, Event: ,Bursaspor v Sivasspor, Favorite: ,Bursaspor, 113183   size:33.45,Price: ,1.75,Sivasspor, 508773   size:119.42,Price: ,5.3,The Draw, 58805   size:232.05,Price: ,4.0,ok
1.121385121, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,CSKA v Dynamo Moscow, Favorite: ,CSKA, 2240050   size:21.6,Price: ,1.91,Dynamo Moscow, 1252378   size:26.7,Price: ,3.65,Tie, 60104   size:57.43,Price: ,4.4,ok
1.121362584, Sport: ,Ice Hockey, Time: ,Wed Oct 28 17:30:00 CET 2015, Time: ,Wed Oct 28 17:30:00 CET 2015, Event: ,JYP Akatemia v KeuPa, Favorite: ,JYP Akatemia, 5847122   size:137.95,Price: ,1.98,KeuPa, 7138769   size:19.34,Price: ,3.15,Tie, 60104   size:7.44,Price: ,4.0,x
1.121469781, Sport: ,Tennis, Time: ,Wed Oct 28 15:15:00 CET 2015, Time: ,Wed Oct 28 15:15:00 CET 2015, Event: ,Bautista Agut v Almagro, Favorite: ,Roberto Bautista Agut, 4290403   size:2.69,Price: ,1.29,Nicolas Almagro, 2257310   size:528.29,Price: ,4.3,ok
