1.121528771, Sport: ,Tennis, Time: ,Fri Oct 30 03:30:00 CET 2015, Time: ,Fri Oct 30 03:30:00 CET 2015, Event: ,K. Zhang v J. Lu, Favorite: ,Kai-Lin Zhang, 8710301   size:12.62,Price: ,1.54,Jing-Jing Lu, 9422140   size:5.08,Price: ,2.52,ok
1.121528057, Sport: ,Tennis, Time: ,Thu Oct 29 22:00:00 CET 2015, Time: ,Thu Oct 29 22:00:00 CET 2015, Event: ,Escobar/Varillas Patino v Peralta/Zeballos, Favorite: ,Peralta/Zeballos, 10409109   size:3.03,Price: ,1.11,Escobar/Varillas Patino, 10459278   size:2.57,Price: ,5.1,ok
1.121528772, Sport: ,Tennis, Time: ,Fri Oct 30 05:00:00 CET 2015, Time: ,Fri Oct 30 05:00:00 CET 2015, Event: ,Kucova v Putintseva, Favorite: ,Yulia Putintseva, 4259580   size:4.59,Price: ,1.39,Kristina Kucova, 3990441   size:85.26,Price: ,3.35,ok
1.121389210, Sport: ,Soccer, Time: ,Thu Oct 29 20:45:00 CET 2015, Time: ,Thu Oct 29 20:45:00 CET 2015, Event: ,Sampdoria v Empoli, Favorite: ,Sampdoria, 60311   size:2847.72,Price: ,2.62,Empoli, 60294   size:18.38,Price: ,3.15,The Draw, 58805   size:4056.35,Price: ,3.3,x
1.121511916, Sport: ,Tennis, Time: ,Fri Oct 30 00:00:00 CET 2015, Time: ,Fri Oct 30 00:00:00 CET 2015, Event: ,Dellien v G Pella, Favorite: ,Guido Pella, 6162610   size:55.77,Price: ,1.14,Hugo Dellien, 8226987   size:20.24,Price: ,6.4,ok
1.121528731, Sport: ,Tennis, Time: ,Fri Oct 30 03:30:00 CET 2015, Time: ,Fri Oct 30 03:30:00 CET 2015, Event: ,Pecotic v Du Lee, Favorite: ,Matija Pecotic, 8713732   size:97.14,Price: ,1.68,Duckhee Lee, 8505197   size:2.68,Price: ,2.38,ok
1.121522033, Sport: ,Basketball, Time: ,Fri Oct 30 00:00:00 CET 2015, Time: ,Fri Oct 30 00:00:00 CET 2015, Event: ,Obras v Argentino, Favorite: ,Obras, 6269780   size:8.51,Price: ,1.25,Argentino, 6719106   size:146.52,Price: ,4.1,ok
1.121511796, Sport: ,Tennis, Time: ,Thu Oct 29 20:13:00 CET 2015, Time: ,Thu Oct 29 20:13:00 CET 2015, Event: ,Federer v Kohlschreiber, Favorite: ,Roger Federer, 2251402   size:266139.94,Price: ,1.02,Philipp Kohlschreiber, 2257302   size:223.62,Price: ,34.0,ok
1.121528292, Sport: ,Tennis, Time: ,Thu Oct 29 23:45:00 CET 2015, Time: ,Thu Oct 29 23:45:00 CET 2015, Event: ,Estrella Burgos v D Novikov, Favorite: ,Victor Estrella Burgos, 7430580   size:2.55,Price: ,1.53,Dennis Novikov, 6217982   size:4.94,Price: ,2.66,ok
1.121512106, Sport: ,Basketball, Time: ,Thu Oct 29 20:30:00 CET 2015, Time: ,Thu Oct 29 20:30:00 CET 2015, Event: ,London v Manchester, Favorite: ,London, 6719045   size:27.79,Price: ,1.02,Manchester, 6719049   size:2.79,Price: ,1.02,x
1.121388889, Sport: ,Soccer, Time: ,Thu Oct 29 19:45:00 CET 2015, Time: ,Thu Oct 29 19:45:00 CET 2015, Event: ,Galatasaray v Eskisehirspor, Favorite: ,Galatasaray, 2436   size:0.0,Price: ,0.0,Eskisehirspor, 2080746   size:2.79,Price: ,480.0,The Draw, 58805   size:9.89,Price: ,120.0,ok
1.121492113, Sport: ,American Football, Time: ,Fri Oct 30 03:30:00 CET 2015, Time: ,Fri Oct 30 03:30:00 CET 2015, Event: ,Oregon @ Arizona State, Favorite: ,Arizona State, 975029   size:3.71,Price: ,1.72,Oregon, 547399   size:85.47,Price: ,2.22,x
1.121454311, Sport: ,Tennis, Time: ,Fri Oct 30 04:30:00 CET 2015, Time: ,Fri Oct 30 04:30:00 CET 2015, Event: ,Hingis/Mirza v Babos/Mladenovic, Favorite: ,Hingis/Mirza, 2087731   size:91.21,Price: ,1.16,Babos/Mladenovic, 8242001   size:2.55,Price: ,5.2,ok
1.121522035, Sport: ,Basketball, Time: ,Fri Oct 30 01:00:00 CET 2015, Time: ,Fri Oct 30 01:00:00 CET 2015, Event: ,Atenas v Regatas, Favorite: ,Regatas, 6718792   size:333.81,Price: ,1.57,Atenas, 6719082   size:2.03,Price: ,2.46,x
1.121388160, Sport: ,Soccer, Time: ,Thu Oct 29 20:45:00 CET 2015, Time: ,Thu Oct 29 20:45:00 CET 2015, Event: ,Telstar v AZ Alkmaar, Favorite: ,Az Alkmaar, 3631356   size:260.55,Price: ,1.36,Telstar, 67163   size:18.16,Price: ,9.8,The Draw, 58805   size:258.38,Price: ,5.9,ok
1.121420010, Sport: ,Volleyball, Time: ,Thu Oct 29 20:00:00 CET 2015, Time: ,Thu Oct 29 20:00:00 CET 2015, Event: ,Volero Zurich v Uralochka Ntmk Ekaterin, Favorite: ,Volero Zurich, 2204305   size:439.08,Price: ,1.01,Uralochka Ntmk Ekaterin, 10391878   size:2747.74,Price: ,1.22,ok
1.121388793, Sport: ,Soccer, Time: ,Thu Oct 29 20:30:00 CET 2015, Time: ,Thu Oct 29 20:30:00 CET 2015, Event: ,KV Kortrijk v Anderlecht, Favorite: ,Anderlecht, 58163   size:1572.27,Price: ,1.9,KV Kortrijk, 4444232   size:26.5,Price: ,4.6,The Draw, 58805   size:122.41,Price: ,3.85,x
