1.121526031, Sport: ,Soccer, Time: ,Fri Oct 30 14:00:00 CET 2015, Time: ,Fri Oct 30 14:00:00 CET 2015, Event: ,CSM Ramnicu Sarat v ACS Sepsi OSK, Favorite: ,CSM Ramnicu Sarat, 7161099   size:4.16,Price: ,1.07,ACS Sepsi OSK, 8916863   size:4.16,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121528576, Sport: ,Tennis, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,T Maria v M Sanchez, Favorite: ,Tatjana Maria, 7299657   size:2.55,Price: ,1.36,Maria Sanchez, 5374654   size:2.55,Price: ,3.5,ok
1.121511178, Sport: ,Ice Hockey, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Herlev v Herning, Favorite: ,Herning, 70631   size:3.55,Price: ,1.41,Herlev, 227439   size:64.29,Price: ,5.4,Tie, 60104   size:81.89,Price: ,5.3,x
1.121522197, Sport: ,Ice Hockey, Time: ,Fri Oct 30 19:00:00 CET 2015, Time: ,Fri Oct 30 19:00:00 CET 2015, Event: ,Malmo v Skelleftea, Favorite: ,Skelleftea, 247106   size:2.79,Price: ,1.79,Malmo, 1021477   size:5.33,Price: ,4.0,Tie, 60104   size:111.02,Price: ,4.8,ok
1.121491243, Sport: ,Soccer, Time: ,Fri Oct 30 16:00:00 CET 2015, Time: ,Fri Oct 30 16:00:00 CET 2015, Event: ,Braga B v Penafiel, Favorite: ,Braga B, 6563319   size:5.0,Price: ,2.66,Penafiel, 505984   size:25.64,Price: ,2.96,The Draw, 58805   size:299.55,Price: ,3.25,x
1.121523162, Sport: ,Soccer, Time: ,Fri Oct 30 13:55:00 CET 2015, Time: ,Fri Oct 30 13:55:00 CET 2015, Event: ,Al Shaab v Al Wahda (Abu Dhabi), Favorite: ,Al Wahda (Abu Dhabi), 6132829   size:3.58,Price: ,1.63,Al Shaab, 3618588   size:3.09,Price: ,5.0,The Draw, 58805   size:4.0,Price: ,2.94,ok
1.121524371, Sport: ,Soccer, Time: ,Fri Oct 30 11:00:00 CET 2015, Time: ,Fri Oct 30 11:00:00 CET 2015, Event: ,MFK OKD Karvina U19 v FC Zlin U19, Favorite: ,MFK OKD Karvina U19, 7453401   size:12.84,Price: ,1.42,FC Zlin U19, 6584762   size:12.28,Price: ,2.0,The Draw, 58805   size:5.0,Price: ,3.65,ok
1.121522192, Sport: ,Ice Hockey, Time: ,Fri Oct 30 19:00:00 CET 2015, Time: ,Fri Oct 30 19:00:00 CET 2015, Event: ,Rogle v Orebro, Favorite: ,Orebro, 247111   size:101.0,Price: ,2.34,Rogle, 247122   size:52.0,Price: ,2.72,Tie, 60104   size:53.52,Price: ,4.2,x
1.121515132, Sport: ,Basketball, Time: ,Fri Oct 30 19:04:00 CET 2015, Time: ,Fri Oct 30 19:04:00 CET 2015, Event: ,Boras v Uppsala, Favorite: ,Uppsala, 7037206   size:9.71,Price: ,1.03,Boras, 7037205   size:15.59,Price: ,1.32,x
1.121515133, Sport: ,Basketball, Time: ,Fri Oct 30 19:04:00 CET 2015, Time: ,Fri Oct 30 19:04:00 CET 2015, Event: ,Nassjo v Sundsvall, Favorite: ,Nassjo, 7735757   size:9.71,Price: ,1.03,Sundsvall, 1309741   size:9.71,Price: ,1.03,x
1.121397581, Sport: ,Soccer, Time: ,Fri Oct 30 19:00:00 CET 2015, Time: ,Fri Oct 30 19:00:00 CET 2015, Event: ,Erzgebirge v Wehen Wiesbaden, Favorite: ,Erzgebirge, 476499   size:5.0,Price: ,1.93,Wehen Wiesbaden, 6500322   size:79.35,Price: ,4.5,The Draw, 58805   size:11.46,Price: ,3.55,x
