1.121604090, Sport: ,Tennis, Time: ,Sat Oct 31 18:45:00 CET 2015, Time: ,Sat Oct 31 18:45:00 CET 2015, Event: ,Alvarez Llamas v O'hare, Favorite: ,Axel Alvarez Llamas, 10141458   size:12.71,Price: ,1.07,David O'hare, 8284800   size:50.05,Price: ,6.6,ok
1.121604094, Sport: ,Tennis, Time: ,Sat Oct 31 16:45:00 CET 2015, Time: ,Sat Oct 31 16:45:00 CET 2015, Event: ,Kwiatkowski v Kamynin, Favorite: ,Thai-Son Kwiatkowski, 8258569   size:4.64,Price: ,1.37,Dmitriy Kamynin, 9624570   size:2.01,Price: ,3.15,ok
1.121409528, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Mushuc Runa v LDU Loja, Favorite: ,Mushuc Runa, 8225986   size:45.0,Price: ,2.38,LDU Loja, 6001716   size:2.78,Price: ,3.25,The Draw, 58805   size:2.55,Price: ,3.4,ok
1.121507070, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Guijuelo v Ferrol, Favorite: ,Guijuelo, 2250340   size:2.78,Price: ,2.12,Ferrol, 309110   size:4.13,Price: ,3.3,The Draw, 58805   size:2.78,Price: ,3.3,x
1.121569205, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Nomme Kalju II v FC Infonet II, Favorite: ,Nomme Kalju II, 10396212   size:9.01,Price: ,2.42,FC Infonet II, 8866982   size:7.17,Price: ,2.48,The Draw, 58805   size:6.86,Price: ,3.9,x
1.121411851, Sport: ,Handball, Time: ,Sat Oct 31 17:10:00 CET 2015, Time: ,Sat Oct 31 17:10:00 CET 2015, Event: ,Skjern v Kolding Kobenhavn, Favorite: ,Skjern, 928215   size:5.23,Price: ,1.01,Kolding Kobenhavn, 7670726   size:5.23,Price: ,1.01,Draw, 330157   size:5.23,Price: ,1.01,ok
1.121404071, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Seraing Utd v White Star Bruxelles, Favorite: ,White Star Bruxelles, 7408886   size:42.04,Price: ,2.5,Seraing Utd, 8727584   size:85.1,Price: ,3.05,The Draw, 58805   size:35.87,Price: ,3.4,x
1.121603551, Sport: ,Tennis, Time: ,Sat Oct 31 17:17:00 CET 2015, Time: ,Sat Oct 31 17:17:00 CET 2015, Event: ,Dodig v Janowicz, Favorite: ,Jerzy Janowicz, 3103303   size:2.27,Price: ,1.75,Ivan Dodig, 2835266   size:2.8,Price: ,2.26,ok
1.121414204, Sport: ,Soccer, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,Karpaty v Metalurg Z, Favorite: ,Karpaty, 2017824   size:168.19,Price: ,1.18,Metalurg Z, 489141   size:13.04,Price: ,23.0,The Draw, 58805   size:25.5,Price: ,8.4,ok
1.121564798, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Castro FC v CD Laredo, Favorite: ,CD Laredo, 6737451   size:13.37,Price: ,1.63,Castro FC, 6343346   size:5.31,Price: ,4.1,The Draw, 58805   size:5.74,Price: ,3.8,ok
1.121570435, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,FC Ajka v Dunaujvaros, Favorite: ,FC Ajka, 4202985   size:11.65,Price: ,1.87,Dunaujvaros, 3431952   size:7.26,Price: ,3.0,The Draw, 58805   size:6.32,Price: ,3.45,x
1.121413358, Sport: ,Soccer, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Zlate Moravce v Zemplin, Favorite: ,Zlate Moravce, 2397382   size:5.0,Price: ,1.03,Zemplin, 4985275   size:34.06,Price: ,5.0,The Draw, 58805   size:4.09,Price: ,1.09,x
1.121556498, Sport: ,Basketball, Time: ,Sat Oct 31 17:30:00 CET 2015, Time: ,Sat Oct 31 17:30:00 CET 2015, Event: ,Slask Wroclaw v Kutno, Favorite: ,Slask Wroclaw, 272970   size:2.55,Price: ,1.58,Kutno, 8832805   size:3.5,Price: ,2.38,x
1.121594409, Sport: ,Basketball, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,FMP Beograd v Vojvodina, Favorite: ,FMP Beograd, 10370970   size:2.8,Price: ,1.02,Vojvodina, 1275949   size:2.8,Price: ,1.02,ok
1.121565074, Sport: ,Soccer, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,RS Gimnastica v CD Siete Villas, Favorite: ,RS Gimnastica, 5756669   size:28.03,Price: ,1.14,CD Siete Villas, 9320409   size:3.5,Price: ,9.0,The Draw, 58805   size:5.6,Price: ,6.0,ok
1.121566285, Sport: ,Soccer, Time: ,Sat Oct 31 17:05:00 CET 2015, Time: ,Sat Oct 31 17:05:00 CET 2015, Event: ,Platense v Brown de Adrogue, Favorite: ,Platense, 5548214   size:5.0,Price: ,1.03,Brown de Adrogue, 7047340   size:29.5,Price: ,1.05,The Draw, 58805   size:7.0,Price: ,2.2,x
1.121514856, Sport: ,Basketball, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Valencia v Rio Natura Monbus, Favorite: ,Valencia, 599260   size:2.55,Price: ,1.17,Rio Natura Monbus, 7833774   size:36.95,Price: ,6.2,ok
1.121413580, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,FC Vaduz v FC Basel, Favorite: ,FC Basel, 2939090   size:209.4,Price: ,1.54,FC Vaduz, 46945   size:51.91,Price: ,7.0,The Draw, 58805   size:505.84,Price: ,4.6,ok
1.121561163, Sport: ,Soccer, Time: ,Sat Oct 31 19:00:00 CET 2015, Time: ,Sat Oct 31 19:00:00 CET 2015, Event: ,UDG Tenerife Sur (W) v Espanyol (W), Favorite: ,UDG Tenerife Sur (W), 9488105   size:3.36,Price: ,1.89,Espanyol (W), 5226488   size:11.87,Price: ,3.4,The Draw, 58805   size:21.84,Price: ,3.45,x
1.121522228, Sport: ,Ice Hockey, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,Vaxjo Lakers v HV71, Favorite: ,Vaxjo Lakers, 539706   size:53.41,Price: ,1.81,HV71, 1357305   size:104.0,Price: ,3.6,Tie, 60104   size:104.0,Price: ,4.8,x
1.121603661, Sport: ,Tennis, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,And Martin v Hernandez-Fernandez, Favorite: ,Andrej Martin, 5071877   size:40.31,Price: ,1.8,Jose Hernandez-Fernande, 9420497   size:2.43,Price: ,2.06,ok
1.121566845, Sport: ,Soccer, Time: ,Sat Oct 31 19:00:00 CET 2015, Time: ,Sat Oct 31 19:00:00 CET 2015, Event: ,Barbarense v Rio Branco SP, Favorite: ,Barbarense, 6973281   size:138.75,Price: ,1.06,Rio Branco SP, 6987861   size:138.75,Price: ,1.06,The Draw, 58805   size:6.54,Price: ,2.88,ok
1.121522223, Sport: ,Ice Hockey, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,Orebro v Rogle, Favorite: ,Orebro, 247111   size:274.0,Price: ,1.7,Rogle, 247122   size:62.44,Price: ,4.3,Tie, 60104   size:103.38,Price: ,4.6,x
1.121413908, Sport: ,Soccer, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Slovacko v FK Jablonec, Favorite: ,FK Jablonec, 367578   size:6.05,Price: ,2.02,Slovacko, 1533861   size:19.14,Price: ,4.5,The Draw, 58805   size:32.26,Price: ,3.4,x
1.121405850, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Lechia Gdansk v Legia Warsaw, Favorite: ,Legia Warsaw, 46943   size:12.69,Price: ,2.76,Lechia Gdansk, 3143305   size:58.47,Price: ,2.84,The Draw, 58805   size:214.96,Price: ,3.4,ok
1.121411849, Sport: ,Handball, Time: ,Sat Oct 31 16:30:00 CET 2015, Time: ,Sat Oct 31 16:30:00 CET 2015, Event: ,Skanderborg v Team Tvis Holstebro, Favorite: ,Team Tvis Holstebro, 359681   size:197.49,Price: ,1.46,Skanderborg, 2467576   size:52.81,Price: ,2.72,Draw, 330157   size:15.66,Price: ,6.8,ok
1.121423730, Sport: ,Volleyball, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Developres Rzeszow v Tauron Dabrowa Gornicza, Favorite: ,Tauron Dabrowa Gornicza, 10399380   size:2.55,Price: ,1.09,Developres Rzeszow, 8885752   size:24.55,Price: ,7.4,ok
1.121506402, Sport: ,Soccer, Time: ,Sat Oct 31 19:30:00 CET 2015, Time: ,Sat Oct 31 19:30:00 CET 2015, Event: ,Sud America v Wanderers (Uru), Favorite: ,Wanderers (Uru), 2794560   size:82.49,Price: ,2.38,Sud America, 7579935   size:2.56,Price: ,2.98,The Draw, 58805   size:2.55,Price: ,3.5,x
1.121421435, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Sao Paulo v Sport Recife, Favorite: ,Sao Paulo, 198126   size:891.16,Price: ,1.55,Sport Recife, 2405306   size:66.86,Price: ,7.2,The Draw, 58805   size:41.47,Price: ,4.3,ok
1.121418942, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,SC Bastia v Caen, Favorite: ,Caen, 310510   size:542.59,Price: ,2.66,SC Bastia, 7534982   size:639.05,Price: ,3.05,The Draw, 58805   size:2735.18,Price: ,3.25,x
