1.121502261, Sport: ,Soccer, Time: ,Sat Oct 31 21:10:00 CET 2015, Time: ,Sat Oct 31 21:10:00 CET 2015, Event: ,Gimnasia La Plata v Atletico Rafaela, Favorite: ,Gimnasia La Plata, 1213581   size:100.0,Price: ,1.19,Atletico Rafaela, 476271   size:2.21,Price: ,36.0,The Draw, 58805   size:2.8,Price: ,7.4,ok
1.121478307, Sport: ,Soccer, Time: ,Sat Oct 31 23:30:00 CET 2015, Time: ,Sat Oct 31 23:30:00 CET 2015, Event: ,Cortulua v Once Caldas, Favorite: ,Cortulua, 9188271   size:14.15,Price: ,2.4,Once Caldas, 816112   size:41.62,Price: ,3.45,The Draw, 58805   size:7.21,Price: ,3.3,x
1.121420842, Sport: ,Soccer, Time: ,Sat Oct 31 22:30:00 CET 2015, Time: ,Sat Oct 31 22:30:00 CET 2015, Event: ,Avai v Cruzeiro, Favorite: ,Cruzeiro, 192807   size:24.4,Price: ,2.72,Avai, 3859186   size:67.63,Price: ,2.94,The Draw, 58805   size:411.99,Price: ,3.3,x
1.121604134, Sport: ,Tennis, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Dutra Silva/Souza v Martin/Podlipnik-Castil, Favorite: ,Martin/Podlipnik-Castil, 9436921   size:4.18,Price: ,1.52,Dutra Silva/Souza, 10252644   size:2.6,Price: ,2.44,ok
1.121519857, Sport: ,Soccer, Time: ,Sun Nov 01 01:00:00 CET 2015, Time: ,Sun Nov 01 01:00:00 CET 2015, Event: ,Minnesota Utd v San Antonio Scorpions, Favorite: ,Minnesota Utd, 7533070   size:8.28,Price: ,1.5,San Antonio Scorpions, 6334069   size:2.71,Price: ,7.0,The Draw, 58805   size:3.7,Price: ,4.3,x
1.121419851, Sport: ,Soccer, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,ABC v Sampaio Correa, Favorite: ,abc, 3794139   size:5.0,Price: ,2.5,Sampaio Correa, 5330505   size:45.81,Price: ,3.1,The Draw, 58805   size:29.94,Price: ,3.45,x
1.121603478, Sport: ,Tennis, Time: ,Sat Oct 31 21:22:00 CET 2015, Time: ,Sat Oct 31 21:22:00 CET 2015, Event: ,A Pavic v Y Marti, Favorite: ,Ante Pavic, 5224080   size:27.25,Price: ,1.05,Yann Marti, 4874457   size:3.81,Price: ,11.0,ok
1.121395283, Sport: ,Ice Hockey, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Washington @ Florida, Favorite: ,Washington, 2109756   size:489.0,Price: ,2.44,Florida, 2112317   size:289.0,Price: ,2.6,Tie, 60104   size:493.99,Price: ,3.85,x
1.121604216, Sport: ,Tennis, Time: ,Sun Nov 01 00:45:00 CET 2015, Time: ,Sun Nov 01 00:45:00 CET 2015, Event: ,Lorenzi/Romboli v de Bakker/Vervoort, Favorite: ,de Bakker/Vervoort, 10459506   size:2.55,Price: ,1.73,Lorenzi/Romboli, 10459507   size:2.65,Price: ,1.95,x
1.121567268, Sport: ,Soccer, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Rangers (Chile) v Concepcion, Favorite: ,Rangers (Chile), 6105742   size:364.45,Price: ,2.2,Concepcion, 9935776   size:50.21,Price: ,3.45,The Draw, 58805   size:5.0,Price: ,3.4,ok
1.121564279, Sport: ,Basketball, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,New York @ Washington, Favorite: ,Washington, 13105   size:390.43,Price: ,1.31,New York, 13106   size:101.0,Price: ,3.95,x
1.121395288, Sport: ,Ice Hockey, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Winnipeg @ Columbus, Favorite: ,Winnipeg, 5866888   size:7.13,Price: ,2.34,Columbus, 2114347   size:93.98,Price: ,2.9,Tie, 60104   size:107.76,Price: ,4.1,ok
1.121503039, Sport: ,Soccer, Time: ,Sat Oct 31 23:00:00 CET 2015, Time: ,Sat Oct 31 23:00:00 CET 2015, Event: ,Velez v River Plate, Favorite: ,River Plate, 194515   size:40.15,Price: ,2.48,Velez, 367589   size:7.34,Price: ,3.15,The Draw, 58805   size:46.26,Price: ,3.3,ok
1.121490709, Sport: ,Soccer, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Cruz Azul v Veracruz, Favorite: ,Cruz Azul, 328204   size:117.83,Price: ,1.82,Veracruz, 328922   size:49.46,Price: ,5.1,The Draw, 58805   size:671.27,Price: ,3.85,x
1.121493593, Sport: ,American Football, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Miami (FL) @ Duke, Favorite: ,Duke, 975037   size:2374.31,Price: ,1.26,Miami (FL), 1257371   size:2.55,Price: ,4.5,x
1.121421247, Sport: ,Soccer, Time: ,Sat Oct 31 22:30:00 CET 2015, Time: ,Sat Oct 31 22:30:00 CET 2015, Event: ,Ponte Preta v Joinville, Favorite: ,Ponte Preta, 204603   size:112.51,Price: ,1.62,Joinville, 5259406   size:15.07,Price: ,7.4,The Draw, 58805   size:99.57,Price: ,3.95,ok
1.121569150, Sport: ,Soccer, Time: ,Sat Oct 31 21:30:00 CET 2015, Time: ,Sat Oct 31 21:30:00 CET 2015, Event: ,CD Pasaquina v Santa Tecla, Favorite: ,Santa Tecla, 10152861   size:29.5,Price: ,1.05,CD Pasaquina, 8761177   size:5.5,Price: ,1.1,The Draw, 58805   size:59.05,Price: ,9.0,x
