1.121559759, Sport: ,Soccer, Time: ,Sat Oct 31 23:30:00 CET 2015, Time: ,Sat Oct 31 23:30:00 CET 2015, Event: ,CD Marathon v Vida, Favorite: ,Vida, 8369517   size:29.5,Price: ,1.05,CD Marathon, 3379962   size:5.5,Price: ,1.1,The Draw, 58805   size:5.0,Price: ,3.25,x
1.121478307, Sport: ,Soccer, Time: ,Sat Oct 31 23:30:00 CET 2015, Time: ,Sat Oct 31 23:30:00 CET 2015, Event: ,Cortulua v Once Caldas, Favorite: ,Cortulua, 9188271   size:6.85,Price: ,2.4,Once Caldas, 816112   size:6.85,Price: ,3.45,The Draw, 58805   size:7.7,Price: ,3.3,x
1.121420842, Sport: ,Soccer, Time: ,Sat Oct 31 22:30:00 CET 2015, Time: ,Sat Oct 31 22:30:00 CET 2015, Event: ,Avai v Cruzeiro, Favorite: ,Cruzeiro, 192807   size:31.16,Price: ,2.8,Avai, 3859186   size:111.77,Price: ,3.1,The Draw, 58805   size:18.72,Price: ,3.0,x
1.121455149, Sport: ,Soccer, Time: ,Sun Nov 01 02:00:00 CET 2015, Time: ,Sun Nov 01 02:00:00 CET 2015, Event: ,Isidro Metapan v CD Atletico Marte, Favorite: ,Isidro Metapan, 4864112   size:2.55,Price: ,1.36,CD Atletico Marte, 8459079   size:7.93,Price: ,6.8,The Draw, 58805   size:2.55,Price: ,4.0,ok
1.121563455, Sport: ,Soccer, Time: ,Sun Nov 01 00:30:00 CET 2015, Time: ,Sun Nov 01 00:30:00 CET 2015, Event: ,Estudiantes de Merida v Deportivo Tachira, Favorite: ,Deportivo Tachira, 712865   size:5.0,Price: ,2.36,Estudiantes de Merida, 7838019   size:6.6,Price: ,3.4,The Draw, 58805   size:6.58,Price: ,3.25,x
1.121604134, Sport: ,Tennis, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Dutra Silva/Souza v Martin/Podlipnik-Castil, Favorite: ,Martin/Podlipnik-Castil, 9436921   size:4.18,Price: ,1.52,Dutra Silva/Souza, 10252644   size:8.78,Price: ,2.42,ok
1.121419851, Sport: ,Soccer, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,ABC v Sampaio Correa, Favorite: ,abc, 3794139   size:5.0,Price: ,2.54,Sampaio Correa, 5330505   size:36.96,Price: ,3.05,The Draw, 58805   size:409.92,Price: ,3.4,x
1.121567268, Sport: ,Soccer, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Rangers (Chile) v Concepcion, Favorite: ,The Draw, 58805   size:76.0,Price: ,2.3,Rangers (Chile), 6105742   size:152.03,Price: ,2.84,Concepcion, 9935776   size:10.51,Price: ,3.7,x
1.121395283, Sport: ,Ice Hockey, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Washington @ Florida, Favorite: ,Washington, 2109756   size:342.0,Price: ,2.48,Florida, 2112317   size:93.0,Price: ,2.7,Tie, 60104   size:490.76,Price: ,3.85,x
1.121595859, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Honda FC v Yokogawa Musashino, Favorite: ,Yokogawa Musashino, 4233874   size:4.15,Price: ,1.07,Honda FC, 4233871   size:5.9,Price: ,1.25,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121564279, Sport: ,Basketball, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,New York @ Washington, Favorite: ,Washington, 13105   size:716.11,Price: ,1.32,New York, 13106   size:84.99,Price: ,4.0,x
