1.121395959, Sport: ,Cricket, Time: ,Sun Nov 01 13:30:00 CET 2015, Time: ,Sun Nov 01 13:30:00 CET 2015, Event: ,Titans v Dolphins, Favorite: ,Titans, 1254317   size:8.16,Price: ,1.91,Dolphins, 4294273   size:23.37,Price: ,1.95,x
1.121446156, Sport: ,Soccer, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Huddinge v Dalkurd FF, Favorite: ,Dalkurd FF, 4638398   size:2.55,Price: ,1.87,Huddinge, 7179555   size:3.69,Price: ,2.76,The Draw, 58805   size:3.43,Price: ,3.75,x
1.121557214, Sport: ,Handball, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Flensburg Handewitt v Magdeburg, Favorite: ,Flensburg Handewitt, 4506561   size:4.72,Price: ,1.23,Magdeburg, 2531263   size:6.24,Price: ,5.7,Draw, 330157   size:41.32,Price: ,9.6,ok
1.121507078, Sport: ,Soccer, Time: ,Sun Nov 01 12:00:00 CET 2015, Time: ,Sun Nov 01 12:00:00 CET 2015, Event: ,Sporting Gijon B v Pena Sport FC, Favorite: ,Sporting Gijon B, 7602485   size:51.33,Price: ,1.63,Pena Sport FC, 9310977   size:8.08,Price: ,6.6,The Draw, 58805   size:8.68,Price: ,3.75,ok
1.121595292, Sport: ,Soccer, Time: ,Sun Nov 01 08:30:00 CET 2015, Time: ,Sun Nov 01 08:30:00 CET 2015, Event: ,Wanchai Sports Fed v Lucky Mile, Favorite: ,Wanchai Sports Fed, 8856719   size:138.75,Price: ,1.06,Lucky Mile, 8858491   size:80.0,Price: ,1.08,The Draw, 58805   size:30.77,Price: ,1.26,x
1.121591925, Sport: ,Soccer, Time: ,Sun Nov 01 12:00:00 CET 2015, Time: ,Sun Nov 01 12:00:00 CET 2015, Event: ,FK Lida v Gorodeya, Favorite: ,Gorodeya, 6176306   size:4.15,Price: ,1.07,FK Lida, 6176317   size:5.9,Price: ,2.44,The Draw, 58805   size:5.9,Price: ,2.44,ok
1.121601259, Sport: ,Soccer, Time: ,Sun Nov 01 13:00:00 CET 2015, Time: ,Sun Nov 01 13:00:00 CET 2015, Event: ,FC Karpaty Lviv U19 v FC Zorya Luhansk U19, Favorite: ,FC Karpaty Lviv U19, 6566466   size:4.15,Price: ,1.07,FC Zorya Luhansk U19, 6533227   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121445748, Sport: ,Soccer, Time: ,Sun Nov 01 14:00:00 CET 2015, Time: ,Sun Nov 01 14:00:00 CET 2015, Event: ,Drochtersen-Assel v Luneburg, Favorite: ,Drochtersen-Assel, 9988838   size:2.55,Price: ,2.1,Luneburg, 8710317   size:5.29,Price: ,3.65,The Draw, 58805   size:2.55,Price: ,3.65,ok
1.121445744, Sport: ,Soccer, Time: ,Sun Nov 01 14:00:00 CET 2015, Time: ,Sun Nov 01 14:00:00 CET 2015, Event: ,Weiche Flensburg v Goslarer, Favorite: ,Weiche Flensburg, 6542371   size:6.04,Price: ,1.39,Goslarer, 6542386   size:4.78,Price: ,8.4,The Draw, 58805   size:5.29,Price: ,5.2,ok
1.121395963, Sport: ,Cricket, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Cape Cobras v Lions, Favorite: ,Cape Cobras, 3809606   size:36.32,Price: ,1.71,Lions, 4294272   size:2.55,Price: ,2.22,x
1.121447120, Sport: ,Soccer, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Kitakyushu v Kyoto, Favorite: ,Kyoto, 441085   size:665.14,Price: ,1.08,Kitakyushu, 5026013   size:10.47,Price: ,44.0,The Draw, 58805   size:25.57,Price: ,13.0,ok
1.121594521, Sport: ,Soccer, Time: ,Sun Nov 01 13:00:00 CET 2015, Time: ,Sun Nov 01 13:00:00 CET 2015, Event: ,TSV Havelse U19 v Hamburger SV U19, Favorite: ,Hamburger SV U19, 6415574   size:10.51,Price: ,1.07,TSV Havelse U19, 10123318   size:10.25,Price: ,16.0,The Draw, 58805   size:14.89,Price: ,11.5,ok
