1.121503550, Sport: ,Soccer, Time: ,Sun Nov 01 21:00:00 CET 2015, Time: ,Sun Nov 01 21:00:00 CET 2015, Event: ,Gimnasia Jujuy v Santamarina, Favorite: ,Gimnasia Jujuy, 1213580   size:3.63,Price: ,2.32,Santamarina, 5985057   size:41.97,Price: ,3.75,The Draw, 58805   size:9.72,Price: ,2.98,x
1.121450499, Sport: ,Soccer, Time: ,Sun Nov 01 21:00:00 CET 2015, Time: ,Sun Nov 01 21:00:00 CET 2015, Event: ,Nantes v Marseille, Favorite: ,Marseille, 44798   size:413.98,Price: ,2.16,Nantes, 10774   size:171.67,Price: ,4.0,The Draw, 58805   size:494.5,Price: ,3.4,ok
1.121558148, Sport: ,Soccer, Time: ,Sun Nov 01 18:45:00 CET 2015, Time: ,Sun Nov 01 18:45:00 CET 2015, Event: ,Ismaily v El Daklyeh, Favorite: ,Ismaily, 5170870   size:25.36,Price: ,2.1,El Daklyeh, 5907009   size:10.93,Price: ,4.5,The Draw, 58805   size:4.44,Price: ,3.15,x
1.121506788, Sport: ,Soccer, Time: ,Sun Nov 01 22:00:00 CET 2015, Time: ,Sun Nov 01 22:00:00 CET 2015, Event: ,Penarol v Villa Teresa, Favorite: ,Penarol, 328191   size:576.41,Price: ,1.3,Villa Teresa, 9459685   size:18.56,Price: ,12.0,The Draw, 58805   size:2.69,Price: ,6.0,ok
1.121563730, Sport: ,Soccer, Time: ,Sun Nov 01 21:00:00 CET 2015, Time: ,Sun Nov 01 21:00:00 CET 2015, Event: ,Casa de Italia v Deportivo Tachira FC II, Favorite: ,Casa de Italia, 10424512   size:2.35,Price: ,1.85,Deportivo Tachira FC II, 10424533   size:6.95,Price: ,3.65,The Draw, 58805   size:7.31,Price: ,3.05,x
1.121601534, Sport: ,Soccer, Time: ,Sun Nov 01 21:30:00 CET 2015, Time: ,Sun Nov 01 21:30:00 CET 2015, Event: ,Carabobo FC v Zulia, Favorite: ,Carabobo FC, 893607   size:113.48,Price: ,1.97,Zulia, 8018679   size:35.74,Price: ,4.6,The Draw, 58805   size:42.0,Price: ,3.45,x
1.121601895, Sport: ,Soccer, Time: ,Sun Nov 01 20:30:00 CET 2015, Time: ,Sun Nov 01 20:30:00 CET 2015, Event: ,LALA FC v Angostura FC, Favorite: ,LALA FC, 10429536   size:138.75,Price: ,1.06,Angostura FC, 10160867   size:77.2,Price: ,1.07,The Draw, 58805   size:30.77,Price: ,1.26,ok
1.121463337, Sport: ,Soccer, Time: ,Sun Nov 01 22:00:00 CET 2015, Time: ,Sun Nov 01 22:00:00 CET 2015, Event: ,CD Platense v Honduras Progreso, Favorite: ,CD Platense, 9282715   size:4.1,Price: ,2.54,Honduras Progreso, 9216461   size:3.97,Price: ,2.78,The Draw, 58805   size:15.51,Price: ,3.1,x
1.121502741, Sport: ,Soccer, Time: ,Sun Nov 01 22:00:00 CET 2015, Time: ,Sun Nov 01 22:00:00 CET 2015, Event: ,San Lorenzo v CA Temperley, Favorite: ,San Lorenzo, 194503   size:609.3,Price: ,1.49,CA Temperley, 8742769   size:43.6,Price: ,8.8,The Draw, 58805   size:314.63,Price: ,4.3,ok
1.121595571, Sport: ,Soccer, Time: ,Sun Nov 01 21:00:00 CET 2015, Time: ,Sun Nov 01 21:00:00 CET 2015, Event: ,Rivoli United FC v Tivoli Gardens FC, Favorite: ,Rivoli United FC, 7716748   size:138.75,Price: ,1.06,Tivoli Gardens FC, 7716758   size:138.75,Price: ,1.06,The Draw, 58805   size:30.77,Price: ,1.26,x
1.121461310, Sport: ,Ice Hockey, Time: ,Sun Nov 01 23:05:00 CET 2015, Time: ,Sun Nov 01 23:05:00 CET 2015, Event: ,Tampa Bay @ Carolina, Favorite: ,Tampa Bay, 2109715   size:105.68,Price: ,2.54,Carolina, 2108027   size:50.0,Price: ,2.72,Tie, 60104   size:177.42,Price: ,4.0,ok
1.121448589, Sport: ,Soccer, Time: ,Sun Nov 01 20:00:00 CET 2015, Time: ,Sun Nov 01 20:00:00 CET 2015, Event: ,Santos v Palmeiras, Favorite: ,Santos, 198127   size:56.83,Price: ,1.82,Palmeiras, 189952   size:36.37,Price: ,4.8,The Draw, 58805   size:25.22,Price: ,4.0,ok
1.121448109, Sport: ,Soccer, Time: ,Sun Nov 01 20:00:00 CET 2015, Time: ,Sun Nov 01 20:00:00 CET 2015, Event: ,Zulte-Waregem v KV Kortrijk, Favorite: ,Zulte-Waregem, 505726   size:65.27,Price: ,2.04,KV Kortrijk, 4444232   size:310.87,Price: ,4.0,The Draw, 58805   size:103.81,Price: ,3.7,x
1.121614461, Sport: ,Tennis, Time: ,Sun Nov 01 18:08:00 CET 2015, Time: ,Sun Nov 01 18:08:00 CET 2015, Event: ,Michon v Neis, Favorite: ,Fabricio Neis, 8326758   size:11.97,Price: ,1.03,Axel Michon, 4994683   size:21.02,Price: ,1.11,x
1.121601645, Sport: ,Soccer, Time: ,Sun Nov 01 20:30:00 CET 2015, Time: ,Sun Nov 01 20:30:00 CET 2015, Event: ,Urena v Zamora, Favorite: ,Zamora, 565025   size:7.98,Price: ,1.7,Urena, 9990099   size:2.0,Price: ,5.2,The Draw, 58805   size:3.5,Price: ,4.1,ok
1.121592598, Sport: ,Soccer, Time: ,Sun Nov 01 21:30:00 CET 2015, Time: ,Sun Nov 01 21:30:00 CET 2015, Event: ,Limon v Santos de Guapiles, Favorite: ,Limon, 7050467   size:14.74,Price: ,2.32,Santos de Guapiles, 10135629   size:11.63,Price: ,3.1,The Draw, 58805   size:119.77,Price: ,3.5,x
1.121354968, Sport: ,American Football, Time: ,Sun Nov 01 19:00:00 CET 2015, Time: ,Sun Nov 01 19:00:00 CET 2015, Event: ,San Diego @ Baltimore, Favorite: ,Baltimore Ravens, 50205   size:700.8,Price: ,1.4,San Diego Chargers, 50215   size:204.15,Price: ,2.96,ok
1.121461427, Sport: ,Ice Hockey, Time: ,Mon Nov 02 01:35:00 CET 2015, Time: ,Mon Nov 02 01:35:00 CET 2015, Event: ,Buffalo @ NY Islanders, Favorite: ,NY Islanders, 60105   size:5.0,Price: ,1.88,Buffalo, 4427593   size:602.0,Price: ,4.0,Tie, 60104   size:338.0,Price: ,4.1,x
1.121440225, Sport: ,Soccer, Time: ,Sun Nov 01 20:30:00 CET 2015, Time: ,Sun Nov 01 20:30:00 CET 2015, Event: ,Betis v Ath Bilbao, Favorite: ,Ath Bilbao, 215903   size:2794.61,Price: ,2.24,Betis, 44507   size:99.87,Price: ,3.7,The Draw, 58805   size:3102.82,Price: ,3.45,ok
1.121461305, Sport: ,Ice Hockey, Time: ,Sun Nov 01 21:05:00 CET 2015, Time: ,Sun Nov 01 21:05:00 CET 2015, Event: ,San Jose @ Colorado, Favorite: ,Colorado, 2108117   size:471.09,Price: ,2.54,San Jose, 2110001   size:75.29,Price: ,2.62,Tie, 60104   size:145.22,Price: ,4.1,x
