1.121632463, Sport: ,Basketball, Time: ,Mon Nov 02 22:00:00 CET 2015, Time: ,Mon Nov 02 22:00:00 CET 2015, Event: ,Bauru v Flamengo, Favorite: ,Bauru, 6243647   size:69.96,Price: ,1.05,Flamengo, 6775296   size:55.96,Price: ,2.2,ok
1.121607625, Sport: ,Basketball, Time: ,Tue Nov 03 01:00:00 CET 2015, Time: ,Tue Nov 03 01:00:00 CET 2015, Event: ,Sionista v San Martin, Favorite: ,Sionista, 6719083   size:2.54,Price: ,1.6,San Martin, 8861781   size:35.0,Price: ,2.42,ok
1.121565365, Sport: ,Basketball, Time: ,Tue Nov 03 01:05:00 CET 2015, Time: ,Tue Nov 03 01:05:00 CET 2015, Event: ,Cleveland @ Philadelphia, Favorite: ,Cleveland, 13112   size:6300.67,Price: ,1.09,Philadelphia, 13103   size:239.92,Price: ,11.0,ok
1.121610813, Sport: ,Tennis, Time: ,Mon Nov 02 23:30:00 CET 2015, Time: ,Mon Nov 02 23:30:00 CET 2015, Event: ,Sandgren v R Harrison, Favorite: ,Ryan Harrison, 2923247   size:21.63,Price: ,1.51,Tennys Sandgren, 6604266   size:11.57,Price: ,2.74,ok
1.121618692, Sport: ,Tennis, Time: ,Mon Nov 02 22:07:00 CET 2015, Time: ,Mon Nov 02 22:07:00 CET 2015, Event: ,Carballes Baen/Vervoort v Arguello/March, Favorite: ,Carballes Baen/Vervoort, 10483995   size:3.0,Price: ,1.15,Arguello/March, 10484941   size:6.66,Price: ,4.2,ok
1.121621088, Sport: ,Tennis, Time: ,Mon Nov 02 23:00:00 CET 2015, Time: ,Mon Nov 02 23:00:00 CET 2015, Event: ,Kozlov/Tiafoe v O'hare/Salisbury, Favorite: ,O'hare/Salisbury, 8287125   size:13.78,Price: ,1.58,Kozlov/Tiafoe, 10484188   size:11.63,Price: ,2.3,ok
1.121618673, Sport: ,Tennis, Time: ,Mon Nov 02 23:45:00 CET 2015, Time: ,Mon Nov 02 23:45:00 CET 2015, Event: ,Duran/Molteni v Londero/Sakamoto, Favorite: ,Duran/Molteni, 8910784   size:2.54,Price: ,1.09,Londero/Sakamoto, 10483993   size:2.19,Price: ,5.8,ok
1.121619344, Sport: ,Soccer, Time: ,Tue Nov 03 05:00:00 CET 2015, Time: ,Tue Nov 03 05:00:00 CET 2015, Event: ,INAC Leonessa Kobe (W) v Urawa (W), Favorite: ,INAC Leonessa Kobe (W), 6233771   size:8.0,Price: ,1.55,Urawa (W), 6044939   size:10.55,Price: ,2.48,The Draw, 58805   size:18.55,Price: ,2.42,ok
1.121610779, Sport: ,Tennis, Time: ,Mon Nov 02 21:45:00 CET 2015, Time: ,Mon Nov 02 21:45:00 CET 2015, Event: ,Smyczek v D Evans, Favorite: ,Tim Smyczek, 2848631   size:6.82,Price: ,1.61,Daniel Evans, 3103121   size:20.98,Price: ,1.96,ok
1.121565409, Sport: ,Basketball, Time: ,Tue Nov 03 04:30:00 CET 2015, Time: ,Tue Nov 03 04:30:00 CET 2015, Event: ,Memphis @ Golden State, Favorite: ,Golden State, 13126   size:89.64,Price: ,1.23,Memphis, 119812   size:56.39,Price: ,4.9,ok
1.121612059, Sport: ,Soccer, Time: ,Mon Nov 02 22:00:00 CET 2015, Time: ,Mon Nov 02 22:00:00 CET 2015, Event: ,Vila Nova v Brasil de Pelotas, Favorite: ,Vila Nova, 376829   size:10.12,Price: ,1.85,Brasil de Pelotas, 7160974   size:2.79,Price: ,4.9,The Draw, 58805   size:77.63,Price: ,3.55,x
1.121501877, Sport: ,Soccer, Time: ,Tue Nov 03 00:00:00 CET 2015, Time: ,Tue Nov 03 00:00:00 CET 2015, Event: ,Arsenal FC v Defensa y Justicia, Favorite: ,Defensa y Justicia, 5178272   size:233.83,Price: ,2.34,Arsenal FC, 512619   size:26.46,Price: ,3.6,The Draw, 58805   size:795.61,Price: ,3.3,x
1.121611077, Sport: ,Soccer, Time: ,Tue Nov 03 00:00:00 CET 2015, Time: ,Tue Nov 03 00:00:00 CET 2015, Event: ,Alianza Petrolera v Ind Medellin, Favorite: ,Alianza Petrolera, 5615116   size:43.77,Price: ,2.72,Ind Medellin, 1067444   size:36.19,Price: ,3.05,The Draw, 58805   size:26.16,Price: ,3.2,x
1.121610780, Sport: ,Tennis, Time: ,Mon Nov 02 21:39:00 CET 2015, Time: ,Mon Nov 02 21:39:00 CET 2015, Event: ,Milton v Laaksonen, Favorite: ,Henri Laaksonen, 6344314   size:27.23,Price: ,1.13,Joshua Milton, 3985858   size:158.78,Price: ,1.67,ok
1.121617973, Sport: ,Tennis, Time: ,Mon Nov 02 22:04:00 CET 2015, Time: ,Mon Nov 02 22:04:00 CET 2015, Event: ,Carreno Busta v G Dimitrov, Favorite: ,Grigor Dimitrov, 3120169   size:13385.31,Price: ,1.26,Pablo Carreno Busta, 5479878   size:29.38,Price: ,4.7,ok
1.121501780, Sport: ,Soccer, Time: ,Tue Nov 03 01:10:00 CET 2015, Time: ,Tue Nov 03 01:10:00 CET 2015, Event: ,Argentinos Juniors v Olimpo, Favorite: ,Argentinos Juniors, 453739   size:12.24,Price: ,2.8,Olimpo, 194517   size:81.48,Price: ,3.05,The Draw, 58805   size:532.62,Price: ,3.15,x
1.121621299, Sport: ,Tennis, Time: ,Mon Nov 02 22:17:00 CET 2015, Time: ,Mon Nov 02 22:17:00 CET 2015, Event: ,Michon v T Monteiro, Favorite: ,Thiago Monteiro, 8326656   size:90.76,Price: ,1.65,Axel Michon, 4994683   size:19.38,Price: ,2.42,ok
