1.121604265, Sport: ,Tennis, Time: ,Tue Nov 03 08:00:00 CET 2015, Time: ,Tue Nov 03 08:00:00 CET 2015, Event: ,Fabbiano v Zopp, Favorite: ,Thomas Fabbiano, 3019240   size:21.4,Price: ,1.66,Jurgen Zopp, 5223695   size:2.8,Price: ,2.34,x
1.121604275, Sport: ,Tennis, Time: ,Tue Nov 03 08:00:00 CET 2015, Time: ,Tue Nov 03 08:00:00 CET 2015, Event: ,Langer v D Sela, Favorite: ,Dudi Sela, 2263685   size:2.8,Price: ,1.24,Nils Langer, 7066939   size:14.52,Price: ,4.8,x
1.121635200, Sport: ,Tennis, Time: ,Tue Nov 03 08:30:00 CET 2015, Time: ,Tue Nov 03 08:30:00 CET 2015, Event: ,Staubert v Lizen, Favorite: ,Pavel Staubert, 8574197   size:2.55,Price: ,1.6,Aswin Lizen, 9632846   size:10.27,Price: ,2.12,x
1.121604290, Sport: ,Tennis, Time: ,Tue Nov 03 08:00:00 CET 2015, Time: ,Tue Nov 03 08:00:00 CET 2015, Event: ,Moriya v Y Bai, Favorite: ,Hiroki Moriya, 5858055   size:33.39,Price: ,1.93,Yan Bai, 3357363   size:14.87,Price: ,2.0,ok
1.121618365, Sport: ,Tennis, Time: ,Tue Nov 03 08:30:00 CET 2015, Time: ,Tue Nov 03 08:30:00 CET 2015, Event: ,Lumsden v Wasserson, Favorite: ,Maia Lumsden, 9628654   size:3.0,Price: ,1.04,Jane Wasserson, 9634711   size:8.16,Price: ,3.15,ok
1.121635525, Sport: ,Tennis, Time: ,Tue Nov 03 08:30:00 CET 2015, Time: ,Tue Nov 03 08:30:00 CET 2015, Event: ,Conkic v Lazov, Favorite: ,Aleksandar Lazov, 10487484   size:160.66,Price: ,1.11,Petar Conkic, 9627984   size:5.65,Price: ,3.85,ok
1.121618368, Sport: ,Tennis, Time: ,Tue Nov 03 08:30:00 CET 2015, Time: ,Tue Nov 03 08:30:00 CET 2015, Event: ,Kairi v Ciobanu, Favorite: ,Angeliki Kairi, 9342447   size:18.97,Price: ,1.7,Daniela Ciobanu, 9342392   size:18.97,Price: ,1.7,x
1.121604291, Sport: ,Tennis, Time: ,Tue Nov 03 09:45:00 CET 2015, Time: ,Tue Nov 03 09:45:00 CET 2015, Event: ,Y Bhambri v Sugita, Favorite: ,Yuki Bhambri, 3772081   size:6.79,Price: ,1.46,Yuichi Sugita, 3374117   size:2.55,Price: ,2.82,x
1.121617498, Sport: ,Tennis, Time: ,Tue Nov 03 08:00:00 CET 2015, Time: ,Tue Nov 03 08:00:00 CET 2015, Event: ,V Williams v Keys, Favorite: ,Venus Williams, 2309518   size:16.56,Price: ,1.7,Madison Keys, 3800907   size:35.11,Price: ,2.42,ok
1.121635499, Sport: ,Tennis, Time: ,Tue Nov 03 09:30:00 CET 2015, Time: ,Tue Nov 03 09:30:00 CET 2015, Event: ,Austin v Fournerie, Favorite: ,Gonzales Austin, 9623169   size:3.0,Price: ,1.08,Theo Fournerie, 9028580   size:2.32,Price: ,3.05,ok
1.121510222, Sport: ,Soccer, Time: ,Tue Nov 03 08:00:00 CET 2015, Time: ,Tue Nov 03 08:00:00 CET 2015, Event: ,FC Astana U19 v Atletico Madrid U19, Favorite: ,Atletico Madrid U19, 10261955   size:517.57,Price: ,1.01,FC Astana U19, 10261996   size:40.79,Price: ,200.0,The Draw, 58805   size:4.06,Price: ,26.0,ok
1.121604280, Sport: ,Tennis, Time: ,Tue Nov 03 09:45:00 CET 2015, Time: ,Tue Nov 03 09:45:00 CET 2015, Event: ,Gojowczyk v Ze Zhang, Favorite: ,Peter Gojowczyk, 4691416   size:252.07,Price: ,1.45,Ze Zhang, 5021895   size:4.83,Price: ,2.78,ok
1.121617600, Sport: ,Tennis, Time: ,Tue Nov 03 09:30:00 CET 2015, Time: ,Tue Nov 03 09:30:00 CET 2015, Event: ,Medina Garr/Parra Santo v Xu/You, Favorite: ,Medina Garr/Parra Santo, 9220633   size:6.99,Price: ,1.31,Xu/You, 10302164   size:2.14,Price: ,3.1,ok
1.121636241, Sport: ,Tennis, Time: ,Tue Nov 03 14:30:00 CET 2015, Time: ,Tue Nov 03 14:30:00 CET 2015, Event: ,Parres Azcoitia v Zidansek, Favorite: ,Tamara Zidansek, 9631543   size:7.26,Price: ,1.04,Olga Parres Azcoitia, 9626936   size:5.44,Price: ,13.0,ok
1.121636240, Sport: ,Tennis, Time: ,Tue Nov 03 14:30:00 CET 2015, Time: ,Tue Nov 03 14:30:00 CET 2015, Event: ,Gamiz v Cuk, Favorite: ,Andrea Gamiz, 7083171   size:4.63,Price: ,1.37,Pia Cuk, 9629664   size:2.26,Price: ,2.8,ok
1.121619509, Sport: ,Soccer, Time: ,Tue Nov 03 13:30:00 CET 2015, Time: ,Tue Nov 03 13:30:00 CET 2015, Event: ,Mansheyat Bani Hasan v Al Jalil, Favorite: ,Mansheyat Bani Hasan, 6600043   size:4.14,Price: ,1.07,Al Jalil, 5650175   size:4.14,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.121509532, Sport: ,Soccer, Time: ,Tue Nov 03 13:30:00 CET 2015, Time: ,Tue Nov 03 13:30:00 CET 2015, Event: ,Cherno More v Beroe Stara Za, Favorite: ,Cherno More, 427650   size:2.74,Price: ,2.34,Beroe Stara Za, 4127866   size:8.54,Price: ,3.45,The Draw, 58805   size:45.45,Price: ,3.3,x
1.121510443, Sport: ,Soccer, Time: ,Tue Nov 03 16:00:00 CET 2015, Time: ,Tue Nov 03 16:00:00 CET 2015, Event: ,PSV U19 v Wolfsburg U19, Favorite: ,Wolfsburg U19, 6569328   size:8.96,Price: ,1.94,PSV U19, 2502335   size:2.71,Price: ,2.84,The Draw, 58805   size:2.32,Price: ,3.9,x
1.121636245, Sport: ,Tennis, Time: ,Tue Nov 03 14:30:00 CET 2015, Time: ,Tue Nov 03 14:30:00 CET 2015, Event: ,Saez Larra v Pous Tio, Favorite: ,Laura Pous Tio, 2264536   size:5.89,Price: ,1.51,Olga Saez Larra, 8501973   size:70.0,Price: ,2.54,ok
1.121606396, Sport: ,Tennis, Time: ,Tue Nov 03 15:45:00 CET 2015, Time: ,Tue Nov 03 15:45:00 CET 2015, Event: ,Copil v Sijsling, Favorite: ,Igor Sijsling, 2370190   size:5.0,Price: ,1.48,Marius Copil, 4195870   size:2.69,Price: ,2.78,x
1.121510167, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Sevilla U19 v Man City U19, Favorite: ,Man City U19, 6569324   size:2.55,Price: ,2.42,Sevilla U19, 10261979   size:7.48,Price: ,2.52,The Draw, 58805   size:3.75,Price: ,3.75,ok
1.121636244, Sport: ,Tennis, Time: ,Tue Nov 03 12:30:00 CET 2015, Time: ,Tue Nov 03 12:30:00 CET 2015, Event: ,Morgina v Evtimova, Favorite: ,Dia Evtimova, 4691499   size:8.44,Price: ,1.34,Anna Morgina, 9028616   size:2.55,Price: ,3.45,ok
1.121623526, Sport: ,Tennis, Time: ,Tue Nov 03 14:30:00 CET 2015, Time: ,Tue Nov 03 14:30:00 CET 2015, Event: ,S Wawrinka v B Tomic, Favorite: ,Stan Wawrinka, 8597476   size:185.32,Price: ,1.44,Bernard Tomic, 3588868   size:7.26,Price: ,3.2,ok
1.121607004, Sport: ,Tennis, Time: ,Tue Nov 03 13:45:00 CET 2015, Time: ,Tue Nov 03 13:45:00 CET 2015, Event: ,Butorac/Isner v Klaasen/Ram, Favorite: ,Klaasen/Ram, 9546313   size:2.55,Price: ,1.52,Butorac/Isner, 10481454   size:2.78,Price: ,2.36,ok
1.121607007, Sport: ,Tennis, Time: ,Tue Nov 03 15:30:00 CET 2015, Time: ,Tue Nov 03 15:30:00 CET 2015, Event: ,Fleming/Murray v Peya/Soares, Favorite: ,Peya/Soares, 6504095   size:5.09,Price: ,1.47,Fleming/Murray, 7565590   size:2.62,Price: ,2.76,ok
1.121624973, Sport: ,Tennis, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Zemlja v Desein, Favorite: ,Grega Zemlja, 3509269   size:6.35,Price: ,1.67,Niels Desein, 7234512   size:8.75,Price: ,2.22,x
1.121383898, Sport: ,Soccer, Time: ,Tue Nov 03 16:00:00 CET 2015, Time: ,Tue Nov 03 16:00:00 CET 2015, Event: ,FC Astana v Atletico Madrid, Favorite: ,Atletico Madrid, 41433   size:3876.64,Price: ,1.34,FC Astana, 7391219   size:2627.6,Price: ,12.5,The Draw, 58805   size:318.71,Price: ,5.6,x
1.121558380, Sport: ,Volleyball, Time: ,Tue Nov 03 09:00:00 CET 2015, Time: ,Tue Nov 03 09:00:00 CET 2015, Event: ,Korea Expressway v GS Caltex Kixx, Favorite: ,GS Caltex Kixx, 10391693   size:3.0,Price: ,1.02,Gyeongbuk Gimcheon High, 10391714   size:109.83,Price: ,1.72,x
1.121631917, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,D Ferrer v Dolgopolov, Favorite: ,David Ferrer, 2257314   size:238.36,Price: ,1.28,Alexandr Dolgopolov, 4720522   size:32.8,Price: ,4.3,ok
1.121619785, Sport: ,Soccer, Time: ,Tue Nov 03 15:55:00 CET 2015, Time: ,Tue Nov 03 15:55:00 CET 2015, Event: ,Al-Hilal v Al-Quadisiya (KSA), Favorite: ,Al-Hilal, 3725113   size:2.55,Price: ,1.28,Al-Quadisiya (KSA), 10201607   size:2.0,Price: ,9.4,The Draw, 58805   size:41.12,Price: ,4.1,ok
1.121632365, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Ferro v Shapatava, Favorite: ,Fiona Ferro, 8535268   size:50.83,Price: ,1.9,Sofia Shapatava, 3375695   size:2.57,Price: ,1.94,x
1.121636232, Sport: ,Tennis, Time: ,Tue Nov 03 12:30:00 CET 2015, Time: ,Tue Nov 03 12:30:00 CET 2015, Event: ,Fetecau v Herdzelas, Favorite: ,Dea Herdzelas, 8443235   size:2.55,Price: ,1.21,Irina Fetecau, 9632097   size:2.55,Price: ,4.6,ok
1.121636033, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Carreras v Klaffner, Favorite: ,Amanda Carreras, 7364002   size:7.02,Price: ,1.42,Melanie Klaffner, 2814671   size:4.73,Price: ,2.9,x
1.121557862, Sport: ,Volleyball, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Ansan Rush&cash v Seoul Woori Card Hansae, Favorite: ,Ansan Rush&cash, 10389008   size:2.55,Price: ,1.3,Seoul Woori Card Hansae, 10391680   size:3.31,Price: ,1.92,ok
1.121636236, Sport: ,Tennis, Time: ,Tue Nov 03 13:00:00 CET 2015, Time: ,Tue Nov 03 13:00:00 CET 2015, Event: ,Spigarelli v Gatto Monticone, Favorite: ,Martina Spigarelli, 9286485   size:7.26,Price: ,1.04,Giullia Gatto Monticone, 10487750   size:7.26,Price: ,1.04,x
1.121636235, Sport: ,Tennis, Time: ,Tue Nov 03 11:00:00 CET 2015, Time: ,Tue Nov 03 11:00:00 CET 2015, Event: ,Rus v Adamescu, Favorite: ,Arantxa Rus, 2451050   size:2.55,Price: ,1.11,Cristina Adamescu, 9626995   size:2.4,Price: ,2.08,ok
1.121510498, Sport: ,Soccer, Time: ,Tue Nov 03 14:00:00 CET 2015, Time: ,Tue Nov 03 14:00:00 CET 2015, Event: ,Benfica U19 v Galatasaray U19, Favorite: ,Benfica U19, 5373197   size:6.49,Price: ,1.1,Galatasaray U19, 7653235   size:54.1,Price: ,30.0,The Draw, 58805   size:2.25,Price: ,8.0,ok
