1.121611682, Sport: ,Tennis, Time: ,Wed Nov 04 02:00:00 CET 2015, Time: ,Wed Nov 04 02:00:00 CET 2015, Event: ,Endara v Lapentti, Favorite: ,Giovanni Lapentti, 1565   size:5.28,Price: ,1.21,Ivan Endara, 3506639   size:23.44,Price: ,4.6,ok
1.121611684, Sport: ,Tennis, Time: ,Wed Nov 04 00:15:00 CET 2015, Time: ,Wed Nov 04 00:15:00 CET 2015, Event: ,Carballes Baena v E Gomez, Favorite: ,Roberto Carballes Baena, 7185192   size:705.81,Price: ,1.2,Emilio Gomez, 4994250   size:2.55,Price: ,5.6,ok
1.121610771, Sport: ,Tennis, Time: ,Wed Nov 04 00:45:00 CET 2015, Time: ,Wed Nov 04 00:45:00 CET 2015, Event: ,Jaziri v Tiafoe, Favorite: ,Malek Jaziri, 5776215   size:2.92,Price: ,1.46,Frances Tiafoe, 9399490   size:6.47,Price: ,2.74,x
1.121509378, Sport: ,Soccer, Time: ,Tue Nov 03 22:00:00 CET 2015, Time: ,Tue Nov 03 22:00:00 CET 2015, Event: ,Bragantino SP v Mogi Mirim, Favorite: ,Bragantino SP, 4701919   size:261.64,Price: ,1.29,Mogi Mirim, 1039199   size:45.85,Price: ,14.0,The Draw, 58805   size:11.56,Price: ,5.8,ok
1.121463392, Sport: ,Ice Hockey, Time: ,Wed Nov 04 01:35:00 CET 2015, Time: ,Wed Nov 04 01:35:00 CET 2015, Event: ,Tampa Bay @ Detroit, Favorite: ,Tampa Bay, 2109715   size:30.69,Price: ,2.4,Detroit, 975676   size:11.77,Price: ,2.9,Tie, 60104   size:286.54,Price: ,4.0,x
1.121636541, Sport: ,Tennis, Time: ,Tue Nov 03 21:30:00 CET 2015, Time: ,Tue Nov 03 21:30:00 CET 2015, Event: ,Laaksonen/Margaroli v Opelka/Paul, Favorite: ,Laaksonen/Margaroli, 9494328   size:13.19,Price: ,1.66,Opelka/Paul, 10484212   size:2.98,Price: ,2.14,ok
1.121566094, Sport: ,Basketball, Time: ,Wed Nov 04 02:05:00 CET 2015, Time: ,Wed Nov 04 02:05:00 CET 2015, Event: ,Orlando @ New Orleans, Favorite: ,New Orleans, 6860646   size:13.79,Price: ,1.58,Orlando, 13104   size:101.99,Price: ,2.68,x
1.121608513, Sport: ,Soccer, Time: ,Tue Nov 03 21:30:00 CET 2015, Time: ,Tue Nov 03 21:30:00 CET 2015, Event: ,Deportivo Municipal v Cienciano, Favorite: ,Deportivo Municipal, 7295377   size:327.02,Price: ,1.3,Cienciano, 480160   size:15.37,Price: ,16.0,The Draw, 58805   size:53.96,Price: ,5.3,ok
1.121463716, Sport: ,Ice Hockey, Time: ,Wed Nov 04 02:35:00 CET 2015, Time: ,Wed Nov 04 02:35:00 CET 2015, Event: ,Los Angeles @ St.Louis, Favorite: ,St.Louis, 8960984   size:447.07,Price: ,2.22,Los Angeles, 2112286   size:97.83,Price: ,3.0,Tie, 60104   size:8.03,Price: ,4.2,x
1.121632464, Sport: ,Basketball, Time: ,Tue Nov 03 23:00:00 CET 2015, Time: ,Tue Nov 03 23:00:00 CET 2015, Event: ,Franca v Macae, Favorite: ,Franca, 8948836   size:5.28,Price: ,1.21,Macae, 8948843   size:5.0,Price: ,5.2,ok
1.121636568, Sport: ,Tennis, Time: ,Tue Nov 03 21:34:00 CET 2015, Time: ,Tue Nov 03 21:34:00 CET 2015, Event: ,Paire v G Simon, Favorite: ,Gilles Simon, 2249345   size:810.8,Price: ,1.7,Benoit Paire, 3911345   size:1458.87,Price: ,2.4,ok
1.121463152, Sport: ,Ice Hockey, Time: ,Wed Nov 04 01:05:00 CET 2015, Time: ,Wed Nov 04 01:05:00 CET 2015, Event: ,Dallas @ Boston, Favorite: ,Boston, 2112316   size:8.44,Price: ,2.14,Dallas, 2108116   size:279.0,Price: ,3.1,Tie, 60104   size:100.25,Price: ,4.3,x
1.121610812, Sport: ,Tennis, Time: ,Tue Nov 03 21:15:00 CET 2015, Time: ,Tue Nov 03 21:15:00 CET 2015, Event: ,Styslinger v M Krueger, Favorite: ,Mitchell Krueger, 6603910   size:66.15,Price: ,1.11,Mac Styslinger, 7533936   size:4.79,Price: ,6.8,ok
1.121463274, Sport: ,Ice Hockey, Time: ,Wed Nov 04 01:05:00 CET 2015, Time: ,Wed Nov 04 01:05:00 CET 2015, Event: ,Washington @ NY Rangers, Favorite: ,NY Rangers, 60103   size:105.84,Price: ,2.46,Washington, 2109756   size:102.21,Price: ,2.82,Tie, 60104   size:112.28,Price: ,3.9,ok
