1.121665127, Sport: ,Tennis, Time: ,Thu Nov 05 18:30:00 CET 2015, Time: ,Thu Nov 05 18:30:00 CET 2015, Event: ,Sanchez v Royg, Favorite: ,Maria Sanchez, 5374654   size:3.67,Price: ,1.08,Veronica Cepede Royg, 6400531   size:3.67,Price: ,1.08,x
1.121663860, Sport: ,Tennis, Time: ,Thu Nov 05 12:45:00 CET 2015, Time: ,Thu Nov 05 12:45:00 CET 2015, Event: ,Hernych v Vanni, Favorite: ,Luca Vanni, 8681900   size:3.67,Price: ,1.08,Jan Hernych, 2249394   size:5.97,Price: ,2.38,ok
1.121617563, Sport: ,Tennis, Time: ,Thu Nov 05 13:30:00 CET 2015, Time: ,Thu Nov 05 13:30:00 CET 2015, Event: ,Ka Pliskova v Errani, Favorite: ,Karolina Pliskova, 6199453   size:80.72,Price: ,1.75,Sara Errani, 2309567   size:124.96,Price: ,2.3,ok
1.121425217, Sport: ,Soccer, Time: ,Thu Nov 05 17:00:00 CET 2015, Time: ,Thu Nov 05 17:00:00 CET 2015, Event: ,Karabakh v Monaco, Favorite: ,Monaco, 361706   size:65.23,Price: ,2.22,Qarabag FK, 4043562   size:106.79,Price: ,3.95,The Draw, 58805   size:520.45,Price: ,3.3,x
1.121651481, Sport: ,Tennis, Time: ,Thu Nov 05 15:00:00 CET 2015, Time: ,Thu Nov 05 15:00:00 CET 2015, Event: ,D Ferrer v G Dimitrov, Favorite: ,David Ferrer, 2257314   size:568.89,Price: ,1.54,Grigor Dimitrov, 3120169   size:3.11,Price: ,2.8,ok
1.121664716, Sport: ,Tennis, Time: ,Thu Nov 05 17:00:00 CET 2015, Time: ,Thu Nov 05 17:00:00 CET 2015, Event: ,Peterson v Haas, Favorite: ,Rebecca Peterson, 7430598   size:7.35,Price: ,1.04,Barbara Haas, 6438801   size:7.35,Price: ,1.04,ok
1.121664715, Sport: ,Tennis, Time: ,Thu Nov 05 14:30:00 CET 2015, Time: ,Thu Nov 05 14:30:00 CET 2015, Event: ,Paszek v Georges, Favorite: ,Tamira Paszek, 2263715   size:9.37,Price: ,1.47,Myrtille Georges, 7283251   size:4.39,Price: ,2.7,ok
1.121620450, Sport: ,Soccer, Time: ,Thu Nov 05 14:00:00 CET 2015, Time: ,Thu Nov 05 14:00:00 CET 2015, Event: ,Dunfermline U20 v Hibernian U20, Favorite: ,Dunfermline U20, 6791592   size:5.97,Price: ,1.15,Hibernian U20, 6645664   size:5.97,Price: ,1.15,The Draw, 58805   size:5.0,Price: ,3.75,x
1.121664721, Sport: ,Tennis, Time: ,Thu Nov 05 17:00:00 CET 2015, Time: ,Thu Nov 05 17:00:00 CET 2015, Event: ,Glushko v Peer, Favorite: ,Julia Glushko, 5321877   size:3.67,Price: ,1.08,Shahar Peer, 2248472   size:3.67,Price: ,1.08,ok
1.121559527, Sport: ,Handball, Time: ,Thu Nov 05 18:40:00 CET 2015, Time: ,Thu Nov 05 18:40:00 CET 2015, Event: ,Israel v Georgia, Favorite: ,Israel, 1165296   size:888.0,Price: ,1.02,Georgia, 2260886   size:2.77,Price: ,1.72,Draw, 330157   size:2.77,Price: ,1.72,ok
1.121664720, Sport: ,Tennis, Time: ,Thu Nov 05 18:30:00 CET 2015, Time: ,Thu Nov 05 18:30:00 CET 2015, Event: ,Vogt v Gibbs, Favorite: ,Stephanie Vogt, 2548776   size:3.67,Price: ,1.08,Nicole Gibbs, 4946628   size:3.67,Price: ,1.08,x
