1.121425732, Sport: ,Soccer, Time: ,Thu Nov 05 21:05:00 CET 2015, Time: ,Thu Nov 05 21:05:00 CET 2015, Event: ,Ath Bilbao v Partizan Belgrade, Favorite: ,Ath Bilbao, 215903   size:2943.1,Price: ,1.24,Partizan Belgrade, 46980   size:60.17,Price: ,17.0,The Draw, 58805   size:759.32,Price: ,7.0,ok
1.121664712, Sport: ,Tennis, Time: ,Thu Nov 05 20:00:00 CET 2015, Time: ,Thu Nov 05 20:00:00 CET 2015, Event: ,Tatishvili v Min, Favorite: ,Anna Tatishvili, 2311979   size:4.03,Price: ,1.35,Grace Min, 6280340   size:14.98,Price: ,3.3,ok
1.121665129, Sport: ,Tennis, Time: ,Fri Nov 06 03:30:00 CET 2015, Time: ,Fri Nov 06 03:30:00 CET 2015, Event: ,Endara/Escobar v Elias/Neis, Favorite: ,Elias/Neis, 10484019   size:2.55,Price: ,1.43,Endara/Escobar, 10483990   size:2.55,Price: ,2.52,ok
1.121665123, Sport: ,Tennis, Time: ,Thu Nov 05 22:00:00 CET 2015, Time: ,Thu Nov 05 22:00:00 CET 2015, Event: ,T Monteiro v G Pella, Favorite: ,Guido Pella, 6162610   size:282.0,Price: ,1.28,Thiago Monteiro, 8326656   size:27.27,Price: ,3.65,ok
1.121664234, Sport: ,Tennis, Time: ,Thu Nov 05 21:45:00 CET 2015, Time: ,Thu Nov 05 21:45:00 CET 2015, Event: ,O'Brien/Roelofse v Barrientos/Struvay, Favorite: ,Barrientos/Struvay, 8226198   size:6.81,Price: ,1.65,O'Brien/Roelofse, 9545182   size:5.54,Price: ,2.06,ok
1.121664356, Sport: ,Tennis, Time: ,Thu Nov 05 19:30:00 CET 2015, Time: ,Thu Nov 05 19:30:00 CET 2015, Event: ,S Wawrinka v Troicki, Favorite: ,Stan Wawrinka, 8597476   size:2288.48,Price: ,1.17,Viktor Troicki, 2263624   size:327.61,Price: ,4.9,ok
1.121425938, Sport: ,Soccer, Time: ,Thu Nov 05 21:05:00 CET 2015, Time: ,Thu Nov 05 21:05:00 CET 2015, Event: ,Belenenses v FC Basel, Favorite: ,FC Basel, 2939090   size:400.0,Price: ,1.99,Belenenses, 48786   size:449.86,Price: ,4.2,The Draw, 58805   size:463.54,Price: ,3.75,ok
1.121648462, Sport: ,Tennis, Time: ,Thu Nov 05 22:15:00 CET 2015, Time: ,Thu Nov 05 22:15:00 CET 2015, Event: ,Lipovsek Puches v P Lorenzi, Favorite: ,Paolo Lorenzi, 2345099   size:5.98,Price: ,1.1,Tomas Lipovsek Puches, 8174492   size:13.25,Price: ,9.4,ok
1.121648781, Sport: ,Tennis, Time: ,Fri Nov 06 00:45:00 CET 2015, Time: ,Fri Nov 06 00:45:00 CET 2015, Event: ,Tiafoe v Al Kuznetsov, Favorite: ,Frances Tiafoe, 9399490   size:6.38,Price: ,1.73,Alex Kuznetsov, 2263691   size:6.79,Price: ,2.18,x
1.121623120, Sport: ,Basketball, Time: ,Fri Nov 06 00:45:00 CET 2015, Time: ,Fri Nov 06 00:45:00 CET 2015, Event: ,Quimsa v Atenas, Favorite: ,Quimsa, 6243645   size:2.55,Price: ,1.2,Atenas, 6719082   size:37.87,Price: ,4.7,ok
1.121572496, Sport: ,Basketball, Time: ,Fri Nov 06 02:05:00 CET 2015, Time: ,Fri Nov 06 02:05:00 CET 2015, Event: ,Oklahoma City @ Chicago, Favorite: ,Chicago, 13117   size:4.29,Price: ,1.94,Oklahoma City, 3363394   size:51.71,Price: ,1.99,ok
1.121623281, Sport: ,American Football, Time: ,Fri Nov 06 04:30:00 CET 2015, Time: ,Fri Nov 06 04:30:00 CET 2015, Event: ,Nevada Wolf Pack @ Fresno State Bulldogs, Favorite: ,Nevada Wolf Pack, 7750936   size:2.75,Price: ,1.53,Fresno State Bulldogs, 7927368   size:2.72,Price: ,2.62,ok
1.121467653, Sport: ,Ice Hockey, Time: ,Fri Nov 06 01:35:00 CET 2015, Time: ,Fri Nov 06 01:35:00 CET 2015, Event: ,NY Islanders @ Montreal, Favorite: ,Montreal, 2112345   size:106.0,Price: ,2.38,NY Islanders, 60105   size:5.0,Price: ,2.9,Tie, 60104   size:26.99,Price: ,4.0,ok
1.121664324, Sport: ,Tennis, Time: ,Thu Nov 05 21:00:00 CET 2015, Time: ,Thu Nov 05 21:00:00 CET 2015, Event: ,Laaksonen/Margaroli v Buchanan/Sandgren, Favorite: ,Buchanan/Sandgren, 8798902   size:2.55,Price: ,1.42,Laaksonen/Margaroli, 9494328   size:2.55,Price: ,2.76,ok
1.121664844, Sport: ,Tennis, Time: ,Thu Nov 05 22:45:00 CET 2015, Time: ,Thu Nov 05 22:45:00 CET 2015, Event: ,Polansky/Shamasdin v Fratangelo/Milton, Favorite: ,Polansky/Shamasdin, 8575035   size:2.55,Price: ,1.3,Fratangelo/Milton, 10484182   size:2.55,Price: ,3.2,ok
1.121609556, Sport: ,Soccer, Time: ,Thu Nov 05 19:15:00 CET 2015, Time: ,Thu Nov 05 19:15:00 CET 2015, Event: ,Sport Huancayo v Sporting Cristal, Favorite: ,Sport Huancayo, 4972227   size:1477.76,Price: ,1.09,Sporting Cristal, 328696   size:2.8,Price: ,40.0,The Draw, 58805   size:2.8,Price: ,14.5,ok
1.121648736, Sport: ,Tennis, Time: ,Thu Nov 05 20:30:00 CET 2015, Time: ,Thu Nov 05 20:30:00 CET 2015, Event: ,Alejandro Gonzalez v Zampieri, Favorite: ,Alejandro Gonzalez, 6604262   size:231.25,Price: ,1.1,Caio Zampieri, 3677221   size:25.47,Price: ,8.0,ok
1.121664769, Sport: ,Tennis, Time: ,Thu Nov 05 23:00:00 CET 2015, Time: ,Thu Nov 05 23:00:00 CET 2015, Event: ,G Elias v Bagnis, Favorite: ,Facundo Bagnis, 4520808   size:27.02,Price: ,1.63,Gastao Elias, 2923174   size:3.02,Price: ,2.54,x
1.121648056, Sport: ,Soccer, Time: ,Thu Nov 05 20:30:00 CET 2015, Time: ,Thu Nov 05 20:30:00 CET 2015, Event: ,Deportivo La Guaira v Urena, Favorite: ,Deportivo La Guaira, 7658015   size:74.9,Price: ,1.25,Urena, 9990099   size:11.38,Price: ,16.5,The Draw, 58805   size:51.32,Price: ,6.4,ok
1.121517167, Sport: ,Soccer, Time: ,Thu Nov 05 19:30:00 CET 2015, Time: ,Thu Nov 05 19:30:00 CET 2015, Event: ,KV Oostende (Youth) v Genk (Y), Favorite: ,Genk (Y), 7159134   size:56.99,Price: ,2.08,KV Oostende (youth), 8220572   size:55.0,Price: ,2.12,The Draw, 58805   size:3.99,Price: ,2.86,x
1.121648771, Sport: ,Tennis, Time: ,Fri Nov 06 02:30:00 CET 2015, Time: ,Fri Nov 06 02:30:00 CET 2015, Event: ,Dzumhur/Majchrzak v Andreozzi/Florez, Favorite: ,Andreozzi/Florez, 10484003   size:2.55,Price: ,1.7,ok
1.121649343, Sport: ,Ice Hockey, Time: ,Thu Nov 05 19:15:00 CET 2015, Time: ,Thu Nov 05 19:15:00 CET 2015, Event: ,Sweden v Czech Republic, Favorite: ,Sweden, 140139   size:8.4,Price: ,1.01,Czech Republic, 140138   size:200.0,Price: ,1.02,Tie, 60104   size:2757.98,Price: ,1.22,ok
1.121646154, Sport: ,Tennis, Time: ,Fri Nov 06 01:00:00 CET 2015, Time: ,Fri Nov 06 01:00:00 CET 2015, Event: ,Carballes Baen/Vervoort v Ghem/Monteiro, Favorite: ,Carballes Baen/Vervoort, 10483995   size:2.55,Price: ,1.56,Ghem/Monteiro, 10483992   size:2.55,Price: ,2.22,x
1.121493826, Sport: ,American Football, Time: ,Fri Nov 06 02:25:00 CET 2015, Time: ,Fri Nov 06 02:25:00 CET 2015, Event: ,Cleveland @ Cincinnati, Favorite: ,Cincinnati Bengals, 50210   size:46217.72,Price: ,1.16,Cleveland Browns, 50209   size:151.22,Price: ,7.0,ok
1.121648930, Sport: ,Tennis, Time: ,Fri Nov 06 08:00:00 CET 2015, Time: ,Fri Nov 06 08:00:00 CET 2015, Event: ,Ye Lu v Zopp, Favorite: ,Yen-Hsun Lu, 8287128   size:2.55,Price: ,1.22,Jurgen Zopp, 5223695   size:3.89,Price: ,4.5,x
