1.121532556, Sport: ,Soccer, Time: ,Fri Nov 06 18:30:00 CET 2015, Time: ,Fri Nov 06 18:30:00 CET 2015, Event: ,LASK Linz v KSV Superfund, Favorite: ,LASK Linz, 453570   size:14.92,Price: ,1.74,KSV Superfund, 4840627   size:5.59,Price: ,5.2,The Draw, 58805   size:3.24,Price: ,4.0,ok
1.121659002, Sport: ,Soccer, Time: ,Fri Nov 06 13:00:00 CET 2015, Time: ,Fri Nov 06 13:00:00 CET 2015, Event: ,Ujpest v Paks, Favorite: ,Ujpest, 521199   size:3.27,Price: ,1.09,Paks, 2018015   size:3.27,Price: ,1.09,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121607261, Sport: ,Cricket, Time: ,Fri Nov 06 17:00:00 CET 2015, Time: ,Fri Nov 06 17:00:00 CET 2015, Event: ,Cape Cobras v Warriors, Favorite: ,Cape Cobras, 3809606   size:921.12,Price: ,1.64,Warriors, 4297012   size:2.55,Price: ,2.4,ok
1.121662595, Sport: ,Soccer, Time: ,Fri Nov 06 09:00:00 CET 2015, Time: ,Fri Nov 06 09:00:00 CET 2015, Event: ,Mordovya Saransk (Y) v Anzhi (Y), Favorite: ,Anzhi (Y), 10319700   size:3.76,Price: ,2.16,Mordovya Saransk (Y), 9048089   size:3.32,Price: ,2.78,The Draw, 58805   size:5.31,Price: ,3.7,ok
1.121662430, Sport: ,Soccer, Time: ,Fri Nov 06 13:00:00 CET 2015, Time: ,Fri Nov 06 13:00:00 CET 2015, Event: ,ACSO Filiasi v Pandurii Targu Jiu II, Favorite: ,ACSO Filiasi, 9386588   size:4.2,Price: ,1.07,Pandurii Targu Jiu II, 7209956   size:4.2,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121662210, Sport: ,Soccer, Time: ,Fri Nov 06 13:00:00 CET 2015, Time: ,Fri Nov 06 13:00:00 CET 2015, Event: ,CS Becicherecu Mic v CS Uni Craiova II, Favorite: ,CS Becicherecu Mic, 7650210   size:4.2,Price: ,1.07,CS Uni Craiova II, 10140647   size:4.2,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121662375, Sport: ,Soccer, Time: ,Fri Nov 06 13:00:00 CET 2015, Time: ,Fri Nov 06 13:00:00 CET 2015, Event: ,Sanatatea Cluj v AFC Odorheiu Secuiesc, Favorite: ,Sanatatea Cluj, 4189799   size:4.2,Price: ,1.07,AFC Odorheiu Secuiesc, 10493575   size:4.2,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121685216, Sport: ,Tennis, Time: ,Fri Nov 06 15:00:00 CET 2015, Time: ,Fri Nov 06 15:00:00 CET 2015, Event: ,Knoll v Siniakova, Favorite: ,Katerina Siniakova, 7137442   size:2.55,Price: ,1.22,Xenia Knoll, 7414060   size:14.18,Price: ,4.5,ok
1.121532872, Sport: ,Soccer, Time: ,Fri Nov 06 19:00:00 CET 2015, Time: ,Fri Nov 06 19:00:00 CET 2015, Event: ,Osnabruck v Hallescher FC, Favorite: ,Osnabruck, 67187   size:24.62,Price: ,2.12,Hallescher FC, 3235360   size:9.64,Price: ,3.85,The Draw, 58805   size:3.67,Price: ,3.45,ok
1.121532631, Sport: ,Soccer, Time: ,Fri Nov 06 16:30:00 CET 2015, Time: ,Fri Nov 06 16:30:00 CET 2015, Event: ,Litex Lovech v Slavia Sofia, Favorite: ,Litex Lovech, 927230   size:5.0,Price: ,1.56,Slavia Sofia, 1255221   size:6.67,Price: ,7.6,The Draw, 58805   size:2.0,Price: ,4.0,ok
1.121607264, Sport: ,Cricket, Time: ,Fri Nov 06 17:00:00 CET 2015, Time: ,Fri Nov 06 17:00:00 CET 2015, Event: ,Knights v Dolphins, Favorite: ,Dolphins, 4294273   size:8.73,Price: ,1.56,Knights, 5045297   size:5.0,Price: ,2.52,ok
1.121532334, Sport: ,Soccer, Time: ,Fri Nov 06 18:30:00 CET 2015, Time: ,Fri Nov 06 18:30:00 CET 2015, Event: ,Austria Salzburg v Austria Lustenau, Favorite: ,Austria Lustenau, 453564   size:130.97,Price: ,2.3,Austria Salzburg, 65363   size:85.68,Price: ,3.25,The Draw, 58805   size:20.41,Price: ,3.7,ok
1.121687815, Sport: ,Snooker, Time: ,Fri Nov 06 08:30:00 CET 2015, Time: ,Fri Nov 06 08:30:00 CET 2015, Event: ,Rory McLeod v Sam Baird, Favorite: ,Rory McLeod, 2328286   size:2.55,Price: ,1.71,Sam Baird, 4271913   size:2.55,Price: ,2.22,x
1.121687816, Sport: ,Snooker, Time: ,Fri Nov 06 10:30:00 CET 2015, Time: ,Fri Nov 06 10:30:00 CET 2015, Event: ,Mark Selby v Sydney Wilson, Favorite: ,Sydney Wilson, 6570641   size:2.79,Price: ,1.01,Mark Selby, 2280127   size:95.56,Price: ,1.13,x
1.121664739, Sport: ,Tennis, Time: ,Fri Nov 06 17:00:00 CET 2015, Time: ,Fri Nov 06 17:00:00 CET 2015, Event: ,Smyczek v Kutrovsky, Favorite: ,Tim Smyczek, 2848631   size:5.97,Price: ,1.24,Dimitar Kutrovsky, 6163094   size:4.08,Price: ,4.2,x
1.121661964, Sport: ,Soccer, Time: ,Fri Nov 06 14:15:00 CET 2015, Time: ,Fri Nov 06 14:15:00 CET 2015, Event: ,Al Khor v Qatar SC, Favorite: ,Qatar SC, 5170882   size:2.55,Price: ,2.12,Al Khor, 5174706   size:8.54,Price: ,2.74,The Draw, 58805   size:15.89,Price: ,3.05,x
1.121661744, Sport: ,Soccer, Time: ,Fri Nov 06 18:00:00 CET 2015, Time: ,Fri Nov 06 18:00:00 CET 2015, Event: ,Valletta v Pembroke Athleta FC, Favorite: ,Valletta, 166888   size:2.55,Price: ,1.18,Pembroke Athleta FC, 10018941   size:2.78,Price: ,8.2,The Draw, 58805   size:17.25,Price: ,5.0,x
1.121663109, Sport: ,Soccer, Time: ,Fri Nov 06 12:00:00 CET 2015, Time: ,Fri Nov 06 12:00:00 CET 2015, Event: ,Zorya U21 v Metalurg Z U21, Favorite: ,Zorya U21, 10096686   size:2.55,Price: ,1.17,Metalurg Z U21, 10096670   size:5.0,Price: ,2.94,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121687817, Sport: ,Snooker, Time: ,Fri Nov 06 12:00:00 CET 2015, Time: ,Fri Nov 06 12:00:00 CET 2015, Event: ,Luca Brecel v Lu Ning, Favorite: ,Lu Ning, 6185897   size:2.79,Price: ,1.01,Luca Brecel, 5073722   size:7.03,Price: ,1.36,x
