1.121531224, Sport: ,Soccer, Time: ,Fri Nov 06 20:00:00 CET 2015, Time: ,Fri Nov 06 20:00:00 CET 2015, Event: ,Niort v Metz, Favorite: ,Niort, 309687   size:147.03,Price: ,2.82,Metz, 44795   size:192.85,Price: ,3.0,The Draw, 58805   size:444.89,Price: ,3.1,x
1.121532798, Sport: ,Soccer, Time: ,Fri Nov 06 20:15:00 CET 2015, Time: ,Fri Nov 06 20:15:00 CET 2015, Event: ,FK Jablonec v Sigma Olomouc, Favorite: ,FK Jablonec, 367578   size:131.75,Price: ,1.47,Sigma Olomouc, 50337   size:42.74,Price: ,7.8,The Draw, 58805   size:7.88,Price: ,4.8,ok
1.121693712, Sport: ,Tennis, Time: ,Sat Nov 07 00:15:00 CET 2015, Time: ,Sat Nov 07 00:15:00 CET 2015, Event: ,Duran/Molteni v Carballes Baen/Vervoort, Favorite: ,Duran/Molteni, 8910784   size:2.55,Price: ,1.29,Carballes Baen/Vervoort, 10483995   size:2.55,Price: ,3.15,ok
1.121687834, Sport: ,Tennis, Time: ,Fri Nov 06 19:00:00 CET 2015, Time: ,Fri Nov 06 19:00:00 CET 2015, Event: ,Johansson v Kalinina, Favorite: ,Anhelina Kalinina, 8907168   size:107.11,Price: ,1.68,Mathilde Johansson, 2250865   size:59.87,Price: ,2.34,x
1.121693676, Sport: ,Tennis, Time: ,Sat Nov 07 00:15:00 CET 2015, Time: ,Sat Nov 07 00:15:00 CET 2015, Event: ,G Pella v G Elias, Favorite: ,Guido Pella, 6162610   size:7.01,Price: ,1.75,Gastao Elias, 2923174   size:2.19,Price: ,2.28,x
1.121693677, Sport: ,Tennis, Time: ,Fri Nov 06 21:15:00 CET 2015, Time: ,Fri Nov 06 21:15:00 CET 2015, Event: ,Peralta/Zeballos v Martin/Podlipnik-Castil, Favorite: ,Martin/Podlipnik-Castil, 9436921   size:2.99,Price: ,1.67,Peralta/Zeballos, 10409109   size:9.23,Price: ,2.1,x
1.121544261, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Kobe v Matsumoto, Favorite: ,Kobe, 441082   size:148.25,Price: ,1.8,Matsumoto, 7081210   size:90.69,Price: ,4.7,The Draw, 58805   size:309.0,Price: ,4.1,ok
1.121661689, Sport: ,Soccer, Time: ,Fri Nov 06 20:15:00 CET 2015, Time: ,Fri Nov 06 20:15:00 CET 2015, Event: ,Naxxar Lions FC v Qormi FC, Favorite: ,Naxxar Lions FC, 7438217   size:35.48,Price: ,2.2,Qormi FC, 6702687   size:54.48,Price: ,3.45,The Draw, 58805   size:14.44,Price: ,3.65,x
1.121522593, Sport: ,Ice Hockey, Time: ,Sat Nov 07 01:05:00 CET 2015, Time: ,Sat Nov 07 01:05:00 CET 2015, Event: ,Chicago @ New Jersey, Favorite: ,Chicago, 2109831   size:6.04,Price: ,2.3,New Jersey, 2112200   size:5.0,Price: ,2.88,Tie, 60104   size:4.41,Price: ,3.75,x
1.121662779, Sport: ,Soccer, Time: ,Sat Nov 07 07:00:00 CET 2015, Time: ,Sat Nov 07 07:00:00 CET 2015, Event: ,FK Ural (Y) v Rostov (Y), Favorite: ,Rostov (Y), 9048042   size:10.94,Price: ,1.89,FK Ural (Y), 9045029   size:10.17,Price: ,2.56,The Draw, 58805   size:17.8,Price: ,3.05,ok
1.121649311, Sport: ,Ice Hockey, Time: ,Fri Nov 06 19:30:00 CET 2015, Time: ,Fri Nov 06 19:30:00 CET 2015, Event: ,Poland v South Korea, Favorite: ,Poland, 140150   size:8.41,Price: ,1.01,South Korea, 781588   size:8.41,Price: ,1.01,Tie, 60104   size:8.41,Price: ,1.01,ok
