1.121538817, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Accrington S v York City, Favorite: ,Accrington S, 498119   size:41.66,Price: ,1.93,York City, 256226   size:11.2,Price: ,4.3,The Draw, 58805   size:5.0,Price: ,3.75,ok
1.121682144, Sport: ,Soccer, Time: ,Sat Nov 07 10:00:00 CET 2015, Time: ,Sat Nov 07 10:00:00 CET 2015, Event: ,Ceahlaul v Berceni, Favorite: ,Berceni, 6681486   size:5.0,Price: ,2.54,Ceahlaul, 1557295   size:5.0,Price: ,2.58,The Draw, 58805   size:5.0,Price: ,3.25,x
1.121553656, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Rain am Lech v Buchbach, Favorite: ,Buchbach, 6516918   size:218.34,Price: ,2.16,Rain am Lech, 6516917   size:25.42,Price: ,3.3,The Draw, 58805   size:2.55,Price: ,3.8,ok
1.121544261, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Kobe v Matsumoto, Favorite: ,Kobe, 441082   size:80.63,Price: ,1.79,Matsumoto, 7081210   size:14.17,Price: ,4.7,The Draw, 58805   size:282.21,Price: ,4.1,ok
1.121539229, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Crewe v Eastleigh, Favorite: ,Crewe, 47991   size:31.4,Price: ,1.99,Eastleigh, 1222691   size:71.17,Price: ,3.85,The Draw, 58805   size:2.0,Price: ,3.9,x
1.121484672, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Norwich v Swansea, Favorite: ,Norwich, 47998   size:1352.75,Price: ,2.52,Swansea, 62683   size:654.9,Price: ,3.1,The Draw, 58805   size:7819.87,Price: ,3.45,ok
1.121549835, Sport: ,Soccer, Time: ,Sat Nov 07 15:00:00 CET 2015, Time: ,Sat Nov 07 15:00:00 CET 2015, Event: ,Latina v Cesena, Favorite: ,Cesena, 501219   size:4.67,Price: ,2.86,Latina, 5287538   size:26.04,Price: ,2.92,The Draw, 58805   size:387.25,Price: ,3.15,x
1.121539744, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Millwall v AFC Fylde, Favorite: ,Millwall, 56036   size:5.0,Price: ,1.39,AFC Fylde, 4317866   size:12.37,Price: ,9.2,The Draw, 58805   size:7.55,Price: ,4.9,ok
1.121543973, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Urawa v Kawasaki, Favorite: ,Urawa, 441088   size:7.14,Price: ,1.68,Kawasaki, 1080507   size:4.0,Price: ,5.2,The Draw, 58805   size:185.57,Price: ,4.4,x
1.121553491, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Burghausen v 1860 Munich II, Favorite: ,Burghausen, 196544   size:8.81,Price: ,2.34,1860 Munich II, 5482967   size:76.71,Price: ,3.1,The Draw, 58805   size:59.03,Price: ,3.5,ok
1.121682254, Sport: ,Soccer, Time: ,Sat Nov 07 10:00:00 CET 2015, Time: ,Sat Nov 07 10:00:00 CET 2015, Event: ,Targoviste v Unirea Tarlungeni, Favorite: ,Targoviste, 6803067   size:2.55,Price: ,1.28,Unirea Tarlungeni, 7653661   size:5.0,Price: ,6.4,The Draw, 58805   size:12.5,Price: ,3.7,ok
1.121538920, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Mansfield v Oldham, Favorite: ,Mansfield, 69716   size:5.0,Price: ,2.64,Oldham, 69819   size:86.01,Price: ,2.84,The Draw, 58805   size:82.76,Price: ,3.4,x
1.121682534, Sport: ,Soccer, Time: ,Sat Nov 07 10:00:00 CET 2015, Time: ,Sat Nov 07 10:00:00 CET 2015, Event: ,Lokomotiv Moscow (Y) v Zenit St Petersburg (Y), Favorite: ,Lokomotiv Moscow (Y), 5246808   size:2.55,Price: ,2.34,Zenit St Petersburg (Y), 6289889   size:10.0,Price: ,2.76,The Draw, 58805   size:2.55,Price: ,3.7,x
1.121682419, Sport: ,Soccer, Time: ,Sat Nov 07 10:00:00 CET 2015, Time: ,Sat Nov 07 10:00:00 CET 2015, Event: ,Baia Mare v Olimpia Satu Mare, Favorite: ,Baia Mare, 10238219   size:8.12,Price: ,1.65,Olimpia Satu Mare, 6681485   size:6.31,Price: ,3.95,The Draw, 58805   size:6.41,Price: ,3.45,x
1.121539332, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Coventry v Northampton, Favorite: ,Coventry, 48043   size:96.77,Price: ,1.88,Northampton, 5034   size:68.41,Price: ,4.5,The Draw, 58805   size:97.22,Price: ,3.7,x
1.121696841, Sport: ,Tennis, Time: ,Sat Nov 07 06:30:00 CET 2015, Time: ,Sat Nov 07 06:30:00 CET 2015, Event: ,R Nakamura v K Suzuki, Favorite: ,Ko Suzuki, 9258730   size:3.0,Price: ,1.33,Ren Nakamura, 9258729   size:2.99,Price: ,2.64,ok
1.121543589, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Yamagata v Shimizu, Favorite: ,Yamagata, 3718961   size:8.85,Price: ,2.2,Shimizu, 441086   size:7.07,Price: ,3.45,The Draw, 58805   size:14.29,Price: ,3.75,x
1.121696843, Sport: ,Tennis, Time: ,Sat Nov 07 04:21:00 CET 2015, Time: ,Sat Nov 07 04:21:00 CET 2015, Event: ,W Jun v Iino, Favorite: ,Woong-Sun Jun, 3101898   size:4.96,Price: ,1.03,Shota Iino, 9624217   size:4.96,Price: ,1.03,ok
1.121618420, Sport: ,Rugby Union, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,London Irish v Bath, Favorite: ,Bath, 8887   size:2.68,Price: ,1.42,London Irish, 2734858   size:2.7,Price: ,3.05,Draw, 246289   size:21.99,Price: ,22.0,ok
1.121543109, Sport: ,Soccer, Time: ,Sat Nov 07 15:00:00 CET 2015, Time: ,Sat Nov 07 15:00:00 CET 2015, Event: ,Novara v Brescia, Favorite: ,Novara, 522045   size:10.37,Price: ,2.04,Brescia, 7407   size:838.45,Price: ,4.7,The Draw, 58805   size:134.59,Price: ,3.3,ok
1.121618423, Sport: ,Rugby Union, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Worcester v Newcastle, Favorite: ,Worcester, 283308   size:19.17,Price: ,1.4,Newcastle, 1247243   size:33.0,Price: ,3.1,Draw, 246289   size:21.99,Price: ,22.0,ok
1.121542937, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Aberdeen v Dundee Utd, Favorite: ,Aberdeen, 1189   size:190.81,Price: ,1.52,Dundee Utd, 48818   size:79.45,Price: ,7.0,The Draw, 58805   size:159.65,Price: ,4.7,ok
1.121555213, Sport: ,Soccer, Time: ,Sat Nov 07 07:00:00 CET 2015, Time: ,Sat Nov 07 07:00:00 CET 2015, Event: ,FC Seoul v Suwon Bluewings, Favorite: ,FC Seoul, 2479786   size:59.88,Price: ,2.76,Suwon Bluewings, 5339134   size:134.13,Price: ,2.86,The Draw, 58805   size:142.34,Price: ,3.2,ok
1.121552860, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Vlasim v Znojmo, Favorite: ,Znojmo, 4142628   size:9.35,Price: ,2.18,Vlasim, 5866799   size:2.55,Price: ,3.1,The Draw, 58805   size:2.74,Price: ,3.5,x
1.121682089, Sport: ,Soccer, Time: ,Sat Nov 07 10:00:00 CET 2015, Time: ,Sat Nov 07 10:00:00 CET 2015, Event: ,UTA Arad v Soimii Pancota, Favorite: ,Soimii Pancota, 6681487   size:4.25,Price: ,1.07,UTA Arad, 2311174   size:3.31,Price: ,1.09,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121682364, Sport: ,Soccer, Time: ,Sat Nov 07 12:30:00 CET 2015, Time: ,Sat Nov 07 12:30:00 CET 2015, Event: ,Rapid Bucharest v Otelul Galati, Favorite: ,Rapid Bucharest, 6394   size:137.78,Price: ,1.22,Otelul Galati, 866238   size:22.34,Price: ,7.4,The Draw, 58805   size:15.0,Price: ,3.85,x
1.121553711, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Viktoria Aschaffenburg v Jahn Regensburg, Favorite: ,Jahn Regensburg, 4855758   size:182.26,Price: ,1.48,Viktoria Aschaffenburg, 6516916   size:7.8,Price: ,7.0,The Draw, 58805   size:2.55,Price: ,4.7,x
1.121553436, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Memmingen v Amberg, Favorite: ,Memmingen, 5862311   size:35.19,Price: ,2.42,Amberg, 9550072   size:7.98,Price: ,2.92,The Draw, 58805   size:6.3,Price: ,3.7,x
1.121544165, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Tosu v Sendai, Favorite: ,Tosu, 3455676   size:4.61,Price: ,2.6,Sendai, 442179   size:56.54,Price: ,3.0,The Draw, 58805   size:202.05,Price: ,3.4,ok
1.121522614, Sport: ,Ice Hockey, Time: ,Sat Nov 07 04:05:00 CET 2015, Time: ,Sat Nov 07 04:05:00 CET 2015, Event: ,Columbus @ Anaheim, Favorite: ,Anaheim, 60109   size:77.69,Price: ,1.17,Columbus, 2114347   size:358.0,Price: ,3.0,Tie, 60104   size:58.37,Price: ,3.9,ok
1.121649299, Sport: ,Ice Hockey, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Latvia v Italy, Favorite: ,Latvia, 140146   size:144.82,Price: ,1.38,Italy, 140149   size:74.02,Price: ,5.8,Tie, 60104   size:93.37,Price: ,4.8,ok
1.121543877, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Niigata v Shonan, Favorite: ,Niigata, 744094   size:574.51,Price: ,2.1,Shonan, 4546954   size:8.4,Price: ,3.8,The Draw, 58805   size:102.18,Price: ,3.75,x
1.121696853, Sport: ,Tennis, Time: ,Sat Nov 07 04:22:00 CET 2015, Time: ,Sat Nov 07 04:22:00 CET 2015, Event: ,Fujii v Anderson, Favorite: ,Oliver Anderson, 9629842   size:2.72,Price: ,1.03,Shinta Fujii, 9623911   size:8.4,Price: ,21.0,ok
1.121696857, Sport: ,Tennis, Time: ,Sat Nov 07 04:45:00 CET 2015, Time: ,Sat Nov 07 04:45:00 CET 2015, Event: ,Fukuda v Inui, Favorite: ,Sora Fukuda, 9628520   size:210.16,Price: ,1.2,Yuichiro Inui, 9634387   size:6.12,Price: ,3.65,ok
1.121617508, Sport: ,Tennis, Time: ,Sat Nov 07 13:30:00 CET 2015, Time: ,Sat Nov 07 13:30:00 CET 2015, Event: ,Jans-Ignacik/Klepac v Liang/Wang, Favorite: ,Jans-Ignacik/Klepac, 8964497   size:2.75,Price: ,1.86,Liang/Wang, 9128675   size:70.16,Price: ,1.97,x
