1.121277561, Sport: ,Rugby League, Time: ,Sat Nov 07 15:30:00 CET 2015, Time: ,Sat Nov 07 15:30:00 CET 2015, Event: ,England v New Zealand (Game 2), Favorite: ,England, 10527   size:826.49,Price: ,1.67,New Zealand, 10532   size:56.39,Price: ,2.68,Draw, 11126   size:5.6,Price: ,6.0,x
1.121555079, Sport: ,Soccer, Time: ,Sat Nov 07 15:30:00 CET 2015, Time: ,Sat Nov 07 15:30:00 CET 2015, Event: ,Llandudno FC v The New Saints, Favorite: ,The New Saints, 3667304   size:3.01,Price: ,1.33,Llandudno FC, 10152015   size:2.78,Price: ,8.0,The Draw, 58805   size:5.0,Price: ,3.85,ok
1.121539229, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Crewe v Eastleigh, Favorite: ,Crewe, 47991   size:28.02,Price: ,2.0,Eastleigh, 1222691   size:76.92,Price: ,3.9,The Draw, 58805   size:19.83,Price: ,3.85,x
1.121649317, Sport: ,Ice Hockey, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Czech Republic v Finland, Favorite: ,Finland, 140141   size:6.99,Price: ,1.67,Czech Republic, 140138   size:5.0,Price: ,4.2,Tie, 60104   size:4.27,Price: ,4.5,ok
1.121539023, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Altrincham v Barnsley, Favorite: ,Barnsley, 1117   size:185.4,Price: ,1.68,Altrincham, 62505   size:156.28,Price: ,5.7,The Draw, 58805   size:42.17,Price: ,4.2,x
1.121484672, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Norwich v Swansea, Favorite: ,Norwich, 47998   size:47.24,Price: ,2.54,Swansea, 62683   size:10.99,Price: ,3.1,The Dra,ok
1.121649314, Sport: ,Ice Hockey, Time: ,Sat Nov 07 12:00:00 CET 2015, Time: ,Sat Nov 07 12:00:00 CET 2015, Event: ,Russia v Sweden, Favorite: ,Russia, 140142   size:48.96,Price: ,2.32,Sweden, 140139   size:37.46,Price: ,2.48,Tie, 60104   size:14.26,Price: ,4.6,ok
1.121549835, Sport: ,Soccer, Time: ,Sat Nov 07 15:00:00 CET 2015, Time: ,Sat Nov 07 15:00:00 CET 2015, Event: ,Latina v Cesena, Favorite: ,Cesena, 501219   size:132.43,Price: ,2.7,Latina, 5287538   size:14.63,Price: ,3.0,The Draw, 58805   size:8.1,Price: ,3.25,x
1.121539744, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Millwall v AFC Fylde, Favorite: ,Millwall, 56036   size:17.52,Price: ,1.4,AFC Fylde, 4317866   size:33.04,Price: ,10.0,The Draw, 58805   size:2.78,Price: ,5.0,ok
1.121555073, Sport: ,Soccer, Time: ,Sat Nov 07 13:30:00 CET 2015, Time: ,Sat Nov 07 13:30:00 CET 2015, Event: ,Altinordu v Denizlispor, Favorite: ,Altinordu, 5290988   size:29.18,Price: ,1.87,Denizlispor, 113123   size:38.71,Price: ,4.7,The Draw, 58805   size:9.3,Price: ,3.75,ok
1.121555071, Sport: ,Soccer, Time: ,Sat Nov 07 16:30:00 CET 2015, Time: ,Sat Nov 07 16:30:00 CET 2015, Event: ,Sanliurfaspor v Yeni Malatyaspor, Favorite: ,Sanliurfaspor, 2610482   size:3.94,Price: ,1.91,Yeni Malatyaspor, 5306085   size:4.0,Price: ,4.4,The Draw, 58805   size:2.55,Price: ,3.6,x
