1.121642602, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Guarani AF v Douglas Haig, Favorite: ,Guarani AF, 8742758   size:2.8,Price: ,1.27,Douglas Haig, 6570644   size:2.8,Price: ,15.0,The Draw, 58805   size:2.8,Price: ,5.6,ok
1.121724702, Sport: ,Tennis, Time: ,Sun Nov 08 22:45:00 CET 2015, Time: ,Sun Nov 08 22:45:00 CET 2015, Event: ,Laaksonen v Kamynin, Favorite: ,Henri Laaksonen, 6344314   size:1028.99,Price: ,1.04,Dmitriy Kamynin, 9624570   size:3.81,Price: ,12.0,ok
1.121724547, Sport: ,Darts, Time: ,Sun Nov 08 21:30:00 CET 2015, Time: ,Sun Nov 08 21:30:00 CET 2015, Event: ,Wayne Jones v Andy Fordham, Favorite: ,Wayne Jones, 2414415   size:10.86,Price: ,1.59,Andy Fordham, 8269536   size:69.07,Price: ,2.62,x
1.121623727, Sport: ,Soccer, Time: ,Sun Nov 08 23:00:00 CET 2015, Time: ,Sun Nov 08 23:00:00 CET 2015, Event: ,Columbus v Montreal Impact, Favorite: ,Columbus, 171903   size:284.54,Price: ,2.14,Montreal Impact, 3382205   size:29.61,Price: ,3.6,The Draw, 58805   size:153.39,Price: ,3.8,ok
1.121724703, Sport: ,Tennis, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,Hach Verdugo v J Hiltzik, Favorite: ,Jared Hiltzik, 7082814   size:4.03,Price: ,1.73,Hans Hach Verdugo, 8258567   size:6.12,Price: ,2.2,ok
1.121623844, Sport: ,Soccer, Time: ,Mon Nov 09 01:30:00 CET 2015, Time: ,Mon Nov 09 01:30:00 CET 2015, Event: ,Dallas v Seattle, Favorite: ,Dallas, 171910   size:210.11,Price: ,2.02,Seattle, 3155352   size:215.4,Price: ,4.1,The Draw, 58805   size:68.3,Price: ,3.75,ok
1.121652250, Sport: ,Soccer, Time: ,Mon Nov 09 00:00:00 CET 2015, Time: ,Mon Nov 09 00:00:00 CET 2015, Event: ,Deportivo Santani v Nacional (Par), Favorite: ,Nacional (Par), 1370433   size:5.0,Price: ,2.48,Deportivo Santani, 7457440   size:4.89,Price: ,2.98,The Draw, 58805   size:18.22,Price: ,3.65,x
1.121643059, Sport: ,Soccer, Time: ,Mon Nov 09 00:30:00 CET 2015, Time: ,Mon Nov 09 00:30:00 CET 2015, Event: ,Atl Tucuman v Los Andes, Favorite: ,Atl Tucuman, 5181445   size:91.12,Price: ,1.4,Los Andes, 5564448   size:31.64,Price: ,12.0,The Draw, 58805   size:42.08,Price: ,4.6,ok
1.121716601, Sport: ,Tennis, Time: ,Mon Nov 09 09:30:00 CET 2015, Time: ,Mon Nov 09 09:30:00 CET 2015, Event: ,N Osaka v Rodina, Favorite: ,Evgeniya Rodina, 2415530   size:63.93,Price: ,1.81,Naomi Osaka, 7640637   size:5.63,Price: ,2.18,x
1.121623962, Sport: ,Soccer, Time: ,Sun Nov 08 21:00:00 CET 2015, Time: ,Sun Nov 08 21:00:00 CET 2015, Event: ,New York Red Bulls v DC Utd, Favorite: ,New York Red Bulls, 2362970   size:23.88,Price: ,1.4,DC Utd, 436099   size:25.65,Price: ,8.8,The Draw, 58805   size:35.28,Price: ,5.5,ok
1.121572607, Sport: ,Basketball, Time: ,Mon Nov 09 00:00:00 CET 2015, Time: ,Mon Nov 09 00:00:00 CET 2015, Event: ,Toronto @ Miami, Favorite: ,Miami, 13109   size:102.07,Price: ,1.78,Toronto, 13113   size:107.08,Price: ,2.22,ok
