1.121721476, Sport: ,Soccer, Time: ,Mon Nov 09 13:30:00 CET 2015, Time: ,Mon Nov 09 13:30:00 CET 2015, Event: ,Mansheyat Bani Hasan v Al Tora, Favorite: ,Mansheyat Bani Hasan, 6600043   size:2.92,Price: ,1.71,Al Tora, 5891908   size:3.96,Price: ,3.3,The Draw, 58805   size:4.07,Price: ,3.25,x
1.121679730, Sport: ,Volleyball, Time: ,Mon Nov 09 18:00:00 CET 2015, Time: ,Mon Nov 09 18:00:00 CET 2015, Event: ,Developres Rzeszow v Budowlani Lodz, Favorite: ,Budowlani Lodz, 4292856   size:874.68,Price: ,1.16,Developres Rzeszow, 8885752   size:94.56,Price: ,2.48,ok
1.121730502, Sport: ,Tennis, Time: ,Mon Nov 09 13:00:00 CET 2015, Time: ,Mon Nov 09 13:00:00 CET 2015, Event: ,M Gasparyan v Gamiz, Favorite: ,Margarita Gasparyan, 6750186   size:95.0,Price: ,1.21,Andrea Gamiz, 7083171   size:22.0,Price: ,5.2,ok
1.121732884, Sport: ,Tennis, Time: ,Mon Nov 09 17:45:00 CET 2015, Time: ,Mon Nov 09 17:45:00 CET 2015, Event: ,Rice v Bangoura, Favorite: ,David Rice, 7366957   size:4.17,Price: ,1.08,Sekou Bangoura, 7066127   size:4.17,Price: ,1.08,x
1.121733256, Sport: ,Tennis, Time: ,Mon Nov 09 12:00:00 CET 2015, Time: ,Mon Nov 09 12:00:00 CET 2015, Event: ,Zagorac v Beberechi, Favorite: ,Eva Zagorac, 9628709   size:6.03,Price: ,1.13,Andreia Beberechi, 9657548   size:3.3,Price: ,4.8,ok
1.121717817, Sport: ,Tennis, Time: ,Mon Nov 09 18:45:00 CET 2015, Time: ,Mon Nov 09 18:45:00 CET 2015, Event: ,Djere v M Berrettini, Favorite: ,Laslo Djere, 7692106   size:5.59,Price: ,1.76,Matteo Berrettini, 8962036   size:4.75,Price: ,2.2,ok
1.121681813, Sport: ,Basketball, Time: ,Mon Nov 09 20:45:00 CET 2015, Time: ,Mon Nov 09 20:45:00 CET 2015, Event: ,Avellino v Dinamo Sassari, Favorite: ,Dinamo Sassari, 5520916   size:2.87,Price: ,1.86,Avellino, 276213   size:5.27,Price: ,2.0,ok
1.121716608, Sport: ,Tennis, Time: ,Mon Nov 09 08:06:00 CET 2015, Time: ,Mon Nov 09 08:06:00 CET 2015, Event: ,Buayam v Shvedova, Favorite: ,Yaroslava Shvedova, 2263713   size:15317.73,Price: ,1.05,Kamonwan Buayam, 9002333   size:159.96,Price: ,10.0,ok
1.121733254, Sport: ,Tennis, Time: ,Mon Nov 09 12:00:00 CET 2015, Time: ,Mon Nov 09 12:00:00 CET 2015, Event: ,Wiegand v Spremo, Favorite: ,Milana Spremo, 9342452   size:8.35,Price: ,1.04,Shiran Arol Wiegand, 9629468   size:3.93,Price: ,9.0,ok
1.121717813, Sport: ,Tennis, Time: ,Mon Nov 09 17:00:00 CET 2015, Time: ,Mon Nov 09 17:00:00 CET 2015, Event: ,Jankovits v Mi Basic, Favorite: ,Mirza Basic, 5499167   size:2.64,Price: ,1.37,Yannick Jankovits, 8257801   size:2.55,Price: ,3.35,ok
1.121727572, Sport: ,Tennis, Time: ,Mon Nov 09 11:30:00 CET 2015, Time: ,Mon Nov 09 11:30:00 CET 2015, Event: ,Krawietz v Weissborn, Favorite: ,Kevin Krawietz, 4061310   size:2.55,Price: ,1.25,Tristan-Samuel Weissbor, 9625661   size:7.89,Price: ,3.45,ok
1.121679731, Sport: ,Volleyball, Time: ,Mon Nov 09 18:00:00 CET 2015, Time: ,Mon Nov 09 18:00:00 CET 2015, Event: ,KS Palac Bydgoszcz v Ostrowiec Swietokrzyski, Favorite: ,Ostrowiec Swietokrzyski, 10399355   size:230.91,Price: ,1.09,KS Palac Bydgoszcz, 5894416   size:1272.27,Price: ,1.11,x
1.121733250, Sport: ,Tennis, Time: ,Mon Nov 09 12:00:00 CET 2015, Time: ,Mon Nov 09 12:00:00 CET 2015, Event: ,Lumsden v Gkouskou, Favorite: ,Maia Lumsden, 9628654   size:6.22,Price: ,1.04,Kalliopi Gkouskou, 10459994   size:3.3,Price: ,12.0,ok
1.121720703, Sport: ,Soccer, Time: ,Mon Nov 09 14:00:00 CET 2015, Time: ,Mon Nov 09 14:00:00 CET 2015, Event: ,FK Dukla Praha U21 v FC Banik Ostrava U21, Favorite: ,FC Banik Ostrava U21, 6550998   size:5.91,Price: ,1.45,FK Dukla Praha U21, 6563673   size:3.19,Price: ,6.0,The Draw, 58805   size:2.9,Price: ,4.6,x
1.121721077, Sport: ,Soccer, Time: ,Mon Nov 09 10:00:00 CET 2015, Time: ,Mon Nov 09 10:00:00 CET 2015, Event: ,Japan (Students) v Bangu, Favorite: ,Japan (Students), 7363895   size:4.26,Price: ,1.2,Bangu, 3624446   size:4.26,Price: ,2.14,The Draw, 58805   size:4.05,Price: ,3.75,x
1.121727853, Sport: ,Tennis, Time: ,Mon Nov 09 20:00:00 CET 2015, Time: ,Mon Nov 09 20:00:00 CET 2015, Event: ,Coria/Mena v Andreozzi/Arnold Ker, Favorite: ,Coria/Mena, 8910773   size:8.35,Price: ,1.04,Andreozzi/Arnold Ker, 10507819   size:8.35,Price: ,1.04,x
1.121721641, Sport: ,Soccer, Time: ,Mon Nov 09 12:00:00 CET 2015, Time: ,Mon Nov 09 12:00:00 CET 2015, Event: ,Astrakhan v Afips, Favorite: ,Afips, 10168291   size:11.0,Price: ,2.06,Astrakhan, 6692704   size:3.72,Price: ,3.3,The Draw, 58805   size:3.88,Price: ,3.9,x
1.121721366, Sport: ,Soccer, Time: ,Mon Nov 09 17:00:00 CET 2015, Time: ,Mon Nov 09 17:00:00 CET 2015, Event: ,Olympiakos Volou v Panegialios, Favorite: ,Olympiakos Volou, 2126375   size:3.42,Price: ,1.72,Panegialios, 9101532   size:12.9,Price: ,4.7,The Draw, 58805   size:13.41,Price: ,3.5,ok
1.121727829, Sport: ,Tennis, Time: ,Mon Nov 09 15:45:00 CET 2015, Time: ,Mon Nov 09 15:45:00 CET 2015, Event: ,Copil v Kalenichenko, Favorite: ,Marius Copil, 4195870   size:699.75,Price: ,1.06,Danylo Kalenichenko, 9624114   size:13.46,Price: ,11.0,ok
1.121731849, Sport: ,Tennis, Time: ,Mon Nov 09 13:15:00 CET 2015, Time: ,Mon Nov 09 13:15:00 CET 2015, Event: ,Mektic v Hanfmann, Favorite: ,Nikola Mektic, 3658467   size:6.03,Price: ,1.3,Yannick Hanfmann, 8639275   size:69.97,Price: ,2.84,ok
1.121716610, Sport: ,Tennis, Time: ,Mon Nov 09 08:05:00 CET 2015, Time: ,Mon Nov 09 08:05:00 CET 2015, Event: ,R Ozaki v Y Duan, Favorite: ,Ying-Ying Duan, 8243878   size:1227.78,Price: ,1.18,Risa Ozaki, 7593284   size:147.22,Price: ,5.2,ok
1.121587852, Sport: ,Soccer, Time: ,Mon Nov 09 19:00:00 CET 2015, Time: ,Mon Nov 09 19:00:00 CET 2015, Event: ,Silkeborg v FC Vestsjaelland, Favorite: ,Silkeborg, 28216   size:2.55,Price: ,1.84,FC Vestsjaelland, 3235291   size:4.48,Price: ,4.8,The Draw, 58805   size:2.59,Price: ,3.2,x
1.121732932, Sport: ,Tennis, Time: ,Mon Nov 09 18:45:00 CET 2015, Time: ,Mon Nov 09 18:45:00 CET 2015, Event: ,T Monteiro v Dellien, Favorite: ,Thiago Monteiro, 8326656   size:4.17,Price: ,1.08,Hugo Dellien, 8226987   size:6.03,Price: ,2.08,ok
1.121720438, Sport: ,Darts, Time: ,Mon Nov 09 21:00:00 CET 2015, Time: ,Mon Nov 09 21:00:00 CET 2015, Event: ,Mark Webster v Michel van der Horst, Favorite: ,Mark Webster, 2409763   size:2.55,Price: ,1.3,Michel van der Horst, 9006590   size:12.93,Price: ,3.65,ok
