1.121722247, Sport: ,Soccer, Time: ,Mon Nov 09 20:45:00 CET 2015, Time: ,Mon Nov 09 20:45:00 CET 2015, Event: ,Hungerford v North Leigh FC, Favorite: ,The Draw, 58805   size:2.94,Price: ,1.05,Hungerford, 4317868   size:200.0,Price: ,1.55,North Leigh FC, 8142721   size:150.0,Price: ,2.3,ok
1.121721916, Sport: ,Soccer, Time: ,Mon Nov 09 20:45:00 CET 2015, Time: ,Mon Nov 09 20:45:00 CET 2015, Event: ,Kingstonian v Farnborough, Favorite: ,Kingstonian, 18569   size:2.94,Price: ,1.05,Farnborough, 256188   size:2.94,Price: ,1.05,The Draw, 58805   size:2.94,Price: ,1.05,ok
1.121695331, Sport: ,Basketball, Time: ,Tue Nov 10 01:05:00 CET 2015, Time: ,Tue Nov 10 01:05:00 CET 2015, Event: ,Orlando @ Indiana, Favorite: ,Indiana, 13116   size:55.85,Price: ,1.57,Orlando, 13104   size:181.27,Price: ,2.64,ok
1.121733259, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Siskova v Kairi, Favorite: ,Eva Siskova, 10191975   size:8.35,Price: ,1.04,Angeliki Kairi, 9342447   size:8.35,Price: ,1.04,ok
1.121719994, Sport: ,Tennis, Time: ,Tue Nov 10 00:45:00 CET 2015, Time: ,Tue Nov 10 00:45:00 CET 2015, Event: ,Lindell v F Arguello, Favorite: ,Facundo Arguello, 6129383   size:7.02,Price: ,1.4,Christian Lindell, 4843189   size:39.0,Price: ,3.3,ok
1.121681813, Sport: ,Basketball, Time: ,Mon Nov 09 20:45:00 CET 2015, Time: ,Mon Nov 09 20:45:00 CET 2015, Event: ,Avellino v Dinamo Sassari, Favorite: ,Avellino, 276213   size:2.8,Price: ,1.02,Dinamo Sassari, 5520916   size:300.0,Price: ,1.47,x
1.121733255, Sport: ,Tennis, Time: ,Tue Nov 10 03:00:00 CET 2015, Time: ,Tue Nov 10 03:00:00 CET 2015, Event: ,Coppola v Vankova, Favorite: ,Katerina Vankova, 7795596   size:3.71,Price: ,1.09,Claudia Coppola, 7429629   size:6.18,Price: ,7.8,ok
1.121695294, Sport: ,Basketball, Time: ,Tue Nov 10 04:35:00 CET 2015, Time: ,Tue Nov 10 04:35:00 CET 2015, Event: ,Detroit @ Golden State, Favorite: ,Golden State, 13126   size:389.22,Price: ,1.1,Detroit, 13111   size:42.0,Price: ,9.8,ok
1.121733298, Sport: ,Tennis, Time: ,Tue Nov 10 03:00:00 CET 2015, Time: ,Tue Nov 10 03:00:00 CET 2015, Event: ,Kapas v Y Bai, Favorite: ,Yan Bai, 3357363   size:41.78,Price: ,1.77,Andriej Kapas, 7412768   size:70.23,Price: ,2.22,ok
1.121733251, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Ramialison v Martincova, Favorite: ,Tereza Martincova, 7335514   size:4.11,Price: ,1.58,Irina Ramialison, 7289605   size:36.18,Price: ,2.54,ok
1.121722081, Sport: ,Soccer, Time: ,Mon Nov 09 20:45:00 CET 2015, Time: ,Mon Nov 09 20:45:00 CET 2015, Event: ,Fisher FC v Wingate and Finchley, Favorite: ,Fisher FC, 10506622   size:2.94,Price: ,1.05,Wingate and Finchley, 8901995   size:112.82,Price: ,1.1,The Draw, 58805   size:2.94,Price: ,1.05,x
1.121715639, Sport: ,Basketball, Time: ,Mon Nov 09 20:05:00 CET 2015, Time: ,Mon Nov 09 20:05:00 CET 2015, Event: ,Hapoel Eilat v Hapoel Tel Aviv, Favorite: ,Hapoel Tel Aviv, 7758962   size:200.0,Price: ,1.08,Hapoel Eilat, 7758974   size:4.0,Price: ,6.4,ok
1.121720427, Sport: ,Darts, Time: ,Mon Nov 09 23:00:00 CET 2015, Time: ,Mon Nov 09 23:00:00 CET 2015, Event: ,James Wade v Keegan Brown, Favorite: ,James Wade, 2409762   size:17.13,Price: ,1.34,Keegan Brown, 7287082   size:278.63,Price: ,3.9,ok
1.121638949, Sport: ,Soccer, Time: ,Tue Nov 10 01:00:00 CET 2015, Time: ,Tue Nov 10 01:00:00 CET 2015, Event: ,Santiago Wanderers v Univ de Concepcion, Favorite: ,Santiago Wanderers, 913363   size:82.98,Price: ,1.97,Univ de Concepcion, 5129867   size:34.86,Price: ,4.0,The Draw, 58805   size:139.93,Price: ,3.75,x
1.121743301, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Reinwein v Lizen, Favorite: ,Sami Reinwein, 7032038   size:4.17,Price: ,1.08,Aswin Lizen, 9632846   size:4.17,Price: ,1.08,ok
1.121743300, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Zemel v Lin, Favorite: ,Yankel Zemel, 9629129   size:4.17,Price: ,1.08,Winston Lin, 8700176   size:4.17,Price: ,1.08,x
1.121727853, Sport: ,Tennis, Time: ,Mon Nov 09 20:45:00 CET 2015, Time: ,Mon Nov 09 20:45:00 CET 2015, Event: ,Coria/Mena v Andreozzi/Arnold Ker, Favorite: ,Andreozzi/Arnold Ker, 10507819   size:5.99,Price: ,1.78,Coria/Mena, 8910773   size:2.88,Price: ,2.02,ok
1.121725038, Sport: ,Tennis, Time: ,Tue Nov 10 07:00:00 CET 2015, Time: ,Tue Nov 10 07:00:00 CET 2015, Event: ,Lee/Woo v Hsieh/Yang, Favorite: ,Lee/Woo, 10507101   size:8.45,Price: ,1.04,Hsieh/Yang, 8699722   size:8.45,Price: ,1.04,x
1.121586925, Sport: ,Soccer, Time: ,Mon Nov 09 20:00:00 CET 2015, Time: ,Mon Nov 09 20:00:00 CET 2015, Event: ,Belenenses v Tondela, Favorite: ,Belenenses, 48786   size:3760.14,Price: ,1.31,Tondela, 4240339   size:28.58,Price: ,18.0,The Draw, 58805   size:16.33,Price: ,5.3,ok
1.121716450, Sport: ,Tennis, Time: ,Tue Nov 10 03:00:00 CET 2015, Time: ,Tue Nov 10 03:00:00 CET 2015, Event: ,Zhe Li v Kudryavtsev, Favorite: ,Alexander Kudryavtsev, 5908538   size:2.64,Price: ,1.21,Zhe Li, 5038271   size:10.74,Price: ,4.7,ok
1.121746520, Sport: ,Tennis, Time: ,Mon Nov 09 20:46:00 CET 2015, Time: ,Mon Nov 09 20:46:00 CET 2015, Event: ,Broady/Evans v Laaksonen/Margaroli, Favorite: ,Broady/Evans, 10409549   size:14.04,Price: ,1.03,Laaksonen/Margaroli, 9494328   size:14.04,Price: ,1.03,x
1.121720394, Sport: ,Darts, Time: ,Mon Nov 09 22:00:00 CET 2015, Time: ,Mon Nov 09 22:00:00 CET 2015, Event: ,Robert Thornton v Terry Jenkins, Favorite: ,Robert Thornton, 2658190   size:287.49,Price: ,1.67,Terry Jenkins, 2271008   size:267.77,Price: ,2.44,ok
1.121642750, Sport: ,Soccer, Time: ,Tue Nov 10 00:30:00 CET 2015, Time: ,Tue Nov 10 00:30:00 CET 2015, Event: ,Santamarina v Estudiantes de San Luis, Favorite: ,Santamarina, 5985057   size:5.14,Price: ,1.74,Estudiantes de San Luis, 9229724   size:2.13,Price: ,6.4,The Draw, 58805   size:51.32,Price: ,3.6,ok
1.121716412, Sport: ,Tennis, Time: ,Tue Nov 10 04:45:00 CET 2015, Time: ,Tue Nov 10 04:45:00 CET 2015, Event: ,Jim Wang v Uchiyama, Favorite: ,Yasutaka Uchiyama, 5858048   size:2.55,Price: ,1.91,Jimmy Wang, 5377090   size:8.58,Price: ,1.98,ok
1.121716578, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Kumkhum v Flipkens, Favorite: ,Kirsten Flipkens, 2264530   size:5.0,Price: ,1.27,Luksika Kumkhum, 6670677   size:161.7,Price: ,4.2,x
1.121587258, Sport: ,Soccer, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Nancy v Dijon, Favorite: ,Nancy, 70468   size:78.08,Price: ,2.06,Dijon, 305995   size:473.59,Price: ,4.6,The Draw, 58805   size:160.25,Price: ,3.2,ok
1.121716410, Sport: ,Tennis, Time: ,Tue Nov 10 03:00:00 CET 2015, Time: ,Tue Nov 10 03:00:00 CET 2015, Event: ,Millman v Niki, Favorite: ,John Millman, 4415206   size:85.76,Price: ,1.04,Takuto Niki, 8351123   size:2.78,Price: ,14.0,x
1.121714752, Sport: ,Soccer, Time: ,Tue Nov 10 02:30:00 CET 2015, Time: ,Tue Nov 10 02:30:00 CET 2015, Event: ,Cavalier SC v Harbour View FC, Favorite: ,Cavalier SC, 7837992   size:2.64,Price: ,2.46,Harbour View FC, 7688378   size:3.06,Price: ,2.64,The Draw, 58805   size:2.55,Price: ,3.05,ok
