1.121719252, Sport: ,Soccer, Time: ,Tue Nov 10 15:00:00 CET 2015, Time: ,Tue Nov 10 15:00:00 CET 2015, Event: ,Ukraine U19 v Azerbaijan U19, Favorite: ,Ukraine U19, 865348   size:5.98,Price: ,1.41,Azerbaijan U19, 4224615   size:5.22,Price: ,6.6,The Draw, 58805   size:2.8,Price: ,4.5,ok
1.121723839, Sport: ,Basketball, Time: ,Tue Nov 10 11:00:00 CET 2015, Time: ,Tue Nov 10 11:00:00 CET 2015, Event: ,Woori Bank Hansae v KEB Hanabank, Favorite: ,Woori Bank Hansae, 5154535   size:21.03,Price: ,1.14,KEB Hanabank, 8118828   size:16.5,Price: ,4.0,x
1.121716984, Sport: ,Tennis, Time: ,Tue Nov 10 16:00:00 CET 2015, Time: ,Tue Nov 10 16:00:00 CET 2015, Event: ,Przysiezny v Roger-Vasselin, Favorite: ,Edouard Roger-Vasselin, 8259187   size:58.74,Price: ,1.3,Michal Przysiezny, 2475803   size:17.09,Price: ,3.9,x
1.121717811, Sport: ,Tennis, Time: ,Tue Nov 10 18:00:00 CET 2015, Time: ,Tue Nov 10 18:00:00 CET 2015, Event: ,R Marcora v Crepaldi, Favorite: ,Roberto Marcora, 7412952   size:5.7,Price: ,1.76,Erik Crepaldi, 7839753   size:6.78,Price: ,2.24,x
1.121717850, Sport: ,Tennis, Time: ,Tue Nov 10 12:45:00 CET 2015, Time: ,Tue Nov 10 12:45:00 CET 2015, Event: ,Caruso v Molchanov, Favorite: ,Denys Molchanov, 3474265   size:39.47,Price: ,1.9,Salvatore Caruso, 8257868   size:64.23,Price: ,2.0,x
1.121733235, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Christofi v Novcic, Favorite: ,Eleni Christofi, 10483860   size:2.55,Price: ,1.12,Andjela Novcic, 10191982   size:5.44,Price: ,6.4,ok
1.121716983, Sport: ,Tennis, Time: ,Tue Nov 10 14:15:00 CET 2015, Time: ,Tue Nov 10 14:15:00 CET 2015, Event: ,Pavlasek v Rublev, Favorite: ,Andrey Rublev, 7797771   size:5.73,Price: ,1.45,Adam Pavlasek, 8494652   size:2.55,Price: ,2.84,ok
1.121733234, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Ghitescu v Nikitovic, Favorite: ,Andreea Ghitescu, 9286492   size:0.0,Price: ,0.0,Nina Nikitovic, 10347353   size:8.65,Price: ,120.0,ok
1.121717839, Sport: ,Tennis, Time: ,Tue Nov 10 14:30:00 CET 2015, Time: ,Tue Nov 10 14:30:00 CET 2015, Event: ,Sonego v Eremin, Favorite: ,Edoardo Eremin, 8284480   size:6.03,Price: ,1.66,Lorenzo Sonego, 8826925   size:2.55,Price: ,2.24,x
1.121733232, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Romeo v Marinkovic, Favorite: ,Caroline Romeo, 9544574   size:331.41,Price: ,1.17,Bojana Marinkovic, 9342244   size:15.0,Price: ,2.3,ok
1.121679715, Sport: ,Volleyball, Time: ,Tue Nov 10 11:00:00 CET 2015, Time: ,Tue Nov 10 11:00:00 CET 2015, Event: ,Seoul Woori Card Hansae v Cheonan Hyundai Capital, Favorite: ,Cheonan Hyundai Capital, 10391679   size:2.55,Price: ,1.17,Seoul Woori Card Hansae, 10391680   size:2.55,Price: ,1.53,x
1.121657500, Sport: ,Ice Hockey, Time: ,Tue Nov 10 17:30:00 CET 2015, Time: ,Tue Nov 10 17:30:00 CET 2015, Event: ,Banska Bystrica v Nitra, Favorite: ,Banska Bystrica, 3315731   size:74.65,Price: ,1.94,Nitra, 2078603   size:24.91,Price: ,3.45,Tie, 60104   size:22.71,Price: ,4.3,ok
