1.121638026, Sport: ,Soccer, Time: ,Tue Nov 10 22:00:00 CET 2015, Time: ,Tue Nov 10 22:00:00 CET 2015, Event: ,Criciuma v Boa, Favorite: ,Criciuma, 356589   size:469.08,Price: ,1.4,Boa, 5900070   size:73.03,Price: ,11.0,The Draw, 58805   size:191.03,Price: ,4.9,ok
1.121744398, Sport: ,Soccer, Time: ,Wed Nov 11 01:00:00 CET 2015, Time: ,Wed Nov 11 01:00:00 CET 2015, Event: ,America de Cali v Universitario Popayan, Favorite: ,America de Cali, 330236   size:26.67,Price: ,1.42,Universitario Popayan, 10101850   size:22.31,Price: ,8.8,The Draw, 58805   size:16.08,Price: ,4.9,ok
1.121695935, Sport: ,Ice Hockey, Time: ,Wed Nov 11 01:00:00 CET 2015, Time: ,Wed Nov 11 01:00:00 CET 2015, Event: ,Carolina @ NY Rangers, Favorite: ,NY Rangers, 60103   size:274.0,Price: ,1.92,Carolina, 2108027   size:5.0,Price: ,3.85,Tie, 60104   size:106.47,Price: ,4.3,ok
1.121727819, Sport: ,Tennis, Time: ,Tue Nov 10 21:30:00 CET 2015, Time: ,Tue Nov 10 21:30:00 CET 2015, Event: ,Clezar/Cuevas v Cachin/Olivo, Favorite: ,Clezar/Cuevas, 10507816   size:9.17,Price: ,1.69,Cachin/Olivo, 10459281   size:2.97,Price: ,2.2,ok
1.121733938, Sport: ,Basketball, Time: ,Wed Nov 11 01:30:00 CET 2015, Time: ,Wed Nov 11 01:30:00 CET 2015, Event: ,LA Lakers @ Miami, Favorite: ,Miami, 13109   size:753.24,Price: ,1.15,LA Lakers, 2120881   size:138.51,Price: ,7.2,ok
1.121742172, Sport: ,Tennis, Time: ,Wed Nov 11 08:30:00 CET 2015, Time: ,Wed Nov 11 08:30:00 CET 2015, Event: ,Lazov v Schinas, Favorite: ,Aleksandar Lazov, 10487484   size:8.44,Price: ,1.04,Stephanos Schinas, 9628914   size:8.44,Price: ,1.04,ok
1.121743184, Sport: ,Tennis, Time: ,Wed Nov 11 08:30:00 CET 2015, Time: ,Wed Nov 11 08:30:00 CET 2015, Event: ,Suc v Khomentovskiy, Favorite: ,Dominik Suc, 8490611   size:8.44,Price: ,1.04,Matvey Khomentovskiy, 9633796   size:8.44,Price: ,1.04,ok
1.121695930, Sport: ,Ice Hockey, Time: ,Wed Nov 11 01:00:00 CET 2015, Time: ,Wed Nov 11 01:00:00 CET 2015, Event: ,St Louis @ New Jersey, Favorite: ,St Louis, 2110000   size:8.07,Price: ,2.3,New Jersey, 2112200   size:22.01,Price: ,2.98,Tie, 60104   size:324.52,Price: ,4.0,ok
1.121719998, Sport: ,Tennis, Time: ,Tue Nov 10 23:00:00 CET 2015, Time: ,Tue Nov 10 23:00:00 CET 2015, Event: ,Berlocq v Trungelliti, Favorite: ,Carlos Berlocq, 2283676   size:671.72,Price: ,1.24,Marco Trungelliti, 6498878   size:15.5,Price: ,3.95,ok
1.121746492, Sport: ,Tennis, Time: ,Tue Nov 10 23:30:00 CET 2015, Time: ,Tue Nov 10 23:30:00 CET 2015, Event: ,Duckworth/Zverev v Brunstrom/Nielsen, Favorite: ,Brunstrom/Nielsen, 6677971   size:2.55,Price: ,1.32,Duckworth/Zverev, 10510905   size:2.55,Price: ,3.3,ok
1.121744072, Sport: ,Soccer, Time: ,Wed Nov 11 10:00:00 CET 2015, Time: ,Wed Nov 11 10:00:00 CET 2015, Event: ,Japan (Students) v Quang Ninh, Favorite: ,Quang Ninh, 9127869   size:13.57,Price: ,1.99,Japan (Students), 7363895   size:4.0,Price: ,2.86,The Draw, 58805   size:54.27,Price: ,3.6,x
1.121755202, Sport: ,Tennis, Time: ,Wed Nov 11 09:30:00 CET 2015, Time: ,Wed Nov 11 09:30:00 CET 2015, Event: ,Vikhlyantseva v Koukalova, Favorite: ,Klara Koukalova, 8445700   size:6.07,Price: ,1.4,Natalia Vikhlyantseva, 9042370   size:17.16,Price: ,3.05,ok
1.121731355, Sport: ,Soccer, Time: ,Tue Nov 10 21:00:00 CET 2015, Time: ,Tue Nov 10 21:00:00 CET 2015, Event: ,Stirling U20 v Raith U20, Favorite: ,Raith U20, 9023216   size:200.0,Price: ,1.37,Stirling U20, 9243449   size:76.26,Price: ,3.3,The Draw, 58805   size:80.0,Price: ,3.2,x
1.121729397, Sport: ,Darts, Time: ,Tue Nov 10 23:30:00 CET 2015, Time: ,Tue Nov 10 23:30:00 CET 2015, Event: ,Michael Smith v Andy Fordham, Favorite: ,Michael Smith, 3066962   size:898.93,Price: ,1.18,Andy Fordham, 8269536   size:13.2,Price: ,5.3,ok
