1.121727859, Sport: ,Tennis, Time: ,Wed Nov 11 17:00:00 CET 2015, Time: ,Wed Nov 11 17:00:00 CET 2015, Event: ,Dzumhur/Monteiro v Ghem/Neis, Favorite: ,Ghem/Neis, 8845088   size:4.96,Price: ,1.31,Dzumhur/Monteiro, 10507820   size:2.77,Price: ,2.34,ok
1.121717011, Sport: ,Tennis, Time: ,Wed Nov 11 16:00:00 CET 2015, Time: ,Wed Nov 11 16:00:00 CET 2015, Event: ,Kovalik v Satral, Favorite: ,Jozef Kovalik, 7287668   size:95.24,Price: ,1.74,Jan Satral, 8490613   size:2.56,Price: ,2.1,x
1.121733819, Sport: ,Basketball, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,Siauliai v Inter Bratislava , Favorite: ,Siauliai, 647319   size:2.55,Price: ,1.19,Inter Bratislava, 6719594   size:2.55,Price: ,5.5,ok
1.121745880, Sport: ,Soccer, Time: ,Wed Nov 11 16:45:00 CET 2015, Time: ,Wed Nov 11 16:45:00 CET 2015, Event: ,Al Tadhamon U20 v Al Kuwait SC U20, Favorite: ,Al Tadhamon U20, 10462509   size:4.64,Price: ,1.11,Al Kuwait SC U20, 10437859   size:4.64,Price: ,1.11,The Draw, 58805   size:11.15,Price: ,3.0,x
1.121717019, Sport: ,Tennis, Time: ,Wed Nov 11 12:30:00 CET 2015, Time: ,Wed Nov 11 12:30:00 CET 2015, Event: ,A Pavic v Marchenko, Favorite: ,Illya Marchenko, 3691700   size:198.68,Price: ,1.21,Ante Pavic, 5224080   size:2.55,Price: ,4.6,ok
1.121717812, Sport: ,Tennis, Time: ,Wed Nov 11 13:00:00 CET 2015, Time: ,Wed Nov 11 13:00:00 CET 2015, Event: ,Arnaboldi v Giustino, Favorite: ,Andrea Arnaboldi, 7593283   size:103.74,Price: ,1.58,Lorenzo Giustino, 7534093   size:4.94,Price: ,2.58,ok
1.121733777, Sport: ,Basketball, Time: ,Wed Nov 11 13:10:00 CET 2015, Time: ,Wed Nov 11 13:10:00 CET 2015, Event: ,Enisey v Kalev Cramo, Favorite: ,Enisey, 5850555   size:326.0,Price: ,1.23,Kalev Cramo, 6007950   size:2.55,Price: ,4.6,ok
1.121679690, Sport: ,Volleyball, Time: ,Wed Nov 11 15:00:00 CET 2015, Time: ,Wed Nov 11 15:00:00 CET 2015, Event: ,Uralochka Ntmk Ekaterin v Vizura Beograd, Favorite: ,Uralochka Ntmk Ekaterin, 10391878   size:36.01,Price: ,1.01,Vizura Beograd, 5188378   size:3.18,Price: ,2.04,ok
1.121679693, Sport: ,Volleyball, Time: ,Wed Nov 11 17:00:00 CET 2015, Time: ,Wed Nov 11 17:00:00 CET 2015, Event: ,Volei Alba Blaj v Rebecchi Nordmeccanica , Favorite: ,Piacenza, 10417667   size:2.55,Price: ,1.12,Volei Alba Blaj, 10434394   size:13.05,Price: ,6.4,ok
1.121734224, Sport: ,Basketball, Time: ,Wed Nov 11 18:45:00 CET 2015, Time: ,Wed Nov 11 18:45:00 CET 2015, Event: ,Steaua Bucharest v Buducnost, Favorite: ,Buducnost, 266288   size:2.55,Price: ,1.66,Steaua Bucharest, 10405445   size:2.55,Price: ,2.3,x
1.121679735, Sport: ,Volleyball, Time: ,Wed Nov 11 17:00:00 CET 2015, Time: ,Wed Nov 11 17:00:00 CET 2015, Event: ,Luczniczka Bydgoszcz v Effector Kielce, Favorite: ,Luczniczka Bydgoszcz, 10442829   size:8.59,Price: ,1.5,Effector Kielce, 6723748   size:14.58,Price: ,2.62,ok
