1.121745266, Sport: ,Soccer, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,LSK Lillestrom (W) v Frankfurt (W), Favorite: ,Frankfurt (W), 2983170   size:189.68,Price: ,1.13,LSK Lillestrom (W), 7642419   size:3.33,Price: ,50.0,The Draw, 58805   size:7.08,Price: ,10.0,ok
1.121745321, Sport: ,Soccer, Time: ,Wed Nov 11 20:30:00 CET 2015, Time: ,Wed Nov 11 20:30:00 CET 2015, Event: ,Brescia (W) v Fortuna Hjorring (W), Favorite: ,Fortuna Hjorring (W), 5862298   size:3.69,Price: ,2.62,Brescia (W), 8882844   size:3.73,Price: ,2.78,The Draw, 58805   size:34.71,Price: ,3.6,x
1.121747100, Sport: ,Soccer, Time: ,Wed Nov 11 21:30:00 CET 2015, Time: ,Wed Nov 11 21:30:00 CET 2015, Event: ,Policia de Lara FC v Arroceros de Calabozo, Favorite: ,Policia de Lara FC, 9989690   size:9.22,Price: ,2.2,Arroceros de Calabozo, 9989661   size:6.21,Price: ,2.76,The Draw, 58805   size:4.61,Price: ,3.45,ok
1.121727819, Sport: ,Tennis, Time: ,Wed Nov 11 20:30:00 CET 2015, Time: ,Wed Nov 11 20:30:00 CET 2015, Event: ,Clezar/Cuevas v Cachin/Olivo, Favorite: ,Clezar/Cuevas, 10507816   size:5.36,Price: ,1.72,Cachin/Olivo, 10459281   size:3.97,Price: ,2.14,ok
1.121747165, Sport: ,Tennis, Time: ,Wed Nov 11 18:30:00 CET 2015, Time: ,Wed Nov 11 18:30:00 CET 2015, Event: ,Kovinic v Kozlova, Favorite: ,Danka Kovinic, 7414059   size:600.27,Price: ,1.64,Kateryna Kozlova, 7051154   size:342.93,Price: ,2.48,x
1.121733815, Sport: ,Basketball, Time: ,Wed Nov 11 18:30:00 CET 2015, Time: ,Wed Nov 11 18:30:00 CET 2015, Event: ,Rosa Radom v KK Kumanovo, Favorite: ,Rosa Radom, 6703618   size:2.83,Price: ,1.03,KK Kumanovo, 9029077   size:55.0,Price: ,1.28,ok
1.121747041, Sport: ,Soccer, Time: ,Wed Nov 11 21:00:00 CET 2015, Time: ,Wed Nov 11 21:00:00 CET 2015, Event: ,Petroleros FC v Margarita FC, Favorite: ,Petroleros FC, 10104477   size:4.98,Price: ,1.81,Margarita FC, 10104476   size:41.7,Price: ,4.1,The Draw, 58805   size:4.07,Price: ,3.7,x
1.121679672, Sport: ,Volleyball, Time: ,Wed Nov 11 19:00:00 CET 2015, Time: ,Wed Nov 11 19:00:00 CET 2015, Event: ,Allianz Mtv Stuttgart v Dinamo Kazan, Favorite: ,Dinamo Kazan, 5990300   size:998.73,Price: ,1.07,Allianz MTV Stuttgart, 9183765   size:32.68,Price: ,9.8,ok
1.121734208, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Neptunas v AEK Athens, Favorite: ,Neptunas, 5261523   size:53.0,Price: ,1.47,AEK Athens, 266282   size:16.0,Price: ,2.48,x
1.121679675, Sport: ,Volleyball, Time: ,Wed Nov 11 20:30:00 CET 2015, Time: ,Wed Nov 11 20:30:00 CET 2015, Event: ,Casalmaggiore v Chemik Police, Favorite: ,Chemik Police, 7733782   size:29.41,Price: ,1.6,Casalmaggiore, 7906928   size:15.69,Price: ,1.8,ok
1.121734248, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Zenit St Petersburg v Besiktas, Favorite: ,Zenit St Petersburg, 8889521   size:0.0,Price: ,0.0,Besiktas, 631288   size:10.89,Price: ,15.0,ok
1.121733995, Sport: ,Basketball, Time: ,Thu Nov 12 04:05:00 CET 2015, Time: ,Thu Nov 12 04:05:00 CET 2015, Event: ,Detroit @ Sacramento, Favorite: ,Sacramento, 13127   size:37.53,Price: ,1.95,Detroit, 13111   size:330.52,Price: ,2.04,ok
1.121734224, Sport: ,Basketball, Time: ,Wed Nov 11 18:45:00 CET 2015, Time: ,Wed Nov 11 18:45:00 CET 2015, Event: ,Steaua Bucharest v Buducnost, Favorite: ,Buducnost, 266288   size:37.0,Price: ,1.66,Steaua Bucharest, 10405445   size:27.0,Price: ,1.91,x
1.121734103, Sport: ,Basketball, Time: ,Wed Nov 11 20:45:00 CET 2015, Time: ,Wed Nov 11 20:45:00 CET 2015, Event: ,Caceres v Barcelona B, Favorite: ,Caceres, 4661098   size:6.05,Price: ,1.56,Barcelona B, 6719087   size:16.0,Price: ,2.52,x
1.121734102, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Nitra v Svit, Favorite: ,Nitra, 5942834   size:4.69,Price: ,1.03,Svit, 6719642   size:2.83,Price: ,1.03,ok
1.121759502, Sport: ,Soccer, Time: ,Wed Nov 11 22:00:00 CET 2015, Time: ,Wed Nov 11 22:00:00 CET 2015, Event: ,CD Atletico Marte v Isidro Metapan, Favorite: ,Isidro Metapan, 4864112   size:4.05,Price: ,1.61,CD Atletico Marte, 8459079   size:7.54,Price: ,2.82,The Draw, 58805   size:2.18,Price: ,2.98,x
1.121734200, Sport: ,Basketball, Time: ,Wed Nov 11 20:45:00 CET 2015, Time: ,Wed Nov 11 20:45:00 CET 2015, Event: ,Brindisi v Alba Berlin, Favorite: ,Alba Berlin, 266284   size:8.81,Price: ,1.59,Brindisi, 6697864   size:70.3,Price: ,2.44,ok
1.121734189, Sport: ,Basketball, Time: ,Wed Nov 11 21:00:00 CET 2015, Time: ,Wed Nov 11 21:00:00 CET 2015, Event: ,San Pablo Inmobiliaria  v Breogan, Favorite: ,San Pablo Inmobiliaria , 10370725   size:4.59,Price: ,1.42,Breogan, 5030324   size:13.2,Price: ,3.0,ok
1.121734101, Sport: ,Basketball, Time: ,Wed Nov 11 18:30:00 CET 2015, Time: ,Wed Nov 11 18:30:00 CET 2015, Event: ,Karlovka Bratislava v Nova Ves, Favorite: ,Karlovka Bratislava, 8865002   size:4.85,Price: ,1.03,Nova Ves, 6719643   size:2.83,Price: ,1.03,ok
1.121679734, Sport: ,Volleyball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Jastrzebski Wegiel v Bielsko-Biala, Favorite: ,Bielsko-Biala, 4292855   size:397.07,Price: ,1.27,Jastrzebski Wegiel, 4263016   size:306.31,Price: ,1.35,ok
1.121679678, Sport: ,Volleyball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Fenerbahce Grundig v Telekom Baku, Favorite: ,Fenerbahce Universal Is, 10381421   size:3.72,Price: ,1.02,Rabita Baku, 5121198   size:1053.92,Price: ,1.02,ok
