1.121771378, Sport: ,Tennis, Time: ,Thu Nov 12 20:00:00 CET 2015, Time: ,Thu Nov 12 20:00:00 CET 2015, Event: ,V King v N Broady, Favorite: ,Naomi Broady, 3960538   size:192.11,Price: ,1.47,Vania King, 2249846   size:135.13,Price: ,1.58,x
1.121771453, Sport: ,Tennis, Time: ,Fri Nov 13 04:00:00 CET 2015, Time: ,Fri Nov 13 04:00:00 CET 2015, Event: ,Soeda v Yo Nishioka, Favorite: ,Go Soeda, 2249835   size:6.03,Price: ,1.8,Yoshihito Nishioka, 7137497   size:3.18,Price: ,2.04,x
1.121769698, Sport: ,Tennis, Time: ,Thu Nov 12 19:57:00 CET 2015, Time: ,Thu Nov 12 19:57:00 CET 2015, Event: ,Bangoura v Duckworth, Favorite: ,James Duckworth, 6064287   size:5.63,Price: ,1.64,Sekou Bangoura, 7066127   size:238.83,Price: ,2.5,ok
1.121771377, Sport: ,Tennis, Time: ,Thu Nov 12 19:30:00 CET 2015, Time: ,Thu Nov 12 19:30:00 CET 2015, Event: ,R Peterson v G Min, Favorite: ,Rebecca Peterson, 7430598   size:21.18,Price: ,1.12,Grace Min, 6280340   size:107.38,Price: ,3.0,ok
1.121771374, Sport: ,Tennis, Time: ,Thu Nov 12 19:30:00 CET 2015, Time: ,Thu Nov 12 19:30:00 CET 2015, Event: ,N Gibbs v R Anderson, Favorite: ,Nicole Gibbs, 4946628   size:77.44,Price: ,1.46,Robin Anderson, 8947134   size:34.39,Price: ,2.86,x
1.121761097, Sport: ,Tennis, Time: ,Thu Nov 12 23:00:00 CET 2015, Time: ,Thu Nov 12 23:00:00 CET 2015, Event: ,Berlocq v Kicker, Favorite: ,Carlos Berlocq, 2283676   size:579.08,Price: ,1.27,Nicolas Kicker, 8326744   size:8.9,Price: ,4.5,ok
1.121677990, Sport: ,Handball, Time: ,Thu Nov 12 20:45:00 CET 2015, Time: ,Thu Nov 12 20:45:00 CET 2015, Event: ,Chambery v Toulouse, Favorite: ,Chambery, 3361608   size:1462.51,Price: ,1.31,Toulouse, 3778896   size:129.53,Price: ,4.5,Draw, 330157   size:52.72,Price: ,9.6,ok
1.121771417, Sport: ,Tennis, Time: ,Thu Nov 12 21:30:00 CET 2015, Time: ,Thu Nov 12 21:30:00 CET 2015, Event: ,S Kozlov v D Novikov, Favorite: ,Dennis Novikov, 6217982   size:75.87,Price: ,1.73,Stefan Kozlov, 7415002   size:2.27,Price: ,2.24,ok
1.121679493, Sport: ,Handball, Time: ,Thu Nov 12 20:30:00 CET 2015, Time: ,Thu Nov 12 20:30:00 CET 2015, Event: ,Kolding Kobenhavn v Aalborg, Favorite: ,Kolding Kobenhavn, 7670726   size:1588.95,Price: ,1.38,Aalborg, 1065783   size:208.21,Price: ,3.9,Draw, 330157   size:70.21,Price: ,9.6,x
1.121696073, Sport: ,Ice Hockey, Time: ,Fri Nov 13 01:30:00 CET 2015, Time: ,Fri Nov 13 01:30:00 CET 2015, Event: ,Calgary @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:109.89,Price: ,2.0,Calgary, 975675   size:22.1,Price: ,3.55,Tie, 60104   size:330.0,Price: ,4.2,ok
1.121696153, Sport: ,Ice Hockey, Time: ,Fri Nov 13 02:30:00 CET 2015, Time: ,Fri Nov 13 02:30:00 CET 2015, Event: ,Winnipeg @ Dallas, Favorite: ,Dallas, 2108116   size:183.23,Price: ,2.24,Winnipeg, 5866888   size:107.0,Price: ,3.05,Tie, 60104   size:350.0,Price: ,3.95,ok
