1.121767550, Sport: ,Soccer, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Dunaujvaros v Ujpest, Favorite: ,Ujpest, 521199   size:6.39,Price: ,1.68,Dunaujvaros, 3431952   size:6.39,Price: ,4.3,The Draw, 58805   size:2.55,Price: ,3.85,x
1.121806966, Sport: ,Soccer, Time: ,Fri Nov 13 11:00:00 CET 2015, Time: ,Fri Nov 13 11:00:00 CET 2015, Event: ,Mumbai v Karnataka, Favorite: ,Mumbai, 5969072   size:16.67,Price: ,1.02,Karnataka, 3943270   size:16.67,Price: ,1.02,The Draw, 58805   size:5.21,Price: ,3.25,ok
1.121668514, Sport: ,Soccer, Time: ,Fri Nov 13 12:30:00 CET 2015, Time: ,Fri Nov 13 12:30:00 CET 2015, Event: ,Albirex Niigata v Tampines Rovers, Favorite: ,Tampines Rovers, 5305977   size:3.52,Price: ,2.56,Albirex Niigata, 5712145   size:4.57,Price: ,2.62,The Draw, 58805   size:5.5,Price: ,3.6,ok
1.121771019, Sport: ,Tennis, Time: ,Fri Nov 13 14:45:00 CET 2015, Time: ,Fri Nov 13 14:45:00 CET 2015, Event: ,Setkic v Djere, Favorite: ,Aldin Setkic, 7366936   size:5.63,Price: ,1.77,Laslo Djere, 7692106   size:2.92,Price: ,2.26,x
1.121786239, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Arends/Majchrowicz v Poullain/Stouff, Favorite: ,Arends/Majchrowicz, 10434608   size:8.33,Price: ,1.04,Poullain/Stouff, 10507585   size:8.33,Price: ,1.04,ok
1.121768927, Sport: ,Soccer, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,CS Becicherecu Mic v Minerul Motru, Favorite: ,CS Becicherecu Mic, 7650210   size:10.0,Price: ,1.12,Minerul Motru, 7671470   size:10.0,Price: ,1.12,The Draw, 58805   size:5.21,Price: ,2.94,ok
1.121805914, Sport: ,Soccer, Time: ,Fri Nov 13 10:00:00 CET 2015, Time: ,Fri Nov 13 10:00:00 CET 2015, Event: ,Korea Rep Uni Sel v Japan (Students), Favorite: ,Korea Rep Uni Sel, 6776282   size:2.75,Price: ,2.2,Japan (Students), 7363895   size:2.09,Price: ,3.1,The Draw, 58805   size:6.13,Price: ,4.0,ok
1.121810539, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Nadal v D Ferrer, Favorite: ,Rafael Nadal, 2251410   size:3.7,Price: ,1.09,David Ferrer, 2257314   size:3.7,Price: ,1.09,ok
1.121769587, Sport: ,Soccer, Time: ,Fri Nov 13 13:30:00 CET 2015, Time: ,Fri Nov 13 13:30:00 CET 2015, Event: ,HNK Gorica v GNK Dinamo Zagreb II, Favorite: ,HNK Gorica, 6692727   size:2.66,Price: ,2.08,GNK Dinamo Zagreb II, 9559625   size:2.14,Price: ,2.58,The Draw, 58805   size:2.02,Price: ,3.05,ok
1.121810413, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,A Murray v S Wawrinka, Favorite: ,Andy Murray, 2256509   size:3.7,Price: ,1.09,Stan Wawrinka, 8597476   size:30.11,Price: ,1.41,x
1.121768136, Sport: ,Soccer, Time: ,Fri Nov 13 15:15:00 CET 2015, Time: ,Fri Nov 13 15:15:00 CET 2015, Event: ,Al Ahli (UAE) v Al Wasl, Favorite: ,Al Ahli (UAE), 4525658   size:3.16,Price: ,1.58,Al Wasl, 3618587   size:3.85,Price: ,3.8,The Draw, 58805   size:4.19,Price: ,3.45,x
1.121762151, Sport: ,Tennis, Time: ,Fri Nov 13 08:10:00 CET 2015, Time: ,Fri Nov 13 08:10:00 CET 2015, Event: ,F Liu v N Osaka, Favorite: ,Naomi Osaka, 7640637   size:93.46,Price: ,1.66,Fangzhou Liu, 8174145   size:2.81,Price: ,2.48,ok
1.121810653, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,N Djokovic v Berdych, Favorite: ,Novak Djokovic, 2249229   size:3.7,Price: ,1.09,Tomas Berdych, 2256470   size:30.06,Price: ,2.04,ok
1.120659666, Sport: ,Cricket, Time: ,Fri Nov 13 12:00:00 CET 2015, Time: ,Fri Nov 13 12:00:00 CET 2015, Event: ,Pakistan v England (2nd ODI), Favorite: ,Pakistan, 7461   size:2426.69,Price: ,1.84,England, 10301   size:1517.6,Price: ,2.16,x
1.121778057, Sport: ,Tennis, Time: ,Fri Nov 13 12:00:00 CET 2015, Time: ,Fri Nov 13 12:00:00 CET 2015, Event: ,Kozlova v Chirico, Favorite: ,Kateryna Kozlova, 7051154   size:5.63,Price: ,1.89,Louisa Chirico, 7168233   size:173.53,Price: ,2.08,x
1.121786225, Sport: ,Tennis, Time: ,Fri Nov 13 10:30:00 CET 2015, Time: ,Fri Nov 13 10:30:00 CET 2015, Event: ,Beck/Witthoeft v Krejcikova/Minella, Favorite: ,Krejcikova/Minella, 10507624   size:2.91,Price: ,1.71,Beck/Witthoeft, 10343293   size:2.45,Price: ,2.04,ok
1.121766754, Sport: ,Basketball, Time: ,Fri Nov 13 12:35:00 CET 2015, Time: ,Fri Nov 13 12:35:00 CET 2015, Event: ,Guangdong v Qingdao, Favorite: ,Guangdong, 6260619   size:2.81,Price: ,1.02,Qingdao, 8926915   size:6.02,Price: ,1.97,ok
1.121766755, Sport: ,Basketball, Time: ,Fri Nov 13 12:35:00 CET 2015, Time: ,Fri Nov 13 12:35:00 CET 2015, Event: ,Jiangsu Dragons v Zhejiang Guangsha, Favorite: ,Zhejiang Guangsha, 8926901   size:320.26,Price: ,1.22,Jiangsu Dragons, 8926904   size:11.73,Price: ,4.6,ok
1.121810531, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Murray/Peers v Bopanna/Mergea, Favorite: ,Murray/Peers, 7191922   size:8.33,Price: ,1.04,Bopanna/Mergea, 8890432   size:8.33,Price: ,1.04,x
1.121766753, Sport: ,Basketball, Time: ,Fri Nov 13 12:35:00 CET 2015, Time: ,Fri Nov 13 12:35:00 CET 2015, Event: ,Beijing v Shandong, Favorite: ,Beijing, 6254117   size:233.31,Price: ,1.31,Shandong, 8926903   size:42.33,Price: ,2.94,ok
1.121766638, Sport: ,Basketball, Time: ,Fri Nov 13 11:00:00 CET 2015, Time: ,Fri Nov 13 11:00:00 CET 2015, Event: ,Changwon Sakers v Dongbu Promy, Favorite: ,Dongbu Promy, 5154590   size:133.49,Price: ,1.61,Changwon Sakers, 10276571   size:6.02,Price: ,2.34,ok
1.121766759, Sport: ,Basketball, Time: ,Fri Nov 13 12:35:00 CET 2015, Time: ,Fri Nov 13 12:35:00 CET 2015, Event: ,Shenzhen New Century Le v Jilin, Favorite: ,Dongguan, 10466369   size:8.33,Price: ,1.04,Jilin, 8926909   size:6.02,Price: ,2.02,ok
1.121766756, Sport: ,Basketball, Time: ,Fri Nov 13 12:35:00 CET 2015, Time: ,Fri Nov 13 12:35:00 CET 2015, Event: ,JiangSu Tongxi v Beijing BG / Beikong Fl, Favorite: ,Beijing BG / Beikong Fl, 10513291   size:3.33,Price: ,1.1,JiangSu Tongxi, 8926916   size:93.75,Price: ,1.29,x
1.121668360, Sport: ,Soccer, Time: ,Fri Nov 13 14:00:00 CET 2015, Time: ,Fri Nov 13 14:00:00 CET 2015, Event: ,Hapoel Ashkelon v Hapoel Petach Tikva, Favorite: ,Hapoel Petach Tikva, 6094761   size:2.55,Price: ,2.38,Hapoel Ashkelon, 5221516   size:2.55,Price: ,2.88,The Draw, 58805   size:22.77,Price: ,3.5,ok
1.121766757, Sport: ,Basketball, Time: ,Fri Nov 13 12:35:00 CET 2015, Time: ,Fri Nov 13 12:35:00 CET 2015, Event: ,Liaoning v Fujian, Favorite: ,Liaoning, 8926912   size:704.6,Price: ,1.06,Fujian, 8926905   size:8.62,Price: ,5.9,x
1.121771433, Sport: ,Tennis, Time: ,Fri Nov 13 07:30:00 CET 2015, Time: ,Fri Nov 13 07:30:00 CET 2015, Event: ,St Robert v T Daniel, Favorite: ,Taro Daniel, 8173434   size:78.65,Price: ,1.61,Stephane Robert, 4422812   size:24.76,Price: ,2.5,ok
1.121810649, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Bryan/Bryan v Murray/Peers, Favorite: ,Bryan/Bryan, 1502771   size:8.33,Price: ,1.04,Murray/Peers, 7191922   size:8.33,Price: ,1.04,ok
1.121794555, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Mektic/Sancic v Bednarek/Molchanov, Favorite: ,Mektic/Sancic, 8964483   size:8.33,Price: ,1.04,Bednarek/Molchanov, 10507636   size:8.33,Price: ,1.04,ok
1.121810405, Sport: ,Tennis, Time: ,Fri Nov 13 13:00:00 CET 2015, Time: ,Fri Nov 13 13:00:00 CET 2015, Event: ,Dodig/Melo v Matkowski/Zimonjic, Favorite: ,Dodig/Melo, 6195133   size:8.33,Price: ,1.04,Matkowski/Zimonjic, 9312205   size:8.33,Price: ,1.04,ok
1.121766761, Sport: ,Basketball, Time: ,Fri Nov 13 12:35:00 CET 2015, Time: ,Fri Nov 13 12:35:00 CET 2015, Event: ,Tianjin v Bayi Rockets, Favorite: ,Tianjin, 8926906   size:4.16,Price: ,1.08,Bayi Rockets, 8926902   size:10.32,Price: ,5.6,x
1.121766762, Sport: ,Basketball, Time: ,Fri Nov 13 12:35:00 CET 2015, Time: ,Fri Nov 13 12:35:00 CET 2015, Event: ,Zhejiang Chouzhou v Xinjiang, Favorite: ,Xinjiang, 8926908   size:440.37,Price: ,1.16,Zhejiang Chouzhou, 8926899   size:16.0,Price: ,5.4,ok
