1.121341379, Sport: ,Soccer, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Bosnia v Rep of Ireland, Favorite: ,Bosnia, 49387   size:3944.86,Price: ,1.93,Rep of Ireland, 133244   size:126.04,Price: ,5.4,The Draw, 58805   size:10655.03,Price: ,3.35,x
1.121770201, Sport: ,Soccer, Time: ,Fri Nov 13 20:00:00 CET 2015, Time: ,Fri Nov 13 20:00:00 CET 2015, Event: ,SD Zamudio v CD Getxo, Favorite: ,SD Zamudio, 6883553   size:5.34,Price: ,1.47,CD Getxo, 7097874   size:2.23,Price: ,3.2,The Draw, 58805   size:5.27,Price: ,3.2,ok
1.121642005, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,Straubing v EHC Munchen, Favorite: ,EHC Munchen, 4923560   size:106.99,Price: ,2.34,Straubing, 2056823   size:71.98,Price: ,2.52,Tie, 60104   size:22.0,Price: ,4.6,x
1.121640466, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:20:00 CET 2015, Time: ,Fri Nov 13 17:20:00 CET 2015, Event: ,HC Olomouc v Kometa Brno, Favorite: ,HC Olomouc, 7213810   size:2.05,Price: ,2.44,Kometa Brno, 3304802   size:17.69,Price: ,2.5,Tie, 60104   size:23.94,Price: ,4.1,x
1.121767151, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:00:00 CET 2015, Time: ,Fri Nov 13 19:00:00 CET 2015, Event: ,MODO v Orebro, Favorite: ,MODO, 60824   size:19.11,Price: ,2.44,Orebro, 247111   size:103.0,Price: ,2.56,Tie, 60104   size:91.0,Price: ,4.3,x
1.121767554, Sport: ,Soccer, Time: ,Fri Nov 13 18:30:00 CET 2015, Time: ,Fri Nov 13 18:30:00 CET 2015, Event: ,Olimpija v Udinese, Favorite: ,Olimpija, 489147   size:439.99,Price: ,1.51,Udinese, 215821   size:13.17,Price: ,7.6,The Draw, 58805   size:7.51,Price: ,4.7,x
1.121768247, Sport: ,Soccer, Time: ,Fri Nov 13 21:00:00 CET 2015, Time: ,Fri Nov 13 21:00:00 CET 2015, Event: ,Almagro v CA Atlanta, Favorite: ,Almagro, 897266   size:20.7,Price: ,1.94,CA Atlanta, 5860879   size:33.0,Price: ,4.5,The Draw, 58805   size:5.0,Price: ,3.45,x
1.121748355, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Pelicans v KalPa, Favorite: ,Pelicans, 66425   size:5.0,Price: ,2.7,KalPa, 275250   size:5.0,Price: ,2.74,Tie, 60104   size:26.65,Price: ,3.65,x
1.121748350, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,JYP v Blues, Favorite: ,JYP, 66423   size:49.95,Price: ,1.95,Blues, 66804   size:107.99,Price: ,3.65,Tie, 60104   size:130.78,Price: ,4.1,x
1.121786075, Sport: ,Tennis, Time: ,Fri Nov 13 19:45:00 CET 2015, Time: ,Fri Nov 13 19:45:00 CET 2015, Event: ,Paire v M Granollers, Favorite: ,Benoit Paire, 3911345   size:32.6,Price: ,1.44,Marcel Granollers, 3035263   size:33.42,Price: ,2.94,ok
1.121753666, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Hermes v Jukurit, Favorite: ,Jukurit, 272756   size:5.0,Price: ,1.68,Hermes, 272755   size:12.35,Price: ,3.75,Tie, 60104   size:19.53,Price: ,4.8,ok
1.121766749, Sport: ,Basketball, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Pyrinto Tampere v KTP Basket, Favorite: ,Pyrinto Tampere, 7749531   size:5.19,Price: ,1.25,KTP Basket, 7976086   size:21.0,Price: ,4.5,ok
1.121766909, Sport: ,Basketball, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Fenerbahce v Khimki, Favorite: ,Fenerbahce, 631290   size:142.49,Price: ,1.59,Khimki, 2154546   size:19.19,Price: ,2.52,ok
1.121699824, Sport: ,Cricket, Time: ,Fri Nov 13 17:00:00 CET 2015, Time: ,Fri Nov 13 17:00:00 CET 2015, Event: ,Knights v Titans, Favorite: ,Titans, 1254317   size:1898.69,Price: ,1.64,Knights, 5045297   size:15.23,Price: ,2.5,ok
1.121810024, Sport: ,Tennis, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,Copil v Roger-Vasselin, Favorite: ,Edouard Roger-Vasselin, 8259187   size:4.22,Price: ,1.51,Marius Copil, 4195870   size:53.46,Price: ,2.86,x
1.121767557, Sport: ,Soccer, Time: ,Fri Nov 13 16:00:00 CET 2015, Time: ,Fri Nov 13 16:00:00 CET 2015, Event: ,RB Leipzig v Pogon Szczecin, Favorite: ,RB Leipzig, 5340398   size:18.18,Price: ,1.63,Pogon Szczecin, 46953   size:119.58,Price: ,6.0,The Draw, 58805   size:13.84,Price: ,4.3,ok
1.121771250, Sport: ,Darts, Time: ,Fri Nov 13 21:30:00 CET 2015, Time: ,Fri Nov 13 21:30:00 CET 2015, Event: ,Robert Thornton v Phil Taylor, Favorite: ,Phil Taylor, 2271001   size:973.54,Price: ,1.28,Robert Thornton, 2658190   size:56.5,Price: ,4.5,ok
1.121806726, Sport: ,Soccer, Time: ,Fri Nov 13 21:00:00 CET 2015, Time: ,Fri Nov 13 21:00:00 CET 2015, Event: ,CA San Miguel v Excursionistas, Favorite: ,CA San Miguel, 9568569   size:5.0,Price: ,1.68,Excursionistas, 5985077   size:6.09,Price: ,4.6,The Draw, 58805   size:14.15,Price: ,3.1,x
1.121766901, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Dinamo Sassari v Brose Baskets, Favorite: ,Brose Baskets, 2158509   size:7.43,Price: ,1.73,Dinamo Sassari, 5520916   size:85.51,Price: ,2.34,ok
1.121767559, Sport: ,Soccer, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Werder Bremen v Braunschweig, Favorite: ,Werder Bremen, 6555433   size:3.44,Price: ,1.98,Braunschweig, 199184   size:48.68,Price: ,3.75,The Draw, 58805   size:55.49,Price: ,4.0,x
1.121665535, Sport: ,Soccer, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Spain v England, Favorite: ,Spain, 22   size:1103.74,Price: ,1.81,England, 27   size:130.17,Price: ,6.0,The Draw, 58805   size:14119.38,Price: ,3.5,ok
1.121810019, Sport: ,Tennis, Time: ,Fri Nov 13 15:45:00 CET 2015, Time: ,Fri Nov 13 15:45:00 CET 2015, Event: ,Fyrstenberg/Przysiezny v Bozoljac/Zelenay, Favorite: ,Fyrstenberg/Przysiezny, 10507403   size:12.33,Price: ,1.82,Bozoljac/Zelenay, 10507398   size:7.71,Price: ,1.82,x
1.121665811, Sport: ,Soccer, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Belgium v Italy, Favorite: ,Belgium, 29578   size:532.85,Price: ,2.1,Italy, 29   size:42.41,Price: ,4.2,The Draw, 58805   size:1366.11,Price: ,3.45,ok
1.121766750, Sport: ,Basketball, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,BK Stevnsgade v SISU, Favorite: ,BK Stevnsgade, 10379235   size:28.0,Price: ,1.68,Sisu, 6719078   size:45.32,Price: ,2.26,x
1.121668128, Sport: ,Soccer, Time: ,Fri Nov 13 18:00:00 CET 2015, Time: ,Fri Nov 13 18:00:00 CET 2015, Event: ,Arminia Bielefeld v Hannover, Favorite: ,Hannover, 197307   size:2.43,Price: ,2.06,Arminia Bielefeld, 347829   size:10.33,Price: ,3.85,The Draw, 58805   size:5.0,Price: ,3.65,x
1.121768136, Sport: ,Soccer, Time: ,Fri Nov 13 15:15:00 CET 2015, Time: ,Fri Nov 13 15:15:00 CET 2015, Event: ,Al Ahli (UAE) v Al Wasl, Favorite: ,Al Ahli (UAE), 4525658   size:49.44,Price: ,2.14,Al Wasl, 3618587   size:64.25,Price: ,3.55,The Draw, 58805   size:52.15,Price: ,3.45,x
1.121771384, Sport: ,Tennis, Time: ,Fri Nov 13 18:45:00 CET 2015, Time: ,Fri Nov 13 18:45:00 CET 2015, Event: ,Clezar/Cuevas v Martin/Podlipnik-Castil, Favorite: ,Martin/Podlipnik-Castil, 9436921   size:11.12,Price: ,1.3,Clezar/Cuevas, 10507816   size:8.33,Price: ,2.94,x
1.121769981, Sport: ,Soccer, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,PSV (W) v Heerenveen (W), Favorite: ,PSV (W), 10396243   size:2.55,Price: ,1.13,Heerenveen (W), 5279477   size:11.13,Price: ,7.0,The Draw, 58805   size:11.13,Price: ,5.4,ok
1.121806551, Sport: ,Tennis, Time: ,Fri Nov 13 19:45:00 CET 2015, Time: ,Fri Nov 13 19:45:00 CET 2015, Event: ,L Broady v J Donaldson, Favorite: ,Jared Donaldson, 7413423   size:6.03,Price: ,1.54,Liam Broady, 5626816   size:2.33,Price: ,2.78,ok
1.121753811, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Sapko v Hokki, Favorite: ,Sapko, 4196539   size:22.72,Price: ,2.36,Hokki, 275251   size:46.46,Price: ,2.52,Tie, 60104   size:21.63,Price: ,4.5,x
1.121757335, Sport: ,Soccer, Time: ,Fri Nov 13 20:00:00 CET 2015, Time: ,Fri Nov 13 20:00:00 CET 2015, Event: ,Kawkab Marrakech v OCK Khouribga, Favorite: ,Kawkab Marrakech, 5228278   size:5.83,Price: ,2.44,OCK Khouribga, 6359083   size:9.14,Price: ,3.45,The Draw, 58805   size:56.5,Price: ,3.2,ok
1.121667552, Sport: ,Soccer, Time: ,Sat Nov 14 00:00:00 CET 2015, Time: ,Sat Nov 14 00:00:00 CET 2015, Event: ,Paysandu v Luverdense, Favorite: ,Paysandu, 189951   size:460.0,Price: ,1.9,Luverdense, 4525645   size:35.06,Price: ,4.8,The Draw, 58805   size:155.89,Price: ,3.65,ok
1.121640050, Sport: ,Ice Hockey, Time: ,Fri Nov 13 16:30:00 CET 2015, Time: ,Fri Nov 13 16:30:00 CET 2015, Event: ,Olimpija Ljubljana v Orli Znojmo, Favorite: ,Orli Znojmo, 5797611   size:34.39,Price: ,1.56,Olimpija Ljubljana, 2513196   size:51.36,Price: ,4.3,Tie, 60104   size:16.79,Price: ,5.5,ok
1.121640171, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:45:00 CET 2015, Time: ,Fri Nov 13 19:45:00 CET 2015, Event: ,HC Bolzano v VSV, Favorite: ,HC Bolzano, 7557536   size:28.6,Price: ,1.87,VSV, 565881   size:2.03,Price: ,3.2,Tie, 60104   size:108.48,Price: ,4.3,x
1.121810892, Sport: ,Tennis, Time: ,Fri Nov 13 17:00:00 CET 2015, Time: ,Fri Nov 13 17:00:00 CET 2015, Event: ,Bangoura/Seeberger v Hach Verdug/Reyes-Varel, Favorite: ,Hach Verdug/Reyes-Varel, 10510902   size:6.91,Price: ,1.7,Bangoura/Seeberger, 10435760   size:6.15,Price: ,2.06,x
1.121727822, Sport: ,Tennis, Time: ,Fri Nov 13 17:00:00 CET 2015, Time: ,Fri Nov 13 17:00:00 CET 2015, Event: ,Demoliner/Elias v Galdos/Londero, Favorite: ,Demoliner/Elias, 8462580   size:30.13,Price: ,1.44,Galdos/Londero, 10507813   size:14.88,Price: ,3.05,ok
1.121746449, Sport: ,Basketball, Time: ,Fri Nov 13 23:00:00 CET 2015, Time: ,Fri Nov 13 23:00:00 CET 2015, Event: ,Colorado v Iowa State, Favorite: ,Iowa State, 708779   size:392.41,Price: ,1.18,Colorado, 697643   size:21.0,Price: ,4.6,ok
1.121667271, Sport: ,Soccer, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Poland v Iceland, Favorite: ,Poland, 8207   size:63.19,Price: ,1.71,Iceland, 231372   size:233.76,Price: ,6.0,The Draw, 58805   size:4.39,Price: ,3.95,ok
1.121771158, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:00:00 CET 2015, Time: ,Fri Nov 13 17:00:00 CET 2015, Event: ,MHC Mountfield v Skalica, Favorite: ,MHC Mountfield, 4982012   size:108.66,Price: ,1.65,Skalica, 2078556   size:14.26,Price: ,4.1,Tie, 60104   size:99.11,Price: ,4.6,ok
1.121767055, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:45:00 CET 2015, Time: ,Fri Nov 13 19:45:00 CET 2015, Event: ,Lugano v Kloten Flyers, Favorite: ,Lugano, 243259   size:2.09,Price: ,1.94,Kloten Flyers, 243255   size:43.02,Price: ,3.0,Tie, 60104   size:19.62,Price: ,4.6,ok
1.121667648, Sport: ,Soccer, Time: ,Sat Nov 14 00:00:00 CET 2015, Time: ,Sat Nov 14 00:00:00 CET 2015, Event: ,ABC v Mogi Mirim, Favorite: ,abc, 3794139   size:34.42,Price: ,1.56,Mogi Mirim, 1039199   size:59.39,Price: ,6.8,The Draw, 58805   size:23.8,Price: ,4.4,ok
1.121767054, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:45:00 CET 2015, Time: ,Fri Nov 13 19:45:00 CET 2015, Event: ,Bern v Lausanne HC, Favorite: ,Bern, 243256   size:18.34,Price: ,1.74,Lausanne HC, 7555451   size:12.72,Price: ,3.6,Tie, 60104   size:20.41,Price: ,4.7,x
1.121771159, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:00:00 CET 2015, Time: ,Fri Nov 13 17:00:00 CET 2015, Event: ,Poprad v Dukla Trencin, Favorite: ,Poprad, 2078587   size:2.97,Price: ,2.18,Dukla Trencin, 1041073   size:18.85,Price: ,2.84,Tie, 60104   size:22.85,Price: ,4.3,x
1.121748334, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,SaiPa v Lukko, Favorite: ,SaiPa, 66264   size:104.99,Price: ,2.34,Lukko, 66603   size:104.0,Price: ,2.7,Tie, 60104   size:101.0,Price: ,4.1,x
1.121771157, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:00:00 CET 2015, Time: ,Fri Nov 13 17:00:00 CET 2015, Event: ,Kosice v Banska Bystrica, Favorite: ,Kosice, 2078586   size:10.21,Price: ,1.8,Banska Bystrica, 3315731   size:7.48,Price: ,3.45,Tie, 60104   size:7.28,Price: ,3.95,ok
1.121806789, Sport: ,Tennis, Time: ,Fri Nov 13 15:26:00 CET 2015, Time: ,Fri Nov 13 15:26:00 CET 2015, Event: ,Skupski/Skupski v Kowalczyk/Marcan, Favorite: ,Skupski/Skupski, 7824202   size:134.0,Price: ,1.12,Kowalczyk/Marcan, 10431867   size:111.39,Price: ,2.52,ok
1.121769870, Sport: ,Soccer, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,PFC Sharurspor v FK Zaqatala, Favorite: ,PFC Sharurspor, 10255115   size:5.04,Price: ,1.34,FK Zaqatala, 10516181   size:2.41,Price: ,3.85,The Draw, 58805   size:2.91,Price: ,3.7,x
1.121809255, Sport: ,Tennis, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Caro Garcia v Vekic, Favorite: ,Caroline Garcia, 5248977   size:17.73,Price: ,1.45,Donna Vekic, 6603944   size:19.61,Price: ,3.1,ok
1.121767051, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:45:00 CET 2015, Time: ,Fri Nov 13 19:45:00 CET 2015, Event: ,Biel v Fribourg Gotteron, Favorite: ,Biel, 3315685   size:8.8,Price: ,2.34,Fribourg Gotteron, 243252   size:21.78,Price: ,2.52,Tie, 60104   size:6.47,Price: ,4.2,x
1.121522339, Sport: ,Basketball, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Siauliai v Lietkabelis, Favorite: ,Siauliai, 647319   size:10.81,Price: ,1.36,Lietkabelis, 6214834   size:8.33,Price: ,2.82,ok
1.121643074, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,Hamburg v Krefeld Pinguine, Favorite: ,Hamburg, 1031535   size:71.03,Price: ,1.65,Krefeld Pinguine, 233926   size:5.0,Price: ,4.3,Tie, 60104   size:35.69,Price: ,5.5,x
1.121757280, Sport: ,Soccer, Time: ,Fri Nov 13 17:00:00 CET 2015, Time: ,Fri Nov 13 17:00:00 CET 2015, Event: ,Ittihad Tanger v RSB Berkane, Favorite: ,Ittihad Tanger, 8717798   size:3.53,Price: ,2.32,RSB Berkane, 6666990   size:78.68,Price: ,4.0,The Draw, 58805   size:63.61,Price: ,2.96,ok
1.121768303, Sport: ,Soccer, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,Anderlecht (W) v OH Leuven (W), Favorite: ,Anderlecht (W), 6639183   size:186.36,Price: ,1.03,OH Leuven (W), 6743192   size:25.74,Price: ,60.0,The Draw, 58805   size:12.09,Price: ,6.6,ok
1.121766769, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Glasgow v Leicester, Favorite: ,Leicester, 2938536   size:4.92,Price: ,1.32,Glasgow, 6719052   size:38.24,Price: ,3.7,ok
1.121766803, Sport: ,Basketball, Time: ,Fri Nov 13 21:00:00 CET 2015, Time: ,Fri Nov 13 21:00:00 CET 2015, Event: ,Tajfun v Metalac, Favorite: ,Tajfun, 8193254   size:3.43,Price: ,1.89,Metalac, 7735981   size:67.99,Price: ,2.1,ok
