1.121768247, Sport: ,Soccer, Time: ,Fri Nov 13 21:00:00 CET 2015, Time: ,Fri Nov 13 21:00:00 CET 2015, Event: ,Almagro v CA Atlanta, Favorite: ,Almagro, 897266   size:55.66,Price: ,1.86,CA Atlanta, 5860879   size:2.83,Price: ,5.7,The Draw, 58805   size:80.85,Price: ,3.3,x
1.121766585, Sport: ,Basketball, Time: ,Sat Nov 14 01:05:00 CET 2015, Time: ,Sat Nov 14 01:05:00 CET 2015, Event: ,Minnesota @ Indiana, Favorite: ,Indiana, 13116   size:103.0,Price: ,1.32,Minnesota, 13118   size:91.88,Price: ,3.9,ok
1.121713373, Sport: ,Ice Hockey, Time: ,Sat Nov 14 01:05:00 CET 2015, Time: ,Sat Nov 14 01:05:00 CET 2015, Event: ,Columbus @ Pittsburgh, Favorite: ,Pittsburgh, 2115995   size:20.12,Price: ,1.98,Columbus, 2114347   size:109.91,Price: ,3.65,Tie, 60104   size:103.0,Price: ,4.1,x
1.121713379, Sport: ,Ice Hockey, Time: ,Sat Nov 14 01:05:00 CET 2015, Time: ,Sat Nov 14 01:05:00 CET 2015, Event: ,Calgary @ Washington, Favorite: ,Washington, 2109756   size:40.4,Price: ,1.8,Calgary, 975675   size:9.71,Price: ,4.1,Tie, 60104   size:4.37,Price: ,4.1,x
1.121766909, Sport: ,Basketball, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,Fenerbahce v Khimki, Favorite: ,Fenerbahce, 631290   size:49.99,Price: ,1.26,Khimki, 2154546   size:10.79,Price: ,1.31,ok
1.121746619, Sport: ,Basketball, Time: ,Sat Nov 14 01:00:00 CET 2015, Time: ,Sat Nov 14 01:00:00 CET 2015, Event: ,North Carolina A+T @ Purdue, Favorite: ,North Carolina A+T, 9068340   size:8.38,Price: ,1.04,Purdue, 697628   size:8.38,Price: ,1.04,x
1.121810024, Sport: ,Tennis, Time: ,Fri Nov 13 20:48:00 CET 2015, Time: ,Fri Nov 13 20:48:00 CET 2015, Event: ,Copil v Roger-Vasselin, Favorite: ,Edouard Roger-Vasselin, 8259187   size:11.34,Price: ,1.58,Marius Copil, 4195870   size:130.49,Price: ,2.56,x
1.121819197, Sport: ,Tennis, Time: ,Sat Nov 14 02:00:00 CET 2015, Time: ,Sat Nov 14 02:00:00 CET 2015, Event: ,Oku v Kikuchi, Favorite: ,Hiromasa Oku, 8347751   size:6.05,Price: ,1.43,Gengo Kikuchi, 8349507   size:6.05,Price: ,1.43,ok
1.121771250, Sport: ,Darts, Time: ,Fri Nov 13 21:30:00 CET 2015, Time: ,Fri Nov 13 21:30:00 CET 2015, Event: ,Robert Thornton v Phil Taylor, Favorite: ,Phil Taylor, 2271001   size:2632.78,Price: ,1.29,Robert Thornton, 2658190   size:128.23,Price: ,4.3,ok
1.121806726, Sport: ,Soccer, Time: ,Fri Nov 13 21:00:00 CET 2015, Time: ,Fri Nov 13 21:00:00 CET 2015, Event: ,CA San Miguel v Excursionistas, Favorite: ,Excursionistas, 5985077   size:3.72,Price: ,1.8,CA San Miguel, 9568569   size:83.82,Price: ,3.15,The Draw, 58805   size:99.99,Price: ,2.0,ok
1.121746616, Sport: ,Basketball, Time: ,Sat Nov 14 03:30:00 CET 2015, Time: ,Sat Nov 14 03:30:00 CET 2015, Event: ,Stephen F Austin @ Baylor, Favorite: ,Stephen F Austin, 3757964   size:8.38,Price: ,1.04,Baylor, 705559   size:8.38,Price: ,1.04,x
1.121819196, Sport: ,Tennis, Time: ,Sat Nov 14 03:45:00 CET 2015, Time: ,Sat Nov 14 03:45:00 CET 2015, Event: ,Yui Ito v K Watanuki, Favorite: ,Yuichi Ito, 3375669   size:6.05,Price: ,1.32,Keisuke Watanuki, 8347761   size:6.05,Price: ,1.59,x
