1.121798459, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,NK Zagora v HNK Hajduk Split II, Favorite: ,NK Zagora, 3439340   size:11.13,Price: ,1.1,HNK Hajduk Split II, 10487254   size:11.13,Price: ,1.1,The Draw, 58805   size:5.21,Price: ,2.9,ok
1.121821441, Sport: ,Tennis, Time: ,Sat Nov 14 13:30:00 CET 2015, Time: ,Sat Nov 14 13:30:00 CET 2015, Event: ,Jasmine Paolini v Ana Vrljic, Favorite: ,Ana Vrljic, 2548767   size:63.54,Price: ,1.52,Jasmine Paolini, 8944356   size:6.03,Price: ,2.54,ok
1.121681729, Sport: ,Soccer, Time: ,Sat Nov 14 15:00:00 CET 2015, Time: ,Sat Nov 14 15:00:00 CET 2015, Event: ,Fidelis Andria v Melfi, Favorite: ,Fidelis Andria, 928539   size:12.21,Price: ,1.92,Melfi, 2012799   size:4.1,Price: ,4.4,The Draw, 58805   size:73.52,Price: ,3.5,x
1.121796955, Sport: ,Soccer, Time: ,Sat Nov 14 13:00:00 CET 2015, Time: ,Sat Nov 14 13:00:00 CET 2015, Event: ,Haniska v FK Spisska Nova Ves, Favorite: ,Haniska, 10278478   size:7.43,Price: ,1.56,FK Spisska Nova Ves, 7005104   size:51.92,Price: ,4.0,The Draw, 58805   size:16.21,Price: ,3.1,ok
1.121802481, Sport: ,Soccer, Time: ,Sat Nov 14 13:30:00 CET 2015, Time: ,Sat Nov 14 13:30:00 CET 2015, Event: ,Dobrovice v Zenit Caslav, Favorite: ,Dobrovice, 8761009   size:5.0,Price: ,1.11,Zenit Caslav, 3985001   size:5.0,Price: ,3.15,The Draw, 58805   size:4.33,Price: ,2.94,ok
1.121681735, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Lupa Castelli Romani v Catanzaro, Favorite: ,Lupa Castelli Romani, 9226040   size:2.76,Price: ,2.48,Catanzaro, 522058   size:2.76,Price: ,3.2,The Draw, 58805   size:2.97,Price: ,3.2,x
1.121675298, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Unterhaching v Rain am Lech, Favorite: ,Unterhaching, 64371   size:39.99,Price: ,1.42,Rain am Lech, 6516917   size:7.82,Price: ,8.2,The Draw, 58805   size:38.96,Price: ,5.2,x
1.121681733, Sport: ,Soccer, Time: ,Sat Nov 14 15:00:00 CET 2015, Time: ,Sat Nov 14 15:00:00 CET 2015, Event: ,L Aquila v Teramo, Favorite: ,L Aquila, 769089   size:12.43,Price: ,2.5,Teramo, 501201   size:2.55,Price: ,2.96,The Draw, 58805   size:2.78,Price: ,3.4,ok
1.121797483, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Gomel v Slutsk, Favorite: ,Slutsk, 6186867   size:52.35,Price: ,1.74,Gomel, 197958   size:29.76,Price: ,4.8,The Draw, 58805   size:37.22,Price: ,3.85,ok
1.121833556, Sport: ,Tennis, Time: ,Sat Nov 14 15:30:00 CET 2015, Time: ,Sat Nov 14 15:30:00 CET 2015, Event: ,2. Pliskova v Sharapova, Favorite: ,Maria Sharapova, 2261745   size:5.0,Price: ,1.33,Karolina Pliskova, 6199453   size:25.68,Price: ,3.6,ok
1.121803321, Sport: ,Soccer, Time: ,Sat Nov 14 11:00:00 CET 2015, Time: ,Sat Nov 14 11:00:00 CET 2015, Event: ,Trikala U19 v AEL Larisa FC U19, Favorite: ,Trikala U19, 10520650   size:11.13,Price: ,1.1,AEL Larisa FC U19, 10520651   size:11.13,Price: ,1.1,The Draw, 58805   size:5.21,Price: ,2.9,x
1.121677464, Sport: ,Soccer, Time: ,Sat Nov 14 08:00:00 CET 2015, Time: ,Sat Nov 14 08:00:00 CET 2015, Event: ,Omiya v Oita, Favorite: ,Omiya, 1080509   size:8.58,Price: ,1.7,Oita, 441089   size:143.1,Price: ,6.0,The Draw, 58805   size:148.65,Price: ,3.9,ok
1.121802591, Sport: ,Soccer, Time: ,Sat Nov 14 11:00:00 CET 2015, Time: ,Sat Nov 14 11:00:00 CET 2015, Event: ,FC Hradec Kralove U19 v Bohemians 1905 U19, Favorite: ,FC Hradec Kralove U19, 6854008   size:11.13,Price: ,1.1,Bohemians 1905 U19, 6531981   size:11.13,Price: ,1.1,The Draw, 58805   size:6.14,Price: ,2.94,x
1.121681725, Sport: ,Soccer, Time: ,Sat Nov 14 15:00:00 CET 2015, Time: ,Sat Nov 14 15:00:00 CET 2015, Event: ,Cuneo v Pro Piacenza, Favorite: ,Cuneo, 2012829   size:2.77,Price: ,1.93,Pro Piacenza, 8802592   size:2.77,Price: ,4.6,The Draw, 58805   size:8.89,Price: ,3.35,x
1.121819225, Sport: ,Tennis, Time: ,Sat Nov 14 08:30:00 CET 2015, Time: ,Sat Nov 14 08:30:00 CET 2015, Event: ,Kapas v Imai, Favorite: ,Andriej Kapas, 7412768   size:3.0,Price: ,1.05,Shintaro Imai, 8997141   size:3.0,Price: ,1.09,x
1.121678312, Sport: ,Soccer, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,Tanzania v Algeria, Favorite: ,Algeria, 54600   size:124.76,Price: ,1.53,Tanzania, 3099612   size:12.98,Price: ,7.0,The Draw, 58805   size:135.52,Price: ,4.4,x
1.121674996, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Schweinfurt v Viktoria Aschaffenburg, Favorite: ,Schweinfurt, 111723   size:9.09,Price: ,2.26,Viktoria Aschaffenburg, 6516916   size:8.48,Price: ,3.2,The Draw, 58805   size:2.76,Price: ,3.7,x
1.121681721, Sport: ,Soccer, Time: ,Sat Nov 14 15:00:00 CET 2015, Time: ,Sat Nov 14 15:00:00 CET 2015, Event: ,Ancona v Tuttocuoio, Favorite: ,Ancona, 60304   size:3.86,Price: ,2.1,Tuttocuoio, 8236407   size:2.55,Price: ,3.15,The Draw, 58805   size:2.07,Price: ,3.25,x
1.121789855, Sport: ,Tennis, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,Gasparyan/Kalashnikova v Kuncikova/Stuchla, Favorite: ,Gasparyan/Kalashnikova, 10507622   size:30.7,Price: ,1.4,Kuncikova/Stuchla, 9493903   size:51.14,Price: ,2.66,ok
1.121675724, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Rot-Weiss Ahlen v Viktoria Koln, Favorite: ,Viktoria Koln, 6542379   size:177.49,Price: ,1.56,Rot-Weiss Ahlen, 2486895   size:21.41,Price: ,6.6,The Draw, 58805   size:23.67,Price: ,4.3,x
1.121800977, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Faroe Islands U19 v Switzerland U19, Favorite: ,Switzerland U19, 865346   size:6.01,Price: ,1.12,Faroe Islands U19, 3389580   size:2.72,Price: ,15.5,The Draw, 58805   size:5.7,Price: ,7.6,ok
1.121677573, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,SG Oberliederbach v Kickers Offenbach, Favorite: ,SG Oberliederbach, 10496527   size:11.13,Price: ,1.1,Kickers Offenbach, 247869   size:11.13,Price: ,1.1,The Draw, 58805   size:10.11,Price: ,2.88,x
1.121819217, Sport: ,Tennis, Time: ,Sat Nov 14 06:30:00 CET 2015, Time: ,Sat Nov 14 06:30:00 CET 2015, Event: ,K Itsusaki v P Kobelt, Favorite: ,Peter Kobelt, 8798913   size:343.52,Price: ,1.03,Kaito Itsusaki, 10524375   size:3.3,Price: ,10.5,ok
1.121819215, Sport: ,Tennis, Time: ,Sat Nov 14 08:30:00 CET 2015, Time: ,Sat Nov 14 08:30:00 CET 2015, Event: ,Katayama v Shi Nakamura, Favorite: ,Sho Katayama, 8351069   size:3.0,Price: ,1.05,Shinnosuke Nakamura, 10524377   size:3.0,Price: ,1.05,ok
1.121726383, Sport: ,Rugby Union, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Oyonnax v Ulster, Favorite: ,Ulster, 50107   size:8.92,Price: ,1.68,Oyonnax, 7431712   size:5.0,Price: ,2.68,Draw, 246289   size:22.0,Price: ,21.0,x
1.121678546, Sport: ,Handball, Time: ,Sat Nov 14 15:00:00 CET 2015, Time: ,Sat Nov 14 15:00:00 CET 2015, Event: ,Bergischer v Fuchse Berlin, Favorite: ,Bergischer, 4500054   size:19.16,Price: ,1.26,Fuchse Berlin, 2476365   size:2.72,Price: ,x
1.121766646, Sport: ,Basketball, Time: ,Sat Nov 14 08:00:00 CET 2015, Time: ,Sat Nov 14 08:00:00 CET 2015, Event: ,Seoul Thunders v Anyang KGC Pro, Favorite: ,Anyang KGC Pro, 10276570   size:66.7,Price: ,1.53,Seoul Thunders, 8000107   size:47.0,Price: ,2.58,ok
1.121797140, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,US Chaouia v HB Chelghoum Laid, Favorite: ,US Chaouia, 8210746   size:11.13,Price: ,1.1,HB Chelghoum Laid, 10520237   size:11.13,Price: ,1.1,The Draw, 58805   size:10.11,Price: ,2.88,x
1.121676926, Sport: ,Soccer, Time: ,Sat Nov 14 10:15:00 CET 2015, Time: ,Sat Nov 14 10:15:00 CET 2015, Event: ,Pardubice v MFK Karvina, Favorite: ,Pardubice, 4940265   size:10.0,Price: ,2.6,MFK Karvina, 3358864   size:13.97,Price: ,2.6,The Draw, 58805   size:5.21,Price: ,3.55,ok
1.121819211, Sport: ,Tennis, Time: ,Sat Nov 14 08:15:00 CET 2015, Time: ,Sat Nov 14 08:15:00 CET 2015, Event: ,Moritani v R Ghedin, Favorite: ,Riccardo Ghedin, 3506053   size:17.85,Price: ,1.03,Soichiro Moritani, 8349391   size:6.03,Price: ,1.53,ok
1.121791031, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Gloria Buzau v Bucovina Pojorata, Favorite: ,Gloria Buzau, 2487031   size:2.55,Price: ,2.02,Bucovina Pojorata, 10238197   size:2.55,Price: ,2.96,The Draw, 58805   size:4.85,Price: ,4.5,ok
