1.121792113, Sport: ,Soccer, Time: ,Sat Nov 14 15:00:00 CET 2015, Time: ,Sat Nov 14 15:00:00 CET 2015, Event: ,Evas Tienen (W) v Lierse (W), Favorite: ,Lierse (W), 10398719   size:3.71,Price: ,1.09,Evas Tienen (W), 10393004   size:4.85,Price: ,1.72,The Draw, 58805   size:2.45,Price: ,2.9,ok
1.121831800, Sport: ,Tennis, Time: ,Sat Nov 14 14:45:00 CET 2015, Time: ,Sat Nov 14 14:45:00 CET 2015, Event: ,Berankis v Djere, Favorite: ,Ricardas Berankis, 2923248   size:207.2,Price: ,1.29,Laslo Djere, 7692106   size:35.77,Price: ,3.75,ok
1.121675298, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Unterhaching v Rain am Lech, Favorite: ,Unterhaching, 64371   size:23.37,Price: ,1.39,Rain am Lech, 6516917   size:44.32,Price: ,10.0,The Draw, 58805   size:3.25,Price: ,5.4,x
1.121679533, Sport: ,Handball, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,GOG v Nordsjaelland, Favorite: ,Gog, 3343936   size:7.83,Price: ,1.01,Nordsjaelland, 4155752   size:6.04,Price: ,1.22,Draw, 330157   size:6.04,Price: ,1.22,ok
1.121670841, Sport: ,Soccer, Time: ,Sat Nov 14 16:00:00 CET 2015, Time: ,Sat Nov 14 16:00:00 CET 2015, Event: ,York City v Plymouth, Favorite: ,Plymouth, 148733   size:42.05,Price: ,2.22,York City, 256226   size:64.29,Price: ,3.7,The Draw, 58805   size:399.62,Price: ,3.5,ok
1.121675614, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Dortmund II v Wegberg Beeck, Favorite: ,Dortmund II, 5394150   size:27.22,Price: ,1.16,Wegberg Beeck, 3235339   size:17.56,Price: ,20.0,The Draw, 58805   size:10.34,Price: ,8.0,ok
1.121767159, Sport: ,Ice Hockey, Time: ,Sat Nov 14 18:00:00 CET 2015, Time: ,Sat Nov 14 18:00:00 CET 2015, Event: ,Stavanger v Valerenga, Favorite: ,Stavanger, 518241   size:8.36,Price: ,1.04,Valerenga, 61435   size:8.36,Price: ,1.04,Tie, 60104   size:8.36,Price: ,1.04,ok
1.121790284, Sport: ,Volleyball, Time: ,Sat Nov 14 18:30:00 CET 2015, Time: ,Sat Nov 14 18:30:00 CET 2015, Event: ,Textil Santanderina v UBE Lilla-Grau, Favorite: ,Textil Santanderina, 10256875   size:2.83,Price: ,1.03,UBE Lilla-Grau, 10256879   size:2.83,Price: ,1.03,ok
1.121833799, Sport: ,Tennis, Time: ,Sat Nov 14 16:30:00 CET 2015, Time: ,Sat Nov 14 16:30:00 CET 2015, Event: ,R Ram v Donskoy, Favorite: ,Evgeny Donskoy, 3391304   size:130.53,Price: ,1.59,Rajeev Ram, 2488011   size:145.29,Price: ,2.42,x
1.121771663, Sport: ,Basketball, Time: ,Sat Nov 14 17:00:00 CET 2015, Time: ,Sat Nov 14 17:00:00 CET 2015, Event: ,Gussing v Zepter Vienna, Favorite: ,Gussing, 7036689   size:11.04,Price: ,1.2,Zepter Vienna, 7036692   size:6.47,Price: ,4.8,x
1.121790282, Sport: ,Volleyball, Time: ,Sat Nov 14 18:00:00 CET 2015, Time: ,Sat Nov 14 18:00:00 CET 2015, Event: ,CAI Teruel v Ace Gran Canaria, Favorite: ,Cai Teruel, 4384949   size:3.66,Price: ,1.02,ACE Gran Canaria, 10256873   size:2.83,Price: ,1.03,ok
