1.121831245, Sport: ,Soccer, Time: ,Sun Nov 15 16:00:00 CET 2015, Time: ,Sun Nov 15 16:00:00 CET 2015, Event: ,Wydad Fes v Chabab Kasbat Tadla, Favorite: ,Wydad Fes, 6666603   size:11.15,Price: ,1.2,Chabab Kasbat Tadla, 8200214   size:11.15,Price: ,1.2,The Draw, 58805   size:3.92,Price: ,2.92,x
1.121800620, Sport: ,Basketball, Time: ,Sun Nov 15 16:04:00 CET 2015, Time: ,Sun Nov 15 16:04:00 CET 2015, Event: ,Malbas v Orebro, Favorite: ,Malbas, 10363137   size:6.04,Price: ,1.19,Orebro, 7723717   size:6.17,Price: ,5.1,x
1.121694489, Sport: ,Soccer, Time: ,Sun Nov 15 14:00:00 CET 2015, Time: ,Sun Nov 15 14:00:00 CET 2015, Event: ,Plzen v FC Brno, Favorite: ,Plzen, 471040   size:65.61,Price: ,1.3,FC Brno, 367582   size:12.99,Price: ,10.0,The Draw, 58805   size:2.83,Price: ,6.0,ok
1.121715158, Sport: ,Soccer, Time: ,Sun Nov 15 16:00:00 CET 2015, Time: ,Sun Nov 15 16:00:00 CET 2015, Event: ,Freamunde v Portimonense, Favorite: ,Freamunde, 616891   size:2.83,Price: ,2.56,Portimonense, 505982   size:5.0,Price: ,3.2,The Draw, 58805   size:64.89,Price: ,3.25,x
1.121698731, Sport: ,Soccer, Time: ,Sun Nov 15 15:00:00 CET 2015, Time: ,Sun Nov 15 15:00:00 CET 2015, Event: ,Lanciano v Crotone, Favorite: ,Lanciano, 201325   size:3.15,Price: ,2.78,Crotone, 60300   size:29.29,Price: ,3.05,The Draw, 58805   size:262.73,Price: ,3.1,x
1.121823864, Sport: ,Soccer, Time: ,Sun Nov 15 12:00:00 CET 2015, Time: ,Sun Nov 15 12:00:00 CET 2015, Event: ,Barcelona (W) v Collerense (W), Favorite: ,Barcelona (W), 5226501   size:3823.45,Price: ,1.01,Collerense (W), 5878667   size:2.71,Price: ,310.0,The Draw, 58805   size:23.23,Price: ,16.0,ok
1.121835960, Sport: ,Tennis, Time: ,Sun Nov 15 11:00:00 CET 2015, Time: ,Sun Nov 15 11:00:00 CET 2015, Event: ,Neuchrist/Weissborn v Mektic/Sancic, Favorite: ,Mektic/Sancic, 8964483   size:3.96,Price: ,1.64,Neuchrist/Weissborn, 10507637   size:3.15,Price: ,2.06,x
1.121741204, Sport: ,Soccer, Time: ,Sun Nov 15 07:00:00 CET 2015, Time: ,Sun Nov 15 07:00:00 CET 2015, Event: ,Baikal Irkutsk v Tomsk, Favorite: ,Tomsk, 1090112   size:2.83,Price: ,1.95,Baikal Irkutsk, 9836178   size:90.8,Price: ,7.2,The Draw, 58805   size:4.02,Price: ,2.72,ok
1.121697769, Sport: ,Soccer, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Almeria v Ponferradina, Favorite: ,Almeria, 248020   size:74.57,Price: ,2.32,Ponferradina, 2028828   size:3.38,Price: ,3.65,The Draw, 58805   size:429.66,Price: ,3.25,x
1.121831360, Sport: ,Soccer, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Camacha v CCD Minas Argozelo, Favorite: ,Camacha, 2268749   size:11.15,Price: ,1.1,CCD Minas Argozelo, 10243309   size:11.15,Price: ,1.1,The Draw, 58805   size:3.92,Price: ,2.92,ok
1.121834511, Sport: ,Tennis, Time: ,Sun Nov 15 10:10:00 CET 2015, Time: ,Sun Nov 15 10:10:00 CET 2015, Event: ,Liang/Wang v Wongteanchai/Yang, Favorite: ,Liang/Wang, 9128675   size:55.75,Price: ,1.27,Wongteanchai/Yang, 10507075   size:61.79,Price: ,3.5,ok
1.121772183, Sport: ,Basketball, Time: ,Sun Nov 15 10:15:00 CET 2015, Time: ,Sun Nov 15 10:15:00 CET 2015, Event: ,San Miguel Beermen v Barangay Ginebra, Favorite: ,San Miguel Beermen, 3803247   size:143.0,Price: ,1.7,Barangay Ginebra, 7217820   size:41.04,Price: ,2.26,ok
1.121830395, Sport: ,Soccer, Time: ,Sun Nov 15 14:00:00 CET 2015, Time: ,Sun Nov 15 14:00:00 CET 2015, Event: ,Triglav v Drava (Slovenia), Favorite: ,Triglav, 4586808   size:53.85,Price: ,1.13,Drava (Slovenia), 7657368   size:53.85,Price: ,1.13,The Draw, 58805   size:5.21,Price: ,2.94,x
