1.121834315, Sport: ,Tennis, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Skugor v Vorster, Favorite: ,Franko Skugor, 2862839   size:7.01,Price: ,1.24,Tucker Vorster, 8842203   size:2.55,Price: ,4.1,ok
1.121849172, Sport: ,Tennis, Time: ,Tue Nov 17 03:00:00 CET 2015, Time: ,Tue Nov 17 03:00:00 CET 2015, Event: ,Okamura v Tanaka, Favorite: ,Kyoka Okamura, 8887170   size:3.62,Price: ,1.81,Yuuki Tanaka, 8839145   size:5.69,Price: ,2.12,x
1.121849173, Sport: ,Tennis, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Fett v Minokoshi, Favorite: ,Jana Fett, 9087351   size:306.54,Price: ,1.1,Mai Minokoshi, 7657300   size:6.77,Price: ,7.8,ok
1.121848369, Sport: ,Tennis, Time: ,Tue Nov 17 00:30:00 CET 2015, Time: ,Tue Nov 17 00:30:00 CET 2015, Event: ,Buchanan/Rola v Kopinski/Nevolo, Favorite: ,Buchanan/Rola, 8024604   size:2.55,Price: ,1.19,Kopinski/Nevolo, 10531477   size:2.64,Price: ,3.95,x
1.121843157, Sport: ,Tennis, Time: ,Mon Nov 16 21:42:00 CET 2015, Time: ,Mon Nov 16 21:42:00 CET 2015, Event: ,Bancalari/Xiviller v Linzer/Ward, Favorite: ,Linzer/Ward, 10531021   size:125.23,Price: ,1.18,Bancalari/Xiviller, 10531020   size:4.79,Price: ,1.24,ok
1.121841452, Sport: ,Tennis, Time: ,Tue Nov 17 07:00:00 CET 2015, Time: ,Tue Nov 17 07:00:00 CET 2015, Event: ,Voegele v Ya Lee, Favorite: ,Stefanie Voegele, 3622149   size:7.55,Price: ,1.36,Ya-Hsuan Lee, 8839147   size:35.93,Price: ,3.3,ok
1.121841456, Sport: ,Tennis, Time: ,Tue Nov 17 04:00:00 CET 2015, Time: ,Tue Nov 17 04:00:00 CET 2015, Event: ,Yux Zhang v Namigata, Favorite: ,Yuxuan Zhang, 6949174   size:29.21,Price: ,1.94,Junri Namigata, 2415540   size:120.23,Price: ,2.02,ok
1.121839363, Sport: ,Tennis, Time: ,Tue Nov 17 00:00:00 CET 2015, Time: ,Tue Nov 17 00:00:00 CET 2015, Event: ,P Cuevas v Maresca, Favorite: ,Pablo Cuevas, 2424953   size:10.24,Price: ,1.02,Santiago Maresca, 9001415   size:5.72,Price: ,27.0,ok
1.121849419, Sport: ,Tennis, Time: ,Tue Nov 17 07:00:00 CET 2015, Time: ,Tue Nov 17 07:00:00 CET 2015, Event: ,Lertpitaksinchai v Sakkari, Favorite: ,Maria Sakkari, 9002331   size:9.96,Price: ,1.21,Nicha Lertpitaksinchai, 3673415   size:25.99,Price: ,4.6,ok
1.121834311, Sport: ,Tennis, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Van Peperzeel v Soeda, Favorite: ,Go Soeda, 2249835   size:6.51,Price: ,1.14,Gavin Van Peperzeel, 8172417   size:3.7,Price: ,5.7,ok
1.121828719, Sport: ,Ice Hockey, Time: ,Tue Nov 17 01:05:00 CET 2015, Time: ,Tue Nov 17 01:05:00 CET 2015, Event: ,Arizona @ NY Islanders, Favorite: ,NY Islanders, 60105   size:316.97,Price: ,1.84,Arizona, 8867880   size:8.56,Price: ,3.95,Tie, 60104   size:112.57,Price: ,4.6,ok
1.121836496, Sport: ,Basketball, Time: ,Tue Nov 17 02:05:00 CET 2015, Time: ,Tue Nov 17 02:05:00 CET 2015, Event: ,Indiana @ Chicago, Favorite: ,Chicago, 13117   size:337.02,Price: ,1.39,Indiana, 13116   size:37.95,Price: ,3.5,ok
1.121834275, Sport: ,Tennis, Time: ,Tue Nov 17 03:45:00 CET 2015, Time: ,Tue Nov 17 03:45:00 CET 2015, Event: ,Zhe Li v Jor Thompson, Favorite: ,Jordan Thompson, 8145584   size:3.97,Price: ,1.29,Zhe Li, 5038271   size:2.55,Price: ,3.75,ok
1.121746612, Sport: ,Basketball, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Bradley @ Arizona, Favorite: ,Arizona, 29835   size:4297.76,Price: ,1.01,Bradley, 716826   size:5.84,Price: ,8.2,ok
1.121746686, Sport: ,Basketball, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Chicago State @ Iowa State, Favorite: ,Chicago State, 735940   size:8.42,Price: ,1.04,Iowa State, 708779   size:8.42,Price: ,1.04,x
1.121836507, Sport: ,Basketball, Time: ,Tue Nov 17 03:05:00 CET 2015, Time: ,Tue Nov 17 03:05:00 CET 2015, Event: ,LA Lakers @ Phoenix, Favorite: ,Phoenix, 13128   size:10.29,Price: ,1.14,LA Lakers, 2120881   size:62.37,Price: ,7.6,ok
1.121828724, Sport: ,Ice Hockey, Time: ,Tue Nov 17 01:05:00 CET 2015, Time: ,Tue Nov 17 01:05:00 CET 2015, Event: ,Anaheim @ Carolina, Favorite: ,Anaheim, 60109   size:457.88,Price: ,2.44,Carolina, 2108027   size:16.91,Price: ,2.82,Tie, 60104   size:109.0,Price: ,4.0,ok
1.121836549, Sport: ,Basketball, Time: ,Tue Nov 17 01:30:00 CET 2015, Time: ,Tue Nov 17 01:30:00 CET 2015, Event: ,Atenas v Sionista, Favorite: ,Atenas, 6719082   size:45.89,Price: ,1.93,Sionista, 6719083   size:26.0,Price: ,1.98,x
1.121848717, Sport: ,Tennis, Time: ,Mon Nov 16 23:00:00 CET 2015, Time: ,Mon Nov 16 23:00:00 CET 2015, Event: ,Smethurst/Walsh v Rice/Willis, Favorite: ,Rice/Willis, 10484184   size:2.55,Price: ,1.73,Smethurst/Walsh, 10484185   size:2.55,Price: ,1.81,x
1.121754064, Sport: ,Soccer, Time: ,Tue Nov 17 08:00:00 CET 2015, Time: ,Tue Nov 17 08:00:00 CET 2015, Event: ,North Korea v Bahrain, Favorite: ,North Korea, 548596   size:11.05,Price: ,1.58,Bahrain, 51307   size:35.47,Price: ,6.8,The Draw, 58805   size:8.83,Price: ,4.1,ok
1.121839452, Sport: ,Tennis, Time: ,Mon Nov 16 22:05:00 CET 2015, Time: ,Mon Nov 16 22:05:00 CET 2015, Event: ,Jaziri v N Rubin, Favorite: ,Malek Jaziri, 5776215   size:491.02,Price: ,1.29,Noah Rubin, 7593248   size:51.23,Price: ,4.2,ok
1.121764814, Sport: ,Soccer, Time: ,Tue Nov 17 06:30:00 CET 2015, Time: ,Tue Nov 17 06:30:00 CET 2015, Event: ,Guam v Iran, Favorite: ,Iran, 47966   size:131.16,Price: ,1.16,Guam, 6865298   size:2.75,Price: ,27.0,The Draw, 58805   size:13.0,Price: ,8.6,ok
1.121841445, Sport: ,Tennis, Time: ,Tue Nov 17 05:30:00 CET 2015, Time: ,Tue Nov 17 05:30:00 CET 2015, Event: ,L Zhang v Chie Hsu, Favorite: ,Ling Zhang, 4182952   size:52.09,Price: ,1.54,Chieh-Yu Hsu, 8427398   size:73.27,Price: ,2.52,ok
1.121746609, Sport: ,Basketball, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Gardner-Webb @ Vanderbilt, Favorite: ,Gardner-Webb, 4373614   size:8.42,Price: ,1.04,Vanderbilt, 701625   size:8.42,Price: ,1.04,x
